"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH20_S63","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH38_S74","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH5_S80","X2017_CPH54_S82","X2017_CPH56_S83","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_026SM_S17","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_038WP_S28","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_053AT_S41","X17_18_056SB_S44","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_040RO_S30","X17_19_064WC_S47","X11_16_115CS_5_6_12_S188","X11_16_158AK_26_9_17_S203","X11_16_161HM_9_12_14_S215","X11_16_162HN_13_11_18_S216","X11_16_162HN_WAT8086A4_S218","X11_16_170OK_11_05_2017_S220","X11_16_184EH_WAT8086A10_S232","X11_16_185EB_22_11_16_S233","X11_16_187DM_21_8_18_S236","X11_16_187DM_8_11_18_S237","X11_16_198WS_20_3_18_S241"
"hsa-let-7a-5p",18.1784285635249,18.302651762872,18.0108475253909,17.5647795634634,18.0021876172684,18.0228964376862,17.6665725317212,18.6500301361554,17.9307310275091,17.8800042263999,18.0130773010862,17.8423005530105,18.0888395312777,17.3582360021642,17.4765401399967,17.7631115436174,17.8576219218232,17.6512306589665,17.6386616242723,18.1467534952897,18.0056302090151,17.5102408570921,17.622277324639,17.3214342866023,17.4104301895334,17.6958804516385,17.9694301300683,16.7951839871964,16.8744330197401,17.3317263571265,16.878948655359,17.9233408671617,17.609677317109,16.9663966197972,17.2766203320042,17.0793984120931,17.515608555684,17.1873882406618,19.1704329628278,17.3029061645099,17.3891534248639,17.2900108698846,17.8448181135272,16.9988675138513,17.4236115306521,16.939940948464,17.3407380252719,18.0282739931772,17.9787563108894,17.1495739761282,17.0104936118728,17.1873426346506,17.5266805589197,17.2230166834688,17.0549103892021,17.1560696107361,17.8147387073584,17.6616506912178,17.869807566294,17.454795473082,17.0244652357005,18.1468277034214,17.8174290045757,17.5739062415765,17.241482955965,17.1285763897397,17.7026549117026,17.6483661332276,17.9896984402898,17.0669289354889,18.1234524749712,18.0183199417489,18.3267243616412,17.7675569392478,18.0208134323973,18.2138218184453,18.3942278370628,17.8522193864103
"hsa-let-7b-5p",16.9417315294963,17.3690576563891,16.3907305152964,16.2789720101267,16.6419140089379,16.4019966418186,16.411667970138,16.9439759497817,16.6712810237999,16.6790294115229,16.4719598634462,16.5505834309308,16.5777722913854,15.991773789609,16.5287419344249,16.8257956733713,16.5757435224791,16.6349430097222,16.3604857702328,16.8311199656921,16.6176134868255,16.247262896223,16.0725968378429,16.1936851144451,16.4023166891536,16.116901588779,17.3874406001784,16.0149415420094,16.0126126066242,16.2032170662037,16.033810669534,16.6157845928885,16.7563646954285,15.5810106641571,16.3515950894322,16.28896367529,16.4246082145842,16.3796713415832,18.2106235686504,15.7651159146025,16.2734404743192,16.0968020708699,16.4574804058539,15.6221130490627,16.4289602834656,15.6365440166905,16.0527529349044,16.9350710992224,17.1037429236841,15.9705710362854,16.4913066899619,15.8085889309986,15.8695417769329,16.7196512225867,16.4718222929195,16.4523245821161,16.2954486751545,16.3768861697497,16.6897543568542,16.3676331860408,16.2669712043374,16.8661302578014,16.431247033973,16.5398914341571,16.1348302766684,16.308262715256,16.6444958400611,16.1493836907255,16.6529589809296,15.9489055637715,16.8926170796691,16.8531915968636,16.9839058244464,16.6453058593974,16.8079007913547,16.5355089877849,17.31285601621,16.0136480812596
"hsa-let-7c-5p",12.695505866914,13.7454274539735,11.8898867241828,12.1129519881493,12.6528284005791,11.9203741774435,11.8773733881365,12.1640918603417,12.2925538638247,12.2918281839153,12.1716963227212,12.1052009753946,12.0890232901311,11.5640328904509,12.4210488701772,12.2987877296324,11.7696596942993,13.2415701650268,11.8666528585261,12.2640334799053,12.7495679790264,11.6826523705073,11.3167520362242,11.7725885602577,12.2063825791936,11.9349299732714,13.1954083457912,11.8861719350545,11.5399172114189,11.8025560625083,11.999056209213,12.1743188281749,12.2108805047454,10.884032166531,12.5014411527096,12.1554386285497,12.4396196485623,11.7618433765888,13.1452349233285,11.3641146646764,11.9111807525143,11.9153321106695,11.9890697369447,11.538808321072,12.0172638194167,11.3090324790578,11.9686773135884,12.4332105913817,12.7430264678819,11.899866909707,11.5198114964381,11.9163228171861,11.8882819892603,11.6729245655063,11.3633390991089,11.394432191193,12.1650299816017,12.2663674490306,12.5766575109997,11.9798779625182,11.4634583187831,12.4996051481442,11.9832324149844,12.0903370756009,11.5200059123481,11.3732699348286,12.9015484197092,11.7707363056142,12.3771099898012,11.561800098895,12.5460792135408,13.1826762317125,13.1332568389624,12.7393269824624,12.6234235631114,12.6342773399633,12.9599822866492,11.7594273439913
"hsa-let-7d-3p",3.50043114278013,0.0455732522794343,3.90174604938889,4.12584572633496,0.0455732522794312,3.89099324451275,0.0455732522794312,3.40721724648682,0.0455732522794343,2.9308251575011,0.0455732522794312,4.38990243626439,3.31050184172638,4.70891967279868,4.36395788166625,0.0455732522794312,2.93727330306928,0.0455732522794343,3.02021947840857,4.26403416248464,3.99913308957923,4.28898723578828,3.7373716313556,4.65401954977613,3.75705190314144,0.0455732522794343,0.0455732522794312,0.0455732522794312,4.52427375577997,4.21178120236507,4.22521432966626,3.97714051883897,3.85789691814074,4.34177862107171,0.0455732522794312,4.73896141433624,0.0455732522794312,4.71247520142824,4.75435804483432,5.23965166725587,5.15910439675938,1.24668682367381,4.33424917928048,4.5171978081686,4.62633850029015,1.24668682367381,1.24668682367381,4.52927257541572,1.24668682367381,1.24668682367381,4.30263370466606,1.24668682367381,1.24668682367381,4.96531295306534,3.74729791810319,4.66321353366124,1.24668682367381,1.24668682367381,1.24668682367381,4.54583580796527,4.49664099985322,1.24668682367381,1.24668682367381,4.27077244824422,3.75847903674071,4.70507206714639,1.24668682367381,3.63678864895977,5.23712969945656,1.24668682367381,5.80071966979518,1.24668682367381,1.24668682367381,6.41846973362445,1.24668682367381,1.24668682367381,1.24668682367381,5.00554459092373
"hsa-let-7d-5p",14.4892651288603,14.0913072567554,14.7010322566313,14.1142855412679,14.0824013156813,14.9168884964946,14.3037346968113,15.0359707927567,14.3419372221539,14.0193547796917,14.5273968448266,14.3908511124794,14.7498089365187,14.4617685169978,13.6253406025606,13.9437214859491,14.3648681706276,13.9132116184505,14.2105923223181,14.7881939020093,14.0066984518878,14.2193849629064,14.6008178085604,13.7959109247369,13.6336025253369,14.1704985127717,13.5985950322468,13.2259238155977,13.5888848516119,13.7483514873592,13.3782417037728,14.1879513618161,13.5862136997031,14.1233319777054,13.3925063440424,13.5078746628722,13.4837663774311,13.6952982384698,15.4733438646819,14.2652778594957,13.9745094183005,14.092394285816,14.5067919713676,14.0119211357888,14.0366593954103,13.8026770764577,13.8522409531643,14.1459945218271,13.7004081785185,13.6828836268312,13.9538362561317,13.6055899101465,13.8669473308235,14.3467210722249,14.3675416558116,14.1718214934972,14.1033835906785,13.923600155995,14.1135198837726,14.0771567097835,14.057537824398,13.9001871531427,14.3573760706176,14.1390080927653,14.6613239856676,14.5009032461382,13.5910819199932,14.3735213480135,14.2107934665397,13.2820357550684,13.9244720286884,13.0885209269073,13.3562247728463,13.8037291828329,13.6521546094645,13.5397926802822,13.8167881243724,15.0295035024431
"hsa-let-7e-5p",12.7319376174332,13.3530672152533,12.6877687219608,13.1312401336646,13.5834331182711,13.2098712799607,12.264038730026,12.8387144965042,13.1238173471788,13.0415336698545,13.1660143877977,13.0417489725613,14.0121636120106,11.906981499564,12.6365582377059,12.5196756470004,13.1568520559354,11.5959961004055,12.7088819978386,12.9642585124295,13.5925784618167,11.6423114881932,13.2975014444398,12.9809509532182,13.3848717651179,12.9158712437642,13.3689042620017,12.128511893654,11.7652296851444,12.3871773498506,12.6283650216368,12.5022306346,12.6718406934599,11.9506355384103,12.634620776352,12.466305471798,12.8404870317662,12.1725953734186,11.9057748347749,13.0032256768352,13.0134587528677,12.5093662367406,13.3003468134781,11.4443333310785,12.5297944953794,11.8735657604316,12.9984865092506,13.0639846023836,13.3070939047415,12.535586746026,12.8374069157984,12.1530195725529,12.5284510471618,12.5050556609984,13.2710780915533,12.5608483048576,12.711304491337,12.7346432077235,13.2047207346307,12.5466009210465,12.7088417443424,12.676794301632,11.7651030110511,12.7495370124133,12.7369940522177,12.2395004611431,12.5969056493586,11.9207046281634,12.8965281916019,11.2954775531557,13.2580709930653,13.2273097365219,13.5644618693234,13.0971074072479,13.3455314297015,12.91149933201,13.3571537907756,12.6976999689798
"hsa-let-7f-5p",17.3473544844363,17.3034709164024,17.3963635375765,16.8742617927406,17.2806703114715,17.4248026209838,16.8490299195341,17.764222964693,17.2238591765503,17.0781007950314,17.3452165095625,16.9892806581149,17.350939915028,16.7665440213246,16.5978309297908,16.8464231797423,17.1112561456473,17.3400003211383,16.9501281105651,17.326360102358,17.0776298402836,16.8114053658848,17.0661430432821,16.6527145002164,16.6570764125861,17.1742009165468,16.6960868755177,15.8656160226844,15.9816145705397,16.6253132404111,15.9094383274035,17.1565369444134,16.6738160237917,16.3506829935891,16.3993651442512,16.062389259996,16.664191014845,16.2437862194461,18.1454429718951,16.8306394466347,16.6603585957679,16.3522992872465,17.0788863764654,16.4275673033099,16.525911203827,16.1040465329737,16.5014416790039,17.1167947473041,16.7358951787819,16.1993767385582,16.5345453827758,16.5027342317346,17.039225432406,16.3804448996997,16.3845058454306,16.6409109916896,17.158891122124,16.9526163909442,17.2268494018082,16.6370966182578,16.4309550287824,17.2836339673016,17.1673243300961,16.6194451461813,16.6385749229195,16.4917709473539,17.1278837267684,17.174993562967,17.0899719096022,16.6040606067455,17.0771890162457,16.0718820822189,16.9458437820238,16.5269997976126,17.133702702792,16.8566996959573,17.1767260597348,17.6650639494201
"hsa-let-7g-5p",15.7872425615269,15.3961040084411,16.0028971176383,15.3945339359831,15.2910620047491,16.2006091128696,15.7001097718875,16.0985285908804,15.6039240938743,15.589705541461,15.982068551678,16.0528478502632,16.1131709721162,15.5819874092088,15.3584938232367,15.7890685576227,15.6462517043031,16.347718680494,15.8267411950965,15.9095155125489,15.1981974369969,15.4161345655589,15.8121615364094,15.293655239031,15.2624536346882,15.4559799939779,15.1499360435015,15.7539608810829,15.4886999742338,15.8058791014356,15.375177069175,15.7587427606353,15.9910519061738,15.6138876666615,15.9685480045673,15.6440001496939,15.8696416479861,15.7476651482684,17.5179365342781,15.6300081939745,15.5257735550085,15.4586909107893,15.6757690740184,15.8798343090763,15.7655261866647,15.3581575108995,15.6061857920709,15.9503503033523,15.6842525151443,15.5318173426725,15.6056901851049,15.647791338623,15.4958822115425,15.7094430879435,15.3658719319311,15.3754530548801,15.7483180181796,15.7804430694931,15.7774221116609,15.6704665831757,15.4636009726309,15.8102062321332,16.1633932854899,15.6033718319105,15.120573256661,15.5693810801567,15.2202813996811,16.2212408037305,15.7252219863632,16.1459389417041,15.6383622361124,14.978876601297,15.7954078775611,15.6184427813721,15.7548339751634,15.2961489375006,15.8317283630396,16.4992559085189
"hsa-let-7i-5p",15.457668521658,15.3347200453139,15.7976825949227,15.1948682219001,15.3369673090058,16.0501962381549,15.3922154596628,16.2774905589887,15.4705954180637,15.3349445526829,15.7365783600717,15.6417608574965,15.9694568504375,15.3843437291194,14.9805678392933,15.3912216025612,15.5036346531169,16.0004497638367,15.5692215930253,15.9344236502533,15.49420593649,15.1087794466546,15.6104281491147,14.9559321930515,15.0446706664717,15.3711659443207,15.001099042181,14.7304022008734,14.7661764836277,15.3637542194456,14.8074051856333,15.5003237796032,15.2489414696553,15.2380033272819,14.8578284970346,14.7137897094778,15.4002812058536,14.8329558037312,17.3457096512513,15.3992195990179,15.1071859056342,14.8545300470479,15.4449182066771,15.285756462414,15.0889137417414,14.7324366669768,15.0469720912601,15.4386377830854,15.2619335356947,14.5808755290862,15.9520757140033,14.8016375734952,15.3959850702988,15.617153010498,15.7900488579177,15.7705561309577,15.2041179421846,15.3045434693634,14.9824910570675,14.7704046638323,15.9743420667939,15.4141374353879,15.5994156194134,14.951445553912,15.7711697971345,15.7456140050687,14.6710150646513,15.6533061043907,15.4219587018946,15.4150285744115,15.0360512060265,15.0440186523641,15.6178401012237,15.2057660337332,15.6668703323702,15.640728490033,15.6019528450834,16.1507913977216
"hsa-miR-1-3p",8.33821654562023,8.41557969423919,12.0548795293454,8.62872128814835,8.94647657230474,10.3812300084192,6.59613223483251,10.838474467677,11.1217960669306,6.4846676590561,9.72300152612768,8.24010384902648,9.68964546995063,10.3528539770056,9.5538431988327,6.07200571054346,6.10258808155857,9.59096234447434,9.00382995351979,9.15319795399187,7.73387270819969,7.65469246718533,7.56418900040834,11.8350206611477,6.63312890412137,7.97555182266822,7.8618665559395,7.1832870205749,13.270109096201,7.57467333510136,6.88658751029678,11.2227843085386,6.45127536478249,6.89544581958337,7.78917023312965,6.40355522863969,7.7694105771686,8.54260778599461,7.9603180411237,9.20351884453321,5.92725501494575,9.22140684937822,6.9647038772024,8.90676189418617,7.67619752731765,9.04800589531405,8.66514500037294,9.35935306471839,7.76155367953532,7.10319620473177,9.38882022349737,6.95553967053038,10.2781051709811,7.60164654506098,7.45125550264595,8.03788489225789,10.2013084471706,6.65646672849935,6.97787464533423,9.36113972740346,8.857639163952,7.82693699263099,8.66582750231245,7.37016340011399,10.1362156717122,7.97876767165798,10.0645839358315,10.5455011902678,9.31911943957222,7.56438032289292,7.68050136101514,1.93716126475285,10.0392866638683,8.2703190654662,9.76267677799681,8.97412089110497,8.72372762206568,10.5221626574106
