"","lfq_haronW.14.7.20.14.1718.056SB.90min","lfq_haronW.14.7.20.17.1719.064WC.90min","lfq_haronW.16.7.20.1.1718.031XK.90min","lfq_haronW.16.7.20.2.1718.034MC.90min","lfq_haronW.16.7.20.5.1718.047AJ.90min","lfq_haronW.16.7.20.6.1718.048LW.90min","lfq_haronW.16.7.20.7.1718.049CS.90min","lfq_haronW.21.7.20.4.170OK.11.5.17.90min","lfq_haronW.22.7.20.16.162HN.13.11.18.90min","lfq_haronW.24.7.20.22.198WS.20.3.18.90min","lfq_haronW.24.7.20.25.161HM.9.12.14.90min","lfq_haronW.26.7.20.32.90min.115CS.5.6.12","lfq_haronW.9.7.20.11.1718.053AT.480.90min","lfq_W.1.2.19.1718.30.2pt5","lfq_W.1.2.19.1718.32.2pt5","lfq_W.10.6.21.3.CPH005.17.S.90min","lfq_W.10.6.21.5.CPH008.20.S.T.0.90min","lfq_W.16.6.21.19.038.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min_20210617162605","lfq_W.16.6.21.25.067.20.S.T.0.90min","lfq_W.16.6.21.27.067.17.S.90min","lfq_W.18.6.21.31.071.17.S.90min","lfq_W.18.6.21.35.086.17.S.90min","lfq_W.2.2.19.RPA.1.2pt5","lfq_W.2.2.19.RPA.11.2pt5","lfq_W.2.2.19.RPA.16.2pt5","lfq_W.2.2.19.RPA.17.2pt5","lfq_W.2.2.19.RPA.19.2pt5","lfq_W.2.2.19.RPA.2.2pt5","lfq_W.2.2.19.RPA.3.2pt5","lfq_W.2.2.19.RPA.5.2pt5","lfq_W.2.2.19.RPA.7.2pt5","lfq_W.2.2.19.RPA.9.2pt5","lfq_W.25.1.19.183EH.2pt5","lfq_W.26.1.19.1718.038.2pt5","lfq_W.26.1.19.1718.040.2pt5","lfq_W.26.1.19.1718.043.2pt5","lfq_W.26.1.19.1718.044.2pt5","lfq_W.27.1.19.1718.038.5ul","lfq_W.27.1.19.1718.040.5ul","lfq_W.27.1.19.183EH.5ul","lfq_W.27.1.19.RPA.21.5ul","lfq_W.31.1.19.1718.26.2pt5","lfq_W.exo.10.9.21.84.90min","lfq_W.exo.11.9.21.90.90min","lfq_W.exo.17.9.21.119.90min","lfq_W.exo.17.9.21.120.90min","lfq_W.exo.17.9.21.121.90min","lfq_W.exo.17.9.21.122.90min","lfq_W.exo.23.8.21.6.90min","lfq_W.exo.23.9.21.123.90min","lfq_W.exo.23.9.21.126.90min","lfq_W.exo.23.9.21.129.90min","lfq_W.exo.23.9.21.130.90min","lfq_W.exo.24.8.21.16.90min","lfq_W.exo.24.8.21.7.90min","lfq_W.exo.24.9.21.132.90min","lfq_W.exo.24.9.21.133.90min","lfq_W.exo.25.8.21.11.90min","lfq_W.exo.25.8.21.18.90min","lfq_W.exo.25.8.21.19.90min","lfq_W.exo.25.9.21.136.90min","lfq_W.exo.25.9.21.137.90min","lfq_W.exo.25.9.21.138.90min","lfq_W.exo.25.9.21.140.90min","lfq_W.exo.25.9.21.141.90min","lfq_W.exo.26.8.21.22.90min","lfq_W.exo.27.9.21.143.90min","lfq_W.exo.27.9.21.144.90min","lfq_W.exo.27.9.21.145.90min","lfq_W.exo.27.9.21.146.90min","lfq_W.exo.27.9.21.147.90min","lfq_W.exo.27.9.21.149.90min","lfq_W.exo.5.9.21.53.90min","lfq_W.exo.5.9.21.56.90min"
"A1BG",28.6649970652348,26.9194804591704,26.1073775130819,24.9894778786958,26.5852877051289,25.7516501702646,26.503485714688,29.0406904428954,26.8324198065805,26.1682623556813,27.4324724074079,26.8841189884552,27.344729852065,27.5334700481531,25.972707456758,26.0079524124654,26.4186707672551,25.4048003536807,26.3101986244432,26.195950457268,27.8386858417285,27.3080841724469,26.6064425746743,24.8120245843962,24.6885957395272,24.3781543224606,24.8771796658208,22.7897676268964,26.1451424126233,25.6822629950844,23.0954806425067,23.2098736283936,23.9282152932301,25.2456091104302,28.6954495206544,24.7235491152411,25.7477513296029,25.8707001856396,25.661638201358,25.8237704364487,26.0299097897205,28.7113246127656,26.0764849095744,27.8271901090182,19.7520911452495,23.0954806425067,27.8386858417285,23.1380919366276,26.9686267619851,28.4230689194227,21.7160476277171,25.3958662200527,24.7757374760137,25.701363629819,27.6932942460813,26.4022114569858,28.5417455728278,27.4173302659827,25.5921293913506,25.8095639233716,25.6023168539729,26.1429630339498,26.9927485396986,25.0554051828766,25.7657047435834,26.901396833697,28.0216819106162,26.4834650611808,27.6380080561578,25.1314527818106,28.2505892918989,28.0556449568263,26.6809164897132,25.6375508430822,27.513864810237,25.3793205387226
"A2M",34.9577991794403,35.775834433693,35.2991151818459,35.5990307761095,35.4474858100542,35.5990307761095,35.2991151818459,36.7865644868808,35.775834433693,36.7865644868808,35.775834433693,36.2858775453048,34.9577991794403,35.5990307761095,36.0024755287304,34.3509119898028,34.5395263121241,35.9522497012408,35.9522497012408,36.4274574982073,35.9522497012408,35.9522497012408,35.0216443204496,35.9522497012408,35.4474858100542,35.1599627166655,36.0024755287304,35.775834433693,36.2858775453048,34.9577991794403,35.775834433693,35.775834433693,34.9577991794403,35.775834433693,36.7865644868808,36.2858775453048,36.0024755287304,35.2991151818459,36.7865644868808,36.2858775453048,35.775834433693,36.7865644868808,36.0024755287304,36.2858775453048,37.2670081173323,36.2858775453048,35.5722184764223,35.9522497012408,35.2757545428502,35.0216443204496,35.5722184764223,35.9522497012408,35.9522497012408,35.9522497012408,35.9522497012408,35.9522497012408,35.5722184764223,35.9522497012408,35.9522497012408,36.4274574982073,35.9522497012408,35.9522497012408,35.5722184764223,36.4274574982073,35.9522497012408,36.4274574982073,35.2757545428502,36.4274574982073,35.2757545428502,35.9522497012408,35.9522497012408,36.4274574982073,36.4274574982073,35.9522497012408,35.5722184764223,36.4274574982073
"A2ML1",23.7882803990885,23.4448237907346,26.2760595460498,25.3292628246676,23.6774964618384,24.3688724589719,24.0924239173997,23.6223810666134,24.0011975034204,24.1270768318658,24.0909689075304,24.1090924587367,24.1585115755328,23.2907091777076,24.4605503056338,25.5174254819758,26.1923900079751,23.2774167874841,24.6276789441525,24.3330625121984,24.3431640563743,23.9290146726798,24.1200955946488,24.9429318258966,22.7731027110862,28.0418079113694,25.4275105861815,25.3529121274775,24.7874630133421,23.5195155349189,25.4010557159972,24.4771523199613,25.1002652325058,25.0557360496879,25.0642430931144,24.7999410072307,24.8445375579253,24.269566976193,24.6804534944458,24.7358784823141,24.663035463065,24.7283787937065,24.8245750744175,24.1090924587367,24.9225817807622,24.7858164297528,24.4623826951549,24.5556098671562,24.1951643820831,24.2939194502695,25.8409105434728,23.5899052683793,24.84888964964,24.7782166364759,23.8135760090346,24.6214577961511,25.1090713626437,24.510147421776,23.6596285810623,25.1649946276221,25.0915751429627,24.674995197709,23.8462362527486,25.0234420246659,23.7422712649122,24.6517121724973,25.2187920724556,24.9056337660967,23.9885186846681,24.4012290227279,24.0398097338264,23.7598917567959,25.4349890122686,24.6702472331715,24.2891251050467,25.4871989265715
"AARS",23.8654005581683,23.9674716045326,23.8991262220968,23.8929015055729,23.9612848011953,24.0192451810098,23.9857600326473,23.8335506130732,23.7495769159891,23.7832681561598,23.5839823808577,23.7078635265779,23.7410899901231,23.9474735957971,24.1803949024328,24.1786891717587,24.2633811764509,24.0046690603936,24.0414026815934,23.9859217802979,24.0480741067348,23.8401974710435,23.7313405739023,24.0274436902643,24.1092764838987,24.1182432584432,24.3022525084792,24.2443176511625,24.198482563696,23.889283120256,24.1401280418048,24.0167048705303,24.2491574773564,24.2118970514946,24.219136671084,24.2406194334476,24.1786341867484,24.1764476787192,24.2138143984858,24.2353397931519,24.1376390678951,24.2175920089273,24.2208842138021,24.0292067342321,23.9062828210845,23.7517413169017,24.2504328670957,23.8508355132842,24.1655418972579,24.1964788812068,24.3650587335281,23.5869795671988,24.0084671646098,23.857599698307,23.7665532349135,23.974924478493,24.1592386000498,23.8646564332282,23.7210750230598,24.1191959559558,24.1964788812068,23.9359669072752,24.0122795165063,23.970922343051,23.6754207537281,24.1860587526831,24.1325362623706,24.0940060915488,24.3351723559286,23.8117635395713,24.1820452054335,23.8371040020123,24.1523103280749,23.9552298461202,24.1592386000498,24.2665276923084
"ABCA9",24.1613492901238,23.9512003226291,23.9052266683577,24.0807857292785,24.0899401424593,23.9494345907247,23.7944119496798,23.9757839978684,24.2948225590772,23.8054985286589,24.1182184368676,24.0632448942557,24.389208702053,23.7986812522792,23.6940294053394,23.8303048251564,23.7791509826473,23.9052057752295,23.9899033114196,23.9285950224712,23.9946916338176,24.1145296976701,23.9261447623997,23.8957503837075,23.7710647920962,23.7142848945299,23.7923623819513,23.8054985286589,23.8101001814603,24.0359024648939,23.8976382682085,23.7667709504946,23.7567750881057,23.7776745802921,23.7248987075824,23.7966363246814,23.782358087073,23.726714511663,23.8032405492387,23.7900291192619,23.8952354147763,23.7291257535574,23.7641115092696,23.7414814272875,23.9848505695137,23.8727719502589,23.7496042801709,23.9030246333115,23.8084742432752,23.8004812678682,23.9946916338176,24.022371105042,24.0887175463367,23.901006459356,24.0148579424945,23.9702369058145,23.9232728465627,23.9407431977604,23.9077342772098,23.9587079551597,23.9335087105585,23.9335087105585,23.0280620493574,23.8335838697985,23.8678208290852,24.3728427159308,23.8857623218784,23.8983026163644,23.6633227785172,23.9335087105585,23.9510900182508,23.9052057752295,23.543818053031,23.9488746102319,23.893713550087,23.7019418925805
"ABCB6",21.790894577258,21.8559661460268,21.5522397921553,21.5135904423708,21.7170662921821,21.6673222756942,21.7170662921821,21.7611719510286,21.6504506529157,21.1835222923709,21.5726630868037,21.5135904423708,21.7170662921821,21.6504506529157,21.5726630868037,22.0136609244708,21.8571393397344,21.8936805271777,21.7213975153521,21.8233688576356,21.7594610896925,21.8571393397344,21.5448737830733,21.7594610896925,21.5726630868037,21.700976103127,22.0252942388905,21.8310528171287,21.5726630868037,21.6504506529157,21.8310528171287,21.4699744033481,21.790894577258,21.6332439755245,21.700976103127,21.6132547641381,21.5522397921553,21.7463353379682,21.5947620143753,21.6822948864836,21.5947620143753,21.6673222756942,21.7170662921821,21.4511082886908,21.6873407638396,21.3004670164159,21.5057426174532,21.5057426174532,21.5448737830733,21.6234870964828,21.7923637693526,21.4070556152118,21.4070556152118,21.5057426174532,21.3479112415777,21.5448737830733,21.6873407638396,21.3479112415777,21.5057426174532,21.6561451218887,21.7213975153521,21.6873407638396,21.5057426174532,21.7213975153521,21.5057426174532,21.6561451218887,21.4609534276496,21.5057426174532,21.6561451218887,21.5448737830733,21.7213975153521,21.6234870964828,21.6234870964828,21.5865651855681,21.5057426174532,21.6873407638396
"ABHD10",24.4176359980282,24.5251683280377,24.5035293296645,24.5136030957225,24.4544538565427,24.6027410667797,24.6594013591694,24.3327819750697,24.1159193600465,24.0381987379114,23.8208616619995,24.0955353833059,24.1671172516702,24.5647907543347,24.8698734463622,24.8013902990361,24.9853108978943,24.5526479084473,24.6009939636682,24.5290059304023,24.6286891277982,24.2532573701325,24.1117615753486,24.5179382240635,24.8375975402326,24.7544054142524,25.0005146849986,24.9699528051469,24.889494493335,24.4672270491008,24.82572145211,24.7140940920233,24.9988021704838,24.8698734463622,24.9737763192363,24.9000474936296,24.8220414314999,24.8677690380647,24.8817611252947,24.9000474936296,24.7846536340149,24.9343882183344,24.9059275776197,24.6424603730987,24.4481498077201,24.3218056914949,25.1528041104274,24.3752956119477,24.7595454970329,24.9161631821014,24.9429987065174,24.0002317460051,24.586840011601,24.466747684597,24.2134901950135,24.6325136386906,24.9123246923163,24.4059662013849,24.0190613844559,24.6754297533519,24.9853108978943,24.6793273797624,24.6286891277982,24.7174365007391,24.2196483489525,24.727289102278,24.7113750043853,24.7073106878495,25.1636761137977,24.3504907674057,24.9365754185757,24.3504907674057,24.8205751129974,24.5557664586627,24.9509268739318,24.9707303276335
"ABHD11",24.6173640249901,24.7628984610456,24.7239730992603,24.6772830442843,24.6887216751712,24.79152214758,24.8231259429662,24.5969256875791,24.4123671703289,23.9854636428997,24.1938527688246,24.3348160451987,24.4202733539611,24.7782873453261,25.0164142189189,24.9227844063302,25.0868425346225,24.8568876184015,24.750347891238,24.7705126561874,24.8626752573468,24.5832205455652,24.442980197608,24.8503262756767,24.8853806951484,24.8696884195163,25.0763970266196,25.0353736378319,25.0331616258958,24.6599782062348,24.9129590343244,24.79152214758,25.0488535777644,24.9975817253608,25.039577443558,25.0207673627454,24.964669255697,24.9975817253608,25.0271684341285,25.0164142189189,24.9549312299255,25.0353736378319,25.0187466929606,24.8420827625417,24.5796809420779,24.4142673852404,25.1833741380216,24.5261788842826,25.0057914398421,25.1147721655316,25.1147721655316,24.0727905823755,24.7321614647891,24.5796809420779,24.388273510793,24.7168041132968,24.916374682482,24.513987152603,24.2779248227713,24.8787681691005,24.9845998735188,24.7033231089557,24.7951141946611,24.8231604316664,24.3479744178857,24.9943339742808,24.9097156868468,24.8348616672051,25.1600089869003,24.4226808044467,25.0380337394086,24.4797972908292,24.9666839317977,24.7261658824251,24.9786655835913,25.1111915861012
"ABHD16A",24.2165633503741,24.2982621620582,24.2451793510043,24.1625249320927,24.2890131943913,24.3229125689185,24.3541195997053,24.1540613315032,24.0493456296389,24.059012559499,23.9786015801377,23.9106009465503,24.0800620020443,24.2837948371684,24.4563668798597,24.4716790088847,24.5347760391356,24.4518089799251,24.3673026200719,24.340979126732,24.4078776991033,24.0981721921262,23.8849657831607,24.2650067080679,24.4009242169228,24.3541195997053,24.5663690091279,24.5505231449231,24.4895247874583,24.2798731809568,24.4412151046986,24.2677557632118,24.5315651018359,24.5241439893502,24.5355137384366,24.5355137384366,24.4792193361083,24.4068712714001,24.5374156516546,24.5016718280874,24.3946315946504,24.446384829415,24.4682890384973,24.2529421359722,24.2737622214483,24.1625249320927,24.5733210481046,24.1577097021734,24.5093135235827,24.5037863110391,24.5438295330304,23.9253430394126,24.2768481672391,24.3130845438446,24.0534411811859,24.2650067080679,24.4462795289851,24.2768481672391,23.9841006027577,24.4078776991033,24.4768831012663,24.2597533365753,24.2478548413503,24.3208876334454,24.0593100664358,24.3977168690101,24.346801428836,24.482589608365,24.5565872970649,24.1845607415119,24.5706144916758,24.086303620121,24.3300780513375,24.2420889126532,24.5256868325293,24.4330377416764
"ABI1",25.3495941220536,25.2069016010655,25.2786021634622,27.3459597050961,25.8552516192853,25.1521822348133,24.9612802968973,25.7312742138832,26.6596567800805,27.6088952619184,25.780207134664,26.0607851374656,26.5021787785538,25.6024179657606,24.5693770315372,24.6183265838733,24.0370494476021,25.049042981385,24.7422065963122,25.1085134082181,25.0943301171744,25.8503590294908,25.4384766112147,25.3203462708458,24.4603002087306,24.4857838893991,24.6010707356145,24.5577259634195,24.6111826417666,25.6995679724313,24.5577259634195,23.3539828660231,24.5203907700117,24.3438656792995,24.4779649103442,24.4340091987241,24.3845083162952,24.748340689554,24.3391409033179,24.3308865108027,24.3695201705731,24.577028295555,24.5142894500534,24.739062923207,24.84928922161,25.3740642428567,24.5696575018712,24.9810933787036,25.1329275014945,24.84928922161,24.1833785390581,25.0943301171744,25.0069953354138,24.84928922161,26.4103237893484,25.0705559156943,24.8367218643418,24.6064468655846,29.4593431283759,24.942698901155,24.4878819302895,25.0943301171744,25.562169471974,25.237834781911,26.3932758083829,25.3844579893863,25.5739271970064,24.832256619827,24.9174111878281,23.8606965178016,25.606094173975,25.1286183858668,24.9095029349916,24.9214128265224,25.3844579893863,24.8538673371159
