"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.132.90min","lfq_SW.exo.24.9.21.133.90min","lfq_6.6.21.19.038.17.S.90min","lfq_6.6.21.23.041.17.S.90min","lfq_6.6.21.23.041.17.S.90min_20210617162605","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_SW.exo.25.9.21.138.90min","lfq_0.6.21.3.CPH005.17.S.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_6.6.21.27.067.17.S.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.17.9.21.119.90min","lfq_8.6.21.31.071.17.S.90min","lfq_SW.exo.27.9.21.144.90min","lfq_SW.exo.27.9.21.145.90min","lfq_SW.exo.27.9.21.146.90min","lfq_8.6.21.35.086.17.S.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_6.6.21.25.067.20.S.T.0.90min","lfq_0.6.21.5.CPH008.20.S.T.0.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.043.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min"
"A2M",27.1081724815639,26.9701967742674,27.2879274813803,27.4728210501099,27.2879274813803,27.4728210501099,28.0618439205684,27.4728210501099,29.4678381899847,29.4678381899847,29.4678381899847,27.1081724815639,27.6954137821842,27.2879274813803,28.4727903408423,27.6954137821842,27.1081724815639,29.4678381899847,27.1081724815639,27.1081724815639,28.4727903408423,27.4728210501099,27.4728210501099,27.6954137821842,28.4727903408423,27.6954137821842,27.4728210501099,27.2879274813803,26.9701967742674,27.2879274813803,27.4728210501099,27.4728210501099,27.4728210501099,27.4728210501099,27.6954137821842,27.2879274813803,27.6954137821842,28.0618439205684,28.0618439205684,28.0618439205684,26.938323157679,27.8694764067642,27.213457493579,26.8451733006043,27.8694764067642,27.6714587907266,28.0731546562588,27.8694764067642,27.3737439295111,27.213457493579,27.8694764067642,26.8451733006043,28.7220206389515,28.3183622009595,28.0731546562588,27.8694764067642,27.5194651290324,28.7220206389515,27.213457493579,27.5194651290324,27.213457493579,26.5584094174682,26.8451733006043,27.6714587907266,28.7220206389515,28.3183622009595,26.3309251221061,26.4514410576336,27.6714587907266,27.8694764067642,27.3737439295111,27.5194651290324,28.7220206389515,28.7220206389515,28.7220206389515,28.0731546562588
"ACTN1",19.0604047162744,16.1828147552863,23.1812062370666,19.3362552458573,19.6372297944818,21.2195311346799,20.7504072302574,21.984848032409,19.1572337596401,19.6747378401353,20.5541867773978,20.513272220424,19.6372297944818,22.0976919009475,21.1747754711294,17.1491109829898,17.4044635080354,20.9361070967049,16.2153765277699,12.7004104590378,22.1558827202033,21.6004474471886,18.2600353901521,20.076876967536,21.4611874152154,18.7439957704579,21.1277643606017,18.3226657656628,15.9523081810166,17.7394396889922,16.9716293752533,18.2008755302963,16.1508767736678,19.4915965039036,16.5452649205429,16.5374209811004,17.0514235526509,21.2677223397912,21.1277643606017,19.3896437721868,20.766819536185,21.4464060683922,20.6717646201152,20.5122050260698,16.4022205575623,18.9609554423086,16.4342975908976,20.4170683567052,20.9319200402255,19.8305785920677,14.9188363386421,22.1689836292336,15.4434323595235,15.4902646237635,19.2742105517506,19.2324040150512,18.7132209503788,16.9634246997946,22.3552389080819,19.5841901457291,15.3349573730108,22.1689836292336,21.1148020715074,19.435465445816,18.7613128637856,15.0050025663976,19.9967477497453,14.2515857122739,15.8186267098356,22.0089181854411,22.1982444275589,22.0476066305672,21.0219318889251,16.6512843837484,16.8053502345557,23.8102778355857
"ACTR2",15.9960427266871,15.9737277113935,14.372385035651,15.2953336911323,15.3841428541128,15.6162214527405,15.5901345707004,15.3841428541128,17.6483261350343,17.6786078922881,17.687249249418,15.3211682887512,15.3615026180899,15.6116705798046,17.7429901252361,15.5756048929762,15.7668346591773,17.687249249418,15.7195408252852,15.9374193123739,18.0731621547073,14.7418355191047,16.0231572378088,15.5629646681122,17.8000022520057,15.8552243221078,15.6065228092443,15.4657946976495,15.4183591479117,15.4844660445201,15.4228461899203,15.4438794271856,15.3458527660695,15.299951388587,15.4844660445201,15.5588628338056,15.6588899959345,17.6786078922881,17.6680968141315,15.4520075654689,16.3176247103704,15.8802474188934,15.5525504237132,15.2190743734183,15.5819247622502,15.9211402888975,15.6232665306375,15.961323421189,16.8036692676524,15.5525504237132,15.576491114773,15.9334807119819,15.710497269289,15.7438565274572,15.681339911003,15.8680073199592,15.4964058862305,15.5926123627918,17.3303096868928,15.7859173597385,15.5442786469855,16.9874516069926,16.2734530692685,16.2137779032542,15.1971272053435,15.6019310596674,15.5819247622502,15.4650799618459,15.4593167531636,18.1811031448199,17.8036065700421,17.9116663897358,13.6517950110945,15.7044737027985,15.6690991188566,18.8135679684396
"ACTR3",16.80369017748,16.8361361198539,18.7032941259512,17.1403901765831,16.7826072724719,16.8940575521259,18.4939407652273,17.8108789119731,18.1567942559232,17.8382948751398,17.869252947557,18.4939407652273,15.5745800269258,16.7172772632394,17.869252947557,16.5182975318824,16.5506391274884,18.3845864267017,16.5002776867833,16.6683726257004,17.6591775933667,17.4837661074567,16.80369017748,16.0649273123074,17.3599823128065,16.3840114076169,17.9960191142517,16.6210957987712,16.6450205248426,17.5095004918535,17.0369173207587,16.9844341588134,16.8284262140161,17.1824846013331,16.6298259597257,16.5506391274884,16.5182975318824,17.9311453361029,17.9232278151715,17.4332170233751,17.9467703148617,17.9658849793945,16.7027439427766,16.3069674207348,16.9214849804831,16.9701603617506,16.8476672136494,16.8040430526555,17.730517418426,16.8992294967955,16.8891114819862,17.9153459468323,16.8680664007688,16.7413563274613,17.0286561734808,16.8992294967955,16.8620784499276,16.7825563651254,18.0869886713851,17.1314412406094,16.9340534713435,18.7044305461647,17.5131038781511,16.3953839806546,17.5590696715641,16.8680664007688,16.1527105116036,16.6647542474557,16.8176080009195,18.97498376698,15.3170032204044,18.0869886713851,17.4155328513532,16.8620784499276,17.0120846264582,18.8595538294115
"ADAM10",13.6123299064683,14.5077623499592,17.2531821881163,16.0432290020729,15.6373108306693,16.9003023761172,15.7120403841915,17.2765312152455,17.047180964109,17.047180964109,17.072128225237,17.5281491630553,15.9196789260279,15.5600649217142,17.072128225237,14.9727922556844,14.9178727105995,17.0109345084548,14.9485647238701,14.7771460573644,16.6447440571544,15.5353179113484,14.8873738014824,17.4877212119019,17.095869513977,15.2053842289724,15.201390128401,15.8987160340481,15.650998177667,15.7778377536109,15.3083970667064,15.8415093810424,15.6550642435684,15.7904920118961,15.8188937831313,15.2096110335188,15.2973560655579,17.0804462074451,17.0627331961681,15.5457072930249,15.8685012710326,17.2095083457924,16.1515490624546,16.2586651077126,15.4124884710323,15.3527764495878,15.3369598681019,15.5700077366247,15.8282205082359,14.5830139890956,15.3977832686843,15.7321915411787,15.3269649509904,15.2418036630622,15.3888650107307,15.3222607952784,15.4735331396262,15.4632172928905,15.8803301911318,15.8648536585308,15.6901547643759,17.8338146958866,15.7708679159021,16.6192570005621,16.4037742144237,15.5363331451152,15.7177644902182,15.4832379527594,15.372679115499,18.1899705629507,15.3369598681019,17.1846470432518,14.272063465369,15.3778811247536,15.2935147342992,19.3022464391247
"ADIPOQ",18.4061462023956,17.878409018006,17.8665559879252,18.5209356409849,18.050563419657,18.3666288628,17.8220126770953,17.756661279609,19.3182526429986,19.2843023204553,20.3695701285705,18.2366714299422,18.7904571352909,17.7147446211217,19.0417116244923,18.540359277977,16.4752224718551,17.9259883221108,18.7315873522443,19.3182526429986,19.1982587693652,17.8062571938547,19.5218963009252,18.1243242853049,21.1539423903652,18.2757594661783,18.056534819645,18.3049105306066,18.7047207192544,16.5054714388884,18.4834531968937,18.2366714299422,18.2936748858028,18.3339727763263,19.0551148636313,18.0987344982525,17.8546160334776,18.3966685675949,18.7904571352909,18.3339727763263,18.3660579488314,18.5068614792927,18.346173448855,17.7897758373481,17.9270674819912,18.9398726292596,18.7641528506422,18.5156445785778,18.6509660534969,16.0699093878428,19.3078858987734,15.9698155145751,18.8899726944901,18.7212841416287,18.6990792482848,18.231975393528,18.4838573208489,18.9673494142012,18.0776511090615,17.9846825662099,17.8547239019013,18.0560358596017,18.3573933777728,18.231975393528,20.036850839534,19.9768631798827,18.429132387678,19.1409906179789,19.033870674614,18.8157396271578,18.9942951574012,19.4437385600825,18.5941710864754,18.3842431144862,18.5700324832745,16.3779249526933
"ALDOA",15.8401772144923,15.6296993978254,16.4757255294208,17.0058145742774,19.5103281043196,18.3757797057658,18.4852949590217,18.1117603075344,19.1858873690456,19.2718203373757,19.5964332549482,17.3697476779578,16.6213442678849,18.5152834570004,18.9180513100011,15.6521791130067,15.7290699833574,19.3763657773262,15.9279235741083,15.3169122793428,19.7765920701357,19.990300657756,15.3255542078214,17.1472720983293,18.477320483881,16.2840103644303,18.9180513100011,17.7838351410972,17.2941854425414,17.0253692872982,16.8291072801577,17.5404582561045,17.0926826803703,17.0368683982635,16.1961929691792,15.7111254243366,15.6937143091205,19.2087074861513,19.1282450213454,18.145167703617,18.8363272610625,18.8110029099174,19.2074490942469,17.9149812008513,16.3939453788738,16.5451744770454,14.6412286589058,17.7335567395453,17.7731876156731,18.7243478177942,16.4045538791894,18.2137113287341,16.7265665165506,16.4696026651996,17.1581441371412,16.3499625929428,16.1747216444617,16.483566803504,19.2460558696108,17.0294595670423,17.3488926218663,19.0900794607057,19.2616459073676,17.0993641538534,18.5962036356498,16.1795939509447,15.0669627519312,16.4973914253034,16.2846696687563,19.8078885414497,16.9527798197715,18.7516344320205,18.5488103340487,16.1430952015749,16.0117817752161,21.9517715225611
"AMBP",20.9457867883012,20.0010538122714,21.6661753288783,21.1432211061927,23.1585854521605,19.3864357933993,19.6546717977976,20.2354451696226,21.531126931471,22.7286960610244,22.5246554431489,19.7972969277402,20.9457867883012,21.283625332657,21.531126931471,20.0800291918965,20.0510877458405,20.9457867883012,19.6958060772565,19.8911909650551,21.9861361841731,19.8452757533826,20.6776902357977,20.6776902357977,20.7401782065642,21.0183088714868,23.7534618919567,19.5486961707299,20.8767025443599,21.2200592674622,19.500756580145,21.4830507214314,22.2434489139679,21.4830507214314,20.5505522631321,20.7401782065642,20.6776902357977,21.7334381756409,21.4061992972666,21.6661753288783,20.0144953091104,17.6814655405834,17.7097936912571,18.7872390449619,20.8806517229151,21.5178097926495,21.7004632310464,21.8791116834647,19.8713978197952,21.1743827545639,22.2962938051317,17.4382413813342,20.8806517229151,20.5588507191509,21.3712221068845,21.271748678387,21.6105226034358,21.7880719151997,20.7347950620532,20.7666609152507,20.2527408379615,19.8642363115847,20.3899501817058,20.4565401359593,21.9406580705103,22.2962938051317,20.2964884509393,19.7591269298387,22.209463696681,20.4999322804311,20.4448412356686,22.3229669264791,21.8523255833661,22.2415296559933,22.209463696681,19.8568193755447
"ANPEP",17.4351495991908,17.6589234456818,17.7137204145966,17.6663647605661,16.8353769002265,17.2479966090091,15.0769622695348,17.3845184588937,19.2197820497353,19.2782291219885,19.1785131018496,17.5801835977948,17.5246779307398,16.789195279301,21.9310224588851,14.4648041124498,17.1084778908626,19.389929638867,18.8959311108094,17.801281923285,19.1430616814422,17.682099964573,17.5395126967044,17.2423419545688,18.7769641895285,20.3882033962647,16.7254102688009,17.3758545288151,17.3169075773167,17.601698157114,16.8514654976778,17.3758545288151,17.2826432481143,17.3414017887225,17.5625176955242,17.6434182337454,17.7782447160104,19.3231444208346,19.2197820497353,17.7945562897922,17.4466542244309,17.5298666243589,21.3255537532364,16.9200685024106,19.0047606093573,18.4338777599427,18.9020855245586,17.0975410678341,18.7357286152951,17.5410439239671,18.4593811032027,17.6595354554875,18.3449444373926,18.0641506553929,17.1801836241635,15.4576329356499,18.2022400628685,18.1893735352777,16.8827238595238,17.6444305912229,17.8267479853523,17.4121215577621,15.4442049151189,19.8955949798402,17.0773246003256,18.4593811032027,14.3507156539794,21.6058106014738,16.7917422601596,17.0576444241333,16.939253550662,15.2156361705404,17.5951537502503,18.5601873687012,18.599984474594,18.4176167045512
"ANXA11",15.2769416666358,15.2006507778236,15.8433211125268,15.5545455343014,15.5801532869913,14.7071378767512,15.7944981140607,15.7322062360617,17.7942634410945,17.8814447011512,17.6937111520112,15.3970914997351,15.5314178677471,15.6966516338464,17.7224613595228,15.378766189718,15.3970914997351,17.8538687707703,15.5763837675995,15.2849523379688,17.7479076495494,15.7944981140607,15.3130974745824,15.6925470468929,17.835124962067,15.5314178677471,15.5986744791283,15.5396582967764,15.5838804289934,15.603632506006,15.5358467249875,15.4955653565781,15.6750207920422,15.5463390994866,15.5838804289934,15.4446493291845,15.4408635634269,17.800213848224,18.4970573200587,15.5946084228828,15.839591251915,16.3858614022488,15.9458676925194,15.1408928680734,15.6446607013736,15.252975710054,15.5322824359061,14.9805517299038,15.617120473853,15.718744659116,15.3276291100769,16.2927976373397,15.3401064707561,15.4560955559118,15.2482465010277,15.2672991367376,15.4474716213448,15.5789206000481,16.1371875758067,15.8796711652593,16.0925123727065,17.2445369023115,17.1387270818792,14.711657967182,15.775585652187,15.5999061691795,15.8436752330986,15.628760865185,15.6123810599652,19.2999322989255,18.5910416339004,17.004489153848,15.795897182487,15.67753789482,15.5625479111681,18.3681393030115
