"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.132.90min","lfq_SW.exo.24.9.21.133.90min","lfq_6.6.21.19.038.17.S.90min","lfq_6.6.21.23.041.17.S.90min","lfq_6.6.21.23.041.17.S.90min_20210617162605","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_SW.exo.25.9.21.138.90min","lfq_0.6.21.3.CPH005.17.S.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_6.6.21.27.067.17.S.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.17.9.21.119.90min","lfq_8.6.21.31.071.17.S.90min","lfq_SW.exo.27.9.21.144.90min","lfq_SW.exo.27.9.21.145.90min","lfq_SW.exo.27.9.21.146.90min","lfq_8.6.21.35.086.17.S.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_6.6.21.25.067.20.S.T.0.90min","lfq_0.6.21.5.CPH008.20.S.T.0.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.043.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min"
"A2M",27.2507029016109,27.1203902857958,27.4204744120519,27.5950990982421,27.4204744120519,27.5950990982421,28.1514079770172,27.5950990982421,28.4012406831174,28.4012406831174,28.4012406831174,27.2507029016109,27.8053291579126,27.4204744120519,27.3908577638505,27.8053291579126,27.2507029016109,28.4012406831174,27.2507029016109,27.2507029016109,27.3908577638505,27.5950990982421,27.5950990982421,27.8053291579126,27.3908577638505,27.8053291579126,27.5950990982421,27.4204744120519,27.1203902857958,27.4204744120519,27.5950990982421,27.5950990982421,27.5950990982421,27.5950990982421,27.8053291579126,27.4204744120519,27.8053291579126,26.973578088168,26.973578088168,28.1514079770172,27.0902869115533,27.9697244443662,27.3501404445713,27.0023105440026,27.9697244443662,27.7827046129124,28.1620905209482,27.9697244443662,27.5015246639767,27.3501404445713,27.9697244443662,27.0023105440026,28.774918859899,28.3936793795497,28.1620905209482,27.9697244443662,27.63915259183,28.774918859899,27.3501404445713,27.63915259183,27.3501404445713,26.7314733621178,27.0023105440026,27.7827046129124,28.774918859899,28.3936793795497,26.5166234137732,26.6304459635082,27.7827046129124,27.9697244443662,27.5015246639767,27.63915259183,28.774918859899,28.774918859899,28.774918859899,28.1620905209482
"ACTN1",19.2186736887367,16.5106342616085,23.09667338326,19.47827082392,19.761511645332,21.2505821775989,20.8090995318406,21.9708058235648,14.7754017962414,16.1267623065295,18.4232708934653,20.5859367585173,19.761511645332,22.0770008163382,20.0438166735832,17.4199953305524,17.6603022245209,19.420580976691,16.5412774612645,13.2334167763892,22.6057860236359,21.6090545126759,18.4654629391903,20.1752543587822,20.7917253481242,18.9209078805487,21.1642223953946,18.5244030691317,16.2937093696686,17.9755412674277,17.252971120065,18.4097888385836,16.4805780984239,19.6244592166904,16.8517284936536,16.8443467271191,17.3280637431897,20.286529209771,19.9210563694497,19.528513643855,20.8245448079726,21.464089408945,20.7350906244547,20.5849324443424,16.7171124503564,19.1250840673696,16.747299472189,20.4954013245171,20.9799174220148,19.9434681346682,15.3211307417476,22.1440919633204,15.8148170303158,15.8588898898069,19.4198818664372,19.3805386134969,18.89194634424,17.2452498724479,22.3193728912739,19.7115971467514,15.7127335005858,22.1440919633204,21.1520238575872,19.5716354577642,18.9372046330849,15.4022199675276,20.0998464361859,14.6931952024672,16.1679045470418,21.9934577386436,22.1716286855804,22.0298666211447,21.0646256808327,16.9515011820129,17.0964893158389,23.6886794419312
"ACTR2",16.1659648424302,16.1449750397588,14.6387306419462,15.5068685257648,15.5904036155617,15.8086998580403,15.7841621869194,15.5904036155617,15.6598776010493,15.7831199679768,15.8182890401421,15.5311688947755,15.5691079059105,15.804419245921,16.0451463328965,15.7704953771817,15.9503686600203,15.8182890401421,15.9058834455624,16.1108228726773,17.3888986806961,14.9862407217068,16.1914691152478,15.7586058121455,16.2771774329335,16.033509162444,15.7995771838908,15.6672064346967,15.6225879204137,15.684768953981,15.6268084923065,15.6465926373735,15.5543874452063,15.5112119939226,15.684768953981,15.7547475717835,15.8488344620338,15.7831199679768,15.7403414019864,15.6542380732564,16.4684491693004,16.0570462228872,15.7488100341893,15.4351379887425,15.7764399309822,16.0955106048631,15.8153265527979,16.1333073980277,16.9256291986493,15.7488100341893,15.7713289692897,16.1071181723246,15.8973769555014,15.9287551211446,15.8699511532427,16.0455330216671,15.6959997292294,15.7864928313924,17.4209942402227,15.968318104103,15.7410294900592,17.0984973318986,16.4269007312554,16.3707694697465,15.4144941880986,15.7952581226548,15.7764399309822,15.6665341446139,15.6611131932318,18.2212619774852,17.8661836363121,17.9678261520008,13.9609340003843,15.891711108073,15.8584372999778,18.8161668731217
"ACTR3",16.8915787859209,16.9221140851401,18.6793208183816,17.2084515431136,16.8717373892552,16.9766246999114,18.4822956422104,17.8394572301215,17.8800424529302,17.0774313984975,17.1554450231546,18.4822956422104,15.7348472048783,16.8102544661544,17.1554450231546,16.6229920477745,16.6534291448906,18.4540734414062,16.6060333367084,16.7642296744175,16.6260600016759,17.5316071066994,16.8915787859209,16.1963194255931,15.8720948321955,16.4966136261467,18.0136950873223,16.7197368364601,16.7422527079644,17.5558260712381,17.1110718899891,17.0616793022965,16.914858192277,17.2480671548406,16.7279529047101,16.6534291448906,16.6229920477745,17.3114124071727,17.2914604380116,17.4840347048902,17.9673464003823,17.9853354602857,16.7965769688616,16.4241065260176,17.0024370101858,17.0482460458577,16.9329661477899,16.8919108813475,17.7638279812346,16.9814920844432,16.9719698888433,17.9377725180923,16.95216408864,16.8329155873036,17.1032972166226,16.9814920844432,16.9465287500654,16.871689479688,18.0993077230997,17.2000295828419,17.0142653807332,18.6803903182549,17.5592172650439,16.5073165028454,17.6024762722732,16.95216408864,16.2789333384838,16.760824371495,16.9046770309436,18.9350114803442,15.4924383153959,18.0993077230997,17.4673919001317,16.9465287500654,17.0877015177512,18.8263788617599
"ADAM10",13.8526682287557,14.6949785199983,17.277524417538,16.1393525454614,15.7575157517859,16.945579445721,15.8278119225906,17.2994882473996,16.0790598551635,16.0790598551635,16.1848794358988,17.5361787855214,16.0231321635745,15.6848525100838,16.1848794358988,15.1324202032601,15.0807587983696,15.9253121262731,15.1096299866147,14.9483808516761,14.3720305926003,15.6615736333129,15.0520692582398,17.4981492506772,16.2855836056948,15.3512134960262,15.3474563482481,16.0034129097355,15.770391087407,15.8897058173244,15.4481150255432,15.9496000811916,15.7742159311219,15.9016093529391,15.9283261693498,15.3551895424543,15.437729039464,16.2201620821704,16.1450282461446,15.6713466576984,15.9749906585424,17.2364415562737,16.2412464429529,16.3420077543548,15.5460311349393,15.489861570681,15.474983318888,15.6942054605871,15.9370995800032,14.7657658033252,15.5321983289442,15.8467675981796,15.465581357183,15.3854723218684,15.523809152844,15.4611562787791,15.6034542861283,15.5937504341721,15.9861178197328,15.9715594431882,15.8072246823863,17.8237104981073,15.8831494700834,16.681207282464,16.478508162425,15.6625286376307,15.8331964420477,15.6125833544752,15.5085834970999,18.1587371707449,15.474983318888,17.2130551677908,14.4732626356031,15.5134768935389,15.4341155978529,19.2050265072691
"ADIPOQ",18.4869328927973,17.9881364288975,17.976933410301,18.5954273626868,18.1508500093089,18.4495826551485,17.9348328219977,17.8730652472629,18.5132801163115,18.4811758195748,19.5074329252639,18.3267519926817,18.8501684957384,17.8334472676124,18.2517758284901,18.6137858216591,16.6618996047455,17.1967192254195,18.7945270884569,19.3490200845482,18.3998108283305,17.919941357913,19.541496073495,18.2205658831334,20.2491554762813,18.3636964696526,18.1564939420972,18.3912489110682,18.7691338019335,16.6904897405918,18.5600004283642,18.3267519926817,18.3806294207924,18.4187174045281,19.1003125881859,18.1963794212519,17.9656482342062,17.6418065511685,18.0141831320597,18.4187174045281,18.4490430496836,18.5821250177089,18.4302490011155,17.9043638269205,18.0341264983725,18.9913901535028,18.8253067187852,18.590426458265,18.7183270026571,16.2788135932652,19.33922184498,16.1842087946632,18.9442266945916,18.7847888983618,18.763801705098,18.3223134834634,18.5603823904578,19.0173601316919,18.1764522296751,18.0885820135903,17.9657501872046,18.1560223446571,18.4408536373529,18.3223134834634,20.028210882542,19.9715129021898,18.508658532522,19.1814789790909,19.0802334149274,18.8740645142771,19.0428281900794,19.4676244458896,18.6646466300103,18.4662309541792,18.6418317701213,16.5699378102393
"ALDOA",16.1006979518178,15.902672638694,16.6986453082755,17.1973726836991,19.5537116265062,18.4862865389817,18.5893225389803,18.2378873260221,17.448665064738,17.7273637310348,18.7801516068434,17.5397744054277,16.8356488022193,18.6175368268155,16.5800164669708,15.923822386008,15.9961641601611,18.0664265522991,16.1832529716939,15.6083909511535,19.3644444863991,20.0052875535572,15.6165215970337,17.3304611532475,15.1506338234697,16.5182725916681,18.9964757167644,17.92936320318,17.4686826601519,17.2157704808177,17.0311199269791,17.7003852300093,17.2791014101841,17.2265892696364,16.4356507388396,15.9792812554672,15.9629002344309,17.5226754978195,17.2617188235171,18.2693182396199,18.919586709471,18.8957606234512,19.268751853747,18.0527502658121,16.6217035185144,16.763985446335,14.9726828151205,17.8820594237682,17.919345617529,18.814232308386,16.6316843879002,18.3338066167866,16.9346457847498,16.6928846912004,17.340689969396,16.5803228870827,16.415449722563,16.7060226688934,19.3050745356391,17.2196187672543,17.5201531974632,19.1583261623308,19.3197422196605,17.2853875875094,18.6936695232147,16.4200337686738,15.3732291929472,16.7190293842993,16.5188928895582,19.8336674891669,17.1474756255018,18.8399045640746,18.649080152524,16.3856943955892,16.2621498682663,21.8507118758781
"AMBP",21.0147822695662,20.1251914983309,21.6931231485882,21.2006927348275,23.0984242296929,19.546447523794,19.7990271204421,20.3459018933816,20.6008113633373,22.8706156558511,22.4838886946496,19.9333275022032,21.0147822695662,21.3329018428762,20.6008113633373,20.1995572404526,20.1723050496528,19.4913910077518,19.8377604729518,20.0217411293219,21.4632099751835,19.9785058982042,20.7623339852802,20.7623339852802,19.1016922171873,21.0830713814629,23.6585789022776,19.6992370821908,20.9497303370019,21.2730460038235,19.6540956311743,21.520687164131,22.2367024104572,21.520687164131,20.6426168059009,20.821174656155,20.7623339852802,20.9842605681543,20.3640306436502,21.6931231485882,20.1378484414492,17.9409930296472,17.9676677219093,18.982224710482,20.953449009776,21.5534174167599,21.7254097333774,21.8936308271669,20.0031032710024,21.2300355391022,22.2864628493103,17.7119653859644,20.953449009776,20.6504308973714,21.4153857657623,21.3217184055454,21.640718763218,21.8079048710302,20.8161057151963,20.8461116212473,20.3621880475934,19.996359765934,20.4913887519396,20.554091981597,21.9515848727097,22.2864628493103,20.4033821984869,19.8973854119696,22.2047008434283,20.5949514119817,20.5430759230956,22.3115791130512,21.8684081790222,22.2348951757939,22.2047008434283,19.9893757418558
"ANPEP",17.6178570912013,17.8287261632478,17.880363055437,17.8357383462579,17.0526725781194,17.4414969937671,15.3956636503043,17.5701457891946,17.4513021904569,17.5381990247801,17.3899451234754,17.7545271497465,17.702222429205,17.0091541969373,21.4822690047289,14.8188079338993,17.3100241559444,17.7042710098223,18.9943970517377,17.9628749949406,17.3372373301352,17.850566119563,17.7162016916704,17.4361684365954,16.7929378147872,20.4006117502345,16.9490475929461,17.56198149777,17.5064339476101,17.7748009897429,17.0678333650847,17.56198149777,17.4741456019588,17.529515606663,17.737880019275,17.814115118641,17.9411663163049,17.6049773445819,17.4513021904569,17.9565372208182,17.6286982582396,17.7071118969679,21.283906214966,17.13248011525,19.0969504811485,18.5589897739834,19.0001965476871,17.2997180466322,18.8434332456524,17.7176446148584,18.5830223694437,17.8293028791681,18.4751851315096,18.2105843965479,17.3775947039717,15.7543814869854,18.3407103503645,18.3285858202816,17.0972890939804,17.8150690946539,17.9868724591707,17.5961570498279,15.7417278445996,19.9364114816033,17.280667439019,18.5830223694437,14.7112988225973,21.5480009805037,17.0115542964065,17.2621221954329,17.1505587843411,15.5263403905967,17.7686339911232,18.6780152562152,18.7155173098347,18.5436664745242
"ANXA11",15.502452547217,15.4306764352125,16.0353145334683,15.7636282473391,15.78772057283,14.9663688643536,15.9893808045413,15.930775263541,15.8200218517868,16.0785361930866,15.521859049808,15.6154920990184,15.741869240322,15.8973247276957,15.6071106388794,15.598251252506,15.6154920990184,15.9967666307574,15.7841741277659,15.5099891594099,15.6825652824632,15.9893808045413,15.5364687103683,15.8934630438499,15.941186528368,15.741869240322,15.8051457094614,15.749622013506,15.7912271483329,15.8098103279766,15.7460360046406,15.7081384253142,15.876973965655,15.7559074566445,15.7912271483329,15.6602355296744,15.6566737996793,15.8376663040297,17.9039822874553,15.8013202761359,16.0318054002388,16.5457481279428,16.1317925654565,15.3744549061392,15.8484105381969,15.4799048588798,15.7426826446744,15.2236025085412,15.8225000987471,15.9181103218992,15.550140386149,16.4581917327076,15.5618793559209,15.6710043864069,15.4754555171294,15.493380647325,15.6628908029497,15.7865608343936,16.3117904339481,16.0695134462994,16.2697590402723,17.3536085399478,17.2540603810422,14.9706214628236,15.9715875529111,15.8063045100004,16.0356476977323,15.8334516297232,15.8180411560431,19.2873688158852,18.6204292040389,17.1277664459782,15.9906970782619,15.8793421101834,15.7711570559194,18.410717888349
