"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.132.90min","lfq_SW.exo.24.9.21.133.90min","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_SW.exo.25.9.21.138.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.17.9.21.119.90min","lfq_SW.exo.27.9.21.144.90min","lfq_SW.exo.27.9.21.145.90min","lfq_SW.exo.27.9.21.146.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.043.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min"
"A2M",25.926917351373,25.6198861771873,27.0415769589955,26.6480452696648,26.2711945199744,26.6480452696648,27.869754320989,26.6480452696648,25.926917351373,27.0415769589955,26.2711945199744,27.0415769589955,25.926917351373,25.926917351373,25.926917351373,26.6480452696648,26.6480452696648,27.0415769589955,27.0415769589955,26.6480452696648,26.2711945199744,26.2711945199744,26.2711945199744,26.6480452696648,26.6480452696648,26.6480452696648,26.6480452696648,27.0415769589955,26.2711945199744,27.0415769589955,27.869754320989,25.9416422275895,26.7690648197294,26.1794567297967,25.7857885627677,26.5529559973299,26.3555268200054,26.7690648197294,26.5529559973299,26.3555268200054,26.3555268200054,26.5529559973299,26.5529559973299,27.4696660646877,26.9947394933981,26.7690648197294,26.5529559973299,26.1794567297967,27.4696660646877,26.3555268200054,26.5529559973299,26.1794567297967,25.6578362559536,25.6578362559536,26.3555268200054,27.4696660646877,26.9947394933981,25.5094293348033,25.5094293348033,26.3555268200054,26.9947394933981,26.3555268200054,26.3555268200054,27.4696660646877,27.4696660646877,27.4696660646877,27.4696660646877
"ACTN1",18.5521402780977,15.7777382183744,23.1140047183335,19.0115038571333,19.2537854496679,20.9035299115668,20.3884461313538,21.7491505828302,20.2114822723176,19.2141383862992,21.8935229359493,16.6960062701129,16.8277867477954,16.1253201381119,12.6879817393274,21.2259938254324,17.7128030740692,19.7531548861861,18.277421506122,20.9035299115668,17.8311796526127,15.3193779664724,16.6456903441179,16.8717238662942,17.7440015574066,15.4984255487226,19.0804613589454,16.6088309884973,16.2957468322562,16.4756164715933,18.9866672276273,19.8241531712437,20.4312930307311,19.6365942091944,19.5688079565618,15.8880161145485,17.971507660287,15.7727400591416,19.4266568316353,19.9879477672744,18.8976953462215,14.450438320847,21.4239316926087,15.0027227134372,15.0611318002182,18.2459868769639,18.2080018089465,17.7480141436135,16.3167099135587,21.4239316926087,18.5515348210863,14.8829223181905,21.2391057533111,20.1297663367085,18.4183946685734,17.813954119894,14.556414951538,18.9726534436713,13.9002479318723,15.3524102378369,21.1079005842682,21.3263169752933,21.0653657734806,20.0601576588191,16.012814999964,15.9188286920232,23.07215960095
"ACTR2",16.3702455956582,16.3632412147919,13.7963489734432,15.4159186655716,15.1524607419926,15.8132655198203,15.4923755918537,15.3942533233784,15.4747482853844,15.4747482853844,15.8633181007537,15.7229914814859,16.0413968233599,16.0780431380829,16.1036049988102,14.3496743784222,16.1505234145207,15.7632436449112,15.6877514587117,15.4341077884921,15.5688557490541,15.6954569914017,15.680715728358,15.5621045589698,15.6583231137158,15.4494226170144,15.4565353501168,15.5977081508935,15.828893991451,15.9255687202088,15.4813374299054,15.8191252328072,15.4287952423356,15.3714647456093,15.3645958254729,15.5109083149474,15.4978673148626,15.5245093368133,15.624194921567,16.0003621256666,15.4681506313687,15.5313959460391,15.8548681129868,15.5502715783419,15.49106903382,15.41618290156,15.5179537417909,15.5280994886048,15.217887864086,16.3107407965347,15.620303767257,15.4192995412494,16.1434995512204,15.8864107341431,15.7745742000796,14.9825510812434,15.4584909477765,15.5017080288005,15.5049654848419,15.5211152376064,16.9461778098994,16.6298635738898,16.734409519504,13.973590259519,15.223776705006,15.2802344816359,17.6160428629
"ACTR3",16.4861366204731,16.418756024352,18.4937100136279,16.6392499730987,16.5041138155222,16.5228224567515,17.9374841741959,17.1744284198695,17.9513133657226,15.5675990793279,16.418756024352,16.2638875678829,16.1343218980533,16.3860275323609,16.355405817392,17.0025198249023,16.3993449845884,15.961507921914,16.1258568033485,17.3960101488737,16.1343218980533,16.3196544426683,16.438530951191,16.3006954287401,16.3952293591071,16.2023527643555,16.3704457127527,16.2393232982763,16.2638875678829,16.2680190771628,16.8153881703128,17.1116046358612,16.9778164548576,16.3377474187726,16.0796587002914,16.3289269813018,16.4374411628527,16.3535252928248,16.2444682472332,16.8712747280103,16.2286927584796,16.4631101924333,17.0931533742218,16.3115900357379,16.4327594718968,16.5126882297212,16.4402835746342,16.4215528091915,16.2405236644014,17.1991371837516,16.2405236644014,16.1643743309454,17.7791664483873,16.7078500227346,16.0264696279166,16.8789195031707,16.3495923054189,15.8972507925467,16.3076347340973,16.2444682472332,18.016788483164,15.160022344004,17.2051727642525,16.6817795571401,16.2941722381462,16.3984261319371,18.1499162811637
"ADAM10",13.4757560166622,14.6822032827242,16.0875088615194,16.0334433355019,15.6657729074319,16.5934731169674,15.6383083329084,16.8649158784696,17.1475005630142,15.7932272754025,15.5908187813815,14.8585430866516,14.945613151982,14.747491539371,14.6973928096378,15.6328730549543,14.8879742225968,17.1401394742046,15.2641810018694,15.1977664501631,15.5532929946189,15.8116485812758,16.1991578000178,15.3248847591263,15.9343655067859,15.623252305356,16.0769782327656,15.4213617317499,14.8390213309799,14.9869289624106,15.623252305356,15.5564319903983,16.2762631090684,15.8656081186822,15.9322708088618,15.1323183732582,15.092179777438,15.1947028357939,15.1993220212712,15.3346762607418,14.4203587405025,15.2139291615383,15.4059217940353,15.0636516194355,15.0556493668693,15.0802383684584,15.0720317562648,15.1620148520651,15.1910774334177,15.5329593715373,15.3418792854968,15.5031058542911,16.8471043662035,15.4340584542454,16.0669927349659,16.0839643385803,15.0636516194355,15.3382084260198,15.1080926371822,15.272117937308,17.1099646312985,15.0720317562648,16.4013416810326,14.1717997948642,15.1197200816765,15.0953211104292,18.3141694178973
"ADIPOQ",17.880505217671,17.0376531291479,16.8727443437151,18.065035284072,17.7842007639872,17.6032782420945,17.6622134378693,16.983886619715,17.6253395150978,18.1645377534832,17.3152705454507,17.708839130694,15.8575645067061,18.2277028189356,18.8313214317705,17.3612349205344,18.9787242988005,17.8230579418551,17.6739484314331,17.2758005043282,17.9723683422272,18.065035284072,16.1528058405893,18.2951456007056,17.7720540583553,17.6513861228801,18.2468098656181,18.4921343966264,17.3797566490459,17.1351242015346,17.9723683422272,17.577562929693,17.5604040791058,17.7028839899706,17.1437978686044,17.1482878537166,18.0265167687068,18.0637103253545,17.6553511497024,17.6459303620288,15.9649606690882,18.3323723811294,15.906322474261,18.2075187791361,18.1824699243545,17.809598474189,17.4371162602422,17.9317513902884,18.080002408739,17.3231260047129,17.3231260047129,17.1115751493853,17.1952991504161,17.5686315762695,17.601826388908,19.1017688232082,18.9608609700208,17.4842176179319,18.1824699243545,18.102128955363,17.9837283562183,18.1169387669514,18.483420296826,17.7359686546078,17.5528129625979,17.6459303620288,16.3024625492149
"ALDOA",15.4177139573656,15.2417716168922,16.5173552210065,16.6960983531911,19.3203994219303,17.9626114237026,18.1568626200127,17.606300876538,17.0409814084398,16.3897557912923,18.2079633117155,15.6886543433225,15.7473224055534,15.5618435379313,15.1340031991116,19.8929313126748,15.2725478784595,16.8220840159483,16.0701258195606,18.6683086331557,17.342177605692,16.8220840159483,16.4674163802425,16.4962130327576,17.1950182702744,16.5394167411869,16.8516890084992,15.948722093382,15.606146617145,15.5962173609542,17.8257443020525,17.8816190506566,17.7107140362403,18.1545812196213,17.1255518345209,15.8680340957087,16.0666112379966,14.6214685791526,16.8180820845749,16.8751246821563,17.7466940183524,15.8554147807031,17.2666170586602,15.8087938547698,15.8830496274989,16.3460162865141,15.9643794295166,15.7390299973991,15.8637004337151,18.1904317240374,16.3788999129109,16.6579652047609,18.0326235633066,18.1904317240374,16.4057604576782,17.6536474705098,15.581263080744,15.0235805338458,16.0931941726287,16.1692980690875,18.7209729815666,16.3460162865141,17.7466940183524,17.5677755410788,15.6262691937304,15.5496468009972,20.8308836769283
"AMBP",20.0606162605356,19.0999803132659,21.0502347424706,20.4118684806395,22.5345969867639,18.5007653381467,18.8889757571045,19.4085220946255,18.8285312522645,20.0606162605356,20.501062747735,19.2167320889278,19.1752877932219,18.7690363475131,19.1752877932219,18.8889757571045,19.8914596902273,19.8099370040324,20.1605155454559,23.4618894687949,18.6446149101128,20.3183977989215,20.5743524617136,18.7054001300602,20.7263975927467,21.2668110032769,20.7263975927467,19.666977179028,19.8914596902273,19.8914596902273,21.0502347424706,18.892292890108,16.8497883666958,17.1364435120203,18.0274730390776,19.7601422433172,20.4977084321137,20.6683620534565,20.8509925909688,18.7528267467872,20.1422548700886,21.2993459831956,16.7676712308857,19.7791735735331,19.4828685910571,20.3290005686315,20.1955992197691,20.6373347046463,20.8802410604314,19.6373150331019,19.6546945635935,19.1809855225517,18.7696051214116,19.3102408174374,19.3342405208431,21.0417666274831,21.2993459831956,19.1938116369888,18.6613094449048,21.2617080270053,19.3714807238277,19.3584922682362,21.2617080270053,20.8081235138942,21.2617080270053,21.2617080270053,18.9694802191379
"ANPEP",16.836262881599,16.8987478437742,15.79665739569,16.7616538093227,16.4700903915755,16.699819553855,14.8075887844386,16.6873774291697,17.2521527609472,17.2712415162346,16.0538397639412,13.9985525701967,17.1185490824071,18.7313723587735,17.3048035984278,17.2712415162346,17.1646792140386,16.8893278521016,20.6366902430539,16.1169909795751,16.7310218685273,16.6060364972255,17.3489200463502,17.1088027274449,17.4159914591512,17.0064553288124,17.1466666941731,17.384294371188,17.3489200463502,17.313498099052,17.4159914591512,16.7513655066004,16.8451267788811,20.1599871165404,16.4608091316488,18.0339061657759,16.8115513308829,17.8817935058248,16.4355002852873,17.7698035888798,16.8877888639694,17.448994423492,16.7256039224916,17.082607296261,16.9786568897828,16.4494041269348,15.2188132924528,17.381285960818,17.6189733813465,16.3277524850302,16.5141256042462,17.0081203614839,16.6441840481591,15.1984214186908,18.8176625869373,16.4726000755828,17.4643909342748,14.2036039621144,20.5197347287117,16.2209094513472,16.3126383279034,16.3643596859846,14.9697724834655,16.4111423271693,17.2852519810657,17.2657788228956,16.0968711810811
"ANXA11",15.1109072350861,15.1843841615737,16.5414988866753,15.629352791782,15.8877485165284,14.0026500356993,16.10354639646,15.8945117114108,15.3820811964697,15.5882455184407,16.3543718668553,15.4622054029155,15.5179957448701,15.6542094305473,15.4775799297932,16.0727472616951,15.7008311512421,15.9690861992289,15.4103604115101,15.9942087028559,15.4241213659065,15.375044068575,15.5978274927457,15.4699576776923,15.281170447509,15.5341821413202,15.4544944956582,15.629352791782,15.5434874775407,15.4622054029155,15.629352791782,15.4132855203002,15.7208322427211,15.6726701403909,15.0789718533374,15.3591320137151,15.2219593696968,15.3198645220618,14.9122567494451,15.2961305220915,15.4529303438018,15.3228485444514,15.8451172732965,15.2510205291374,15.1737542623383,15.2074545777295,15.2349782371423,15.2349782371423,15.3833632260958,15.6817180738033,15.4320200105557,15.5012276583939,16.2644863354116,16.1809215135804,14.6663752081335,15.520082975573,15.33924608745,15.5141940903952,15.3168242676027,15.520082975573,17.6655887423257,17.127838647789,16.1198483941244,15.6279971083469,15.310345302108,15.2923807881605,17.2163661984841
