"","lfq_haronW.14.7.20.12.1718.054RT.90min","lfq_haronW.14.7.20.13.1718.055GP.90min","lfq_haronW.14.7.20.15.1719.059OC.90min","lfq_haronW.14.7.20.16.1719.061LC.90min","lfq_haronW.14.7.20.17.1719.064WC.90min","lfq_haronW.16.7.20.2.1718.034MC.90min","lfq_haronW.16.7.20.3.1718.039DK.90min","lfq_haronW.16.7.20.4.1718.046IC.90min","lfq_haronW.16.7.20.5.1718.047AJ.90min","lfq_haronW.16.7.20.7.1718.049CS.90min","lfq_haronW.16.7.20.8.1718.050JM.90min","lfq_haronW.22.7.20.12.155CB.9.4.13.90min","lfq_haronW.22.7.20.13.155CB.8.4.14.90min","lfq_haronW.22.7.20.14.155CB.6.2.18.90min","lfq_haronW.22.7.20.8.159PG.29.7.14.90min","lfq_haronW.24.7.20.19.116OC.8.5.12.90minn","lfq_haronW.24.7.20.20.116OC.30.4.13.90min","lfq_haronW.24.7.20.21.116OC.16.8.16.90min","lfq_haronW.26.7.20.29.90min.283OM.14.2.17","lfq_haronW.26.7.20.30.90min.283OM.10.518","lfq_haronW.26.7.20.32.90min.115CS.5.6.12","lfq_W.1.2.19.1718.32.2pt5","lfq_W.12.6.21.11.016.17.S.90min","lfq_W.12.6.21.15.036.17.S.90min","lfq_W.12.6.21.7.008.17.S.90min","lfq_W.16.6.21.25.067.20.S.T.0.90min","lfq_W.16.6.21.27.067.17.S.90min","lfq_W.2.2.19.RPA.1.2pt5","lfq_W.2.2.19.RPA.11.2pt5","lfq_W.2.2.19.RPA.16.2pt5","lfq_W.2.2.19.RPA.17.2pt5","lfq_W.2.2.19.RPA.19.2pt5","lfq_W.2.2.19.RPA.2.2pt5","lfq_W.2.2.19.RPA.3.2pt5","lfq_W.2.2.19.RPA.5.2pt5","lfq_W.2.2.19.RPA.7.2pt5","lfq_W.2.2.19.RPA.9.2pt5","lfq_W.25.1.19.118OC.2pt5","lfq_W.25.1.19.183EH.2pt5","lfq_W.26.1.19.1718.018.2pt5","lfq_W.26.1.19.1718.037.2pt5","lfq_W.26.1.19.1718.040.2pt5","lfq_W.26.1.19.1718.041.2pt5","lfq_W.26.1.19.1718.044.2pt5","lfq_W.27.1.19.118OC.5ul","lfq_W.27.1.19.1718.018.5ul","lfq_W.27.1.19.1718.040.5ul","lfq_W.27.1.19.183EH.5ul","lfq_W.27.1.19.RPA.21.5ul","lfq_W.31.1.19.1718.26.2pt5","lfq_W.31.1.19.1718.27.2pt5","lfq_W.31.1.19.1718.28.2pt5","lfq_W.31.1.19.1718.29.2pt5","lfq_W.exo.10.9.21.81.90min","lfq_W.exo.10.9.21.83.90min","lfq_W.exo.11.9.21.90.90min","lfq_W.exo.16.9.21.105.90min","lfq_W.exo.16.9.21.106.90min","lfq_W.exo.16.9.21.107.90min","lfq_W.exo.16.9.21.109.90min","lfq_W.exo.16.9.21.110.90min","lfq_W.exo.17.9.21.118.90min","lfq_W.exo.17.9.21.120.90min","lfq_W.exo.23.9.21.124.90min","lfq_W.exo.23.9.21.125.90min","lfq_W.exo.23.9.21.127.90min","lfq_W.exo.23.9.21.128.90min","lfq_W.exo.23.9.21.130.90min","lfq_W.exo.24.9.21.131.90min","lfq_W.exo.24.9.21.132.90min","lfq_W.exo.24.9.21.134.90min","lfq_W.exo.24.9.21.135.90min","lfq_W.exo.25.8.21.18.90min","lfq_W.exo.25.8.21.19.90min","lfq_W.exo.25.9.21.138.90min","lfq_W.exo.25.9.21.139.90min","lfq_W.exo.26.8.21.15.90min","lfq_W.exo.26.8.21.22.90min","lfq_W.exo.27.9.21.142.90min","lfq_W.exo.27.9.21.143.90min","lfq_W.exo.27.9.21.145.90min","lfq_W.exo.27.9.21.146.90min","lfq_W.exo.27.9.21.147.90min","lfq_W.exo.27.9.21.148.90min","lfq_W.exo.27.9.21.149.90min","lfq_W.exo.28.8.21.39.90min","lfq_W.exo.29.8.21.41.90min","lfq_W.exo.5.9.21.55.90min","lfq_W.exo.6.9.21.59.90min","lfq_W.exo.6.9.21.62.90min","lfq_W.exo.7.9.21.63.90min","lfq_W.exo.7.9.21.64.90min","lfq_W.exo.9.9.21.76.90min","lfq_W.exo.9.9.21.80.90min"
"A1BG",29.1171854335828,28.6660342921444,27.0840843065696,26.7589311673021,26.7393076888095,24.7850659084048,26.6088320034328,26.1118947971661,26.3916032365901,26.3082577478326,26.4141278853252,28.0804709268803,27.8383926788753,27.1189342514024,26.572647097351,26.034291184433,27.9565823181421,28.037543106508,25.3852083599668,26.2701383545423,26.700682919751,25.7710121982584,23.5376743392241,26.3748928018676,27.3744685453475,27.8600648299093,27.2859455476288,24.4845921462396,24.1767388004499,24.6691728072932,22.6215303071958,25.9449050236573,25.4798703021268,22.9031602619831,23.0203096065627,23.7238652897326,25.0359113136258,28.0804709268803,28.5459302204829,25.1574774103526,26.003374595673,25.5441106379624,26.6219461996104,25.4592092081581,24.8064412742916,25.5204156861889,25.8277885575294,28.5625776037251,25.8746968583773,27.668368432574,27.6425717616535,26.3023942509455,24.6478125957949,27.8317395886198,28.479682596517,22.9031602619831,29.4521645616001,29.1171854335828,28.7952870912065,24.865993755058,23.9784469046976,27.7686743797241,22.4840973515638,27.6529393344507,27.513568538568,27.6040953884649,27.8910432729746,27.7074866514186,27.1840131586796,27.4011177432768,27.8317395886198,19.6511512737878,25.3466798016136,25.9742415473083,25.5374464535363,26.3935365727866,23.7802929596307,26.3748928018676,26.8206169697051,27.6529393344507,28.299186326718,28.0905344678487,26.5940112385408,27.8910432729746,25.3923071497664,25.6497994308527,25.4855309891974,27.3744685453475,25.3164903601482,26.0089753351144,23.3898011992542,26.433600535821,26.3935365727866,27.105688556447
"A2M",34.8391462534965,35.8216618470963,35.4636544399932,34.7295066677012,35.8216618470963,35.6208360760662,35.8216618470963,35.4636544399932,35.4636544399932,35.3111248638984,35.3111248638984,35.6208360760662,36.0877006874059,35.3111248638984,36.8548608422777,36.3889413428194,35.4636544399932,35.3111248638984,36.0877006874059,35.8216618470963,36.3889413428194,36.0877006874059,36.0710162163094,35.5882341312673,36.0710162163094,36.0710162163094,36.0710162163094,35.4636544399932,35.155660137467,36.0877006874059,35.8216618470963,36.3889413428194,34.9358941317321,35.8216618470963,35.8216618470963,34.9358941317321,35.8216618470963,36.8548608422777,36.8548608422777,36.0877006874059,35.8216618470963,36.0877006874059,36.3889413428194,36.8548608422777,36.8548608422777,36.0877006874059,35.8216618470963,36.8548608422777,36.0877006874059,36.3889413428194,36.0877006874059,36.0877006874059,36.8548608422777,34.379637320207,33.6062943735831,36.3889413428194,36.8548608422777,36.8548608422777,36.3889413428194,36.8548608422777,36.0877006874059,35.5882341312673,36.0710162163094,36.0710162163094,35.5882341312673,36.0710162163094,35.5882341312673,36.0710162163094,36.0710162163094,36.0710162163094,36.0710162163094,36.0710162163094,36.0710162163094,36.0710162163094,36.0710162163094,36.6176792206689,36.6176792206689,36.6176792206689,36.0710162163094,35.223794546599,36.0710162163094,36.6176792206689,36.6176792206689,35.223794546599,36.0710162163094,36.6176792206689,36.0710162163094,36.6176792206689,36.0710162163094,36.0710162163094,36.0710162163094,36.0710162163094,36.6176792206689,36.0710162163094
"A2ML1",23.5711475774315,23.4525871403159,24.6986167342938,23.8761290104447,23.4028813026872,25.4813725347735,23.7627011256759,22.9390883239785,23.6584258152842,24.1080194397211,23.4863459160011,24.0360971288801,23.958657882372,23.9654011835436,23.9957727155451,24.2963972613068,24.0483934298519,24.1936420667,23.7991105975551,23.7426510732894,24.1260311239441,24.5177973319287,23.4556354985364,23.6470556632983,24.2281685312104,24.2770978011981,23.8600617330161,22.672168918607,28.4387154568339,25.5957893806339,25.5085425899772,24.8762119154101,23.4863459160011,25.5648552324245,24.5345998078823,25.2222194253385,25.1748689025938,24.6950517035824,25.1835843103725,24.9926617681923,24.7769732631623,24.9397076988729,24.5740141670381,24.7575586828491,24.6324281196003,25.0124445552537,24.7383492704806,24.8104760835681,24.9181654523206,24.1260311239441,24.4498219222655,24.4006421876934,24.4538649147565,24.9739313496443,23.4672885658247,24.8745097523082,24.7041271887476,24.5816869289289,24.3925902821381,24.6934514122829,24.3503895695567,23.8918912674401,24.4919586956945,24.5491579913047,23.6753452958271,24.6834215640655,23.8065043779519,23.7424007365264,24.6563521824929,24.4460972991262,23.5032892596765,24.4583093568031,25.0299875891883,24.6131962687885,23.6698164620625,24.2770978011981,26.3612852358828,24.8427912810004,24.7499387983045,23.9197699921299,23.9701596227327,23.6881375402995,25.3807547974145,24.6669855728724,24.6075700198349,24.8549649013125,24.7545683171756,24.8598329666967,25.1375305462016,25.174071322275,26.5781190513901,25.5146987327176,24.7601101364195,24.1497349707533
"AARS",24.0248104535606,23.9738395169345,23.8664805316292,23.7894388030678,24.0288459614398,23.9515631502997,24.0987923310865,24.002711983783,24.0224177033297,24.0479704546028,24.0048532473934,23.6922826784186,23.2645408365989,23.8137588360404,23.8854659037683,23.7770314250908,23.820232818289,23.8038302054832,23.8241914940292,23.8940896678647,23.7643614813614,24.252654594422,23.5375043192945,23.9567173384823,23.8441307880643,24.0323999508281,23.7752519363851,24.1776937478311,24.1874061140348,24.3791935940655,24.320752013488,24.2713217377996,23.9474572072938,24.2104275157926,24.0817786331097,24.3258586688659,24.2848449757952,24.2005003396301,24.2926749830318,24.2772255060707,24.2637335184067,24.2508227625192,24.1283360208139,24.2869614578098,24.1754727643524,24.2869614578098,24.2080184058803,24.2907392533359,24.2945959098621,24.09466143654,24.0496998041368,24.0753785514758,24.0068699879341,24.1149276141247,24.1823595552978,23.8081323227966,24.0305144067686,23.8984537328742,23.7913718898437,23.8643125473116,23.6157535910062,24.0270866740543,23.7892384332318,24.0949074004936,24.0184128096856,24.0032038791967,23.8831343078899,23.6866534136037,24.0572241582035,23.8055684749755,24.1703035426837,23.7967898355205,24.2193282688258,23.8909871590188,23.5745214349909,23.7511225407507,24.37567602507,24.0903649229934,24.1283427280087,24.3973631940813,24.2023761685114,23.7723612739591,24.1659282618424,24.1283427280087,23.9168106836701,24.0184128096856,24.1744243833905,24.1659282618424,24.0949074004936,24.4181322537219,24.3800744529968,24.1744243833905,24.0488504246505,24.1982265262382
"ABCA9",23.8713277721236,24.1369339583201,24.0160589353312,24.1632155923695,23.9448490729877,24.0690869864805,23.9525114766756,24.0078952140252,24.0774842140139,23.7989068302352,24.0712088796271,24.1878924731869,24.0824126057049,23.7471995803893,23.8909267142326,23.9991599681382,23.7072620000906,24.1857865182412,24.1982227876156,24.0954013748065,24.051875250416,23.7049172655567,23.8509978351799,23.9799562144025,24.1739150178202,24.0692773470546,24.2289471606166,23.7774340570515,23.7242682122296,23.7965454014114,23.8092686592885,23.8136038914113,24.0268311630894,23.8932358499943,23.7724539662,23.7637778972624,23.7833120192998,23.8220937806043,23.7338817000362,23.7899715424341,23.7922919058628,23.7873974248655,23.7404393490291,23.8072786573386,23.7563588540868,23.7853679407196,23.8909267142326,23.7380275344794,23.7702458294046,23.7495391943855,23.8690311277301,23.7833120192998,23.7495391943855,23.8681937848462,23.7857975841337,23.8713277721236,23.8563764976656,23.8300047183152,23.9342699938744,23.9214287120842,23.8952499792316,23.9028107102222,23.9464913994937,23.9730003234084,23.5982802946867,23.8853739055623,23.765196977648,24.0946275654779,23.8235813912633,23.9958423223827,23.7562143363977,23.8853739055623,23.9861152426378,23.9861152426378,23.8993882830036,23.7726461914775,23.8068277265342,23.9400755527745,24.0889772424241,23.6381733143522,24.0090846350501,23.9496247990635,23.4810651119129,23.7426932043799,24.0060252825366,23.9028107102222,24.0425895929254,23.8777812834876,23.7924390840128,23.8509978351799,23.8164127294039,23.8404665610527,23.8681937848462,23.765196977648
"ABCB6",21.8072309458835,21.9450692692171,21.7635872435751,21.7479783193486,21.9064458627212,21.5602573357699,21.8788089763027,21.7767341968668,21.7635872435751,21.7635872435751,21.8666203487555,21.6959731952041,21.5602573357699,21.5175640853945,21.4531338346975,21.4269448530089,21.4269448530089,21.6616027965744,21.7479783193486,21.7635872435751,21.5602573357699,21.6213244466281,21.76948987525,21.7227829281789,21.8639991163434,21.8178140485441,21.9537436372094,21.6213244466281,21.7479783193486,22.0739263177185,21.8788089763027,21.6213244466281,21.6959731952041,21.8788089763027,21.5175640853945,21.8380332234264,21.6797807165215,21.4770766773978,21.7479783193486,21.7302980131518,21.6213244466281,21.6023885783481,21.5602573357699,21.6441727493703,21.4966209476633,21.7110737510906,21.6441727493703,21.7110737510906,21.7635872435751,21.4966209476633,21.4966209476633,21.538547436721,21.4269448530089,21.6761654927517,21.6326618034397,21.3434125054593,21.4531338346975,21.4269448530089,21.4531338346975,21.4966209476633,21.2367933866491,21.6326618034397,21.4688538840777,21.4688538840777,21.6326618034397,21.7227829281789,21.4688538840777,21.2635975585077,21.6326618034397,21.2635975585077,21.8178140485441,21.33513805202,21.76948987525,21.7227829281789,21.4688538840777,21.6761654927517,21.8639991163434,21.4688538840777,21.6761654927517,21.6761654927517,21.76948987525,21.6326618034397,21.6326618034397,21.5210731238304,21.5793673096608,21.6326618034397,21.5793673096608,21.4688538840777,21.6326618034397,21.9115941929316,21.5793673096608,21.5793673096608,21.6326618034397,21.5210731238304
"ABHD10",24.606852550718,24.5408700376833,24.4679406687694,24.2634242937628,24.6090284112632,24.5969162958671,24.6146956570884,24.548695877714,24.5328078895352,24.7499586245959,24.5328078895352,24.0886074618133,24.1195678549035,24.0132876466111,23.5228324045579,24.0701551385924,24.6270282877297,24.3063136152534,24.3481603225116,24.5023306782158,24.1517724568237,24.9751547164686,23.7919033944719,24.4313917998121,24.2977880757375,24.5877183060369,24.1466675764479,24.9396093886767,24.8515598394976,25.1145368428843,25.0804139046244,24.99582083616,24.54685322416,24.9277264847316,24.8084965907125,25.1122163220571,24.9751547164686,24.9794295814231,25.0848597757115,24.9918862591384,24.915424691175,24.9235724057247,24.8003979201067,24.9875303042723,24.9396093886767,24.9621267193007,24.8836931881975,25.0429308896968,25.0131842997175,24.7331160991879,24.7272819932398,24.7052968180674,24.6635563690344,24.7536026784838,24.7618728604474,24.3930364354908,24.6727706798832,24.5617080905281,24.3596840476061,24.4621146409289,24.202791998712,24.6412761730943,24.2898493542471,24.8519085137136,24.5877183060369,24.7156559140236,24.2857900948355,24.0990530968355,24.7074832236005,24.3278409140799,24.878434714432,24.2454698876052,25.0102641322291,24.6500897145815,24.1071745574153,24.3431966392383,24.9442309053932,24.6833804310544,24.878434714432,25.2220476348204,24.9531549123771,24.26142146893,24.8166021259674,24.8679017952656,24.5041647886035,24.6179087941759,24.9573930689372,24.8565304064372,24.8713268049509,25.0414852187963,25.1335358813756,24.9442309053932,24.7895739942361,24.8439136290029
"ABHD11",24.8368122755055,24.7696409714227,24.6482111488289,24.5412474447735,24.8569447284119,24.7675215098865,24.8915996234237,24.805301684624,24.7790368212736,24.9193920940723,24.8013641620648,24.3599140303288,24.2769128929447,24.0774247164547,24.1907560250292,24.2327388038795,23.856906078699,24.5049560858396,24.5794254163053,24.677572847553,24.414337512284,25.1202906770722,23.8796233267595,24.6899895652248,24.5501982927079,24.8590731688353,24.4933606095697,24.9841613669411,24.9673768385976,25.182914783189,25.14101149614,25.1386734199658,24.7507302246097,25.0139299905304,24.8874798127201,25.1546024771255,25.1003460181165,25.0351468647452,25.1456932962347,25.1113322290502,25.0937066252181,25.0665438275549,24.971759105196,25.1321724726405,25.0139299905304,25.1275605332687,25.0561284631371,25.14101149614,25.122463694008,24.9393110225126,24.8607467023857,24.925198261986,24.8134361644514,24.8379865443692,25.083711367252,24.4968830313143,24.805301684624,24.6535722602369,24.4633217878624,24.5739845870046,24.2370950045063,24.8131905789968,24.4224092977035,24.9119174737838,24.8923625221615,24.8675480967223,24.6002391192961,24.2434442318148,24.8923625221615,24.4058250185036,25.1602623801535,24.4145965788475,25.0179301768455,24.6527712903251,24.1899028026891,24.5066641052064,25.1432895001985,24.8214972564414,24.9352092621712,25.2475764324391,25.0875606043329,24.3621913944165,24.9915508783932,24.9470314603812,24.682523605719,24.7748663384029,24.9873313122416,24.9587058462426,24.879417338065,25.151965010095,25.1936954061927,24.9957293667006,24.8923625221615,25.0262059727519
"ABHD16A",24.4284349913169,24.3645187930625,24.2919385686855,24.1280165013397,24.3606225593988,24.2225022093442,24.4454535011986,24.3014404437241,24.350772920306,24.4164990787687,24.4184786295149,24.0874689066098,24.7855433726618,24.0402655999383,23.9071373534853,23.6534651733322,24.6687567769838,24.1474355557227,24.1474355557227,24.1904908209148,23.9667726957395,24.5193624260591,23.7330734855317,24.2376970111672,24.2008177155835,24.4436187994398,24.0262922081058,24.4631047770406,24.4164990787687,24.6286961347764,24.6139693244867,24.5531733028938,24.3410935357639,24.5035608891198,24.3292307788477,24.5949998789323,24.5874342118885,24.4705767092639,24.5989275243201,24.5765096223993,24.5137233172687,24.5429500747845,24.403082599593,24.6008097610488,24.4689475707317,24.5486475006224,24.4568860959366,24.5092637189792,24.5311161888871,24.3140819267729,24.2821141559974,24.3448980088251,24.2452579984519,24.3459645543795,24.5936196714428,24.2225022093442,24.3122648444872,24.160380074927,24.0770913083412,24.1791370998188,24.0238430807989,24.330192810082,24.1080459982992,24.3222170017683,24.4008600198307,24.3972450241139,24.2564961992443,23.9694651926579,24.3775313036255,24.2680188246757,24.5499563589316,24.2088687464326,24.5342702698524,24.2453533749859,23.9772980848217,24.0596205448009,24.5423934926899,24.5423934926899,24.3932737642079,24.6404338115601,24.6588794104827,24.0108334020293,24.3385882641906,24.4504181636455,24.2220308887706,24.4153407727254,24.5804346331383,24.4715708387693,24.3775313036255,24.4647084198985,24.7137736227846,24.4934288788865,24.467784611151,24.4715708387693
"ABI1",25.6007846568915,25.7823166726546,25.9947956898438,27.2083202632052,25.0950215416067,27.35779923373,25.4918978595955,25.6939200455015,25.778929459971,24.8387823668384,28.3425401330228,26.1803587881553,26.9401227378661,26.4097763881318,26.5258368904792,26.7771646630949,26.5200377517128,26.2267787542529,25.6297594827551,27.0713344723725,25.9982347212253,24.4312619792875,22.2373322984949,24.2097653381881,25.2187426365053,25.2469625741454,26.4497753406244,24.3169181558121,24.3435908421345,24.463611430817,24.4193806895462,24.4738523118062,25.6109507608693,24.4193806895462,23.1808530455437,24.3789045690188,24.2000797544757,24.2981043060942,24.3352545684714,24.2773991852203,24.2773991852203,24.2404781806962,24.4472244428413,24.1954198061155,24.2224131041236,24.2445300207665,24.2260752996829,24.438872858637,24.3732487227393,24.6087062062266,24.4426942647953,24.767887211418,24.5728096243956,24.6544551905745,25.4693272514365,25.2702442738384,25.6085633053601,25.8710786023566,25.8623277514172,25.5190255277168,22.9951489154586,25.6920461733171,25.0772207988099,25.5950686195979,26.2027515827083,26.8533032442171,25.5686415814523,27.3381491239042,25.8230194273833,24.4941525663077,26.103517795648,24.0928313367172,24.3137717285487,25.2469625741454,27.3037780989899,25.5030602109038,23.6384751183248,24.844174578898,25.7328416425513,24.9810700756068,26.0623631309945,25.3017344399881,24.9675577403683,26.0085412932345,24.9867881919679,25.1384643818131,25.5030602109038,24.9932988579719,25.0631661989826,24.1141366084199,23.6598708711411,25.1666061125791,25.3566004491138,25.5188217420647
