"","lfq_2.6.21.11.016.17.S.90min","lfq_SW.exo.23.9.21.124.90min","lfq_SW.exo.23.9.21.125.90min","lfq_SW.exo.23.9.21.127.90min","lfq_SW.exo.23.9.21.128.90min","lfq_SW.exo.17.9.21.118.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.131.90min","lfq_SW.exo.24.9.21.132.90min","lfq_2.6.21.15.036.17.S.90min","lfq_SW.exo.24.9.21.134.90min","lfq_SW.exo.24.9.21.135.90min","lfq_SW.exo.25.9.21.138.90min","lfq_SW.exo.25.9.21.139.90min","lfq_SW.exo.27.9.21.142.90min","lfq_6.6.21.27.067.17.S.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.27.9.21.145.90min","lfq_2.6.21.7.008.17.S.90min","lfq_SW.exo.27.9.21.146.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.27.9.21.148.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.6.9.21.59.90min","lfq_SW.exo.5.9.21.55.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.6.9.21.62.90min","lfq_SW.exo.7.9.21.63.90min","lfq_SW.exo.7.9.21.64.90min","lfq_6.6.21.25.067.20.S.T.0.90min","lfq_SW.exo.28.8.21.39.90min","lfq_SW.exo.29.8.21.41.90min","lfq_SW.exo.9.9.21.76.90min","lfq_SW.exo.9.9.21.80.90min","lfq_SW.exo.10.9.21.81.90min","lfq_SW.exo.10.9.21.83.90min","lfq_SW.exo.26.8.21.15.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.26.1.19.1718.018.2pt5","lfq_SW.27.1.19.1718.018.5ul","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.31.1.19.1718.27.2pt5","lfq_SW.31.1.19.1718.28.2pt5","lfq_SW.31.1.19.1718.29.2pt5","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.037.2pt5","lfq_SharonW.16.7.20.3.1718.039DK.90min","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.041.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.4.1718.046IC.90min","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.16.7.20.8.1718.050JM.90min","lfq_SharonW.14.7.20.12.1718.054RT.90min","lfq_SharonW.14.7.20.13.1718.055GP.90min","lfq_SharonW.14.7.20.15.1719.059OC.90min","lfq_SharonW.14.7.20.16.1719.061LC.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.21.116OC.16.8.16.90min","lfq_SharonW.24.7.20.20.116OC.30.4.13.90min","lfq_SharonW.24.7.20.19.116OC.8.5.12.90minn","lfq_SW.25.1.19.118OC.2pt5","lfq_SW.27.1.19.118OC.5ul","lfq_SharonW.22.7.20.14.155CB.6.2.18.90min","lfq_SharonW.22.7.20.13.155CB.8.4.14.90min","lfq_SharonW.22.7.20.12.155CB.9.4.13.90min","lfq_SharonW.22.7.20.8.159PG.29.7.14.90min","lfq_SW.exo.16.9.21.106.90min","lfq_SW.exo.16.9.21.107.90min","lfq_SW.exo.16.9.21.105.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SW.exo.16.9.21.109.90min","lfq_SW.exo.16.9.21.110.90min","lfq_SharonW.26.7.20.30.90min.283OM.10.518","lfq_SharonW.26.7.20.29.90min.283OM.14.2.17"
"A2M",28.9692852427555,27.0277491064686,26.6464198498977,27.0277491064686,26.8195382023594,27.0277491064686,27.0277491064686,27.0277491064686,27.5712956310153,28.9692852427555,27.0277491064686,27.0277491064686,26.8195382023594,27.2720575186628,27.0277491064686,28.9692852427555,26.6464198498977,27.0277491064686,28.9692852427555,27.2720575186628,27.2720575186628,26.6464198498977,27.0277491064686,26.8195382023594,27.0277491064686,27.2720575186628,27.0277491064686,27.0277491064686,27.2720575186628,27.0277491064686,27.0277491064686,27.0277491064686,27.5712956310153,27.0277491064686,26.8195382023594,27.0277491064686,27.0277491064686,25.6354422285053,25.5350627506337,27.2720575186628,26.2573826625569,27.1569651882347,26.5339848998645,26.1573645507941,27.1569651882347,26.9573534126244,27.3970399560435,27.6787364674832,27.3970399560435,27.1569651882347,27.1569651882347,27.6787364674832,27.6787364674832,27.1569651882347,26.1573645507941,27.1569651882347,26.692794451769,27.3970399560435,27.1569651882347,27.3970399560435,28.0237689269979,26.3711417742409,26.5339848998645,26.5339848998645,26.5339848998645,25.8940234510278,27.1569651882347,26.8390333907599,25.791659335486,26.9573534126244,28.0237689269979,27.6787364674832,25.6759181357353,25.791659335486,26.9573534126244,27.1569651882347,26.5339848998645,26.1573645507941,27.6787364674832,28.0237689269979,27.6787364674832,26.2573826625569,27.3970399560435,26.9573534126244,27.6787364674832,28.0237689269979,27.6787364674832,28.0237689269979,28.0237689269979,28.0237689269979,28.0237689269979,27.3970399560435,27.3970399560435,27.3970399560435
"ACTN1",26.088276156221,18.7987012775919,18.6228884036587,18.305070380074,21.1030920839177,19.9788083431024,21.5784298495458,17.6436407176701,21.1030920839177,20.3966854331822,17.1210907654924,21.2427594057129,22.4178551653948,21.1030920839177,19.0583478621147,21.2879562245421,16.8104967842687,18.6652514240887,21.6175342357306,20.4425587109024,19.1432485472578,18.8945371316675,21.487052446027,18.7229492430873,18.6516933796428,17.5408280106626,16.7566798649922,19.8595507765099,17.0811913823717,16.6351679503677,18.0447542382099,17.5078083110342,21.6175342357306,16.2877897430036,16.7636485010712,17.1210907654924,13.451294457873,17.9613849396665,16.9472755467984,14.2111310242056,20.0154223687396,20.7278194817702,19.9103642432562,19.7398144471172,15.651470557233,18.0856316616748,17.0188092957384,16.2375886047512,15.6816669074295,19.6328464352711,19.6683289662137,20.2224416514766,20.3875547087179,14.1120586445493,21.4973576792408,18.0231248490555,20.4524704469497,18.4240012855156,18.3845726300435,18.4240012855156,16.1881042328541,20.9241358983373,21.7140160537411,14.5471645778038,20.4524704469497,17.9612417618507,18.9866802212027,20.419845852846,21.7979392932001,18.5975529224722,17.8805839545864,14.1990442107295,19.1819109750353,13.3855109439691,15.0581971496611,21.3161402441828,21.097758759547,22.5325956735345,22.5784378342634,19.132390428689,19.1819109750353,22.1703519842948,21.6233170883544,21.8792413118749,22.6745598063131,19.2655508435889,20.3537025472647,14.2194148009045,15.8927044813772,16.0388450574034,17.8443693064111,21.0131692017893,21.4053909138786,21.8792413118749
"ACTR2",18.706735299912,15.6506267482336,15.7128757153229,15.6286393982703,15.5254335919431,15.49930413436,15.6602133753322,15.7408746067793,15.6324959622078,17.7946130612281,16.1550672114649,15.5788482873803,15.6561456003194,15.5419736181759,15.5984454162715,17.7664079448842,15.7748403078343,16.1085443036272,17.9413634145342,15.5984454162715,15.9289817929253,15.5788482873803,15.6506267482336,15.4941204154975,15.3475535981595,15.3234104549307,15.3540738130187,15.3015388460745,15.5150883788934,15.6367702576962,15.3182116970429,15.4462602851607,17.7584840592886,15.4668042806625,15.4668042806625,15.3655177549988,15.5202851169995,15.3601700930387,16.0918200300404,15.3862561427593,16.1196847092472,15.7963000798564,15.5395446303479,15.2722099752679,15.5609409743883,15.8256372939954,15.6034631285049,15.5997250202031,15.5945963070661,15.8577951141253,15.07537006153,16.3757086889235,16.4273262382933,15.5568534586263,15.8355979938157,15.2637046580136,15.6689110609638,15.6397608390879,15.788356152108,15.7050500088358,15.5697269530274,15.3339560626078,16.8565891346774,15.5323597997629,16.2346002810213,15.7839743583637,16.0535629648396,17.2423247695101,15.6034631285049,16.0449449023487,15.253792448275,15.5775383026998,15.5609409743883,15.4681490996017,15.4639426053866,17.5668259165188,16.4563415657358,18.5264172528313,15.8960920996224,15.2944537324985,15.3094761609339,17.8734255259343,17.1266971732089,17.3011029986711,18.4238765443836,14.9492570805128,14.647958107092,14.8924151414636,15.6596044034994,15.6312922217279,14.9018832113382,15.408933582071,17.4604839872932,16.1196847092472
"ACTR3",19.2692135647863,16.4831386727826,16.5477839257581,16.3470378218974,17.7228692437082,16.4317343811464,16.7775555976176,16.6922622008713,18.4504132420376,18.2025745815524,16.9623168515824,16.4546654272433,16.6030231196331,16.0060576171456,16.5874177910099,18.3236171439548,16.4187280148405,16.6922622008713,17.7228692437082,16.0003469750032,16.3086249375176,16.5417936981111,17.8961697866973,16.5191555799818,16.6261293476032,16.9693448214812,16.7104195790952,17.0518712708631,16.5260552517934,16.4695383431334,17.1308113182972,16.5106918731273,17.8207052675947,16.4131080934737,16.4963272677347,16.6325270551489,16.3545131552957,17.1812483145814,16.745207253114,17.1678030494409,17.4248526784175,17.4426846484632,16.4116605821226,16.0972718782026,16.5763202297162,16.6098726797384,16.4731867079172,16.5505335465766,16.5118559628603,16.481942143578,16.5763202297162,17.0113785897858,17.023930404832,16.5459023614853,17.3953301500071,16.4866057185042,15.6253667731623,16.6604618389616,16.5548060580916,16.600573986237,16.4655423394687,17.4682459865283,17.5570349560506,16.5864388278706,17.0764018558176,16.6749027436135,16.7091441573041,17.328426553189,18.0094379915813,16.1706757043029,17.082142809342,16.5287210342044,15.9694714667037,16.3845366755022,16.4911519456818,18.388570431862,17.7160602425084,17.2592449946508,16.8878211293705,16.0809351931883,16.4490969270008,18.2870394637063,17.8887979383266,19.0618023318382,18.8498753730863,16.8338834156899,17.1211429290105,16.6046920573671,16.5236341474333,16.6458631286929,16.7341026147671,16.8982849813191,15.4749025141495,18.6270391557708
"ADAM10",18.9625706999841,15.5475666771969,15.8430928377943,15.9101726448357,16.8563432612634,16.1028627330297,16.9241042057767,14.8884344280913,15.7582037539975,17.1484563520917,14.4950149687408,15.8731724074949,15.5972868724087,17.7922969677342,15.5870645957363,17.0405920754996,14.9242186050139,14.85651662863,17.0772512354471,17.5309433016231,15.2165984699688,15.6839118897365,15.2121556124958,15.9522695197023,16.0308518490467,15.8146836452971,15.6992350832905,15.8430928377943,15.8731724074949,14.9697344268961,15.7939791615389,15.8375863181029,17.1039832030063,15.783679860967,16.0977887269391,15.9966890974428,15.0558947768303,15.7343259413913,14.7295179534019,15.744952190691,15.5854701384549,16.6571533440226,15.8259404098407,15.9164112853971,15.180064520011,15.1251883727485,15.056818066932,15.0945509535754,15.1111754228326,15.3247504350845,15.9851523720834,16.2543826234054,16.2122540246623,15.1672716021643,15.464469498578,15.6524291064687,14.1098609595242,15.1586079698757,15.098320261465,15.3630474880409,15.226717352517,17.1684423994994,15.5955830350793,15.4271638169877,16.0335205930192,15.3456491621318,14.6086647982122,15.9241756230382,16.7160979762316,16.2122540246623,16.0381217685081,15.290920168384,15.4534231562365,15.2432075824874,15.144394616917,17.4427397517119,18.0375026397484,16.5270227418541,18.7524502470907,14.7903374716728,15.1982822610769,17.7110749003911,17.785529920301,16.2432344204066,17.6268227721215,16.1970018826192,16.3239055354921,16.0706331634929,15.1497312549498,15.0712979299718,16.0827916631173,16.5728708839806,17.612366522428,15.9448162490978
"ADIPOQ",18.1733787463703,17.8855943110622,18.0635019080311,17.6209871633898,17.8855943110622,18.3101496318639,17.911601651014,18.0423616165066,17.4255407135762,19.2170876479067,18.2070793141041,17.6783751320577,17.3334319805101,17.9029966167416,17.920439123663,17.5205584807865,18.2409816433478,18.9595823639179,19.9476860313492,17.6999792551377,17.8333116810225,17.8855943110622,17.6416219483395,17.8580553816708,16.8412091777,17.9842330340926,17.8486068513319,17.8855943110622,18.5440319259727,19.5809234454054,19.4552648394057,17.9842330340926,17.9390981723424,18.2886815394156,17.3931957592215,16.1440150685533,17.5278481526246,15.5241954694586,17.9676867918525,18.0423616165066,18.0133403978234,18.1641431996441,17.9947310259645,17.4179504064832,17.5586964882923,18.6264240058523,18.3874453670794,18.2326099674374,18.436718074897,18.174704100697,17.87184136249,18.4650358498709,17.502736476684,19.0152737981523,15.7690064564872,17.1717910839619,15.8227840397154,18.363240893446,17.8804446058343,18.2207846228454,18.6545476663825,17.6056789052962,17.720732620475,17.482476666257,17.9464209973029,17.2312444920241,18.0729196650321,17.9657201061714,17.6698049944347,17.8804446058343,19.7866615976712,19.7176765591464,18.0825718366698,18.8365510196109,18.7283273650198,18.4919251482387,18.1079424642161,17.5586964882923,17.3450892701541,17.8463732356849,17.6626712415357,16.6745237350588,17.7344219706956,18.0618746246044,17.6626712415357,18.1180172260413,18.4251670246296,18.436718074897,18.0330290321608,18.2326099674374,17.8381192715077,17.6492721659188,17.6892806650619,15.9085697416562
"ALDOA",20.7697365719565,15.9807884336293,15.0040118083031,16.3459307479275,17.2850574704183,16.9591955028598,18.2895678125419,15.6943028629285,18.3975399458493,18.1852919479727,16.0148085874126,19.1748708336732,18.4268559716734,17.5968886762911,16.2017600669663,19.2768987062505,16.1601104226218,15.6065138316939,19.3740530313954,17.170059335908,16.4730810695083,14.59867203291,18.8261074050624,17.71874897418,16.5440402981383,16.8505596595241,17.1308227602874,17.0843943491161,16.3952240711406,15.7801138289911,17.9223527998542,16.7100697827247,19.1120793178798,16.5440402981383,16.2222745486969,16.7716609937654,16.0995073147191,17.4329191959843,16.0393738194593,17.584385477001,18.2695606359529,18.2421005257768,18.643628722536,17.3496657559831,16.0310704932945,16.1535733079939,16.0959387447277,16.3484838187254,14.3630155978045,17.1668674460289,17.0040091563203,17.1668674460289,18.4373530735923,16.0388514101418,17.6436217281212,15.6835753405894,18.6078095986857,16.6600695834681,15.9940878894764,16.8615844532774,16.1065229162368,18.7683066229162,18.6795423235937,16.8229729450196,18.4787559789219,16.8759590389951,17.1192532699059,16.9325780671626,18.8283137944924,16.6140501843944,18.0225150300505,15.8441963913869,14.7921442449736,16.1177899095028,15.9363023555947,19.2377871760901,18.2947054136806,18.6795423235937,18.3640884577507,15.835925321304,15.958301415929,19.0020306265881,17.6691186963134,17.714207913963,20.8138998076059,15.3449247631924,17.5252974096835,16.0590844361278,15.8132906162844,15.6917996956939,16.6194235947354,17.2720716939498,18.1280664645401,19.1053861330199
"AMBP",19.0361038200336,20.3715411641499,19.6233115361713,21.6756739893982,20.9353083843133,20.1270191993986,18.7631381162756,18.9001587197272,19.0899660637988,22.0785374407491,19.684388310557,20.6890676176412,21.0182114848715,19.6233115361713,18.7631381162756,20.6017895580382,19.1444084333301,20.2873768028064,20.9353083843133,20.2873768028064,20.6890676176412,21.4336711835513,23.9538728944286,18.9654581117487,19.684388310557,19.267487613523,22.2133706987104,21.2725170125724,20.1270191993986,20.3715411641499,20.3715411641499,20.5289450515155,21.6096837845538,19.9832437999056,20.5289450515155,21.8318379945225,19.8405636253112,20.9353083843133,20.056842542707,20.2873768028064,19.1431123407091,17.0025988790389,17.0286060829825,17.9821085414559,20.0289711913889,20.6909632969435,20.9733161429892,20.9121859013146,20.8797520255298,21.0712889461703,20.5663560885043,21.3250574232763,20.3773611072305,21.5055600580652,16.761133031353,21.0712889461703,20.1265864701855,20.5416362902684,20.4372560908739,20.7186454472955,20.9733161429892,18.6960208983985,19.8798174623647,19.3878136594842,20.5416362902684,21.0712889461703,17.9264083488032,18.0541666928522,20.2599999939679,19.6019358087978,21.1369697623517,21.5055600580652,19.4317641861896,18.8846855257326,21.4141053729225,19.641583268573,20.2832246351373,19.8038109009245,19.641583268573,20.6270084856977,20.6270084856977,19.641583268573,21.0417678018691,18.4887620826034,18.9980035903564,22.0247421835055,22.0247421835055,22.1030683542125,21.4454509697913,21.4141053729225,22.4303549740639,21.7605210257901,18.6005554182096,20.1714233356943
"ANPEP",18.2699300534441,17.1485773448353,17.3102806820733,17.1908911840244,17.1383753661392,17.3605197761779,16.9347884913111,17.0642158304982,14.7261233271727,19.1146156600029,17.3185467260859,16.8449339319793,16.4630755764794,17.0546225487645,17.0256212662006,19.429547749681,18.8470706667298,17.2452510942491,19.1146156600029,16.9267647846269,20.6195611880891,16.9019086979013,16.4039872052693,17.0642158304982,17.1485773448353,17.9006232594931,16.9708508298598,17.0256212662006,17.2725572917353,17.3851945924801,16.3201320008442,17.2276991414798,19.3542828244221,16.793218790847,17.0546225487645,16.9267647846269,17.5114026440936,16.9019086979013,15.3130650645375,16.6520653762009,17.0079504635786,17.0776666468768,20.7354801252338,16.585836652008,18.4614857329397,17.9020549847964,17.5159014861549,17.5498069945676,18.3603006631604,16.7180802807133,16.7701584834619,17.0456814323356,17.0182082302245,17.9248428125104,17.1842905413021,15.7126609388173,17.0313866705339,16.789846876499,15.2633183875768,17.0182082302245,17.6683898647443,17.5225982750334,16.5549879815356,17.3304034464634,16.981878955207,18.8130201646046,16.9699472621502,18.8751523340519,16.1075497071966,19.3268348763528,16.7048076352652,17.9248428125104,14.185684743568,21.0055023146003,16.4817389842413,16.6891826288948,15.7835508725329,18.3931187062788,16.976008412128,17.4500579567586,17.6803425253371,17.2880157884366,14.1345377572049,16.8141019955875,17.2529860203478,17.3550027616772,17.6445142150798,17.5390949401987,18.0237277589163,18.0632180023978,17.4334024770009,16.585836652008,17.4827976615049,16.5098002718559
"ANXA11",18.3261828069924,15.505340139536,15.3927727430348,15.523505676846,15.4702204031316,15.5902454063533,14.6796558406779,15.3835482232807,15.8408559491519,17.6444020355114,15.3153976338112,15.6396229814437,15.7412237277818,15.6528829675207,15.5604942852469,17.8382502560729,15.6137259431312,15.3386139685889,17.7190908658563,15.7369711752355,15.5694598423308,15.5430671686295,15.6396229814437,15.5784054557851,15.5011985442582,15.5998514451597,15.7173341395177,15.5861167492975,15.62223577301,15.4601860045454,15.6483560088099,15.4872391915783,17.778640536192,15.5279288464514,15.5694598423308,15.5902454063533,15.4914753721741,15.5784054557851,15.2782418055016,15.7173341395177,15.6330907719899,16.079848837737,15.7236779826638,15.0307497671902,15.4715261993363,15.1285281367411,15.2656256373438,15.1466313161597,15.3727532877684,14.8860324610393,15.7543039417516,15.3361723599856,16.3211634579453,15.1991672102066,16.0081621254068,15.497656962855,15.4427484636557,15.1247650639104,15.1419048649179,15.3987961678306,15.4127844544612,15.2081611321862,15.8802102945326,15.8444728100864,15.7872373653575,15.4753175576711,15.6524603884943,15.4350297450264,15.4865415180249,14.6441676897691,15.579798603426,15.4314375473906,15.6367332971472,15.4575937671585,15.4427484636557,18.4870535566146,18.172292403692,16.4270751073281,17.5806140437011,15.4618324673152,15.6093136329526,17.4825085356132,17.1605430838116,17.4943916621189,16.6828267563143,15.5202249248053,15.4753175576711,15.5478718840472,15.5018786971053,15.3987961678306,15.5986272814562,15.6779763878554,16.1987347183225,16.9590601884754
