"","lfq_2.6.21.11.016.17.S.90min","lfq_SW.exo.23.9.21.124.90min","lfq_SW.exo.23.9.21.125.90min","lfq_SW.exo.23.9.21.127.90min","lfq_SW.exo.23.9.21.128.90min","lfq_SW.exo.17.9.21.118.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.131.90min","lfq_SW.exo.24.9.21.132.90min","lfq_2.6.21.15.036.17.S.90min","lfq_SW.exo.24.9.21.134.90min","lfq_SW.exo.24.9.21.135.90min","lfq_SW.exo.25.9.21.138.90min","lfq_SW.exo.25.9.21.139.90min","lfq_SW.exo.27.9.21.142.90min","lfq_6.6.21.27.067.17.S.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.27.9.21.145.90min","lfq_2.6.21.7.008.17.S.90min","lfq_SW.exo.27.9.21.146.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.27.9.21.148.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.6.9.21.59.90min","lfq_SW.exo.5.9.21.55.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.6.9.21.62.90min","lfq_SW.exo.7.9.21.63.90min","lfq_SW.exo.7.9.21.64.90min","lfq_6.6.21.25.067.20.S.T.0.90min","lfq_SW.exo.28.8.21.39.90min","lfq_SW.exo.29.8.21.41.90min","lfq_SW.exo.9.9.21.76.90min","lfq_SW.exo.9.9.21.80.90min","lfq_SW.exo.10.9.21.81.90min","lfq_SW.exo.10.9.21.83.90min","lfq_SW.exo.26.8.21.15.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.26.1.19.1718.018.2pt5","lfq_SW.27.1.19.1718.018.5ul","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.31.1.19.1718.27.2pt5","lfq_SW.31.1.19.1718.28.2pt5","lfq_SW.31.1.19.1718.29.2pt5","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.037.2pt5","lfq_SharonW.16.7.20.3.1718.039DK.90min","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.041.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.4.1718.046IC.90min","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.16.7.20.8.1718.050JM.90min","lfq_SharonW.14.7.20.12.1718.054RT.90min","lfq_SharonW.14.7.20.13.1718.055GP.90min","lfq_SharonW.14.7.20.15.1719.059OC.90min","lfq_SharonW.14.7.20.16.1719.061LC.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.21.116OC.16.8.16.90min","lfq_SharonW.24.7.20.20.116OC.30.4.13.90min","lfq_SharonW.24.7.20.19.116OC.8.5.12.90minn","lfq_SW.25.1.19.118OC.2pt5","lfq_SW.27.1.19.118OC.5ul","lfq_SharonW.22.7.20.14.155CB.6.2.18.90min","lfq_SharonW.22.7.20.13.155CB.8.4.14.90min","lfq_SharonW.22.7.20.12.155CB.9.4.13.90min","lfq_SharonW.22.7.20.8.159PG.29.7.14.90min","lfq_SW.exo.16.9.21.106.90min","lfq_SW.exo.16.9.21.107.90min","lfq_SW.exo.16.9.21.105.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SW.exo.16.9.21.109.90min","lfq_SW.exo.16.9.21.110.90min","lfq_SharonW.26.7.20.30.90min.283OM.10.518","lfq_SharonW.26.7.20.29.90min.283OM.14.2.17"
"A2M",27.4989268441903,27.0803828111948,26.7083289582545,27.0803828111948,26.8772364022498,27.0803828111948,27.0803828111948,27.0803828111948,27.610708180217,27.4989268441903,27.0803828111948,27.0803828111948,26.8772364022498,27.318748697096,27.0803828111948,27.4989268441903,26.7083289582545,27.0803828111948,27.4989268441903,27.318748697096,27.318748697096,26.7083289582545,27.0803828111948,26.8772364022498,27.0803828111948,27.318748697096,27.0803828111948,27.0803828111948,27.318748697096,27.0803828111948,27.0803828111948,27.0803828111948,25.8852335693665,27.0803828111948,26.8772364022498,27.0803828111948,27.0803828111948,25.7219422260694,25.6240043656648,27.318748697096,26.3287546612576,27.2064558576619,26.5986288614374,26.2311693771391,27.2064558576619,27.0116994131238,27.4406910777975,27.7155356396427,27.4406910777975,27.2064558576619,27.2064558576619,27.7155356396427,27.7155356396427,27.2064558576619,26.2311693771391,27.2064558576619,26.753575550294,27.4406910777975,27.2064558576619,27.4406910777975,28.0521755741348,26.4397467109884,26.5986288614374,26.5986288614374,26.5986288614374,25.9742337523023,27.2064558576619,26.8962573922034,25.874359528298,27.0116994131238,28.0521755741348,27.7155356396427,25.761433602555,25.874359528298,27.0116994131238,27.2064558576619,26.5986288614374,26.2311693771391,27.7155356396427,28.0521755741348,27.7155356396427,26.3287546612576,27.4406910777975,27.0116994131238,27.7155356396427,28.0521755741348,27.7155356396427,28.0521755741348,28.0521755741348,28.0521755741348,28.0521755741348,27.4406910777975,27.4406910777975,27.4406910777975
"ACTN1",24.0553176854999,18.8965359647699,18.7250267944796,18.4149886026858,21.1445178467326,20.0477553216435,21.6082198724529,17.769750002881,21.1445178467326,16.7584545681302,17.259991492436,21.280766267806,22.4270969900449,21.1445178467326,19.1498266896411,17.9011019019833,16.9570005064796,18.7663528152789,18.3236350304464,20.5001535961489,19.232649100425,18.9900258637111,21.5190792861569,18.8226382558307,18.753126656684,17.6694540366092,16.9045009655403,19.9314170476619,17.2210688018443,16.7859635274597,18.1610447104924,17.6372426225085,18.3236350304464,16.4470887523133,16.9112990171575,17.259991492436,13.6800277174653,18.0797161996674,17.090431077006,14.4212643296231,20.0834730766494,20.7784315005674,19.9809866572489,19.8146117304612,15.8263459525977,18.2009215000882,17.1602137593204,16.3981164820996,15.8558031297209,19.7102621765923,19.7448761346355,20.2854247575588,20.4464960307712,14.3246171316482,21.5291322587215,18.1399447847318,20.5098227039201,18.5310082118182,18.4925447259857,18.5310082118182,16.3498434325979,20.9699423095687,21.7404870771469,14.7490721555121,20.5098227039201,18.0795765266853,19.0799133928813,20.4779967236001,21.8223559690299,18.7003114976985,18.0008931328481,14.4094733878998,19.2703651149646,13.6158545108278,15.2475952182991,21.3523508249526,21.1393150762117,22.5390287781413,22.583748773754,19.222056776524,19.2703651149646,22.1856524115846,21.6520083215719,21.9016678046988,22.6775177868194,19.3519575725469,20.4134725325854,14.4293453286803,16.0616747385407,16.20423795578,17.9655649789879,21.0567961767608,21.4394167375046,21.9016678046988
"ACTR2",17.2503118077389,15.7246318415113,15.7853266377281,15.7031934500364,15.6025643845866,15.5770873015535,15.7339791191508,15.8126264804516,15.7069537270857,15.6010554476873,16.216477932313,15.6546454745409,15.7300129043363,15.6186914557423,15.6737533216282,15.5500562882071,15.8457441593513,16.1711165625964,15.8664025067384,15.6737533216282,15.9960371917276,15.6546454745409,15.7246318415113,15.5720330046756,15.4291255232116,15.4055851621932,15.435482947771,15.3842596221155,15.5924774606226,15.7111213061761,15.4005162017698,15.5253677989135,15.5357286924521,15.5453988721789,15.5453988721789,15.4466411686841,15.5975444516922,15.4414270218785,16.154809844193,15.4668617808139,16.1819788255461,15.8666681449312,15.6163231124889,15.3556630056557,15.6371852536945,15.8952728964153,15.6786457565668,15.6750009776697,15.6700003131886,15.9266278317793,15.1637375969255,16.4316106507741,16.4819394640332,15.6331997909984,15.9049849072974,15.3473700407818,15.742459649538,15.7140372216784,15.8589225533431,15.7776963157695,15.6457518726763,15.4158674775291,16.9004849473996,15.6093176656744,16.2940252985576,15.8546501599074,16.117507943699,17.2765899149909,15.6786457565668,16.1091050485006,15.3377053093288,15.6533681962671,15.6371852536945,15.546710115004,15.5426086443916,17.5929892371121,16.5102303653707,18.5286224424841,15.9639686558788,15.3773514026739,15.3919987659187,17.8919339695913,17.1638491945792,17.3339006272441,18.4286418694053,15.0407732805514,14.7469968430105,14.9853505150265,15.7333853515267,15.7057800404119,14.994582195462,15.4889730321663,17.4893023483902,16.1819788255461
"ACTR3",18.2723034946997,16.5357013937701,16.598760382993,16.4029401824795,17.745011484041,16.4855584594771,16.8228939227755,16.7396934534657,18.454703024227,16.8724628559515,17.0031215092776,16.5079268240846,16.6526441187806,16.0703269422646,16.6374217133575,17.0313172579867,16.4728712430929,16.7396934534657,16.2429049295172,16.0647564277297,16.3654698725862,16.5929171434163,17.9140595822336,16.5708345189166,16.6751833666524,17.0099770270103,16.7574052863542,17.0904784442475,16.5775648867376,16.5224347887016,17.1674814625866,16.5625784943091,16.3713034264057,16.4673892232292,16.5485663672781,16.6814240873953,16.4102320863164,17.2166808369989,16.7913393412163,17.2035654914697,17.4543076424758,17.4717020520446,16.4659772308788,16.159302989851,16.6265964637713,16.6593256045352,16.525993629993,16.6014425336782,16.5637140196346,16.5345342249719,16.6265964637713,17.0509793716608,17.0632231905539,16.5969249885017,17.4255095371985,16.5390833652023,15.6989774815838,16.7086734081159,16.6056102064025,16.6502550821642,16.5185368388842,17.4966361665755,17.5832464343758,16.6364667719935,17.1144070982642,16.7227599621767,16.7561611608341,17.360247619323,18.024548414473,16.2309056345299,17.1200071804012,16.5801652562403,16.0346385419532,16.4395188900644,16.5435180371605,18.394377711526,17.7383695619583,17.2927636363003,16.9304537614091,16.1433671740433,16.5024949635748,18.295338107966,17.9068686241112,19.0510898623974,18.8443631625567,16.8778395701245,17.158050316017,16.6542721041583,16.5752031913815,16.6944329206689,16.7805071882335,16.9406608515958,15.5522053111489,18.6269948952917
"ADAM10",17.8792872310577,15.6035406430666,15.8918367355763,15.9572754304696,16.8802979169124,16.1452513422446,16.946401085202,14.9605341103114,15.8090244691228,15.5860958711819,14.5767396854161,15.9211804065105,15.6520444302421,17.7933534508114,15.6420722422799,15.4497464578123,14.995442824855,14.9293971820353,15.4960866838018,17.5383938203322,15.280669596064,15.7365501604918,15.2763354334083,15.9983424023626,16.0750022095502,15.8641225759508,15.751498471049,15.8918367355763,15.9211804065105,15.0398450989869,15.8439246288287,15.8864649332723,15.5298781132729,15.8338773013622,16.1403014720662,16.0416752520421,15.1238975299631,15.7857308288639,14.8055055382359,15.796097106235,15.6405167935068,16.6859811948606,15.8751039429663,15.9633614422554,15.2450294517347,15.1914958532343,15.1247982317083,15.1616079806536,15.1778257311135,15.3861756158256,16.0304207734715,16.2930642879564,16.2519663683137,15.2325495135135,15.5224764427063,15.7058376057079,14.2010084958419,15.2240978375918,15.1652850721634,15.423535728716,15.2905409194463,17.1847615280092,15.6503822774114,15.4860834472125,16.0776056625156,15.4065630540612,14.6876090638994,15.9709358248357,16.7434837425401,16.2519663683137,16.082094269926,15.3531730089546,15.511700349899,15.3066277147928,15.2102322153025,17.4523481764085,18.0325601489934,16.5590342469313,18.7300165133613,14.8648371027593,15.2628014944974,17.714118486999,17.7867519596647,16.2821888265199,17.6319275929115,16.2370873709872,16.3608863171601,16.1138102713697,15.2154382921143,15.138923843891,16.1256713124545,16.6037607110696,17.6178250163729,15.9910714765422
"ADIPOQ",17.5898795492181,17.9021903502833,18.0758592524696,17.643887536745,17.9021903502833,18.3166305301138,17.9275780585946,18.0552226338906,17.453097649446,18.6040346439481,18.2160158894895,17.6999082221292,17.3631834309084,17.9191780415025,17.9362049761586,16.9555446333137,18.2491104869189,18.9505903583688,19.3139453016794,17.7209976213562,17.8511533675063,17.9021903502833,17.6640306925749,17.8753075430493,16.8826879644329,17.9984789800755,17.8660841264038,17.9021903502833,18.544940517718,19.5571278269404,19.4344630699203,17.9984789800755,17.362232896596,18.2956739205532,17.4215233220437,16.2021046863201,17.5529675871425,15.5970524504274,17.9823269563614,18.0552226338906,18.0268928532927,18.1741027391269,18.0087268545599,17.4456881833941,17.5830809531874,18.6253695848592,18.3920846743283,18.2409382683651,18.4401834470632,18.1844120239647,17.8887650692889,18.4678265436812,17.5284542034143,19.0049549296937,15.8360307519995,17.2053936707733,15.8885270703164,18.3684568785763,17.8971633381222,18.2293946656845,18.6528231918606,17.6289440018831,17.7412565323651,17.5086770882416,17.9615678248996,17.2634305859209,18.0850526289599,17.9804071274783,17.6915422702647,17.8971633381222,19.7579642142032,19.6906227621686,18.0944748350972,18.830490267848,18.7248450699832,18.4940751975198,18.1192410008418,17.5830809531874,17.3745629825938,17.8639037272307,17.6845784808844,16.7199738458279,17.7546197302553,18.0742707394939,17.6845784808844,18.1290757288455,18.4289076035736,18.4401834470632,18.0461124007949,18.2409382683651,17.8558464158974,17.67149864173,17.7105539279724,15.9722689055903
"ALDOA",19.3718779310093,16.076538206756,15.1239197845651,16.4326496106358,17.3485493091137,17.0307467477718,18.3282155218148,15.797138162503,18.4335172260171,15.4684261182065,16.109716954465,19.1916227177735,18.4621081909741,17.6526681256643,16.2920446421482,17.1171495382886,16.2514251008411,15.7115203802465,17.2638879218814,17.2363953748245,16.5566551770927,14.7286051063937,18.851485107529,17.7715145043477,16.625859401134,16.9247977488005,17.1981292208332,17.1528491039179,16.4807237829351,15.8808268022367,17.970082682718,16.7877825487022,16.8682122871862,16.625859401134,16.3120517478789,16.8478504503709,16.1923208639734,17.4927540331611,16.1336746250176,17.6404741627138,18.3087031742621,18.2819222233764,18.6735195930762,17.4115596652784,16.1255766615069,16.2450496659043,16.1888405539142,16.4351395374135,14.4987770622241,17.2332824286077,17.0744520440957,17.2332824286077,18.4723456725111,16.1331651362288,17.6982453486897,15.7866759594366,18.6385863684659,16.7390189832256,16.0895087327868,16.935549870993,16.1991629515861,18.7951138876802,18.708544958229,16.8978933248378,18.512724577295,16.949568936162,17.1868458737638,17.0047876298535,18.8536369272625,16.6941377624848,18.0677676428397,15.9433244377212,14.9172922520676,16.2101512830731,16.0331523840735,19.2529829769046,18.3332260568375,18.708544958229,18.4008930794249,15.9352579325163,16.0546073509533,19.0230572944255,17.7231117111519,17.7670857562523,20.7901142813401,15.4564010835342,17.5828474955733,16.152897747341,15.9131830420824,15.7946969050449,16.6993782745406,17.3358847043621,18.1707085183442,19.1238565528321
"AMBP",17.9366632468187,20.3787994372368,19.6488829604668,21.6510132088525,20.9287682805874,20.1402622230845,18.8097625506567,18.9434295325249,19.1285912832352,21.8688489345689,19.708464861938,20.6885543327222,21.0096423021577,19.6488829604668,18.8097625506567,19.9602298444848,19.1817011589597,20.2966950246282,20.3912854134033,20.2966950246282,20.6885543327222,21.4149334964126,23.8734524921424,19.0071307017613,19.708464861938,19.3017679382087,22.175549625156,21.2577236235351,20.1402622230845,20.3787994372368,20.3787994372368,20.5323508158506,21.2628802048035,20.0000057708941,20.5323508158506,21.8033550517258,19.8608177376345,20.9287682805874,20.071803161737,20.2966950246282,19.1804367886058,17.0923130549307,17.1176837245263,18.0478489158737,20.0446139703495,20.6904036146882,20.9658457876324,20.9062117275006,20.8745716808417,21.0614206762002,20.568846206156,21.3089780914617,20.3844769354132,21.4850628685225,16.856757158435,21.0614206762002,20.1398400850526,20.5447314326157,20.4429059708355,20.7174082358616,20.9658457876324,18.7442880474139,19.899110824904,19.4191489670366,20.5447314326157,21.0614206762002,17.9935120026371,18.1181434217619,20.2699882716404,19.6280304106218,21.1254939341225,21.4850628685225,19.4620237910284,18.9283350497317,21.3958465650411,19.6667074865754,20.2926444825452,19.8249645475269,19.6667074865754,20.6280141171977,20.6280141171977,19.6667074865754,21.0326220710223,18.5421019551398,19.0388796197296,21.9915378511119,21.9915378511119,22.0679469646026,21.4264249687466,21.3958465650411,22.3872231433624,21.7337835878268,18.6511591143337,20.1835795544318
"ANPEP",15.6566746396557,17.2050240005651,17.3626786748434,17.2462784029094,17.1950774548983,17.411659902766,16.9965879061568,17.1227746958099,14.8432224098752,17.4574395564929,17.3707377569788,16.9089830890527,16.5366855490944,17.1134216067963,17.085146446652,18.1288356994779,18.8609911314903,17.2992772716196,17.4574395564929,16.9887650938055,20.5891027498353,16.9645313437575,16.4790766086985,17.1227746958099,17.2050240005651,17.938240492833,17.0317473304132,17.085146446652,17.3258997875428,17.4357169209663,16.3973209370718,17.2821647775668,17.9683802166068,16.8585627707727,17.1134216067963,16.9887650938055,17.55876502627,16.9645313437575,15.4154685366719,16.7209434984103,17.0679180784613,17.1358887360713,20.7021193553698,16.6563729823106,18.4850603178064,17.9396363711754,17.5631512281377,17.5962078241013,18.3864086790069,16.7853055483604,16.8360798380662,17.1047043544355,17.0779190152818,17.961853646447,17.2398430244182,15.8050594905665,17.0907674991162,16.8552752810567,15.3669673969513,17.0779190152818,17.7118216641865,17.5696803455164,16.6262966884114,17.3822976135721,17.0424993380044,18.8277931721083,17.0308663858676,18.8883697013484,16.1900611931804,19.3287431982713,16.7723652180575,17.961853646447,14.3163151096245,20.9653808380305,16.5548816699778,16.7571314242967,15.8741745107042,18.4184050371938,17.0367757792161,17.4989562624826,17.7234750588827,17.3409712406365,14.2664487208838,16.878923110253,17.3068185337572,17.4062810210498,17.6885438034118,17.5857639738306,18.0582627514348,18.0967642541222,17.4827177959117,16.6563729823106,17.530876243702,16.5822403703872
"ANXA11",16.8503709591077,15.5798642630291,15.4701228398437,15.5975737595555,15.5456261978814,15.6626380066358,14.7749085398369,15.4611298991035,15.906957041159,15.3805658782628,15.3946902113097,15.7107759713776,15.8098260591153,15.7237030691763,15.6336337791858,15.7984701539659,15.6855290710404,15.4173237064321,15.5415824790753,15.805680265723,15.6423742584419,15.616644165505,15.7107759713776,15.6510952947478,15.5758266413538,15.6720028884982,15.7865362123488,15.658612998372,15.6938252639967,15.5358437100929,15.7192897585103,15.5622177343572,15.6699615881429,15.6018858867129,15.6423742584419,15.6626380066358,15.5663475668123,15.6510952947478,15.3584671697803,15.7865362123488,15.7044077512332,16.1399500794606,15.7927207950695,15.1171883505526,15.546899212434,15.2125120212137,15.3461677270302,15.2301607253264,15.4506059674578,14.9761041322961,15.8225778979357,15.4149433937367,16.3752065629558,15.281377720302,16.0700630421912,15.5723739703709,15.5188439338383,15.2088434192843,15.2255529303341,15.4759950482281,15.4896321627966,15.2901458523609,15.9453234065974,15.9104831018014,15.8546845370622,15.5505953897677,15.7232910988793,15.5113189915026,15.5615375757052,14.7403113091289,15.6524534678029,15.5078169749936,15.7079588318052,15.5333165501077,15.5188439338383,18.4867225904984,18.1798634291531,16.478459329711,17.6030389905361,15.5374488388708,15.6812275306869,17.5073963940604,17.1935137957644,17.518981197966,16.7277904043748,15.5943753698862,15.5505953897677,15.6213282598727,15.5764897191521,15.4759950482281,15.6708094570854,15.7481665261427,16.255851362937,16.9970890727188
