"","lfq_SW.exo.23.9.21.124.90min","lfq_SW.exo.23.9.21.125.90min","lfq_SW.exo.23.9.21.127.90min","lfq_SW.exo.23.9.21.128.90min","lfq_SW.exo.17.9.21.118.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.131.90min","lfq_SW.exo.24.9.21.132.90min","lfq_SW.exo.24.9.21.134.90min","lfq_SW.exo.24.9.21.135.90min","lfq_SW.exo.25.9.21.138.90min","lfq_SW.exo.25.9.21.139.90min","lfq_SW.exo.27.9.21.142.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.27.9.21.145.90min","lfq_SW.exo.27.9.21.146.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.27.9.21.148.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.6.9.21.59.90min","lfq_SW.exo.5.9.21.55.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.6.9.21.62.90min","lfq_SW.exo.7.9.21.63.90min","lfq_SW.exo.7.9.21.64.90min","lfq_SW.exo.28.8.21.39.90min","lfq_SW.exo.29.8.21.41.90min","lfq_SW.exo.9.9.21.76.90min","lfq_SW.exo.9.9.21.80.90min","lfq_SW.exo.10.9.21.81.90min","lfq_SW.exo.10.9.21.83.90min","lfq_SW.exo.26.8.21.15.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.26.1.19.1718.018.2pt5","lfq_SW.27.1.19.1718.018.5ul","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.31.1.19.1718.27.2pt5","lfq_SW.31.1.19.1718.28.2pt5","lfq_SW.31.1.19.1718.29.2pt5","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.037.2pt5","lfq_SharonW.16.7.20.3.1718.039DK.90min","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.041.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.4.1718.046IC.90min","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.16.7.20.8.1718.050JM.90min","lfq_SharonW.14.7.20.12.1718.054RT.90min","lfq_SharonW.14.7.20.13.1718.055GP.90min","lfq_SharonW.14.7.20.15.1719.059OC.90min","lfq_SharonW.14.7.20.16.1719.061LC.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.21.116OC.16.8.16.90min","lfq_SharonW.24.7.20.20.116OC.30.4.13.90min","lfq_SharonW.24.7.20.19.116OC.8.5.12.90minn","lfq_SW.25.1.19.118OC.2pt5","lfq_SW.27.1.19.118OC.5ul","lfq_SharonW.22.7.20.14.155CB.6.2.18.90min","lfq_SharonW.22.7.20.13.155CB.8.4.14.90min","lfq_SharonW.22.7.20.12.155CB.9.4.13.90min","lfq_SharonW.22.7.20.8.159PG.29.7.14.90min","lfq_SW.exo.16.9.21.106.90min","lfq_SW.exo.16.9.21.107.90min","lfq_SW.exo.16.9.21.105.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SW.exo.16.9.21.109.90min","lfq_SW.exo.16.9.21.110.90min","lfq_SharonW.26.7.20.30.90min.283OM.10.518","lfq_SharonW.26.7.20.29.90min.283OM.14.2.17"
"A2M",26.7620685344966,26.0854865929561,26.7620685344966,26.4292027576615,26.7620685344966,26.7620685344966,26.7620685344966,27.8059815989652,26.7620685344966,26.7620685344966,26.4292027576615,27.1760529136267,26.7620685344966,26.0854865929561,26.7620685344966,27.1760529136267,27.1760529136267,26.0854865929561,26.7620685344966,26.4292027576615,26.7620685344966,26.7620685344966,26.7620685344966,26.7620685344966,27.1760529136267,26.7620685344966,26.7620685344966,26.7620685344966,26.7620685344966,26.4292027576615,26.7620685344966,26.7620685344966,24.7406200283038,24.5493761320255,27.1760529136267,25.830255815965,26.7491756516594,26.0694609486163,25.6817804339459,26.5237301070554,26.2909357396741,26.7491756516594,27.0295617421068,26.7491756516594,26.5237301070554,26.7491756516594,27.0295617421068,27.0295617421068,26.5237301070554,26.5237301070554,26.5237301070554,26.2909357396741,26.7491756516594,26.5237301070554,26.7491756516594,27.4562040268083,26.0694609486163,26.2909357396741,26.0694609486163,26.0694609486163,25.5251045300204,26.7491756516594,26.2909357396741,25.5251045300204,26.2909357396741,27.4562040268083,27.0295617421068,25.3800755786488,25.3800755786488,26.2909357396741,27.0295617421068,26.0694609486163,26.2909357396741,27.0295617421068,27.4562040268083,27.0295617421068,26.0694609486163,26.7491756516594,26.7491756516594,27.4562040268083,27.4562040268083,27.0295617421068,27.4562040268083,27.4562040268083,27.4562040268083,27.4562040268083,27.0295617421068,26.7491756516594,26.7491756516594
"ACTN1",18.6794664873609,18.5140198933625,18.1473953074779,21.5503594144075,20.1942860510265,22.0636291532988,17.3266586491505,21.4876630315709,16.2805461084597,21.6189946141464,23.137633811592,21.4876630315709,19.0376796336524,16.7917784362401,18.5669348260378,20.8172506716328,19.1949869206785,18.9148319574027,22.0636291532988,18.6987645577867,18.5669348260378,17.3829181745027,16.1047728411903,20.073911845639,17.3266586491505,16.3711051161712,17.9666575159993,17.3829181745027,17.4104805886767,17.3457644768864,17.1952126604615,12.7779215420683,17.8177518944162,16.6636656945694,13.7327514429695,19.5735488779889,20.1715988038103,19.3884078454942,19.3148765235287,15.6046125667841,17.7221829201778,16.675006713421,16.0570737473101,15.4868132089794,19.1657274379487,19.3148765235287,19.7718890945645,19.974476270065,14.1534600335952,21.195976659434,17.6990515177624,19.974476270065,17.9985488117576,17.9613447120829,17.9985488117576,16.0373433174756,20.4507155306122,21.195976659434,14.5845722582894,19.8896819765624,17.5835382272888,18.5867489912144,19.974476270065,21.2909427210023,18.1785189661492,17.5634769524628,14.2548112885079,18.7274200112755,13.5907627157881,15.0618820549633,20.8507112815812,20.4958849537028,22.0156437479562,22.0156437479562,18.6557804830859,18.7561410092572,21.6314783935872,21.092758528185,21.3977396931,22.2113027059398,18.8688106849251,19.7718890945645,14.2682756540356,15.7341599497343,15.6347770217222,17.5277532374596,20.4958849537028,20.940620489798,21.3977396931
"ACTR2",15.6985356792914,16.2224334055518,15.8393500085086,15.5068504223994,15.8513806963638,15.9077995972767,16.1426412938592,15.3441563076977,16.8264602274833,15.3557535714443,15.9907235924363,16.1426412938592,15.8513806963638,16.3621094722132,16.4899581445349,15.8156203085808,15.6862404701101,15.6139162386196,15.2352622102378,15.4852572146033,15.4047579380611,15.1159622728147,15.261819896711,15.2744072460373,15.5321756833512,15.9780259504406,15.1532428977698,15.332351831129,15.673556957352,15.5321756833512,15.4852572146033,15.8047878682224,15.3935932408223,16.6539195929415,15.6494466704103,15.9207510937216,15.5241458144305,15.4689693399584,15.462905828163,15.6079680675133,15.594170001509,15.5075003202717,15.534001908311,15.6214663077877,15.7222486180431,15.1217629501444,16.0569434221404,16.1217936356255,15.6289338794812,15.9546033353859,15.4845301647642,15.8377671304613,15.5109842112551,15.6144551345701,15.6596001950451,15.3122945719961,15.2521972164728,16.417434626542,15.5142275883483,15.976197981736,15.7255765043607,15.91083298573,16.7597044828723,15.4936382552447,15.87606367045,15.0752259628715,15.5545307943581,15.5979937494274,15.600905249743,15.6175585646446,17.064889999912,16.1037610133167,18.1355669857307,15.7849935702359,15.1896677299255,15.2619297356702,17.3436876723635,16.669337424741,16.795445680527,17.8490988144337,15.0856413307442,14.6966012409032,15.0071231094518,15.319088206454,15.3753816099233,14.9013203204656,15.0856413307442,16.9748911596503,15.9038707305874
"ACTR3",16.4286302255282,16.4583631107412,16.4929023294394,17.9765834653583,16.414250562456,16.7626523160634,16.2578354248369,18.91986078524,16.756286093211,16.4211182519806,16.6036672814428,15.8589727185474,16.4211182519806,16.5509927846136,16.5716885591757,15.9181896450524,16.1664660079151,16.189238982859,18.0994194859768,16.1813828279792,16.2860562245963,16.544529046374,16.2860562245963,16.5282270154271,16.3401762015329,16.2795356661035,16.9715751427936,16.4356928017312,16.4286302255282,16.1813828279792,16.189238982859,16.5067288397792,16.9810237975712,16.9010577650139,16.8130454877766,17.0277700238888,16.8968962307401,16.2959360124657,16.0580107005164,16.2871393052548,16.390367495107,16.3384095655207,16.2476587245863,16.3107507243463,16.21285670366,16.3468310172551,16.6260936848895,16.6503327438669,16.4159240436145,17.0096605836207,16.1801448174936,15.5218324138406,16.4594606370047,16.3937514848027,16.3504993793384,16.2095858956546,17.0455664574502,17.1154620146902,16.1382727684393,16.6759128376848,16.4757436364701,16.3611328701823,16.9331005473481,17.4553138642527,16.0067170869811,16.8064404672939,16.3068198917334,15.8861178206401,16.2692696622387,16.21285670366,17.8816372775412,17.2653273037189,17.1154620146902,16.6260936848895,15.9185662481258,16.1944505307563,17.808532195807,17.4288521898231,18.4955735345923,18.3636051631878,16.5292830929069,16.7797373415269,16.3504993793384,16.2582510295752,16.354800790618,16.5292830929069,16.7175261452949,15.4275471708647,18.1182780037232
"ADAM10",15.5305638302962,15.8265679853485,15.3500336946571,17.0122812907379,16.0957555684767,17.065286547384,14.6301949624889,15.8143266944519,14.4445950058357,16.1065160189155,15.7528478622556,17.9595528002575,15.689701121742,14.6478416401234,14.8341859558103,17.7833668917278,15.3253403841226,15.1515463209704,15.2372282074023,15.703256345846,16.0902515116422,15.9771484220455,15.7950870213711,16.395416893392,15.537279385833,14.7890225491736,16.1473445044847,15.9275541961657,16.1065160189155,15.2765032557764,15.8574672963048,14.7840679553735,15.9839697013184,14.7283558073213,15.8911514794344,15.4687871413965,16.1670792805902,15.766518030654,15.8318353640627,15.0588876816304,15.0180158370882,15.0540454138448,15.0180158370882,15.1200714804423,15.1235422475844,15.859905843246,16.0189829586751,15.9994432632181,15.1366532053288,15.3247766775685,15.2815131494676,14.0932296857569,15.0063361565299,14.9985794620675,15.1409269891399,15.1167574951992,16.7233397420714,15.445228153475,15.4189848404503,15.8348308374774,15.2012474327975,14.5518678421865,15.751815998801,16.3256442919854,15.9635479073485,15.9782128024792,14.9907358871921,15.2607787655719,15.0348050109611,15.194265912912,16.9695298578688,17.5344118698167,16.4189305418885,18.2464670097577,14.6858236137381,15.0953093566875,17.2651080013217,17.2651080013217,15.9859274276121,17.2651080013217,16.1492371680542,16.0812042148507,16.0062001540728,15.0463610810041,15.0220866167635,16.0879370320372,15.9859274276121,17.1527028214741,15.7831866098843
"ADIPOQ",17.463540129515,17.8848751140915,17.3989102338218,17.615050052744,17.9810380776829,17.4849745024313,17.7095160879851,17.5372478271495,17.9259430122323,17.580583344443,17.2487407576338,17.3989102338218,17.6046287738881,18.006033486078,18.6330790659894,17.6793790281567,17.5483409337803,17.3718825475094,17.2174958857054,17.7933059918922,16.5266004324975,17.9126244449671,17.5282392619136,18.0204727722137,18.2289183305462,19.3942451740266,19.2140895027158,17.5611363316303,17.9810380776829,17.0832375708295,15.9105378028453,17.125868842551,15.3394659892413,17.746300873744,17.8594731328687,17.6886453654948,17.6673965507921,17.8206290964542,17.2176041455026,17.2233105296117,18.1604829837007,18.1239685529214,17.8105993103738,18.1997164032688,17.7743645790455,17.5037638485829,17.9540158248974,17.1877725886914,18.4882401985553,15.9146204370387,16.9719308258478,15.9076223857286,17.9306033622751,17.5357018649139,18.0380784801042,18.21477911685,17.2578298651843,17.417719200414,17.1818960100225,17.5581899558223,16.9493041974401,17.7273318746167,17.5275187156628,17.2825517712103,17.716740332639,19.2852873416486,19.133507894079,17.5847837493108,18.3248676439762,18.2427173541017,18.110034201158,17.5203042040043,16.9898572096947,17.3555248665906,17.4442616024879,17.2887578863408,16.5856406460314,17.376029748824,17.6593834357983,16.8838748613181,17.7558192753184,18.0131407546746,18.084381197523,17.6593834357983,17.7651942968625,17.7743645790455,17.4371378337334,17.376029748824,15.9993433305881
"ALDOA",16.2129951195683,14.6691190152232,16.2729289615573,17.2675808701369,16.9934556062489,18.3886719887217,15.6622108601415,18.6068801264172,15.5793883941133,19.4304879417899,18.660732832895,17.6169921499304,16.247035581489,15.8755262202549,15.5683104361643,17.1880089021142,16.4020707551081,14.2672133330217,19.1285725508144,17.729378188406,16.5365125476005,16.5318715984044,16.8908584691552,17.2208203305096,16.2782825605569,15.6326263986751,17.634515367163,16.5645157585056,16.7922688956415,16.332132472151,16.3918453845644,16.0338783292502,17.47305581242,15.7270795391475,17.457545914021,17.8195894783373,17.6481267871596,18.0980809254419,17.0554777184437,15.7807254734062,15.9829827989065,15.9719089633771,16.0529819063849,14.5242234387657,16.7372187822376,16.677665030424,16.7642471360484,17.9332503204633,15.7690152546926,17.195344439476,15.7065955815093,18.0661340054066,16.2606989096038,15.8778940197361,16.4932213832194,15.7768704571883,18.1995978717226,18.1306841783516,16.5789839750014,17.9757574248703,16.519122644307,16.7531376034556,16.571444483432,18.2471826670276,16.3217404600441,17.5903582072768,15.493348744379,14.9307804666628,16.0096926995321,16.0864140161457,18.6546211556489,17.8317171508414,18.3661518107831,17.8961828367759,15.7690152546926,15.8303620913583,18.4360809628815,17.2114039712625,17.2647144149881,20.0144302474839,15.3732111130802,17.1033437570496,16.0056739250719,15.5409411858475,15.4615733526667,16.419290650289,17.0304076890812,17.6928059428895,18.5318082070354
"AMBP",20.0331422590445,19.0974880506282,21.1846255630591,20.5533464472247,19.8384017940963,18.254358984422,18.1658184622091,18.7588796632661,19.2677769778096,20.4402488664486,20.6756459305488,19.1817307030511,18.1658184622091,18.5993393859857,19.9381943480515,19.8384017940963,20.2527545176197,21.1846255630591,24.3645516401105,18.4246047900455,19.2677769778096,18.9371206165778,21.704385081262,20.9679939176966,19.6536877238539,19.9381943480515,20.0331422590445,20.2527545176197,19.6536877238539,20.0331422590445,21.704385081262,19.4531151102103,20.7790012116772,19.6536877238539,20.0331422590445,18.6446425550744,16.5641280364804,16.8548319342823,17.7534958603122,19.5097712483186,20.2426093619158,20.5212923127206,20.4886322870877,20.4164667698389,20.5973576074914,20.1512407546148,20.9061074329817,19.9180861638454,21.0638148062084,16.4808579898328,20.6346042585152,19.6134225477643,20.0896027904196,19.9473947881636,20.2700880482225,20.6346042585152,18.2155015520718,19.3969834090505,18.9297746015105,20.0896027904196,20.6346042585152,17.4943082301411,17.6208322016097,19.8166455840285,19.0880760830562,20.7844588796566,21.0638148062084,18.9415873926752,18.4034690206708,21.0265204210362,19.12458913661,19.8399219460173,19.526921304964,19.1995372360228,20.1870401859054,20.1870401859054,19.1621390600652,20.5212923127206,17.985110419282,18.591643721067,21.5755386042713,21.6252995403075,21.6780738231985,21.0265204210362,21.0265204210362,21.9661834241109,21.2572758950191,18.1640236578888,19.7018638144173
"ANPEP",17.0252672464812,17.2710981086898,16.6844354380863,16.8732099897494,17.3464013457047,16.5080799392821,17.2846126947069,14.3930248238043,16.7682762053385,16.7568001533406,15.7768790108564,17.1682440308209,17.3195405420058,18.7960219788439,17.0252672464812,16.7139830645394,20.9199099673862,17.5739069022492,15.8500889972996,16.5479468668829,17.0829774672702,17.7580584657745,16.8427824999251,17.002457231834,17.2846126947069,17.3715732662908,16.3842505441043,17.4385968423022,17.1336016398343,17.2846126947069,17.0595157079514,17.0720381840223,16.1775547288418,14.8198698850992,16.3940769541417,16.7953226540184,16.891477915349,20.2600601511648,16.4990689112842,18.115119837493,16.8567990356431,17.0734620210534,17.13247228821,17.9627811473281,16.4732115251018,16.3682382080432,16.3354581614991,16.5475728902899,17.5152197976283,16.769789840963,15.6799358228136,16.5792731908262,16.4885216518027,15.2267150452086,16.8136560128195,17.6983926154916,16.9066243037477,16.3650932304386,17.05822885099,16.3217635627484,18.4471778469257,16.9119586919469,18.4651102243745,15.9639285358272,18.91150863791,16.51018602352,17.5311672489789,14.1970770752183,20.6160058269818,16.2540509640266,16.3497287505185,15.6799358228136,16.6343484048396,16.3610827342974,17.3556853260832,17.1540498614651,16.999750692354,14.1551998805999,17.0475724027504,16.2799025217825,17.25677623302,17.2449969111701,17.239568911894,17.3505734150528,17.3307423777691,16.9272074745603,16.4141662278456,16.8184319717206,16.2859860236928
"ANXA11",15.6619465470356,15.2049442198108,15.5116938418791,15.6725885441442,15.6619465470356,13.686478273922,15.6413087351743,16.3872659800953,15.2159937247025,15.8231001013322,16.7079019736937,15.7408929477399,15.7030511965364,15.814785737059,15.8730319863151,16.216209705035,15.5040217180108,15.7627185197294,16.2444903274226,15.5205140128521,15.559299536948,15.577688017336,15.6619465470356,15.559299536948,15.782595214369,15.4945851322152,15.5974740115307,15.3767049052668,15.6932954544345,15.5681201120793,15.6171035106491,15.7627185197294,15.559299536948,15.0541922110876,15.4945851322152,15.4065655465871,15.7241659468016,15.6741745462765,15.0595726693765,15.3496556646322,15.209779774804,15.2596464189029,15.209779774804,15.3111202687523,14.8846217846594,15.6211232128038,15.3399482898002,15.9980977391268,15.3145388702608,15.8529651212684,15.4265151207414,15.3908049886968,15.1948431490692,15.2233242156005,15.444270072314,15.375904167829,15.0723488301121,15.6845787039873,15.496816678609,15.4609442288088,15.4307954992596,15.4676339234933,15.3111202687523,15.3304622841444,14.6305043141259,15.5176565895718,15.3304622841444,15.5116469542332,15.3073393704845,15.5176565895718,17.7476664057741,17.4734239625566,16.2759198618674,17.0435136960077,15.3969826657903,15.5273187473742,16.9237079646434,16.634337846638,16.8646483056497,16.3614105554182,15.4543020017742,15.3145388702608,15.2999393953475,15.2999393953475,15.2827760171881,15.444270072314,15.6335867532306,15.8983831103322,16.4887413171119
