"","lfq_haronW.14.7.20.12.1718.054RT.90min","lfq_haronW.14.7.20.13.1718.055GP.90min","lfq_haronW.14.7.20.14.1718.056SB.90min","lfq_haronW.14.7.20.15.1719.059OC.90min","lfq_haronW.14.7.20.16.1719.061LC.90min","lfq_haronW.16.7.20.1.1718.031XK.90min","lfq_haronW.16.7.20.3.1718.039DK.90min","lfq_haronW.16.7.20.4.1718.046IC.90min","lfq_haronW.16.7.20.6.1718.048LW.90min","lfq_haronW.16.7.20.8.1718.050JM.90min","lfq_haronW.21.7.20.4.170OK.11.5.17.90min","lfq_haronW.22.7.20.12.155CB.9.4.13.90min","lfq_haronW.22.7.20.13.155CB.8.4.14.90min","lfq_haronW.22.7.20.14.155CB.6.2.18.90min","lfq_haronW.22.7.20.16.162HN.13.11.18.90min","lfq_haronW.22.7.20.8.159PG.29.7.14.90min","lfq_haronW.24.7.20.19.116OC.8.5.12.90minn","lfq_haronW.24.7.20.20.116OC.30.4.13.90min","lfq_haronW.24.7.20.21.116OC.16.8.16.90min","lfq_haronW.24.7.20.22.198WS.20.3.18.90min","lfq_haronW.24.7.20.25.161HM.9.12.14.90min","lfq_haronW.26.7.20.29.90min.283OM.14.2.17","lfq_haronW.26.7.20.30.90min.283OM.10.518","lfq_haronW.9.7.20.11.1718.053AT.480.90min","lfq_W.1.2.19.1718.30.2pt5","lfq_W.10.6.21.3.CPH005.17.S.90min","lfq_W.10.6.21.5.CPH008.20.S.T.0.90min","lfq_W.12.6.21.11.016.17.S.90min","lfq_W.12.6.21.15.036.17.S.90min","lfq_W.12.6.21.7.008.17.S.90min","lfq_W.16.6.21.19.038.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min_20210617162605","lfq_W.18.6.21.31.071.17.S.90min","lfq_W.18.6.21.35.086.17.S.90min","lfq_W.25.1.19.118OC.2pt5","lfq_W.26.1.19.1718.018.2pt5","lfq_W.26.1.19.1718.037.2pt5","lfq_W.26.1.19.1718.038.2pt5","lfq_W.26.1.19.1718.041.2pt5","lfq_W.26.1.19.1718.043.2pt5","lfq_W.27.1.19.118OC.5ul","lfq_W.27.1.19.1718.018.5ul","lfq_W.27.1.19.1718.038.5ul","lfq_W.31.1.19.1718.27.2pt5","lfq_W.31.1.19.1718.28.2pt5","lfq_W.31.1.19.1718.29.2pt5","lfq_W.exo.10.9.21.81.90min","lfq_W.exo.10.9.21.83.90min","lfq_W.exo.10.9.21.84.90min","lfq_W.exo.16.9.21.105.90min","lfq_W.exo.16.9.21.106.90min","lfq_W.exo.16.9.21.107.90min","lfq_W.exo.16.9.21.109.90min","lfq_W.exo.16.9.21.110.90min","lfq_W.exo.17.9.21.118.90min","lfq_W.exo.17.9.21.119.90min","lfq_W.exo.17.9.21.121.90min","lfq_W.exo.17.9.21.122.90min","lfq_W.exo.23.8.21.6.90min","lfq_W.exo.23.9.21.123.90min","lfq_W.exo.23.9.21.124.90min","lfq_W.exo.23.9.21.125.90min","lfq_W.exo.23.9.21.126.90min","lfq_W.exo.23.9.21.127.90min","lfq_W.exo.23.9.21.128.90min","lfq_W.exo.23.9.21.129.90min","lfq_W.exo.24.8.21.16.90min","lfq_W.exo.24.8.21.7.90min","lfq_W.exo.24.9.21.131.90min","lfq_W.exo.24.9.21.133.90min","lfq_W.exo.24.9.21.134.90min","lfq_W.exo.24.9.21.135.90min","lfq_W.exo.25.8.21.11.90min","lfq_W.exo.25.9.21.136.90min","lfq_W.exo.25.9.21.137.90min","lfq_W.exo.25.9.21.139.90min","lfq_W.exo.25.9.21.140.90min","lfq_W.exo.25.9.21.141.90min","lfq_W.exo.26.8.21.15.90min","lfq_W.exo.27.9.21.142.90min","lfq_W.exo.27.9.21.144.90min","lfq_W.exo.27.9.21.148.90min","lfq_W.exo.28.8.21.39.90min","lfq_W.exo.29.8.21.41.90min","lfq_W.exo.5.9.21.53.90min","lfq_W.exo.5.9.21.55.90min","lfq_W.exo.5.9.21.56.90min","lfq_W.exo.6.9.21.59.90min","lfq_W.exo.6.9.21.62.90min","lfq_W.exo.7.9.21.63.90min","lfq_W.exo.7.9.21.64.90min","lfq_W.exo.9.9.21.76.90min","lfq_W.exo.9.9.21.80.90min"
"A1BG",29.3635025146318,28.8875019595694,28.7300659436158,27.203369623378,26.8448373343177,25.9327725273904,26.6807585172505,26.1496008716222,25.5600267883347,26.4746892542621,29.1117346764927,28.2662029481371,28.0084756032466,27.2427819088437,26.7247837835038,26.641930675144,26.0673203575455,28.1361152001985,28.2198611778797,25.9964758601231,27.4045956031489,25.3903988732487,26.3211546168931,27.3026723864072,27.5126093134517,26.8084781098859,27.2217644448854,24.8424463495028,27.284912481732,28.1212692831078,26.2112570243461,27.1104340226861,26.9952484227576,27.3985772986205,25.6139349109833,28.2662029481371,25.1511385438401,26.0343774785603,24.4940706816146,26.6953865901021,25.6831046019778,24.786941379823,25.5312558867559,25.6340679588693,27.7975826839303,26.3560036761724,24.6248597668836,28.5143418350735,29.0877142846462,20.7634202249775,29.7206250890873,29.3635025146318,29.0167435985304,24.8472608317064,23.9280829308585,28.4608569981812,28.5401406272914,27.741221249115,29.0877142846462,22.6112092185569,26.2030082961399,28.3602760139975,28.243043373325,25.5745134979696,28.3159517782877,28.5670462851621,26.4997273501812,27.2045393430686,29.200347689242,27.9568023294162,26.3914036652729,28.5143418350735,21.592273082819,26.6045425817599,27.7608322635055,25.859808980285,27.3020319218224,27.6767809636156,28.7061867028024,25.0491420838507,27.6583320143285,25.9411829599919,28.5670462851621,26.6613653988587,26.5220626572554,28.243043373325,28.1212692831078,26.1875654913259,26.3724883602836,26.9679258417769,24.7147817347645,27.334031070292,27.3020319218224,27.8909154688007
"A2M",35.1085111649438,35.9974717161914,35.1999707509347,35.6524016665841,35.0071816658359,35.5207694876587,35.9974717161914,35.6524016665841,35.7982177078281,35.5207694876587,37.0130897977952,35.7982177078281,36.2538581286383,35.5207694876587,35.9974717161914,37.0130897977952,36.5198523201936,35.6524016665841,35.5207694876587,37.0130897977952,35.9974717161914,36.2538581286383,35.9974717161914,35.1999707509347,35.7982177078281,34.6766661572366,34.8556137701445,36.3130024053812,35.8778197351006,36.3130024053812,36.3130024053812,36.3130024053812,36.764493034137,35.2921080969965,36.3130024053812,37.0130897977952,36.2538581286383,35.9974717161914,36.5198523201936,36.5198523201936,35.5207694876587,37.0130897977952,36.2538581286383,36.5198523201936,36.2538581286383,36.2538581286383,37.0130897977952,34.8556137701445,34.196930859778,37.6016996572825,37.0130897977952,37.0130897977952,36.5198523201936,37.0130897977952,36.2538581286383,35.8778197351006,35.8778197351006,35.5396119081099,35.2921080969965,35.8778197351006,36.3130024053812,36.3130024053812,35.8778197351006,36.3130024053812,36.3130024053812,35.8778197351006,36.3130024053812,36.3130024053812,35.8778197351006,36.3130024053812,36.3130024053812,36.3130024053812,36.3130024053812,36.764493034137,35.8778197351006,36.764493034137,36.764493034137,36.764493034137,35.5396119081099,36.764493034137,36.3130024053812,36.3130024053812,35.5396119081099,36.764493034137,36.3130024053812,35.8778197351006,36.764493034137,36.764493034137,36.3130024053812,36.3130024053812,36.3130024053812,36.3130024053812,36.764493034137,36.3130024053812
"A2ML1",23.8229532192527,23.7085991669658,24.0143756350184,24.8817735774323,24.1057112562232,26.6782553446554,24.0007944289518,23.2214833051228,24.6153330883329,23.7408073118985,23.8484103274328,24.2545694609804,24.1816738870613,24.187741190264,24.2295327168864,24.2162125068529,24.5022803480016,24.2661018251015,24.4035129916278,24.3581912503659,24.3209228751896,24.0339167425396,23.9825451498121,24.3922919352257,23.5038855243758,25.128998594066,25.637800965727,23.6718625460398,23.8145647023182,24.2349340338191,23.4809942202269,24.4754828078031,24.263503277547,24.1115419725725,24.7084538587451,24.8785245643469,25.1614691703263,24.956783098843,25.0626742948098,24.7656004734237,24.5097927794305,24.8194193504186,25.180230172415,24.9960080671138,24.648942790835,24.6009872290323,24.6528334243693,24.7747307398353,23.681158089694,24.6917525336454,24.8869624748352,24.7723417353622,24.5939331261631,24.8769809542087,24.5547575112998,23.9930577400656,24.3556147223754,24.1652026000611,24.2349340338191,25.3718867385271,23.7169561360972,24.4631700503615,23.8359773050283,24.6369565659458,24.561487256749,23.92696470735,24.5853032652012,24.4713963934524,24.8277470033066,24.542177446925,23.7705206908572,23.7077027058502,24.3981075975727,24.8705975832534,23.9070447121778,24.7661216821008,24.2708532954026,24.492630561318,24.9094253482305,25.8009561583063,24.6095513368654,24.3125324386502,24.5496126792472,24.6878814984832,24.6131516921418,24.231003693543,24.6917525336454,25.1064062038434,24.8923957673447,24.9179163725535,25.9618589101453,25.1676869025857,24.6174451471288,24.1774564850764
"AARS",24.1092703555786,24.0609025083784,24.0128673487775,23.9591281302831,23.886755453921,24.0451560192445,24.1803350167337,24.0880722945634,24.1659621936893,24.0900176576938,23.9814400428912,23.7972002068982,23.3983096455645,23.9094822509271,23.9023909322511,23.9772474365967,23.8751162897363,23.9157708226344,23.9004348850068,23.9329651996777,23.7453244271262,23.9193870023576,23.9858471937635,23.8947146483716,24.0939055966768,24.1778978446558,24.2772349496966,23.5751584986811,23.9562443618319,23.8525940048688,23.9752862806818,24.0171845710294,23.9532456171117,23.6703471086001,24.0026739440606,24.2771374026412,24.3503725977219,24.3374758658534,24.3869668770775,24.2083821842893,24.3229783646628,24.2542073583427,24.3594731500798,24.3814739376907,24.1328202170514,24.1571114779589,24.0918771687669,24.1007588729243,24.162953385252,23.8648860479711,24.1151600209327,23.9899402666766,23.8887406885591,23.9572249691229,23.7259903390398,24.0210495809149,24.2613428698982,24.162953385252,24.1980805348349,24.3987529929542,23.5106884937729,24.0827757336792,24.0135274959189,23.9793380299037,23.998748532964,23.888316228142,23.8101122136304,23.9407758790544,24.1555577237134,24.0482111743685,23.6577235797324,24.151867189719,23.8101122136304,24.1090022069981,23.9838674591182,23.9363753949903,23.7682863508661,24.1858717678909,24.1236289712589,24.3431522490484,24.1127583333233,23.7599323077098,24.1127583333233,24.0135274959189,24.1555577237134,24.1555577237134,24.1480062668841,24.2812944097073,24.0827757336792,24.382522348343,24.3473574768275,24.1555577237134,24.0403555609876,24.1778978446558
"ABCA9",23.9172822857936,24.1849687181468,24.1957722259514,24.0620208972613,24.2112110662345,23.9468508824828,23.9991191553148,24.0537522418816,23.9891697619426,24.1175318913658,24.0138897653354,24.2371891994873,24.129135475052,23.7941880034456,24.3261384112648,23.9366846962458,24.0453103856265,23.7553236516871,24.2352706410827,23.8553496087176,24.1531505736388,24.2480602702369,24.1423221306792,24.4171476432832,23.8490995112821,23.945802332838,23.8899646276662,23.945802332838,24.0561191950567,24.2231657498959,24.0308328462212,24.1267470334127,24.0561191950567,24.0531215907557,24.0196598677428,23.8681278153664,23.8361298011232,23.8381861135664,23.8470802586837,23.7871166927664,23.7825441092348,23.8032257550142,23.831603296203,23.8404622768346,23.9150811260998,23.8295032104623,23.7961013334714,23.9601896560359,23.8899646276662,24.1207687808132,23.9016244798929,23.8759729426083,23.9802956110886,23.9675810316301,23.9408353291846,23.9906925713689,23.8590655679254,23.9223831620202,23.9131892799057,24.1330875361389,24.1641191289214,24.0503258684786,23.7313340939579,24.2407760035274,23.9753496032435,23.8725918614943,24.0254661580812,24.103763752452,24.0503258684786,23.9223831620202,24.0335910669991,23.8648834292612,23.9753496032435,24.0903924154157,23.0585069331989,23.9486108387076,23.8787856918921,24.5691303071732,24.0077516517597,23.9072347140217,24.1500083916559,24.0619439502715,23.8535554929917,23.9906925713689,24.1098930715159,24.0168493116888,23.9683137666289,23.8072010650897,23.8958979542154,23.945802332838,23.916328033677,23.9373065483555,23.9601896560359,23.8725918614943
"ABCB6",21.8155961769194,21.9442901653898,21.8434071749406,21.7744474006571,21.7588718728968,21.6182189917578,21.8838799309182,21.7883033668836,21.7255645864945,21.8712970945407,21.8155961769194,21.7107898860769,21.5810021945151,21.544202907187,21.7107898860769,21.4838872168302,21.4607562247982,21.4607562247982,21.6752658634106,21.2657685642982,21.6366447215412,21.7588718728968,21.7744474006571,21.7744474006571,21.7107898860769,22.0804627566109,21.8937319590273,21.7368235932762,21.6996051040942,21.8171247388227,21.9366336068024,21.7368235932762,21.855038116877,21.524367933341,21.7768832272324,21.5072868195093,21.7430233606993,21.6366447215412,21.6752658634106,21.5810021945151,21.8010427381352,21.5258166482858,21.7255645864945,21.7430233606993,21.5258166482858,21.561926084481,21.4607562247982,21.6609941503887,21.6220817014287,21.6996051040942,21.4838872168302,21.4607562247982,21.4838872168302,21.5258166482858,21.2657685642982,21.6220817014287,21.476251992118,21.524367933341,21.6220817014287,21.8171247388227,21.3575098443045,21.476251992118,21.6220817014287,21.3575098443045,21.6996051040942,21.476251992118,21.476251992118,21.524367933341,21.6996051040942,21.6220817014287,21.476251992118,21.7768832272324,21.3575098443045,21.6609941503887,21.476251992118,21.7368235932762,21.6609941503887,21.6609941503887,21.4250670110015,21.8171247388227,21.6609941503887,21.524367933341,21.524367933341,21.6220817014287,21.5729427775933,21.476251992118,21.476251992118,21.6996051040942,21.6220817014287,21.855038116877,21.5729427775933,21.5729427775933,21.6220817014287,21.524367933341
"ABHD10",24.7211579692619,24.6607867777933,24.6183855824202,24.593088685947,24.4020051378073,24.7012624670062,24.7284850185071,24.6677223525922,24.7999293708819,24.6535144671265,24.5349021863952,24.2358926091229,24.2648555390628,24.1655530192439,24.3155592114752,23.7133824902162,24.2186570454163,24.7398341943605,24.4419954748761,24.2375534860787,24.027379238776,24.4804544497061,24.6254597590018,24.36833700804,24.7621604255593,24.7666259515166,24.9737237015094,23.8177711137843,24.4273697948543,24.3030074551675,24.4934870907456,24.5463423373473,24.4658427970989,23.9983748332629,24.4541751826997,25.0719391988326,25.0839562205998,25.0110375743586,25.0978374213887,24.9031345306131,25.065225049756,25.0343963624067,25.0553247975676,25.0978374213887,24.834968520028,24.8145445649248,24.7745127479495,24.7279750391222,24.7358484789809,24.378538776244,24.7833542027936,24.6796311783249,24.4918209262271,24.5874675364284,24.3441076266903,24.623619218497,25.1592583632257,24.7199960030045,24.895721035824,24.9274464950577,23.8692530005201,24.8220667638262,24.5747024415908,24.5302709546413,24.6922698988868,24.2918938234926,24.3994251924288,24.5796580594618,24.8914178967764,24.6847452079865,23.8918712324131,24.8479281734848,24.2533656549408,24.6270686073571,24.5747024415908,24.6730035556887,24.3460991226023,24.6847452079865,24.6659326312845,24.9115050429045,24.8479281734848,24.2683161825852,24.8374624721602,24.6024968404681,24.9231132953115,24.9351738602542,24.8258818907564,24.9580980497827,24.8409124646849,25.0038810938471,25.0898686130396,24.9115050429045,24.7633014289915,24.8147718836896
"ABHD11",24.9449881511801,24.8828108490593,24.8221795103945,24.7676279833743,24.668871787444,24.9266575048428,24.996687183709,24.9163603718728,24.9927484485412,24.9126366888985,24.8023980653765,24.4984258910205,24.4207348441271,24.2316707875961,24.6256871973283,24.3383435001222,24.3790024182742,24.0257775303174,24.6345693066151,24.207128840372,24.4128877058055,24.7038178057127,24.7952183352753,24.6329264511344,24.9789972296184,24.9097439355054,25.1093487112206,23.9203254747339,24.6769347041477,24.5471690514003,24.8294686140097,24.6981485631406,24.723490146911,24.3308084395578,24.8215094008981,25.1332467442028,25.2066141595089,25.1897124094419,25.2197844868472,25.0728656813106,25.1958574882918,25.1129220445736,25.2219514429664,25.215007692241,24.9670286436916,25.0283666489158,24.9235136002504,24.8180083940303,25.0468270850355,24.4925211299902,24.9163603718728,24.7729412312101,24.5958356393064,24.6989230276649,24.3830306908252,24.7946064483381,25.2286832158055,25.0122968764149,25.146433272385,25.146433272385,23.8748402430073,24.8867932211719,24.8686948133609,24.6769347041477,24.8448986204,24.5924314489081,24.4925211299902,24.6572900430863,24.902424518281,24.8686948133609,24.1270803813455,25.1177545043709,24.4231464133438,24.8567381446861,24.7535246404609,24.7870638162939,24.5077380789685,24.9981259114556,24.8945814616399,25.1017403363836,24.9097439355054,24.3070584636795,24.9201184545606,24.7568509337095,24.9587661768379,24.9793566966354,24.9315596199218,25.1417968181856,24.8567381446861,25.1093487112206,25.1505046949927,24.9664856591584,24.8686948133609,24.9946998302062
"ABHD16A",24.5100816669311,24.4510158141085,24.3680797884176,24.380886220084,24.2243639084986,24.3956488932597,24.526869082376,24.3903392489374,24.4706406923118,24.5010373633243,24.30831380173,24.1859068714821,24.8466553127671,24.1405309088161,24.2040381534492,24.0148791890327,23.77861043858,24.7371248627148,24.2437950030422,24.2143029478983,24.1366789956935,24.2437950030422,24.2843519852719,24.2354656382306,24.4325195379228,24.528005745745,24.6070841224849,23.7787792453636,24.2542000820271,24.2201166853147,24.5036503330177,24.3970206522798,24.3651637104372,23.7896863138427,24.270048851326,24.5503188685653,24.6493379197524,24.5897880280923,24.6702116833958,24.4863421271809,24.5489852240834,24.5489852240834,24.6224891016605,24.637822206449,24.3714521652046,24.4325195379228,24.3374582141855,24.357576677052,24.5883348440639,24.2809976461138,24.4012508265983,24.256090223317,24.1760346043584,24.2739891824272,24.1251179439754,24.3433500836564,24.6528997753057,24.5765022900862,24.5696071750364,24.6182326320171,23.8394402878026,24.3363344919267,24.4071383302962,24.2847936080992,24.4038836969982,24.2737185298758,24.3292877690723,24.270048851326,24.4967741819139,24.3864950582319,23.9120595972879,24.5496353920561,24.2276615169099,24.4485402532745,24.2470699975961,24.3400933039536,24.0849459936307,24.4352500580825,24.3720073154876,24.5418160540979,24.4001331647115,24.1665071487654,24.455517839506,24.4207875454385,24.5765022900862,24.5959698875996,24.4759696742152,24.4796364553368,24.3864950582319,24.4694675446524,24.7012799701064,24.4967741819139,24.4727995306998,24.4759696742152
"ABI1",25.6248943568805,25.7996202670798,25.2778774859945,26.0093805382693,27.1913498620797,25.2084881289136,25.5198323689557,25.7152664863601,25.0832111118388,28.2801269330013,25.666181171094,26.1938103070627,26.9319240294588,26.4196034425226,26.631220360883,26.5331319932551,26.7735280650759,26.5271669684584,26.2416609196418,27.5924484143079,25.7176673195133,25.6533590532236,27.0597149789631,26.4775231291771,25.5364597127417,25.0481386310106,24.3470738679694,23.2781420876831,24.806869193551,25.6121208329964,25.5821948207207,25.1998669981608,25.6531062055427,26.0712376643832,25.9212328034617,24.3828384841511,24.3638994336312,24.3638994336312,24.375142143246,24.5246840495529,24.688813311968,24.3119596674599,24.3326134371526,24.2794380773569,24.5203363357567,24.8291855519499,24.6451784710327,25.1610131708055,25.807861888331,25.3365369620917,25.6326879045477,25.8873114574825,25.8772392951875,25.5468347635083,23.1565543872671,25.9839273929854,24.9895598230932,25.6835858745119,25.3365369620917,24.5190644293074,25.6347020217653,25.9077489277519,26.4001074681447,25.5304142896019,26.9332519195887,25.8887580360248,25.3365369620917,25.6057693618543,25.3211030374149,26.0870086885434,30.9640745153709,26.3180192993532,24.7161223284684,25.4540969298158,26.2266400178884,25.8160307039782,25.8351315620933,26.0022939626624,26.2412034244702,24.3636374921927,26.0172267353912,24.1365679696446,26.2412034244702,25.547526552624,25.8351315620933,26.0022939626624,25.4327709099767,25.3419900941712,25.4889442595412,24.7337279210979,24.3801555602839,25.5711611983969,25.721469083534,25.8469262107789
