"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_2.6.21.11.016.17.S.90min","lfq_SW.exo.23.9.21.124.90min","lfq_SW.exo.23.9.21.125.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.127.90min","lfq_SW.exo.23.9.21.128.90min","lfq_SW.exo.17.9.21.118.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.24.9.21.131.90min","lfq_SW.exo.24.9.21.133.90min","lfq_2.6.21.15.036.17.S.90min","lfq_SW.exo.24.9.21.134.90min","lfq_6.6.21.19.038.17.S.90min","lfq_SW.exo.24.9.21.135.90min","lfq_6.6.21.23.041.17.S.90min","lfq_6.6.21.23.041.17.S.90min_20210617162605","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_0.6.21.3.CPH005.17.S.90min","lfq_SW.exo.25.9.21.139.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_SW.exo.27.9.21.142.90min","lfq_SW.exo.17.9.21.119.90min","lfq_8.6.21.31.071.17.S.90min","lfq_SW.exo.27.9.21.144.90min","lfq_2.6.21.7.008.17.S.90min","lfq_8.6.21.35.086.17.S.90min","lfq_SW.exo.27.9.21.148.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.6.9.21.59.90min","lfq_SW.exo.5.9.21.55.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.6.9.21.62.90min","lfq_SW.exo.7.9.21.63.90min","lfq_SW.exo.7.9.21.64.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_SW.exo.28.8.21.39.90min","lfq_SW.exo.29.8.21.41.90min","lfq_SW.exo.9.9.21.76.90min","lfq_SW.exo.9.9.21.80.90min","lfq_0.6.21.5.CPH008.20.S.T.0.90min","lfq_SW.exo.10.9.21.81.90min","lfq_SW.exo.10.9.21.83.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.exo.26.8.21.15.90min","lfq_SW.26.1.19.1718.018.2pt5","lfq_SW.27.1.19.1718.018.5ul","lfq_SW.31.1.19.1718.27.2pt5","lfq_SW.31.1.19.1718.28.2pt5","lfq_SW.31.1.19.1718.29.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.26.1.19.1718.037.2pt5","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SharonW.16.7.20.3.1718.039DK.90min","lfq_SW.26.1.19.1718.041.2pt5","lfq_SW.26.1.19.1718.043.2pt5","lfq_SharonW.16.7.20.4.1718.046IC.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.8.1718.050JM.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.12.1718.054RT.90min","lfq_SharonW.14.7.20.13.1718.055GP.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.15.1719.059OC.90min","lfq_SharonW.14.7.20.16.1719.061LC.90min","lfq_SharonW.24.7.20.21.116OC.16.8.16.90min","lfq_SharonW.24.7.20.20.116OC.30.4.13.90min","lfq_SharonW.24.7.20.19.116OC.8.5.12.90minn","lfq_SW.25.1.19.118OC.2pt5","lfq_SW.27.1.19.118OC.5ul","lfq_SharonW.22.7.20.14.155CB.6.2.18.90min","lfq_SharonW.22.7.20.13.155CB.8.4.14.90min","lfq_SharonW.22.7.20.12.155CB.9.4.13.90min","lfq_SharonW.22.7.20.8.159PG.29.7.14.90min","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.exo.16.9.21.106.90min","lfq_SW.exo.16.9.21.107.90min","lfq_SW.exo.16.9.21.105.90min","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min","lfq_SW.exo.16.9.21.109.90min","lfq_SW.exo.16.9.21.110.90min","lfq_SharonW.26.7.20.30.90min.283OM.10.518","lfq_SharonW.26.7.20.29.90min.283OM.14.2.17"
"A2M",27.0949162913989,26.970679123334,27.2721705575312,29.4056205475534,27.4783566453014,27.0949162913989,27.4783566453014,27.4783566453014,27.2721705575312,27.4783566453014,27.2721705575312,27.4783566453014,27.4783566453014,29.4056205475534,27.4783566453014,29.4056205475534,27.4783566453014,29.4056205475534,29.4056205475534,27.0949162913989,27.7384820891515,28.4205255610676,27.7384820891515,27.7384820891515,27.0949162913989,27.4783566453014,27.0949162913989,28.4205255610676,27.4783566453014,29.4056205475534,28.4205255610676,27.0949162913989,26.970679123334,27.2721705575312,27.4783566453014,27.7384820891515,27.4783566453014,27.4783566453014,27.4783566453014,27.4783566453014,27.4783566453014,27.2721705575312,27.7384820891515,27.4783566453014,27.2721705575312,27.4783566453014,27.4783566453014,28.0236146998578,26.0718388731869,25.9800018680215,28.0236146998578,27.7384820891515,27.892783458329,28.2069659568008,27.6437495335927,28.2069659568008,28.2069659568008,27.132456727791,26.9723589851928,27.6437495335927,28.5513523985943,28.2069659568008,27.132456727791,27.892783458329,27.2796047169154,26.7920215849371,27.2796047169154,26.9723589851928,26.3076774698147,26.3076774698147,27.6437495335927,26.5960561875789,27.2796047169154,26.1939751401295,26.9723589851928,26.5960561875789,28.2069659568008,28.5513523985943,28.2069659568008,26.6925118000019,27.892783458329,27.4296597952958,28.2069659568008,27.132456727791,27.2796047169154,28.5513523985943,28.5513523985943,28.2069659568008,28.5513523985943,27.892783458329,28.5513523985943,27.892783458329,27.892783458329,27.892783458329
"ACTN1",20.0720211771253,17.5258477237983,23.666548122837,25.9845902920199,19.476722614401,19.321779748992,20.3128494673562,19.0302360190976,21.5437184872526,20.5629941918766,20.5918272411524,18.4115223740432,22.626420048616,20.9261239239051,17.8809805054941,20.1568063098185,21.6748260158688,20.6183770829542,21.3782572030436,21.3452416519009,20.5918272411524,21.9203007942685,21.5437184872526,18.3658002369708,18.5941374060839,19.7134129287792,14.4726534738559,22.7787450630266,22.3093115762539,22.006357299144,22.1934693973926,19.5605896402556,17.3253052857917,18.8997896691035,19.3472858574528,18.309179601747,18.211179534138,19.3066471601247,17.3714141860739,18.7847496988931,18.2777563105348,17.8327777357038,18.2777563105348,16.9857248010344,17.504218731537,17.8809805054941,14.2921350333919,21.881141557952,18.7066327169852,17.698411083331,20.3609056598235,14.9850899714495,16.8499991700783,15.9018931841531,19.6038522359492,20.1642286506968,20.3321595678558,20.1244570992375,18.9465244701923,17.9255797266452,14.1945113331022,14.2467773138295,20.3961965233843,18.335347446063,17.7219012752752,20.873088838101,18.674282248559,20.3961965233843,21.4443461145429,17.8612300148878,18.9247682207434,20.3321595678558,20.3610607828242,21.7417252511004,21.0433386858658,22.4626397928732,22.5098650767423,19.0648664183493,19.1175275119837,22.1090358533651,21.5667151854033,21.8224468242231,22.6122691145652,21.483129095362,21.3047379791478,20.2372327747386,19.1987074055493,20.3003781459435,13.7393236046342,23.1724945052399,17.7387557027301,20.9634754114477,21.3541247225641,21.8224468242231
"ACTR2",16.1218852513522,16.0953305903024,14.2320843356406,19.0321375268969,15.6725816848292,15.7373300669131,15.3091849100272,15.6503653794561,15.5444325332375,15.5149819621963,15.412287836886,15.7657327059961,15.412287836886,18.0820291410895,16.201934480866,18.0063819096602,15.6011288031323,18.0406067049841,18.0503026103932,15.33764362417,15.3847678425734,18.1152564893895,15.5613260203859,15.6352601214284,15.853209874044,15.6205099522896,16.0493612803022,18.4947385021486,14.661789404042,18.2407901427038,18.1797944090852,15.6011288031323,15.4505250712081,15.5326196004691,15.3612054325179,15.33764362417,15.4560313318479,15.4833160032391,15.6587265395411,15.3319441845075,15.4623226748652,15.6159177462865,15.7319931759927,15.4833160032391,15.4833160032391,15.3779586755796,15.5393143551037,18.0302656143626,15.3724883645639,16.13464087007,15.4940859860895,15.4012941107747,15.5532162365683,15.5488517088194,14.9996212727182,16.4449543205985,16.5025024181608,16.5456619761889,15.4836213373895,15.1882413049487,15.6172801778393,15.6459254553203,15.6225634611716,15.663149487388,15.4370000221493,15.2620407793712,15.683062290341,16.2870863870493,16.6984430200406,15.7484949824507,16.0583149139315,16.0984508823305,17.3958790031802,15.5532162365683,16.5332934862267,18.6819762008298,15.8757703175077,15.2219487871273,15.2381956787915,18.0337643325747,17.2790467867723,17.4567816102302,18.5821402883789,17.4026356377349,17.4981310641302,13.8413190178259,14.8689781050145,14.567446046562,14.8104342068678,18.2839225526926,14.8203455970082,15.3452631899937,17.6222479098911,16.138591148565
"ACTR3",16.911573476649,16.9446070084393,19.1147443235007,19.7221241325175,16.6527005807802,16.7376171115465,17.2903040413469,16.4815517475957,18.1057184459305,16.5893348761661,16.8887137301324,16.911573476649,18.0674301772714,18.621391646794,17.2332321601057,18.4797015378752,16.6184113214038,18.0982894904865,18.13478084402,18.8770701993713,15.4956525076318,18.13478084402,16.0735557578574,16.5893348761661,16.6271582101901,16.792872578786,16.7545282882951,17.8910089165558,17.6882768929643,18.1057184459305,17.5505303878271,16.7290404604458,16.7290404604458,17.7211592406718,16.8361754156034,17.2414379609863,17.1769559719116,17.1183605829927,16.6359242864864,17.4340218355382,16.6917841148359,16.6271582101901,16.5893348761661,16.5618777467708,16.6747634262154,16.8433951963422,16.490700966619,18.1998537687956,17.5030338421886,16.9767354635237,17.6308201010045,17.4810888643684,16.6858415590576,16.7763202663427,16.8025876186846,17.2861702842771,17.2989182071194,17.5136569370098,16.7807456714474,16.7030524848587,16.7523554297329,16.644869164281,15.7658389984997,16.8308045789099,16.7468035520708,17.7510505318628,16.9848296133315,17.3552497444888,18.3916638450593,16.9108554170203,16.9473754617014,17.3218434247901,17.6168035815279,18.2812434188786,17.9982426414729,17.5467051863337,17.1470488912238,16.2408653534667,16.6590090047163,18.5422350532838,18.1646012623821,19.2906658789578,19.0925325339655,15.378200998982,17.8384068855652,17.2380447529602,17.0884553354646,17.4000355956522,16.8364530040054,18.5310784024944,16.975407896948,17.15869922398,15.6177123608611,18.8702257312245
"ADAM10",13.4714878004239,14.5319215846771,17.7406516058701,19.4795353965281,15.7161668720171,16.0417875732014,16.3351879244792,16.120182473914,17.2446306001195,16.3407321244854,15.8607213853564,15.0201347537047,17.7667299047916,17.5896780412959,14.610632040433,17.503558347755,16.0745996863442,17.503558347755,17.5316204673397,18.0621981518108,16.1918423463896,17.5316204673397,18.2817869193092,15.0863705748666,15.0201347537047,15.7608059864477,14.8501652536748,17.0329853711148,15.7429326740703,17.5114999736645,17.5596686779169,15.8659000777817,15.8760077182661,16.0271889000617,16.2560984775694,16.0088007944199,15.4768663485024,16.1008937739659,15.1026692779115,15.986892681586,16.0341131220781,15.362016710846,15.4638994960769,15.9765275856234,16.3351879244792,16.2183320681122,15.1920771477763,17.5228983132714,15.9206099987285,14.8501652536748,15.7552972097843,15.9323679601598,15.1434528697551,15.1808506469629,16.0779710844239,16.367838959959,16.3216173051893,15.629475526333,14.5313789364734,15.7320870295918,15.1892586107678,15.1121939246146,14.2342178471231,15.4454286784989,15.3179762297179,17.4042874835249,15.661074880752,16.1293038439609,17.3743103048231,15.4275001864567,14.713247048819,15.5812668099167,16.0155471534071,16.9001460807643,18.2730381510212,16.6869023321139,18.9636888890444,14.8868426508526,15.2823411608601,17.9523060028281,18.0283329125913,16.3552752026768,17.8677817780853,15.1974856867151,16.8131825285229,14.263328190299,16.3055526929644,16.44519547677,16.1688171814122,18.6800173403381,16.180304997905,16.7456917814905,17.8537213765055,16.0360347238987
"ADIPOQ",18.2590355357878,17.7722563842134,17.7614035047368,18.4863888595885,18.1961103333869,18.3754789691974,18.3657348064552,17.9212398146541,18.1961103333869,18.6222123723255,17.9362050884596,18.3540717061299,17.6615967643991,19.5402135308544,18.5184595044969,19.0956597539778,17.9794783918093,19.0640709488422,20.0438773727889,18.1093699722496,18.6100970446002,18.8422277686501,18.2144056530295,18.3842597487803,16.519724031473,18.2330558936429,19.0956597539778,18.9839908303547,17.7072479499425,20.2489493437972,20.7499621723261,18.1961103333869,18.5287859395306,16.5492275174042,17.065677025701,18.2941192178688,18.3315631365634,18.1093699722496,19.889080244886,19.7678379519192,18.2941192178688,17.9794783918093,17.7502008681888,18.5983975850974,17.6879764178414,16.2403905271548,17.8236117795696,18.6100970446002,15.562117318672,18.2766962154267,18.1961103333869,18.3540717061299,18.9651115381133,18.8016668913582,18.40892306694,19.0469942926175,18.0016835586388,18.8899920408124,15.9956749428644,17.6208437922174,19.1603003913833,18.9651115381133,15.9485534788347,18.7880416352309,18.7037994937841,18.1135063672169,18.1306511612346,18.4964149705469,18.2157216197886,17.6907089202117,18.6274893604487,18.5568263952765,18.5149077427592,18.1852857049987,18.6669229292507,18.0624156292022,17.8243659616996,18.3809304075561,18.1769517083424,17.0072367037876,18.2556780529482,18.6167420727541,18.1769517083424,19.2832114688432,19.7901757707592,18.828659196569,18.6769038616566,19.0057022112177,19.0194459461938,16.3406620255206,18.3710458871893,18.1620246498803,18.206571146437,16.0463129340345
"ALDOA",16.277312653059,16.0728141664935,16.88616132953,21.1331353070638,16.1723983260197,15.1771667810811,17.3899303827405,16.5606215097325,17.6501387317386,17.2800417344276,19.815827989451,15.8690954073281,18.456102874492,18.6048223036093,16.2079197815084,19.507831016985,19.5864023023496,19.5864023023496,19.9019279518021,17.739509131059,17.0287862584159,19.2377792539514,18.0025857946414,16.0953786831783,16.1723983260197,16.4045178307635,15.7750324705544,20.0829078526654,20.286218405562,19.7835310066892,18.8104781182401,14.7783356989307,17.6620084067932,17.4093186559161,16.7848200653171,17.1604362926659,17.2204969326693,17.8978938557151,15.9570110076113,18.3377341217299,16.9804599066473,16.1547758210103,16.1389640453303,16.7848200653171,16.4267165766043,17.05887255665,16.2969371889587,19.4480493519134,17.8216967969945,16.2328047130153,18.4874661290448,17.9856933944056,15.9819603959714,16.3070988755316,17.0835497381968,17.2701131986599,18.6018717082514,17.3128235497013,18.3068234475547,15.5011545613411,16.2424317335024,15.9819603959714,18.7807830414723,16.923597934712,15.6787747923448,18.9522735535571,16.550473356014,18.6456312842209,18.6964296000278,16.938863291998,17.2171319637233,18.8685976689153,17.0046614842452,19.0187740894724,18.4561526671672,18.8525184798911,18.5257483298167,15.673930144661,15.8182019702169,19.1985493989771,17.8066934256454,17.8546742211864,21.0341459974912,16.471742399719,18.3317508702382,18.128039344102,15.1229850829506,17.6510898622861,15.9374955634917,21.6228257764424,16.6278492891757,17.379483298907,18.2814115733571,19.2972645443184
"AMBP",21.2646730313652,20.2801379516183,22.0567776872356,19.8659376502338,21.0627052285912,20.3871099160471,21.4816574216934,22.2026514244771,21.5658190780594,20.841776347101,23.6109844418827,19.7456349245007,20.5125675353479,22.553388745627,20.4505776994487,21.9190370513837,21.3441730640281,23.1737082591427,22.9504621938778,20.0699925182335,21.2646730313652,21.9190370513837,20.3871099160471,20.3586126696773,20.3301154233075,19.6132686081163,20.1804413142823,22.4117419608169,20.127892334381,21.5658190780594,21.0627052285912,21.9918644210245,21.1943110758577,21.5658190780594,20.4505776994487,20.0699925182335,19.7456349245007,21.8551269864958,21.0627052285912,21.0627052285912,21.1943110758577,21.0627052285912,20.9884005003207,20.7060049691397,21.1943110758577,22.3451749279451,20.5847390285139,21.7802297353986,21.5658190780594,20.7645724891011,22.0567776872356,20.9884005003207,21.6315340512063,21.5717276377813,21.2573062332823,21.9606953318144,21.0861475794482,19.7760537710232,21.0389769493614,21.7182656295681,20.7631594295657,20.4467471102071,20.8544069830857,21.4011674391506,21.4537945665129,19.4782529025173,20.6445324792886,21.2306525689476,19.7684206014227,21.7182656295681,18.6687437097346,20.2834034872002,18.8052929571702,20.9739421450936,20.99405891764,20.541741298784,20.3855888945799,21.3174470852888,21.3174470852888,20.3855888945799,21.6882393722364,19.2747959824598,19.7760537710232,20.3360457970295,22.1568358242569,21.6882393722364,22.6135045670354,22.6135045670354,22.6816250872547,19.7608060876021,22.9849025230463,22.3661044182365,19.38671667914,20.8931174632486
"ANPEP",17.3911629035448,17.609227293456,17.6651092417966,18.3528169947584,17.4080563307716,17.545395352272,17.6159857650438,17.447115014137,17.3999269599507,17.5871547334612,16.8132573143332,17.3337733941791,17.3405355543097,19.0473094525887,17.5531155275702,19.1433698830379,17.1344175693738,19.2031699668713,19.1058913888311,17.5307576430452,17.4777654492192,21.7535889730848,17.3255517929281,14.54727618204,17.0790203053433,17.3017763412207,17.7537812324143,19.0678316551118,17.633198647065,19.0473094525887,18.7017543470995,17.1873330925163,17.2781805069257,17.5531155275702,17.4080563307716,18.0504749508927,16.8299445658859,17.3337733941791,17.609227293456,16.6311189506308,17.4777654492192,17.5937684903007,17.7312734412317,17.0864967493056,17.3255517929281,17.2082948115439,17.713978807768,19.1433698830379,17.1873330925163,15.6561421137517,17.7469120698297,16.9500763833728,18.0943501891616,18.1290117394306,17.2125109171622,17.5441484430004,17.5105969690753,18.8213664581521,17.5942477052927,15.9685486126914,18.416949502071,18.1235845589696,17.5275860443961,17.5105969690753,18.2700291613725,18.1010404660644,17.7029982755311,17.4637120009474,17.4637120009474,19.4668240765567,17.4505096821998,15.4731234285035,19.5308209271512,16.4064805682686,16.0423716506384,19.0231661332925,17.4571108594163,18.0220501282858,18.2700291613725,17.8371140573717,14.3034521689115,17.2633711523877,17.7956721099071,16.9962864323699,15.2394409774268,17.6513012846348,17.9153850592977,18.2302015071559,18.1175383350995,18.4958698799269,18.003611587062,16.9739800446041,18.0597044982544,16.8768656439067
"ANXA11",15.4299515639988,15.3487494645036,16.0243844565002,18.6172692787708,15.6287605817179,15.5166460500174,15.7213026802194,15.6474410033883,15.5927618967317,15.7169653499788,15.7469460286401,15.5083190397899,15.9090697277445,17.9477405395229,15.4433369257986,18.0711491991886,15.7686430951339,18.1688550185923,17.9606096320027,15.5543619330818,15.6965282099899,17.9914635649785,15.7840192358514,15.534284514396,15.5543619330818,15.6874569117835,15.4383912685733,18.0203373318863,15.9745215513343,18.0203373318863,18.117249537907,15.665234172611,15.7512533651935,15.7750933550676,15.6241231606915,15.7266196241735,15.7018794432761,15.6606526029931,15.5812495429748,15.7795370791701,15.6108592257546,15.6069320688097,15.6026531310733,15.651870103198,15.6965282099899,15.7169653499788,15.614839416735,18.8194866641239,15.7056739369999,15.4068249184916,15.7637886959838,15.8499007703577,15.2519571313845,15.1216894581393,15.7865430963494,15.3271391422889,16.4531459896389,15.4432573074239,15.540310381626,15.4967444372973,15.188826314089,15.2971888093349,15.4388275269336,15.3935383481853,15.2892861594142,15.188826314089,15.6922524912951,15.8240886710903,16.9521701016171,15.4729000109619,15.6736732712225,16.8541674709251,15.4304788976739,15.4844670288852,18.5627191592965,16.592365125395,17.9335620666424,15.4588725449476,15.623057191206,17.8274958859592,17.4784999061319,17.8410606778227,16.9046614548558,18.214587894771,16.7308025837869,15.6117815221882,15.5228771306556,15.4729000109619,15.5535546509389,18.0052892658557,15.6117815221882,15.7027091906062,16.3007176007948,17.2444533042778
