"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_2.6.21.11.016.17.S.90min","lfq_SW.exo.23.9.21.124.90min","lfq_SW.exo.23.9.21.125.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.127.90min","lfq_SW.exo.23.9.21.128.90min","lfq_SW.exo.17.9.21.118.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.24.9.21.131.90min","lfq_SW.exo.24.9.21.133.90min","lfq_2.6.21.15.036.17.S.90min","lfq_SW.exo.24.9.21.134.90min","lfq_6.6.21.19.038.17.S.90min","lfq_SW.exo.24.9.21.135.90min","lfq_6.6.21.23.041.17.S.90min","lfq_6.6.21.23.041.17.S.90min_20210617162605","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_0.6.21.3.CPH005.17.S.90min","lfq_SW.exo.25.9.21.139.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_SW.exo.27.9.21.142.90min","lfq_SW.exo.17.9.21.119.90min","lfq_8.6.21.31.071.17.S.90min","lfq_SW.exo.27.9.21.144.90min","lfq_2.6.21.7.008.17.S.90min","lfq_8.6.21.35.086.17.S.90min","lfq_SW.exo.27.9.21.148.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.6.9.21.59.90min","lfq_SW.exo.5.9.21.55.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.6.9.21.62.90min","lfq_SW.exo.7.9.21.63.90min","lfq_SW.exo.7.9.21.64.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_SW.exo.28.8.21.39.90min","lfq_SW.exo.29.8.21.41.90min","lfq_SW.exo.9.9.21.76.90min","lfq_SW.exo.9.9.21.80.90min","lfq_0.6.21.5.CPH008.20.S.T.0.90min","lfq_SW.exo.10.9.21.81.90min","lfq_SW.exo.10.9.21.83.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.exo.26.8.21.15.90min","lfq_SW.26.1.19.1718.018.2pt5","lfq_SW.27.1.19.1718.018.5ul","lfq_SW.31.1.19.1718.27.2pt5","lfq_SW.31.1.19.1718.28.2pt5","lfq_SW.31.1.19.1718.29.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.26.1.19.1718.037.2pt5","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SharonW.16.7.20.3.1718.039DK.90min","lfq_SW.26.1.19.1718.041.2pt5","lfq_SW.26.1.19.1718.043.2pt5","lfq_SharonW.16.7.20.4.1718.046IC.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.8.1718.050JM.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.12.1718.054RT.90min","lfq_SharonW.14.7.20.13.1718.055GP.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.15.1719.059OC.90min","lfq_SharonW.14.7.20.16.1719.061LC.90min","lfq_SharonW.24.7.20.21.116OC.16.8.16.90min","lfq_SharonW.24.7.20.20.116OC.30.4.13.90min","lfq_SharonW.24.7.20.19.116OC.8.5.12.90minn","lfq_SW.25.1.19.118OC.2pt5","lfq_SW.27.1.19.118OC.5ul","lfq_SharonW.22.7.20.14.155CB.6.2.18.90min","lfq_SharonW.22.7.20.13.155CB.8.4.14.90min","lfq_SharonW.22.7.20.12.155CB.9.4.13.90min","lfq_SharonW.22.7.20.8.159PG.29.7.14.90min","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.exo.16.9.21.106.90min","lfq_SW.exo.16.9.21.107.90min","lfq_SW.exo.16.9.21.105.90min","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min","lfq_SW.exo.16.9.21.109.90min","lfq_SW.exo.16.9.21.110.90min","lfq_SharonW.26.7.20.30.90min.283OM.10.518","lfq_SharonW.26.7.20.29.90min.283OM.14.2.17"
"A2M",27.2428547138874,27.1241224655447,27.4122548851408,28.1556221025906,27.609304915814,27.2428547138874,27.609304915814,27.609304915814,27.4122548851408,27.609304915814,27.4122548851408,27.609304915814,27.609304915814,28.1556221025906,27.609304915814,28.1556221025906,27.609304915814,28.1556221025906,28.1556221025906,27.2428547138874,27.8579042623746,27.0420120996736,27.8579042623746,27.8579042623746,27.2428547138874,27.609304915814,27.2428547138874,27.0420120996736,27.609304915814,28.1556221025906,27.0420120996736,27.2428547138874,27.1241224655447,27.4122548851408,27.609304915814,27.8579042623746,27.609304915814,27.609304915814,27.609304915814,27.609304915814,27.609304915814,27.4122548851408,27.8579042623746,27.609304915814,27.4122548851408,27.609304915814,27.609304915814,26.5933204390993,26.265109615661,26.1773418866134,28.1304027141045,27.8579042623746,28.0053685741435,28.3056297199385,27.7673692840912,28.3056297199385,28.3056297199385,27.2787317423647,27.1257278931193,27.7673692840912,28.6347564794243,28.3056297199385,27.2787317423647,28.0053685741435,27.4193596386696,26.9533812006909,27.4193596386696,27.1257278931193,26.4904982594924,26.4904982594924,27.7673692840912,26.7660989840393,27.4193596386696,26.3818340533164,27.1257278931193,26.7660989840393,28.3056297199385,28.6347564794243,28.3056297199385,26.8582806709422,28.0053685741435,27.5627658117888,28.3056297199385,27.2787317423647,27.4193596386696,28.6347564794243,28.6347564794243,28.3056297199385,28.6347564794243,28.0053685741435,28.6347564794243,28.0053685741435,28.0053685741435,28.0053685741435
"ACTN1",20.2600223906314,17.8311975726585,23.6888839409743,25.5058668990562,19.6921600867656,19.5443582642379,20.4897513305111,19.2662512696941,21.6638917722363,20.7283673266862,20.7558715116691,18.6760530432681,22.6966935317791,18.1733630847308,18.1699629119686,17.0581981455558,21.7889567865267,17.7272684147449,18.828753227238,21.4745623835158,20.7558715116691,19.6144729317793,21.6638917722363,18.632438158702,18.8502516711643,19.9179417627878,14.9187196506763,20.85883148178,22.3942000285749,19.7392162046068,20.0104446905294,19.7721618295922,17.6398977812595,19.1418169614715,19.5686888412292,18.5784270685066,18.4849436508466,19.529923109652,17.6838816038025,19.0320789802115,18.5484520212611,18.1239817226632,18.5484520212611,17.3159679610031,17.8105654224319,18.1699629119686,14.7465209861557,19.5577096306597,18.9575622719664,17.9958077918712,20.5355926979833,15.4075388555754,17.1864976845495,16.2820882282044,19.8134305286957,20.3479801846773,20.5081714625998,20.3100416337481,19.1863978381589,18.212506633824,14.6533965897104,14.7032537237404,20.5692570680019,18.6033888831168,18.0182153623762,21.024170258606,18.9267027794663,20.5692570680019,21.569099296593,18.151122686575,19.1656442958036,20.5081714625998,20.535740671639,21.8527727542179,21.1865735917202,22.5404616186225,22.5855103726055,19.2992856150365,19.3495196519179,22.2031546598652,21.6858285932046,21.9297740126712,22.6831947892739,21.606094838356,21.4359254534695,20.417619677641,19.4269581076346,20.4778547902654,14.2191876593271,23.2176003816154,18.0342929990515,21.1103910745009,21.4830360491486,21.9297740126712
"ACTR2",16.3184226078188,16.2931451844658,14.5195181627625,18.130973549854,15.8907298406717,15.9523639267665,15.5448118828193,15.8695821048673,15.7687444629994,15.7407104183998,15.642955720026,15.9794004432973,15.642955720026,15.7407180168964,16.3946215944944,15.5504068732651,15.8227137309175,15.6365086355579,15.6609013173796,15.5719017772873,15.6167593944315,15.8243104304632,15.7848253998172,15.8552033861442,16.0626700962719,15.8411626770892,16.2493869264355,16.779000436577,14.928555088919,16.1401244090462,15.9866730850219,15.8227137309175,15.6793538031346,15.7574997138358,15.5943302994762,15.5719017772873,15.6845952212428,15.7105675425807,15.8775411062191,15.5664764717654,15.6905839604932,15.8367913490182,15.9472837319588,15.7105675425807,15.7105675425807,15.6102777377287,15.7638724612351,15.6104928152115,15.6050705401238,16.3305647012109,15.7208195060874,15.6324907749596,15.7771056839272,15.7729510831422,15.2501377726773,16.6259525597284,16.6807326837344,16.7218163344713,15.7108581906357,15.4296854761338,15.8380882497426,15.8653557341436,15.8431174154032,15.8817513171867,15.6664792877985,15.4999353111708,15.9007063454375,16.4756778270661,16.8672488488807,15.9629918273153,16.25790990428,16.2961153953238,17.5311392511878,15.7771056839272,16.7100427495468,18.7553771835497,16.0841454176625,15.4617716810979,15.4772371226638,18.1383432931289,17.4199264818031,17.5891125380176,18.6603432224636,17.5375709021797,17.6284731478062,14.1475480460447,15.1257783371703,14.8387494994935,15.0700503090317,18.3764692938077,15.079484976796,15.5791548539028,17.7466201672564,16.3343249774838
"ACTR3",17.020354361833,17.0518657820508,19.1220080029689,19.3556988535329,16.7734097524435,16.8544135185984,17.3816338656192,16.6101470763091,18.1594757905324,16.7129637983698,16.9985479415226,17.020354361833,18.1229517600174,17.7662778898673,17.3271917295549,17.5616821026251,16.7407004657701,17.0109358388627,17.0636281351753,18.895285373131,15.6696758775257,17.0636281351753,16.2209506330883,16.7129637983698,16.7490443174022,16.9071229369726,16.870545465987,16.7116296097479,17.7612690146001,17.0216630025233,16.2199899804481,16.8462320604785,16.8462320604785,17.7926362169609,16.9484304755137,17.3350194254069,17.2735086227744,17.2176131788731,16.7574064724266,17.5187294639428,16.8106924042969,16.7490443174022,16.7129637983698,16.6867718323444,16.7944559910995,16.9553175848359,16.618874719697,17.1575912662238,17.5845615510304,17.0825138294815,17.7064597036459,17.5636277489123,16.8050236682535,16.8913333182214,16.9163903294701,17.3776905828685,17.3898511098184,17.5946951573021,16.8955548105151,16.821441552926,16.868472727908,16.7659391901745,15.9274127766543,16.943307115013,16.8631766684034,17.8211501840278,17.0902350188934,17.4435870154076,18.4322454625276,17.0196693887927,17.0545066711525,17.4117199845179,17.6930890341691,18.3269129636567,18.0569522317738,17.6262206169022,17.2449795937555,16.3805509751643,16.7794274982548,18.5758786848296,18.2156454179459,19.2898234849634,19.1008196832253,15.5576362728062,17.9044813515118,17.3317825688493,17.189085898546,17.4863092342965,16.9486952732603,18.5652361076605,17.0812474342168,17.256093105126,15.7861114845702,18.8887562828324
"ADAM10",13.7320816788524,14.7427731475149,17.8009896112091,19.3231885396557,15.8714684290982,16.1818150717588,16.4614527411187,16.2565326623462,17.3282357191379,16.4667368764697,16.009242249169,15.2080854490956,17.8258446418848,16.0953315445508,14.8177914912421,15.9482399905546,16.2130880501519,15.9482399905546,15.9961698032192,18.1074532071317,16.324831148147,15.9961698032192,18.3167416108212,15.271214312361,15.2080854490956,15.914013633517,15.0460887962503,15.1445061689781,15.8969787138409,15.9618042062207,16.0440758594414,16.0141780219921,16.0238115381603,16.1679011861252,16.3860731837716,16.1503756208584,15.6433928989197,16.2381487474157,15.2867484837184,16.1294951631962,16.1745006100808,15.5339305725755,15.6310342893427,16.119616268147,16.4614527411187,16.3500783028018,15.3719624524221,15.9812724534569,16.0663216364009,15.0460887962503,15.9087632598877,16.0775280610584,15.3256190185409,15.3612625588846,16.2163013043194,16.4925721976019,16.4485186858816,15.7888435591715,14.7422559535909,15.8866418116134,15.3692761259858,15.2958263528959,14.459033953043,15.6134298919513,15.4919559210575,17.4804034945966,15.818960666341,16.265226171574,17.4518324709095,15.5963423809514,14.9155930843943,15.7428961939323,16.1568055248979,16.9999101131749,18.308403225529,16.796669099255,18.9666572524289,15.0810457478024,15.4579924047922,18.0027158259778,18.0751765021912,16.480597774976,17.9221564227304,15.3771172902295,16.9170258052245,14.4867788023062,16.4332076247252,16.5663001122981,16.3028860364835,18.6962920316702,16.3138349880307,16.852700881545,17.9087555596745,16.1763320743316
"ADIPOQ",18.3580126081772,17.8931089840852,17.8827438257085,17.2294171968009,18.2979152220252,18.4692231520528,18.4599168854267,18.0353971994237,18.2979152220252,18.7048685220893,18.0496899438957,18.448777916981,17.7874223331143,18.5194798294053,18.605778238318,17.9752695529058,18.0910185741146,17.9365994228308,19.1360509911843,18.2150729143435,18.6932976490387,17.6650252180628,18.3153883623154,18.4776093293104,16.6968645923559,18.3332004736668,19.1570394970277,17.8385675857595,17.8310219851015,19.3870943516272,20.000420217081,18.2979152220252,18.6156406103107,16.7250422114844,17.2182828264351,18.3915196531959,18.4272808673831,18.2150729143435,19.9148042050254,19.7990104591117,18.3915196531959,18.0910185741146,17.8720446281079,18.6821239553725,17.8126165026837,16.4300841477377,17.9421565025349,17.3808572903786,15.7822920807841,18.3748796287583,18.2979152220252,18.448777916981,19.0323580301287,18.8762584758048,18.5011642945498,19.1105610287504,18.1122258556902,18.9606143524831,16.1963659171182,17.7485007720767,19.2187752276896,19.0323580301287,16.1513620599705,18.8632455295185,18.7827891732156,18.2190234225046,18.2353977410172,18.5847243708883,18.3166451904139,17.8152262082364,18.7099083659175,18.6424209468459,18.6023860903626,18.2875770451521,18.7475698166754,18.1702286678736,17.9428767922275,18.4744296064403,18.279617572697,17.1624687732597,18.3548060083569,18.6996440540993,18.279617572697,19.3361627640444,19.8203444314058,18.9020377649846,18.7571022126958,19.0711245857002,19.0842506864756,16.525849512447,18.4649892897668,18.2653613261967,18.3079059331767,16.2447282710431
"ALDOA",16.5235899519384,16.328772116319,17.1036166473038,20.5229927032497,16.4236421114309,15.4755233317695,17.5835380308152,16.7934873932148,17.8314285077243,17.4788513459257,19.8945972915019,16.1346970969767,18.5992395195078,15.6832238692589,16.4574820346136,17.4117888933863,19.6760322715488,17.5621922879165,18.1661804818063,17.9165682466849,17.239489926454,16.8948481093503,18.1671912564777,16.3502684627035,16.4236421114309,16.6447734277487,16.0450869582317,18.512617367817,20.3427201324184,17.9395416739474,16.0768960929193,15.0955723135139,17.8427362902047,17.6020084922837,17.0070727261996,17.3649078459827,17.4221253055732,18.0674552765642,16.2184509048996,18.4864741655663,17.1934512715327,16.406853829318,16.39179055933,17.0070727261996,16.6659213183313,17.2681519845563,16.5422854918087,17.2973531257174,17.9948652720619,16.4811889508708,18.6291180847363,18.1510985170759,16.2422192267194,16.5519661394146,17.2916609854241,17.4693928121164,18.7381078758009,17.5100813193429,18.4570267562407,15.7841740175396,16.4903602426796,16.2422192267194,18.9085498154517,17.1392810598723,15.9533859738113,19.0719222244837,16.7838196378384,18.7797959392247,18.8281895391227,17.1538237780916,17.4189196291988,18.992207430437,17.2165071828275,19.1352747249943,18.5992869550726,18.9768894060505,18.6655880636705,15.9487706644663,16.0862128786738,19.3065397415905,17.9805721377589,18.0262815945652,21.0552419564516,16.7088156866638,18.480774152206,18.2867060234922,15.423906513781,17.8323346131814,16.1998592925685,21.6160545195874,16.8575327106379,17.573585496226,18.4328178419678,19.4005818603427
"AMBP",21.3310049920013,20.3897619657639,22.0882791600075,18.8270919587193,21.1379181332432,20.4920301506085,21.5384481277516,22.2277385258688,21.618909021183,20.9267039538048,23.5741442137125,19.8787621475487,20.6119711376637,21.7890445467948,20.5527071236758,21.0898989341602,21.4070092430117,22.4727247044136,22.2266758509395,20.1888570638076,21.3310049920013,21.0898989341602,20.4920301506085,20.4647859873844,20.4375418241602,19.7522162531784,20.2944491967604,21.6329296833168,20.2442109047122,20.7006025886244,20.1460997100108,22.026220265014,21.2637369979031,21.618909021183,20.5527071236758,20.1888570638076,19.8787621475487,21.8954954596481,21.1379181332432,21.1379181332432,21.2637369979031,21.1379181332432,21.0668807382943,20.7969027254915,21.2637369979031,22.3639949746981,20.680969100289,20.9369135683872,21.618909021183,20.8528949098856,22.0882791600075,21.0668807382943,21.6817343703924,21.6245577692549,21.3239621273398,21.9964217454318,21.1603296752153,19.9078434141734,21.1152332357631,21.7646521810087,20.8515439855146,20.5490449734037,20.9387791944763,21.4614974570149,21.5118104602177,19.6231374687431,20.7381333087708,21.2984804800173,19.9005458909034,21.7646521810087,18.8492240774827,20.3928839089599,18.979768970733,21.0530581469938,21.0722903432447,20.6398620700928,20.4905760116162,21.3814584610993,21.3814584610993,20.4905760116162,21.7359462406122,19.4286269722831,19.9078434141734,20.4432114270252,22.1839375328039,21.7359462406122,22.6205256019171,22.6205256019171,22.6856507212948,19.8932662030799,22.9755924179658,22.3840041518059,19.5356262833376,20.9757874943787
"ANPEP",17.5517683084403,17.7603153957087,17.8137584065646,16.7043162850101,17.5679244311506,17.6992693651576,17.7667788974505,17.6052784193542,17.560149862333,17.7392061806858,16.9990850968656,17.4968835332468,17.503350562547,17.4419686878789,17.7066525975704,17.5439988921563,17.3062284858543,17.6075153134422,17.5041912585443,17.6852705108524,17.6345911327344,20.3164327207431,17.4890207593465,14.8320014884996,17.2532490055233,17.4662829744011,17.8985603559941,17.4637662636951,17.783240532523,17.4419686878789,17.0749387064677,17.3568345395395,17.4437169675629,17.7066525975704,17.5679244311506,18.1823050372082,17.0150440423277,17.4968835332468,17.7603153957087,16.8248960637757,17.6345911327344,17.7455312836765,17.8770349052138,17.2603991441227,17.4890207593465,17.3768813956498,17.8604950866963,17.5439988921563,17.3568345395395,15.8924715649013,17.8919909943043,17.1299327714566,18.2242653643754,18.2574141299842,17.3809134916131,17.6980768765685,17.6659897386204,18.9195514005615,17.7459895835887,16.1912432507512,18.5327850043287,18.2522238158863,17.6822373349151,17.6659897386204,18.3922769226303,18.2306636477524,17.8499937938645,17.62115103963,17.62115103963,19.5368383694623,17.608524928961,15.7174406314245,19.5980421120415,16.6100619024098,16.2618443220376,19.1125436377597,17.6148380013595,18.1551208006475,18.3922769226303,17.9782561647677,14.5988190428708,17.4295539593134,17.9386229287406,17.1741260077974,15.4939571248437,17.8005530902432,18.0531110710451,18.3541875248933,18.2464414761947,18.6082609448739,18.1374869996071,17.1527931702905,18.191131765955,17.0599172752142
"ANXA11",15.6529384721745,15.5756323018476,16.2188515547342,17.1993731256655,15.8422089945116,15.7354735143006,15.9303110913003,15.8599931634975,15.8079374610119,15.9261818582825,15.9547241184645,15.7275460188915,16.109069417107,15.6327925378551,15.6656816286399,15.9215472981321,15.9753801991371,16.1501618907869,15.662903971883,15.7713798578352,15.9067252551306,15.7350967989031,15.9900186205654,15.752265717212,15.7713798578352,15.8980891813273,15.6609732550607,15.8026563823582,16.1713809811442,15.8026563823582,16.0294140579799,15.8769326487957,15.9588247968376,15.981520987321,15.8377940685187,15.9353729379458,15.9118197459684,15.8725708945622,15.7969774490674,15.9857515096165,15.825166513076,15.8214277739846,15.8173541319049,15.8642097631471,15.9067252551306,15.9261818582825,15.8289557417262,17.672526572025,15.9154321867789,15.6309214010916,15.9707587052365,16.0527392787702,15.4834838889745,15.3594662219611,15.9924213908233,15.5550588036211,16.6270418886851,15.6656058302101,15.7580024742829,15.7165267447923,15.4233819735675,15.5265454332147,15.6613885825377,15.6182722962834,15.519021938076,15.4233819735675,15.9026546776488,16.0281655971182,17.1021237306282,15.6938263307009,15.8849668547919,17.0088230880603,15.6534405053382,15.7048383841246,18.6354015713102,16.7595815433053,18.0364302926182,15.6804718770144,15.8367792423119,17.9354529745341,17.6032011876017,17.9483669523348,17.0568944624028,18.3039730122109,16.8913770240206,15.8260445594028,15.7414056390132,15.6938263307009,15.7706113076225,18.1047161511604,15.8260445594028,15.9126096835295,16.4819267369353,17.3803837163805
