"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_SW.exo.23.9.21.124.90min","lfq_SW.exo.23.9.21.125.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.127.90min","lfq_SW.exo.23.9.21.128.90min","lfq_SW.exo.17.9.21.118.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.24.9.21.131.90min","lfq_SW.exo.24.9.21.133.90min","lfq_SW.exo.24.9.21.134.90min","lfq_SW.exo.24.9.21.135.90min","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_SW.exo.25.9.21.139.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_SW.exo.27.9.21.142.90min","lfq_SW.exo.17.9.21.119.90min","lfq_SW.exo.27.9.21.144.90min","lfq_SW.exo.27.9.21.148.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.6.9.21.59.90min","lfq_SW.exo.5.9.21.55.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.6.9.21.62.90min","lfq_SW.exo.7.9.21.63.90min","lfq_SW.exo.7.9.21.64.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_SW.exo.28.8.21.39.90min","lfq_SW.exo.29.8.21.41.90min","lfq_SW.exo.9.9.21.76.90min","lfq_SW.exo.9.9.21.80.90min","lfq_SW.exo.10.9.21.81.90min","lfq_SW.exo.10.9.21.83.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.exo.26.8.21.15.90min","lfq_SW.26.1.19.1718.018.2pt5","lfq_SW.27.1.19.1718.018.5ul","lfq_SW.31.1.19.1718.27.2pt5","lfq_SW.31.1.19.1718.28.2pt5","lfq_SW.31.1.19.1718.29.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.26.1.19.1718.037.2pt5","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SharonW.16.7.20.3.1718.039DK.90min","lfq_SW.26.1.19.1718.041.2pt5","lfq_SW.26.1.19.1718.043.2pt5","lfq_SharonW.16.7.20.4.1718.046IC.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.8.1718.050JM.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.12.1718.054RT.90min","lfq_SharonW.14.7.20.13.1718.055GP.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.15.1719.059OC.90min","lfq_SharonW.14.7.20.16.1719.061LC.90min","lfq_SharonW.24.7.20.21.116OC.16.8.16.90min","lfq_SharonW.24.7.20.20.116OC.30.4.13.90min","lfq_SharonW.24.7.20.19.116OC.8.5.12.90minn","lfq_SW.25.1.19.118OC.2pt5","lfq_SW.27.1.19.118OC.5ul","lfq_SharonW.22.7.20.14.155CB.6.2.18.90min","lfq_SharonW.22.7.20.13.155CB.8.4.14.90min","lfq_SharonW.22.7.20.12.155CB.9.4.13.90min","lfq_SharonW.22.7.20.8.159PG.29.7.14.90min","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.exo.16.9.21.106.90min","lfq_SW.exo.16.9.21.107.90min","lfq_SW.exo.16.9.21.105.90min","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min","lfq_SW.exo.16.9.21.109.90min","lfq_SW.exo.16.9.21.110.90min","lfq_SharonW.26.7.20.30.90min.283OM.10.518","lfq_SharonW.26.7.20.29.90min.283OM.14.2.17"
"A2M",26.0670908232561,25.7983963730151,27.1925544322599,26.7892611266055,26.0670908232561,26.7892611266055,26.7892611266055,26.4252346906729,26.7892611266055,26.4252346906729,26.7892611266055,26.7892611266055,26.7892611266055,26.7892611266055,26.0670908232561,27.1925544322599,27.1925544322599,27.1925544322599,26.0670908232561,26.7892611266055,26.0670908232561,26.7892611266055,26.0670908232561,26.4252346906729,26.4252346906729,26.7892611266055,26.7892611266055,26.7892611266055,26.7892611266055,26.7892611266055,26.7892611266055,26.7892611266055,26.4252346906729,27.1925544322599,26.7892611266055,26.4252346906729,26.7892611266055,26.7892611266055,24.9157970438653,24.7309055506597,27.8022686317306,27.1925544322599,26.6922104079468,26.9545126008155,26.6922104079468,26.9545126008155,26.9545126008155,26.2225104363943,26.2225104363943,26.4554474092346,27.3510710591435,26.9545126008155,26.2225104363943,26.6922104079468,26.0477514148046,26.0477514148046,26.4554474092346,26.0477514148046,25.5944316713351,25.5944316713351,26.6922104079468,25.5944316713351,26.2225104363943,25.5944316713351,26.0477514148046,26.2225104363943,26.9545126008155,27.3510710591435,26.9545126008155,26.0477514148046,26.6922104079468,26.6922104079468,27.3510710591435,26.2225104363943,26.2225104363943,27.3510710591435,27.3510710591435,26.9545126008155,27.3510710591435,27.3510710591435,27.3510710591435,26.9545126008155,26.6922104079468,26.6922104079468
"ACTN1",19.7807119677986,17.139242567237,24.0126872679249,19.0750503374889,18.9409362190882,20.2083018402405,18.6295997958561,21.5216885296542,20.3843603627247,20.4471049767544,17.9264088496536,22.7597905249777,17.0321849820338,21.5760963331068,21.3073588579839,20.4124771128664,21.4692905856436,18.0065926759405,18.1398244154005,19.3887021742254,14.2329428562487,22.2832172262259,19.2778069684619,16.7142193492369,17.9590664523749,18.9848305120897,17.974761075026,18.1848645829469,19.0122455296994,17.1106035490335,18.4725404084681,17.974761075026,17.633998451846,17.8027695740426,17.9992545739994,17.9427476459327,17.8114340541423,14.0644710367429,18.3408470663099,17.3600876655069,20.1846472023255,14.869132648388,16.3255366518307,15.7203013403214,18.9114684211757,19.3736202552664,19.5687075321527,19.3317241832283,18.2692431689433,17.3257196904532,14.4017461774728,14.459520413785,19.5687075321527,17.6245484961856,17.1330790656091,20.0223087394933,17.9303799819789,19.4939463314955,20.5457810107311,17.2182696543989,18.2064478195785,19.4939463314955,19.5687075321527,20.8235736563378,20.0650140720225,21.4972710412895,21.4972710412895,18.2692431689433,18.370583508729,21.1422374594985,20.637193509432,20.9235816797671,21.6904502065328,20.637193509432,20.3566983302991,19.4110977132318,18.4774197370047,19.3736202552664,13.9728112767798,22.3098105227348,17.1599363913756,20.0650140720225,20.4962231918762,20.9235816797671
"ACTR2",16.7277031470009,16.7160003062744,13.1038929383,15.7774205394824,16.1965645282258,15.3747782056238,15.8938677031062,15.6200359590239,15.902595940463,15.0077342434264,16.133385140531,15.3461540180269,16.685230315476,15.5006273219112,15.4612360596508,15.4612360596508,16.133385140531,15.8172257585641,16.2609464747143,15.902595940463,16.3463868444743,13.8643922752583,15.7049564202006,15.7774205394824,15.755432758179,15.5411889354697,15.3084233597657,15.5948421054243,15.7230091935569,16.0028158718848,15.3354461071846,15.4813337186091,15.9651606608188,16.098104473854,15.755432758179,15.6383140875217,15.6028748377981,15.8650175861685,15.5309512059472,16.5405200494795,15.4709825087679,15.7343872768277,15.3909513564777,15.4151561506896,15.0304971190802,15.9068946366649,15.9667398632817,15.9467963203016,15.4436201513855,15.3685788198825,15.5197220439581,15.4646546879327,15.7013110057042,15.5321412693478,15.5004486870102,15.1516115899001,15.5896104113882,15.8299290781163,16.0834727737437,15.5968244380227,15.7686991263559,15.8395476691184,16.5680121051311,15.3773645767222,15.9502532721614,17.8658056824612,15.6522078683339,15.0921899844839,15.1606213072821,17.1135558013575,16.4852987369289,16.6004853166555,17.5910165125715,16.5518479040095,16.6513317825549,14.0310467207902,14.9964513721164,14.6302922172363,14.9217507062704,17.4966212121484,14.8238415298412,14.9964513721164,16.7709032052796,15.7625819251438
"ACTR3",16.6740985902949,16.5830049438229,19.4526433305137,16.4216924711034,16.4479893924172,16.8818889723344,16.4800533130088,17.8357783223604,16.4093005679441,16.7001163666625,16.2680623899467,17.6204733009669,16.7199330731626,16.4154861480628,18.7114702523603,15.4234630739501,15.9049499311935,16.3726700765859,16.1986876464003,16.4154861480628,16.4929684861541,17.3892175309435,16.2052711549073,16.4479893924172,16.6098887956959,16.2924147660703,16.5278342537346,16.4216924711034,16.5486968026014,16.2865089818877,16.9142838622907,16.4279353626282,16.3726700765859,16.379109029783,16.4216924711034,16.1986876464003,16.2052711549073,16.4929684861541,16.9227885087767,16.8535744093702,17.12975476608,16.771958183936,16.3344821708393,16.2462814466179,16.3417712768086,16.6114913867932,16.6342529268007,16.7766664265978,16.1989712355523,16.1824463370092,16.27113613701,16.3801744138311,15.5531212257989,16.3455138588603,16.3693403549704,17.0140532680377,16.2097357353818,16.6589502043565,17.5987918806837,16.4664408607448,16.3558660554832,16.6297005932912,16.90609903996,17.403223300352,17.2247031337295,17.0794785672241,16.6114913867932,15.9306060715252,16.1958808438371,17.7451891830678,17.3794267557072,18.4122553850238,18.2852993043496,15.2402295338859,17.0840798269946,16.6064892217853,16.5166552367496,16.7570613903024,16.3455138588603,17.9370030643747,16.5166552367496,16.6985739366333,15.4627629112044,18.0402437474935
"ADAM10",13.1232423662774,14.6971646487928,16.5376614412591,15.6636128355534,15.9568487847063,16.468258405655,15.4795128975464,17.1416294262231,16.2297667639186,15.9814008498264,14.7669969432861,17.5627810951145,14.5807590470991,16.2409815563405,17.9287128293538,16.1522208791652,18.0923935411648,14.9303324607728,15.0462822207875,15.8219294876714,14.7157660827611,15.9368240707278,15.2863474149376,16.177244681421,16.6776623247634,16.2248108001694,16.1084221127301,15.5380183908466,16.3381189290337,14.9237187398763,16.2802948023302,16.0569149640954,14.9062056894657,15.0994262379752,16.2409815563405,15.408556352464,15.9877234644437,14.9179855978846,16.1151545005272,14.8639947242692,15.9250221830523,16.0212859336662,15.0630504775781,15.0299408141843,15.8242292775881,15.9771072934058,15.9590417874812,15.2537379187197,14.4179917573506,15.2769750164104,15.0032878168891,14.9960280110127,14.1574722162721,15.1448498832175,15.0938509835208,16.6456100763508,15.2605686009838,15.8006718850587,16.6411857444349,15.2024658829388,14.5879498691636,15.3458887031806,15.7225070051647,16.2666890305574,17.41651804169,16.3548120616995,18.09151868255,14.716288079102,15.1014422105107,17.1597884551318,17.1597884551318,15.9460184606376,17.1597884551318,15.0109667073956,16.2246720139589,14.1956325295965,16.0994010346055,16.0360457017718,15.9651729405896,17.9975321194889,16.0425614891649,15.9460184606376,17.0497215731725,15.7524173821772
"ADIPOQ",17.7677609960283,17.0539485342951,16.9183283741206,17.5109765667371,17.9226059068631,17.9115055997057,17.4452299167976,17.6561779976116,18.0222999767829,17.6885385274384,17.7552960536563,17.0093253152072,17.964341124532,17.6239046940009,17.5522034841531,17.9949128512715,17.4452299167976,17.6239046940009,16.0842383828164,17.6475155321798,18.5516126825557,17.3296124069912,17.4186548236456,17.9115055997057,16.3232231970809,16.5757882886172,17.9507099457161,18.10619246726,17.6773571051427,19.4260830102364,19.2484115032611,17.6048365468116,17.3453636216546,17.140605932798,18.0222999767829,17.1343087787977,15.9675113235264,17.1748461489828,15.3986723290535,17.7920490817975,17.8389507523036,17.8989617411606,18.169888825466,17.8598522597079,17.5533014104785,17.9982031283252,17.2403129907889,17.8109677321871,16.0360777098821,17.0253776498965,18.3966315314795,18.3692525565724,15.9661232059749,18.0835808002736,18.1079499713528,17.3109306704566,17.464790609799,17.6092644686177,17.3292659886485,17.0023897162106,17.7744653110324,17.7276397492178,17.5780158235003,17.3348183932745,17.5708241601115,17.042905567513,17.4055150006419,17.4915938705418,17.3409301828617,16.6395968777657,17.4252175291471,17.7098064424398,16.9378905039794,18.302918651959,18.6875573460443,17.9030718271064,17.8010184590252,18.056377958603,18.1309675314746,16.3912027374697,17.8207558732122,17.484862780978,17.4252175291471,16.0573818044692
"ALDOA",15.8808301005526,15.7039167706449,16.9939224627642,16.3576388667857,14.8633635709093,17.1775664414401,16.4152129509655,17.3830665990265,17.1170640221524,19.8689535788897,15.8246326304785,18.115569218415,15.7436178877431,19.4901824935336,17.5320674866064,16.8671375084777,17.7229094604813,16.1543768685363,16.2151024288554,16.3900524593151,15.5994318428707,20.4410983450127,14.4731222980725,17.3045899480989,16.9426120330918,16.6748416858419,16.6703078376268,16.9719746434628,17.691147879859,15.7963899797473,17.7397848234326,16.7003243902724,16.0780798600319,16.0677356786075,16.9213115190777,16.4734809532453,16.5355356041004,16.185607834447,17.5851479452447,15.886307623576,18.3405401332411,17.5691326134341,15.821367002366,15.8984399503676,16.5018011789041,16.5882468417265,17.719874743308,16.6145611961138,17.4731230409644,15.5636658198995,15.5772323849548,15.6513351543257,17.8446371732319,16.3254195654647,15.5105416534129,17.9765431764234,16.1317256202769,17.7602427352986,17.7602427352986,16.350217560511,16.5771408613793,17.908323211268,16.4003951553026,18.0255836335713,17.6210613269926,18.1389174751337,17.6808005216148,15.6241212428862,15.6832092358892,18.2124286999523,17.020189831368,17.0729137599853,19.7361721084261,16.0990085778079,17.4731230409644,17.3002133022492,15.2430383201411,16.9145272177375,15.8536293768146,20.4130215001388,16.2518393356919,16.8424005315544,17.4833930550726,18.2989481094642
"AMBP",20.4502544903439,19.3904313054613,21.6624559730913,20.3535763788838,19.4722788143617,20.8424251522532,21.4602466486788,20.8424251522532,20.1771118384496,23.336654701058,18.5691849339063,19.7177205705162,19.6428424393796,20.7448897584734,19.0718227180453,20.4502544903439,19.55724005464,19.5147594345009,19.4722788143617,18.5691849339063,19.4722788143617,19.1641670523361,21.4602466486788,20.7448897584734,21.0705516497387,19.6428424393796,19.319878298157,18.9135541265181,21.2516907573516,20.2646305022412,20.3535763788838,20.564184856129,20.2646305022412,20.2646305022412,19.9886994556757,20.3535763788838,21.9334902495117,19.816208393773,21.0705516497387,19.9886994556757,21.6624559730913,20.3535763788838,20.7568171811856,20.7225394556025,20.4071442483237,21.1279738397261,20.1897252749727,18.8485638726128,20.1699845278874,20.8640443531756,19.8286434366641,19.5519513670781,19.9049398931047,20.5237707716852,20.6240308604944,18.58526231448,19.7149581954385,20.3537025554191,18.8658352623278,20.8640443531756,17.9032648185719,19.3856646247303,18.0215663407876,20.0975176336536,20.1174519433063,19.8286434366641,19.5153643031457,20.442981854143,20.442981854143,19.4766395002964,20.7568171811856,18.3646903059671,18.9371189526883,19.4302695417926,21.2425822340107,20.7935152189918,21.7450755058731,21.7888800296388,21.8405014912116,19.0585993234165,22.1095488359915,21.4569713999017,18.5370746365117,19.9911442643476
"ANPEP",16.6728426464228,16.7421172105791,15.5628268097543,17.0334137541422,17.2614590060441,16.6014003909415,16.7032776504531,16.8859210310426,17.3319033186483,16.2852826048731,17.2730709898592,16.5234903835261,16.7849739230537,16.7758048205117,17.1333817007036,17.1536056112294,17.1662642687576,13.6505754067863,16.9829856480215,17.3067292613662,17.1910252484437,17.1536056112294,17.5554990009422,16.4350568368965,17.2399261964717,17.08748781304,17.7336578146495,16.970865028949,17.3067292613662,17.3567785152541,16.4168450201134,17.4245982033952,17.2399261964717,17.2009425960248,17.1333817007036,17.2730709898592,17.0645000201692,17.0760815174169,16.2164721492552,14.9188519904428,17.3067292613662,16.4252595765581,17.1709461492149,17.2274093543526,16.5020825904737,16.4713298172812,16.6721696395803,17.9040148760189,17.042056699832,15.8490416644373,17.2274093543526,17.129253852005,16.7010393601828,16.9233113641979,17.525967373353,17.0137596438769,16.6749637483388,16.4586372576029,16.80020898295,18.47845170338,17.0184021332553,15.4028420120279,18.4929472551135,16.1170283554367,15.8490416644373,16.7535513713747,16.4945865845661,17.4383920761828,17.2482050288931,17.1009936558188,14.4087393922652,17.1455160649282,16.4186374640359,16.5344286806097,15.1839692095923,16.5775625794289,17.3463376623115,17.3360107580647,17.3308307332462,16.2727459403471,17.0323491380832,16.5447964151271,16.9279399567466,16.4242602329233
"ANXA11",15.1212866355659,15.2258274005406,17.2603869435587,15.743780704374,15.2133487941888,15.879551777802,15.5704231340312,15.7563702310191,15.743780704374,16.2836065631091,15.7192824486808,16.2953824424627,15.2258274005406,15.9290251248507,15.5154670614914,15.8242942413095,15.8359525668458,15.6370207766575,15.7192824486808,15.7912847339262,15.6584784282788,16.5486424192452,15.8586185753263,15.5037828590263,15.8359525668458,15.6270513174063,15.6472428493512,15.6472428493512,15.3653110796786,15.5499887773944,15.6701038421522,15.4095257431809,15.7563702310191,15.6370207766575,15.778491984394,15.6370207766575,15.6927462734552,15.8586185753263,15.6270513174063,15.0393240314643,15.879551777802,15.5499887773944,15.2350708285939,15.1887682784678,15.5659511638085,15.3075349472375,15.9153367362954,15.2590515197072,15.4062621052704,15.3870311512351,15.2167786466326,15.1423029814902,15.3548921635997,15.4031504528098,15.2013885871172,15.0616134790384,15.3870311512351,15.4181928463242,16.1816391882735,15.3908389867151,15.4241737206415,16.1021110744197,15.2815546226069,15.2986352171103,17.2781327805485,16.171315209804,16.8826112374287,15.360973003941,15.480385417797,16.7718060992614,16.5032025380005,16.7182570990213,16.2514654565446,17.0177290232546,16.0419585875772,15.572676854344,15.4123361495416,15.284317666371,15.2713816454962,17.1039096401538,15.4031504528098,15.5782347921018,15.8245361035256,16.3698488480346
