"prot_sample_name"	"tra_sample_name"	"n"
"lfq_W.25.1.19.118OC.2pt5"	"X11_16_116OC_WAT8086A8_S192"	2
"lfq_W.27.1.19.118OC.5ul"	"X11_16_116OC_WAT8086A8_S192"	2
"lfq_haronW.22.7.20.17.162HN.19.11.19.90min"	"X11_16_162HN_19_11_19_S217"	3
"lfq_W.25.1.19.162HN.2pt5"	"X11_16_162HN_19_11_19_S217"	3
"lfq_W.27.1.19.162HN.5ul"	"X11_16_162HN_19_11_19_S217"	3
"lfq_W.25.1.19.183EH.2pt5"	"X11_16_184EH_WAT8086A10_S232"	2
"lfq_W.27.1.19.183EH.5ul"	"X11_16_184EH_WAT8086A10_S232"	2
"lfq_W.exo.17.9.21.114.90min"	"X11_16_211MM_11_05_2021_S245"	2
"lfq_W.exo.17.9.21.115.90min"	"X11_16_211MM_11_05_2021_S245"	2
"lfq_W.26.1.19.1718.018.2pt5"	"X17_18_018SD_S12"	2
"lfq_W.27.1.19.1718.018.5ul"	"X17_18_018SD_S12"	2
"lfq_W.26.1.19.1718.038.2pt5"	"X17_18_038WP_S28"	2
"lfq_W.27.1.19.1718.038.5ul"	"X17_18_038WP_S28"	2
"lfq_W.26.1.19.1718.040.2pt5"	"X17_18_040RO_S30"	2
"lfq_W.27.1.19.1718.040.5ul"	"X17_18_040RO_S30"	2
"lfq_W.16.6.21.23.041.17.S.90min"	"X2017_CPH41_S76"	2
"lfq_W.16.6.21.23.041.17.S.90min_20210617162605"	"X2017_CPH41_S76"	2
"lfq_W.exo.9.9.21.75.90min.1"	"X2020_t0_CPH66_S157"	2
"lfq_W.exo.9.9.21.75.90min.2"	"X2020_t0_CPH66_S157"	2
