"","X11_16_115CS_5_6_12_S188","X11_16_158AK_26_9_17_S203","X11_16_184EH_WAT8086A10_S232","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_026SM_S17","X17_18_032AM_S23","X17_18_034MJC_S25","X17_18_040RO_S30","X17_18_044JC_S33","X17_18_047AJ_S35","X17_18_049CS_S37","X17_19_064WC_S47","X17_20_072CS_S53","X2017_CPH31_S68","X2017_CPH33_S70","X2017_CPH48_S79","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH79_S90","X2017_CPH82_S92","X2017_CPH87_S94","X2017_CPH90_S97","X2017_CPH9_S96","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH67_S158","X11_16_161HM_9_12_14_S215","X11_16_162HN_13_11_18_S216","X11_16_162HN_WAT8086A4_S218","X11_16_170OK_11_05_2017_S220","X11_16_185EB_22_11_16_S233","X11_16_187DM_21_8_18_S236","X11_16_187DM_8_11_18_S237","X11_16_198WS_20_3_18_S241","X17_18_014DM_S8","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_031XK_S22","X17_18_038WP_S28","X17_18_043BA_S32","X17_18_048LW_S36","X17_18_053AT_S41","X17_18_056SB_S44","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH20_S63","X2017_CPH30_S67","X2017_CPH34_S71","X2017_CPH38_S74","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH54_S82","X2017_CPH56_S83","X2017_CPH5_S80","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH7_S87","X2017_CPH86_S93","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH85_S178","X2020_t0_CPH8_S172","X2020_t0_CPH93_S187"
"hsa-miR-320d",6.23983129618684,6.47088411016389,7.8852298582357,6.74822981718847,6.63863434185964,5.02254920216777,6.71814254772954,7.02535977380665,7.40750159387559,7.75142709568491,6.47549511791489,6.77109875957885,7.14078985254325,6.68935998925529,6.56440332379087,6.74321305753014,7.103067909247,7.0753638679517,7.55090281425152,5.29645604676839,5.98491538079295,6.74610623402426,6.78786300788653,6.62435500402715,5.60661219748269,6.42913161095425,5.89760287797015,7.19471619850145,8.44322847439943,6.80671699400769,7.50401199218758,6.49159383527698,7.99669294643721,7.09051052213695,5.21426728694507,6.7899265329217,8.59414535730959,7.43231881098558,6.81979952059305,6.84768369480214,6.87501165608458,5.60026915925091,6.77618353334612,6.82933428501755,6.59456672226135,7.33739596012381,6.74042254174295,6.49624819206699,6.99530528560727,6.75704463587744,7.61314816619979,6.9466692903284,7.047400214789,6.01732415015164,7.33318060251088,6.44489580098372,6.34491552734127,6.53640252789842,7.02720058745203,6.80186061128408,6.73826924019439,7.51410113026057,7.28769312395928,5.94955983007439,6.68381414222593,7.71323296580977,6.18686716872054,6.71769377445313,6.79265919671665,7.00188213865984,7.00507467415099,6.93188714182655,6.84366303591269,7.07002831202455,7.21409765846441,6.12464762768778,4.90443467940182,7.53757264521615
"hsa-miR-320b",8.01781799112793,8.5750943206924,9.63601533783126,7.96477203096824,8.03750633891958,6.65423031968911,8.49515420193656,8.9944637980694,9.40201313777247,9.59352061310799,8.70463353976467,9.07761874797002,8.93171202014511,8.30678582108143,8.49740283230193,8.75211935267341,8.59415366302892,9.11104868947989,9.21227461398462,7.84086383253046,7.75609981064121,8.73982581711806,8.53031331629952,8.37756060576284,6.12151353045404,8.47956046939352,8.23154566586484,9.48426384897256,9.88554665857804,8.67989278810413,9.38193894081253,8.25278163103429,10.1165845193391,9.09409165921817,6.9253853298468,8.68700906549746,11.4192462003381,9.76335999705812,8.55640790672743,8.9538961590277,8.73360298013334,7.33303567294813,9.10876253266446,8.63065978131005,8.78295988958118,9.2418509793365,8.8072136450571,8.62058322679247,8.52173454352817,8.46374574139598,9.06025103187968,8.53883871666283,9.09448106709499,7.80297939601795,8.68521209948041,8.47982780745133,8.66660727697881,8.15207346483707,8.77717272043035,8.48131572149813,8.6136078248625,9.05795642253311,9.17823437413323,8.4786552834362,8.16225069456159,9.98811221293219,8.94767055814345,8.343543768966,8.59734565725281,8.85923300108105,8.91902374063843,8.85419940425533,8.77959528427715,9.11660987791888,9.03040636549923,7.840095038882,7.93323603955435,9.22192579073293
"hsa-miR-320a-3p",13.6579712010313,13.9085058104986,13.870724903577,13.5750412534323,14.0840043769934,12.7432824613706,14.2995020860883,13.8181778837138,14.176068578283,14.1809824955987,13.8063876050096,15.6094673459243,15.0155430035402,13.8188079914546,14.6843261518028,15.0114718785007,14.2010314321151,13.9342086459831,13.8747951068945,13.6591107671617,14.1813052096556,14.4948512834049,14.8096788848372,14.4291055910048,11.8991419503708,14.1406430628938,14.7288447696082,14.4693198997145,14.4431449408282,14.5877776404318,13.9744029258519,13.8760611161145,14.2776299746763,13.8600012254901,12.7693427128744,13.9298452624511,13.5467061330291,13.9548036791929,14.4962723589147,13.3218383762187,13.7762018368298,13.9765147403923,13.7895585569867,14.1588564187078,15.2638281382096,13.6839087278044,14.5803178122078,14.9437007715827,13.7753536899959,14.1896192428648,14.3758974025671,14.3629156409883,14.3168863218021,14.15964024694,14.3032816679246,14.4501354959177,14.8790537944901,14.1538991141955,13.8824775417175,14.4457261928902,13.8423739625937,13.7092589571031,14.1049202862364,14.6472132389642,13.9533212729273,14.1409488485485,14.801305409369,13.7182440778502,13.784780486342,13.7951366111763,13.7499519547278,14.3644229600075,13.9155031955502,13.9573740325981,14.122724162242,13.5085157517058,13.4608988703908,14.1535856146915
"hsa-miR-320c",6.82662089695953,7.73033698663503,8.56153625963096,7.2175893107776,7.40143614820638,5.74554272349567,7.80950190903061,8.08548383959708,8.39902435662536,8.48962086725542,7.55987795768791,8.05476177571556,8.29894846891444,7.5852354201668,7.77804218847604,8.11766737183986,7.6948222162778,8.03870752071812,8.39537656592682,6.92555264879119,7.34744389439235,7.82526132132342,7.76039700465526,7.82684952885564,6.13464751775776,7.52467993469877,7.19157967373402,8.65046384656999,9.45582260232837,7.5285053232895,8.32946125660258,7.42410337842297,8.97369090173246,7.83883078144549,6.44357878523121,8.0069815042976,9.85801028766554,8.79375043467247,7.71513698476636,7.98025906820914,7.53634292778759,6.52800192333776,7.49321529114973,7.78076919164414,8.13121711022219,8.24087137195525,8.14096961591129,7.73163476271575,7.98111664548128,8.24455716798879,8.26744926550537,7.98439535610805,8.56754849042182,7.00719039741924,8.03167429162404,8.00159213586243,7.53772045764808,7.82215882266527,7.97866276243202,7.62861772469191,7.82056165140103,8.22993700839014,8.48789178515715,7.21844627146985,7.77391607639756,8.83771402298561,7.75631061195633,7.84436873927002,7.94787765436231,7.8883683435652,7.92768462597918,7.68913640156717,7.93079822840268,8.07698519971664,8.10848950000416,6.87696785897586,6.17481492136487,8.17546570925993
"hsa-miR-548j-5p",5.7659565662593,4.48087543966336,1.67661060190493,4.83848370405213,4.87318539242443,5.10747157928626,5.49581321893845,5.71684838993465,4.32915533202146,4.08134884396895,4.5676899739026,6.31458700655792,6.54285734217314,5.72949523370698,6.22416848256205,6.65873814759496,4.32603914099016,5.51520763970659,6.04062543968064,5.5606176042488,5.93540068618778,5.46062862867544,5.02497268193106,5.04278729753124,0.917886369914917,5.14026843594601,5.84858864514844,4.63426137285076,3.46203169096159,6.46854340879022,4.96592218964621,6.9162906055007,4.91430687280889,4.44951246734008,5.4115381456625,3.66471159338568,1.67661060190493,3.96734439046734,1.67661060190493,5.15872699061022,1.67661060190493,6.12880593836921,6.01457760282268,5.21382175008184,6.51655140381266,5.86765321104053,5.8250602879809,6.27803355642825,4.69959755818504,4.76031496792215,4.99104440043591,4.72707272934366,4.42831706700728,5.6788717951599,5.73647493812638,5.00835622921629,5.54632003889708,3.41964726638054,4.67256117841044,4.77650113954958,4.89177787200292,4.69991535129926,3.91594360879074,6.8926704588375,5.34266486883124,3.87828837534494,5.8354686756081,5.85547537883331,4.95958154748768,5.9537335928413,6.1461393936132,5.8100510481066,5.56515316066611,4.95038224550721,5.0459972266342,7.45744616697581,3.95886645866226,6.18977380008663
"hsa-miR-548c-5p",3.49776216262412,3.55288810222893,4.88651761250837,3.83127507757519,3.70017719741009,4.19713545806468,3.61327878954312,1.15838297375705,3.73489711624136,1.15838297375705,4.35114648210049,4.67422819654261,4.89593742921264,3.84770612724724,5.12611145155605,4.67474394853168,2.96345392036535,3.97897198714412,1.15838297375705,2.72709447042425,3.57996379710512,3.97843592617884,3.60240159826707,2.93358621744659,-0.343979070581446,4.23690016098506,4.6469095257623,3.73124542621838,2.56352187068466,4.53725079728607,1.96270580040156,4.86443900749637,3.51251958914594,3.87995463303254,4.55339762296219,2.57798099607447,1.15838297375705,1.15838297375705,3.91600463046124,4.29790317102732,1.15838297375705,3.98172043154785,3.31688678215385,3.01997249910941,4.17228170383419,4.62923807476767,4.47695988421692,4.07987753292736,4.16635983638778,1.15838297375705,4.04086092408902,3.093543030487,3.09202585318907,3.88888818953385,3.80220645241716,2.34218106837143,3.3265030872796,1.6004062179361,2.52752164996984,4.0424158367411,4.1958317394594,1.42589408973454,3.56575839340503,5.15554935306297,3.95740734599164,4.5007650048236,4.15295287386191,4.59680539185514,3.30812165372968,4.58915921646292,4.40278985349801,2.98954006624516,3.5742522298964,2.48820379756521,4.38838852405698,5.67163919408681,3.43421911899111,4.42510119889046
"hsa-miR-548d-5p",3.72108721174142,1.14399398326665,4.11794193886001,2.97539792968543,4.12357207989951,3.86542043925809,3.3912999733857,2.55777829052527,3.74773055850912,3.96882333600368,2.55172612860526,3.62655545241635,4.33231099923572,3.86173146505556,3.26350335443717,4.166058678334,3.9121913032757,3.259547735136,2.74416534736815,3.10849918161593,4.50267893801001,3.10433760781549,3.42703680457649,3.67079039981857,4.52797019964362,3.24727154589261,3.4836521121269,2.97239698054191,2.04104347583135,3.89701308641182,3.21524144694529,4.01350522988622,2.62631427289468,2.06045634299277,3.40154412626886,3.22121771485087,1.14399398326665,1.14399398326665,1.14399398326665,3.55640818912689,2.85577528840483,3.74719804502695,4.31688435405284,2.11824994547246,4.25595700329209,4.0716849943071,3.42189467006876,3.61015783781615,4.30249562516646,3.47844799244147,3.74190182618795,3.58410851464039,3.99231990473658,4.14470492770912,3.86872583836768,4.0555325938504,3.48909065393795,3.61113234568079,3.50543114625415,4.2361813162491,3.84433213329969,2.93678110572231,3.218237123667,4.05080070412232,4.22443010031497,3.99919752135447,4.20218311490482,3.72775977571335,1.44675216352984,2.89822199671529,3.61305891388693,2.58528171817304,3.67833133319448,3.48382311913789,1.08019619627065,4.42909018573803,1.27061120850785,3.53398330385165
"hsa-miR-451a",7.44828621800468,7.35015849070788,7.30034691119956,7.15157908503199,7.19979320895922,8.90463076608982,8.46413432795732,8.05353774501464,8.04880168410134,7.78485473365442,8.4218551626361,8.03569692905618,9.07548976491965,5.21770497533042,9.8950915377355,8.54439758712268,5.46465352531469,8.48297145067175,7.29361638077663,7.41983404064071,6.77147403149657,8.19348932995695,5.56966732746811,6.95686388403264,3.52151721124511,9.12739271213502,6.92174812933873,7.5179699709499,7.37465897889642,4.92531274070811,8.71626786428262,8.12829755443334,6.80620393934141,9.56359990519099,8.11350981051386,8.35689859151986,0.949679048663977,6.35476193763804,6.43923075289193,7.47945338010557,6.21199024251414,6.06303852802615,6.74689450568807,8.17072287335186,8.19908469361427,7.49573200162937,9.88474605965181,8.34033004379008,7.40108926688968,5.69709936436266,6.84295116971746,7.1412583734546,6.30604761554554,6.1579136225805,7.04450171045227,4.735426413151,5.09595661844642,6.09673219529713,7.99958228619352,5.66569865606294,8.26137103244649,7.22348474197268,8.92768003197312,7.60203768694293,8.17415147403328,5.8970617955776,6.53482878268385,7.87066185961316,8.39689746427851,9.25619870594281,8.54023685778059,7.91967513072822,6.20341989374161,8.42293186697308,7.30971790803558,7.82654242641596,10.3688920661402,8.41738246429646
"hsa-miR-641",4.07182733790318,3.26953510123467,4.09389416821651,3.63296558141341,3.66864062219009,3.82893942608118,3.33147498850128,3.56535563324047,2.95966237812785,0.973519804289904,3.73056039199253,4.09134770207736,4.02280572975232,3.5011680699347,3.44922963619209,3.54703842832898,4.43062783353525,3.19323574801588,0.973519804289906,4.70288704193723,4.08256932594047,3.21419668925599,4.35976172729402,3.72494156969985,4.16308034602878,2.6261935015052,3.71247288660792,3.25614681133214,2.75391265737212,5.25625959619248,2.85985247471327,4.23894415967384,1.13930087221655,2.49181177677037,3.95584032554024,3.153018496587,0.973519804289904,0.973519804289904,3.44088591194373,0.973519804289906,0.973519804289906,4.51642486187984,4.30263178620266,3.86746225373955,3.89134941712797,4.76952358483741,3.75088468892335,3.84133110525948,3.8703588193157,3.67084559090405,4.40614440125628,4.46074364924258,0.207883914278143,4.12033512523106,4.19367391857218,4.76394654119662,4.27047776760154,4.26594912308176,4.19927088251276,4.19022959308544,4.00894550849118,3.06311856441075,3.48179948840914,4.57192286143029,3.91343009519502,3.60359141058137,4.20407436340666,4.06992778183143,1.71962681243817,4.00714261526402,3.87516944838223,0.207883914278143,1.95534967329799,3.76662451993364,3.68671585979373,3.93528301990613,2.22321342124799,3.18195878620683
"hsa-miR-376c-3p",8.9890673035998,7.18604702162895,7.14370052742347,7.44244009632742,6.76941610784598,8.02611974755726,7.46773481443168,6.2107435002998,4.46407638956157,4.76921964333365,6.86116185321161,8.26168999907546,6.5537162842846,7.62053343631974,6.79265470820229,7.50934651668228,6.20682466790109,5.74782202337021,5.65829724825649,6.9658156538454,8.4932344345867,7.49050939388873,7.80882100088971,7.40520541004088,6.79567255665915,9.12988936079627,8.52995538009162,4.44530191761197,7.80020625338007,8.33155118413382,5.01301122806185,9.24302514707447,5.1496005082564,5.87119423472247,8.13291645272582,5.19098120779787,1.09780372369781,5.29685721695339,7.12461913219046,6.91205697279947,5.58348618957271,8.22196676483079,9.04444203165798,7.58741251821797,7.59461431638525,7.65562638818367,6.2389455747039,7.41263541440316,6.74004666687279,7.32302228837982,6.97282606831893,6.13624045022787,4.21405525492095,9.02596670221781,8.15814751075892,7.61417300188378,7.04361198866328,8.05498658670753,5.73178751641945,8.68425560071016,6.75285790563744,6.421922508055,6.02560196305813,7.61432109169774,5.29904603615775,8.46365017724585,6.9735297335576,6.63279308654827,4.57349169657812,6.28049043339926,7.48725961690684,6.77591643626065,6.99137781107092,6.3660531020706,6.10565229507247,7.18064955173344,3.06190301079253,5.47070516793441
