"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH16_S60","X2017_CPH17_S61","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH24_S64","X2017_CPH25_S65","X2017_CPH3_S66","X2017_CPH30_S67","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH50_S81","X2017_CPH54_S82","X2017_CPH61_S84","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH8_S91","X2017_CPH88_S95","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH19_S107","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH91_S185","X2020_t0_CPH93_S187","X17_18_014DM_S8","X17_18_018SD_S12","X17_18_022MB_S15","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_031XK_S22","X17_18_037SD_S27","X17_18_038WP_S28","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_043BA_S32","X17_18_046IC_S34","X17_18_048LW_S36","X17_18_050JMC_S38","X17_18_053AT_S41","X17_18_054RT_S42","X17_18_055GP_S43","X17_18_056SB_S44","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_025MA_S16"
"hsa-miR-125a-5p",235,58,482,475,232,300,469,203,431,284,121,220,652,172,313,328,304,744,146,296,164,714,134,212,333,137,299,360,338,223,195,345,143,681,107,394,164,212,561,275,896,862,1013,52,183,63,524,299,138,173,478,470,36,491,527,142,117,205,51,27,35,144,121,201,220,275,116
"hsa-miR-143-3p",1601,1461,12062,5017,1628,5795,8714,2052,3020,5647,1768,10398,8687,3345,2259,1757,7284,13771,1399,2967,6078,4314,1803,1147,6084,1803,1301,3746,5396,2644,2603,2401,1558,4362,1935,1806,1365,1158,5871,3300,15356,3472,5461,947,2322,1726,8951,2230,5355,699,11534,1629,237,7840,2496,2342,1895,1079,743,527,777,1044,1401,1320,481,3667,2800
"hsa-miR-150-5p",589,191,1328,2397,1060,546,902,1181,1134,238,287,520,1217,1021,777,1626,911,1527,954,649,537,1521,545,2469,1079,516,869,2781,1070,355,577,1402,807,3346,409,960,475,765,2824,594,1688,1489,2823,111,1335,52,595,502,529,1041,833,1741,168,2384,986,555,542,778,336,179,203,653,303,609,755,631,150
"hsa-miR-181a-2-3p",96,26,182,217,79,75,97,63,138,91,43,175,182,34,95,88,120,225,37,131,68,225,46,31,109,38,61,127,67,16,67,52,44,124,31,81,54,69,129,108,202,134,171,11,102,12,149,87,128,39,89,111,17,120,151,45,40,31,23,9,11,41,39,23,26,110,30
"hsa-miR-34a-5p",17,0,27,24,0,0,21,0,17,12,0,9,43,13,29,21,0,13,26,21,28,80,0,0,19,47,78,33,51,39,16,71,18,154,15,57,51,22,43,23,95,155,113,33,32,0,69,43,55,22,62,47,0,26,113,22,0,0,17,0,0,13,0,0,19,43,33
"hsa-miR-374a-5p",3,0,26,26,2,3,36,6,27,0,5,1,79,4,15,1,2,50,4,4,7,7,4,0,2,22,37,82,60,30,25,27,4,59,6,44,8,10,38,34,294,41,162,0,39,0,79,33,39,23,0,41,0,64,47,31,0,35,0,0,0,0,0,34,0,0,32
"hsa-miR-424-5p",0,0,14,12,0,10,14,0,12,0,0,0,7,10,0,0,0,13,0,0,0,13,0,17,0,17,19,24,8,8,0,12,11,27,9,17,0,10,19,41,31,41,47,0,20,0,92,17,39,0,28,22,0,64,45,20,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-584-5p",0,0,32,9,0,11,16,9,30,5,0,17,42,0,12,0,47,84,0,13,18,24,8,17,9,0,0,13,0,0,8,10,0,11,11,0,0,11,0,16,43,41,20,0,0,0,28,23,0,0,34,0,0,43,55,0,0,16,0,0,0,0,0,20,0,20,19
"hsa-miR-652-5p",45,0,140,86,14,53,82,25,65,31,12,51,120,22,47,35,55,180,18,63,72,49,14,17,48,15,31,70,100,32,48,30,27,58,21,54,23,24,57,52,270,56,173,12,51,20,126,68,108,11,79,28,0,105,62,25,12,29,12,0,13,14,26,20,0,50,26
"hsa-miR-6721-5p",8,55,14,39,24,26,11,25,8,9,37,94,13,0,94,28,26,49,7,15,62,64,25,0,13,0,0,9,8,0,21,0,0,2,6,0,6,5,2,10,25,13,8,0,50,0,0,89,0,0,116,26,0,49,59,30,0,18,0,0,0,0,0,0,0,45,20
"hsa-miR-92a-1-5p",24,0,39,29,20,41,15,22,25,62,10,30,49,0,20,16,28,29,11,36,38,51,14,11,36,0,24,60,39,13,22,32,20,99,31,26,29,19,40,28,54,48,54,0,51,0,44,40,43,12,42,39,0,40,67,15,12,0,17,0,0,18,15,12,14,42,13
