"","X2017_CPH13_S58","X2017_CPH16_S60","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH25_S65","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH54_S82","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH79_S90","X2017_CPH8_S91","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_026SM_S17","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_038WP_S28","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_053AT_S41","X17_18_056SB_S44","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-1-3p",210,1286,1436,826,3608,453,3213,751,208,1485,577,2180,639,261,408,883,1735,394,198,607,5113,186,529,160,96,10475,503,99,2457,105,366,264,258,188,528,699,1478,282,417,69,873,92,259,158,433,47,71,2115,44,814,282,532,600,836,34,35,582,643,53,201,70,4042,755,397
"hsa-miR-103b",57,190,69,171,160,111,428,78,108,195,94,195,54,117,167,183,185,144,25,330,120,76,153,30,41,116,232,70,204,42,208,83,120,100,76,356,554,422,26,101,214,37,33,27,34,0,38,121,53,27,163,264,181,28,61,43,53,96,22,59,48,222,315,0
"hsa-miR-1185-1-3p",0,49,45,40,35,57,92,6,26,109,4,36,10,35,0,23,3,35,0,74,4,0,48,15,0,0,17,9,25,0,150,10,32,0,0,0,44,5,21,22,32,0,16,0,0,0,20,44,26,0,0,68,56,0,0,15,0,0,0,0,0,58,25,0
"hsa-miR-150-3p",0,24,2,9,2,0,1,11,4,6,10,4,13,8,0,18,1,8,0,2,36,20,8,0,21,26,83,0,12,17,22,61,87,8,76,1,7,40,0,0,0,13,0,0,0,0,0,43,17,0,55,52,63,0,0,19,26,33,0,0,0,22,72,0
"hsa-miR-181a-2-3p",24,220,66,94,138,40,218,73,91,116,116,187,35,150,21,62,222,81,30,171,127,78,110,26,40,62,127,14,63,26,128,103,126,29,99,84,209,170,19,37,62,30,12,13,30,11,33,70,39,18,115,171,141,27,42,27,43,40,17,14,29,120,176,0
"hsa-miR-182-5p",132,599,142,197,270,62,483,134,382,228,436,253,89,304,196,206,679,484,130,442,211,123,94,150,121,263,429,91,399,353,323,153,236,99,337,5842,567,734,44,87,359,61,26,39,43,60,88,562,29,63,630,290,315,83,110,37,41,347,173,191,59,434,1059,19
"hsa-miR-223-5p",224,1087,949,980,920,335,1582,383,357,1054,516,1401,339,790,373,830,1154,527,258,1237,642,464,845,77,160,192,526,121,621,156,704,167,509,259,231,520,1050,760,106,276,990,132,119,145,116,72,164,962,102,130,319,1358,612,145,131,92,118,434,58,222,124,722,882,57
"hsa-miR-224-5p",9,171,39,528,300,33,131,20,58,85,221,108,82,107,16,57,108,168,23,271,106,24,49,13,21,101,81,116,118,16,97,21,104,58,71,42,621,124,54,76,278,25,14,26,22,19,54,157,39,31,47,173,149,15,20,0,18,59,0,0,18,93,360,13
"hsa-miR-31-5p",26,283,174,119,160,42,221,87,136,440,138,204,91,97,90,129,122,188,77,174,223,129,77,52,133,162,293,72,77,87,430,104,371,57,193,102,232,359,24,21,114,72,34,47,27,10,114,377,70,20,159,348,193,54,31,38,89,47,8,49,40,382,165,15
"hsa-miR-3135b",0,53,17,18,0,31,20,0,10,16,15,32,0,49,0,29,31,0,14,11,12,0,25,0,0,0,0,0,0,13,24,12,19,0,17,0,11,34,0,0,15,0,0,0,0,0,0,23,0,0,12,90,47,0,11,15,9,13,0,0,0,37,32,0
"hsa-miR-424-3p",21,74,54,41,61,8,61,33,43,16,73,42,35,29,21,61,84,43,28,19,48,52,30,15,33,83,114,21,76,48,61,70,130,33,81,117,60,145,17,32,120,20,18,20,22,13,14,80,16,0,28,84,78,16,14,18,0,27,13,31,15,34,72,0
"hsa-miR-4710",0,27,19,7,53,15,69,19,45,19,22,56,0,38,0,19,143,0,0,36,53,15,37,21,0,0,14,0,24,0,8,14,0,0,19,0,41,29,10,14,20,10,0,0,0,0,0,22,0,0,0,44,23,9,0,38,24,0,0,0,14,51,27,0
