"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH16_S60","X2017_CPH17_S61","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH24_S64","X2017_CPH25_S65","X2017_CPH3_S66","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH50_S81","X2017_CPH54_S82","X2017_CPH61_S84","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH8_S91","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH88_S95","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH19_S107","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH91_S185","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_018SD_S12","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_022MB_S15","X17_18_026SM_S17","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_037SD_S27","X17_18_038WP_S28","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_046IC_S34","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_050JMC_S38","X17_18_053AT_S41","X17_18_054RT_S42","X17_18_055GP_S43","X17_18_056SB_S44","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_025MA_S16","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-4286",0,0,0.0417074999649333,0.082768807002471,0.10450954265057,0,0,0.105840172909285,0,0,0,0.0309954254440601,0,0,0.0447376435524003,0.0416000733706339,0,0,0.140365109129339,0,0,0.0286806153166317,0.057835219388572,0,0,0.0468922348226165,0,0,0.0473513959589325,0,0,0.255589098150366,0,0.178348835842337,0,0,0,0,0,0,0.0498147664283721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041490212502442,0,0.0382196898584594,-0.0496202329330916,0.0834300292733838,0.0434922013656637,-0.0586151525814769,-0.0136964675856664,-0.0422885894661789,0.143464771191459,-0.113097786851518,-0.0458747039498801,-0.0613702866153754,-0.0339361602720911,-0.120099417905889,-0.13315596423989,-0.032110285965759,0.234455838649756,-0.0627918709703169,-0.0133252264931453,0.0196196741015994,0.0287674239672904,0.0006534092262111,0.167670304833801,-0.0792184306141785,-0.0225506375798538,-0.0193846287138228,0.00302063968810647,-0.0415784736290981,0.195639244138678,0.00148900378987448,0.0228630230597477,0.00415236728085468,-0.00584073494269343,-0.000963992406658029,0.179117137194682,0.0393110674470288,-0.00850328085366106,-0.00650705043653792,0.244932501013508,0.175430500433881,-0.064142263982694,0.126355955676564,-0.0342876146116425
"hsa-miR-486-3p",1.74119188894968,2.07593226564701,1.39299559519131,1.72571742990323,1.33657680126955,1.05899977037879,1.21537631893483,1.54738040917047,1.17143368072644,1.56148925752702,1.55643429211401,1.43208706418662,1.66154084791821,2.02258487133976,1.193653206019,1.38950595736326,1.4271142094645,1.29865583853006,1.71193173008536,1.49052692498647,2.02854952172104,1.39407899900513,1.38637383143861,1.61996108856757,1.95483641074602,1.43618036022131,2.16533850363873,1.74015180667716,1.54496786417392,1.45534585329132,2.0068130942865,1.0827880189308,1.48160054851263,1.60871037067517,1.53493133397702,1.59618356923133,1.40771031040675,1.57556466228149,1.75865536075326,2.0522760267566,1.86484848365153,1.82039999291307,1.36269318396789,1.48126759621899,1.8733973736077,1.57715528306708,1.61398838341637,1.43022677494644,1.53996933985333,1.69343932135754,1.78912303788261,1.71643385200313,2.18513556019071,1.63223495773337,2.16018414139682,1.80853949975463,2.64070912621224,1.45333426861245,1.57600487533691,1.44389716818539,2.50762554865132,1.95212875448506,1.99818607182606,1.91878307766547,1.20495735902892,1.47034836769519,1.54015095659445,1.81222171781155,1.78401346601694,1.510538508719,1.45475668210303,1.17603204397902,1.20387607657581,1.61644732191376,1.21025595708151,1.27949803587127,1.43979224801912,1.49427132991851,1.92930342983902,1.43077340349568,1.38789193571965,1.26525318254564,2.50567075467658,1.32493669590568,1.76825110253717,1.72312982589869,1.45304170194084,1.5112271484449,1.53828918080721,1.522733494324,1.59762935567145,1.2908619480607,1.31889600677518,1.8080094113884,2.501632071239,2.14526397113742,1.3423926379431,1.5148118649121,1.84421389002115,1.59066890809619,1.13123070374615
"hsa-miR-4497",0.0542042770983817,0,0.0446210876972693,0,0.10450954265057,0.0534069172363879,0,0,0,0,0,0,0,0,0,0,0,0,0.0667872549410595,0,0,0.0261070127641535,0,0,0,0.113348917493635,0,0.0699472538569993,0.0351062540326475,0,0,0,0,0,0,0,0,0,0,0,0.0785544135775668,0,0.205367707733171,0,0,0.0557476313018311,0,0,0,0.100212790626761,0,0,0,0,0,0,0,0,0.058683663225527,0,-0.00633946103769484,-0.0106714177012951,-0.00730233394755476,-0.00542173921033801,-0.000536341750650702,-0.00597673757846142,0.000136316751129866,-0.117174322796591,0.0228481807106219,0.201615824240308,0.0144089589797938,0.135518114520163,-0.0142496726761451,-0.0744284810566292,0.163311769132931,-0.0325654099104959,-0.00958332428538491,-0.0737895687943602,-0.0791816323307392,-0.0122529905993018,0.0646162667595873,0.136910810570321,0.110648624245745,0.0911768034981762,-0.0240413442573854,-0.0511095604668981,-0.0548330019760543,-0.0352157657253415,0.331168665074643,-0.0490667977507691,0.233884719667197,-0.0251872039774632,0.114969940111229,-0.0278799480805055,-0.00295934666214722,-0.00308295621349803,-0.00707123571237579,-0.0998926974508177,-0.011668433821269,-0.050402761919401,-0.0133233778740116
"hsa-miR-181d-5p",0.171728428560182,0.161292539590745,0.232397458400036,0.230216010552691,0.138933861404112,0.357483692652855,0.316052206701277,0.266326243885629,0.319514014305691,0,0.24933320192293,0.312820313983894,0.197245803379273,0.248804581232614,0.288610793819648,0.343309012367305,0.190958443868915,0.167096333132295,0.203790096749097,0.240136486420589,0.250566626860959,0.313105582109082,0.35929201839244,0.177836922749601,0.321064197514206,0.188998613732086,0,0.305044120612132,0.25537239964705,0.328491661889148,0.211485439738626,0.319816873257369,0.279365083107341,0.28018142295275,0.148537993749363,0.333027771364744,0.182197382398537,0.307787390141769,0.421159383096548,0.174350720518999,0.294318828528524,0.329595324390102,0.42653830673852,0.299417359131721,0,0.446533052838719,0.284143400026788,0.453225506344503,0.270891125853737,0.299737473451572,0.264965665322915,0.238979373105906,0.295716659430796,0.196502735425836,0.330724790845752,0.247429708482984,0.118185757570052,0.489556971181813,0.333025489412438,0.303193800202391,0.30242021116717,0.280803249421471,0.204570971230809,0.300167581876208,0.533422676031873,0.0385942075368591,0.271482895300509,0.194571003080992,0.386308925279091,0.311610204137182,0.325098219462933,0.249023614839484,0.766404655832009,0.367884655960885,0.570295117152363,0.373529879312405,0.17375551563223,0.0583182350266857,0.159140806895872,0.162678796119929,0.198873657381424,0.266915819378245,0.147639113820263,0.389929281250515,0.16784788825395,0.364291452921164,0.26948946285354,0.16385420434031,0.2164504605946,0.162344692864873,0.316818835750954,0.353901175559022,0.260292848381067,0.310014319683135,0.116217397644705,0.0947053691234504,0.339725974739727,0.401917334773095,0.443958007998524,0.284632042968367,0.0474215499981696
"hsa-miR-106a-5p",0.0542042770983817,0,0.0704682785723924,0.0656002566711369,0,0,0.070731795952516,0,0.0579693074849998,0,0,0.0878450734239456,0.074989324471571,0,0.0365003714712305,0.089893060090324,0,0.0531240297398126,0,0.0735641913805073,0.0923135391375527,0.0615483232961663,0.0795861138546371,0,0.0512466789049207,0.0582795968773511,0,0.130440390716969,0.0785043013717504,0,0,0,0.0483930159394665,0,0,0,0.0696831554005461,0,0,0.133529309323741,0.151384939725667,0.0566349847930672,0,0.146755336164991,0,0.0752729329866054,0,0,0,0.12008870778647,0,0.144470063935406,0,0,0.0953821280565043,0.10118700537863,0.167753482613627,0.11621531932212,0.0717506032752987,0.0913274933058267,0.0361479284995053,0.0326196733301372,0.132064617575965,0.0287544751930835,0.0343796451634219,0.0322968393254563,0.0297591626028881,0.089663813906228,0.031638202065706,0.0322187824066375,0.0344938907047707,0.074730313056168,0.0835703866407703,0.0442240212376554,0.0070807362130217,0.0333493232619006,0.0478366398069799,0.0555422366133152,0.179675953946213,0.0286062104474867,0.111827845369805,0.0489858339362068,0.0678024238360472,0.0479885937058099,0.0386223108307167,0.0414515217299407,0.0375507368927253,0.0356389054983058,0.0311672975598974,0.0326192384380225,0.038476625157733,0.0344470451449123,0.0283258765482166,-0.0213703170849731,0.0331477334535273,0.0253583669663662,0.0294341603178948,0.00173886465279827,0.037484281556932,0.0883271501751794,0.0218911276146938
"hsa-piR-001043",0,0,0,0,0,0,0,0,0.0878452830140041,0,0,0,0,0,0,0,0.155573085635593,0,0.0957306071700493,0.0930736097981416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112476210405023,0,0,0,0.0882011928972448,0,0,0,0,0,0,0,0.513296966999758,0.115198535885382,0,0,0,0,0,0.0717506032752987,0.0416228501836543,0.195729890494825,-0.140453218347779,0.106986432249383,0.169093528392014,0.608396007806577,0.143886461022855,-0.0347267668448866,0.0256002581599106,0.222736428798506,-0.0477510104553776,-0.0702876771458711,3.53070733415634e-05,0.0402442451572347,0.00740009246341122,-0.00499722925786662,0.134049607328838,0.132635240582409,0.02355698261774,0.0254876616640749,-0.178085351746343,0.0188949241728487,0.0475164340255573,0.0182072764942529,-0.112526847856474,0.119330579151815,0.0204319157820538,0.0184658632382125,0.0752298600824716,-0.0948016044293672,0.184617059336283,-0.1069054626773,-0.149060178034267,-0.207148421757498,0.0178313297236597,-0.137534579745708,-0.111626146656853,0.0771686965899013,0.0062432532499541,0.0436832438790596,0.0570908933936279,-0.235506395314675
"hsa-miR-519d-5p",0,0,0,0.0422404936031742,0.0688578118265391,0.112310961400902,0.113695103493176,0.170648400179686,0.187800825205848,0,0,0.0309954254440601,0.124324698679026,0.0838242960077896,0,0,0,0.123857333555341,0,0,0.0624792956731807,0.0812504534239031,0,0,0.0999946652889864,0,0,0,0,0,0,0,0,0,0.111537431989725,0.157901359364201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230189841157558,-0.0161104860419246,-0.00618253275755228,-0.026912853903515,-0.0111474369911671,0.0102508455598266,-0.0264998288013408,0.0493297805966671,-0.0259872960689513,0.0117365006510306,-0.197316784493438,0.0699208502345625,0.0786074622263353,-0.0751990649032069,0.0227970023171428,-0.0705662824268214,-0.092880830500371,-0.0645390364383423,-0.0910537908364352,-0.212324202917159,0.0535345603289066,0.0344490493013646,0.0268244833996728,0.205939962565256,0.335070569631719,-0.314723159223471,-0.0979775585819398,-0.0168509427945366,-0.25709502770478,0.286278959408145,0.16067182601582,0.105567793938214,-0.0320545137204874,0.137799575130195,-0.107829841979126,-0.232092736605566,0.00753678543632852,0.0646581587472325,-0.0871550797766962,-0.0996299937842285,-0.0295883632480767
"hsa-miR-103b",0.63453247116447,0.681703630661098,0.638891085856091,0.550125417738488,0.434602842093964,0.367030505045326,0.713837781976132,0.649969481197432,0.634487422790558,1.27806769810157,0.817199247720927,0.818502191294841,0.562676611086219,0.628276923645418,0.364904946396899,0.904841964716273,0.40878091319581,0.503634956598913,0.550795589020937,0.680783677347005,0.500834011445086,0.507582158397533,0.751846445243272,0.569324562556336,0.619013402194691,0.477547333462042,1.25520952140428,0.772327513794911,0.479373459839019,0.580798477029543,0.749999830684217,0.448086058101258,0.837424953041483,0.630521422667549,0.578761539192773,0.649318781121634,0.692774611106275,0.483986250600591,0.727657284923427,0.921031303154052,0.842807079664752,0.812170909358319,0.901318942488166,0.906371906627851,0.503692599033278,0.802004513943423,0.736138138244158,0.45982956435475,0.383013937000465,0.596366670086104,0.94574039047106,0.570389063558277,0.787894752400165,0.684254706479831,0.968741255452131,0.766378267073529,0.592257710312107,1.16525019247671,0.558771334178317,0.962635369499177,0.581079362209637,0.793010346472924,0.895600900287366,0.678371143244961,0.795260856506406,0.777696102851155,0.627256696403714,0.554535750860143,0.223963367703144,0.617833300693899,1.1477144154259,0.459533267432917,0.836091187599347,0.704422478726127,0.622216998950461,0.889056250247937,0.703040684564523,0.713714643273303,0.733234391419282,0.593938433915688,0.751033732313231,0.610673065172556,0.647609786684611,0.779372784436067,0.584041240329775,0.771638478182737,0.783934970365533,0.732483585805474,0.662946944743464,0.673468281297181,0.752740581592191,0.513450212145319,0.633441358367729,0.706178884933562,0.708648571251911,0.87130803118551,0.768756314299034,0.786814504359707,0.885291835136461,0.782954948488011,0.323084202449585
"hsa-miR-501-5p",0,0,0.0475262110917517,0.045190480520587,0,0.0490636805921459,0,0.0923588281721366,0,0.0540425913497754,0,0,0,0,0.0309709176781115,0.0560475840811574,0.155573085635593,0,0,0.0774966433031246,0,0.0439846706249113,0.0602754805945864,0,0.0661222019315197,0.0582795968773511,0,0.0751304898519371,0.0424713176211607,0.144575264848157,0.0961586416238773,0,0.0717387394875731,0,0,0,0,0,0,0,0.0498147664283721,0.0837933726638014,0,0,0,0.0557476313018311,0,0.145291044516702,0,0.12008870778647,0.159874458888563,0,0,0,0,0.0700878583337578,0.0290911094280937,0.063416043199056,0.122375039298454,0.0651261050066669,0.00634534707452576,0.101033197283334,0.0395776476809191,0.00171626266246398,0.0329907915100067,-0.00210456816725072,-0.00100426103734371,-0.0635646310703775,0.0103327605728547,0.14614796946699,0.257102388527048,0.115538587206227,0.019059256230489,0.0827509854819193,0.10897336853292,0.00992672226020503,0.0379570054183837,-0.0164543716434037,0.0758270556657977,0.0232287386053868,0.0305129938617592,0.00623958713379325,-0.0418987646723707,0.0179402331051941,0.00822174193422881,0.0260033513321556,0.0257565985881429,0.0232005663659697,0.0226222443094087,0.00282638871545703,0.0247710473484096,-0.00786655965530036,-0.00641647705472657,0.163595721955692,0.00267317697418246,0.172916478179376,0.0216422872348181,-0.026845712301525,0.0124565686057336,0.102139104293605,0.0113539516066833
"hsa-piR-013162",0,0,0,0,0.121869823929036,0,0.0609284350068228,0.0855493825266728,0.053627504011486,0,0,0,0,0,0,0,0.21669925036494,0,0,0,0,0,0,0,0,0,0,0,0.0351062540326475,0,0,0,0.0348037454685607,0,0,0,0.0644919575462177,0.206487944382483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137364925329566,0,0,0,0.0472667276150368,0,0,0.0717506032752987,0,0.208898644659958,-0.131066347037233,0.0163921289161363,-0.0742596608678825,0.503673506492819,0.273653885291035,-0.152619501838711,0.0469484188152368,0.273320671712261,0.035230626608567,0.0789809846753468,0.0064500484456286,0.00832152729294779,0.00255946088440701,0.00674191316053732,-0.234588025348668,-0.117285419406686,-0.00134841586170981,0.105462036089936,-0.155313865895009,0.00453842617989875,0.00288702006425595,0.00510460568035571,-0.00670441523526827,0.199856079084176,-0.0595464911938362,-0.0756792097452346,-0.122787651249928,-0.0723611630638425,-0.148979329428032,0.0794317641162808,0.0893945297546372,-0.212451903032784,7.34463120396177e-06,-0.183401483086585,-0.152995058371698,0.0558935854089273,0.0631809686348137,0.0414644103426761,-0.00362265094079645,-0.260119187643425
