"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH16_S60","X2017_CPH17_S61","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH24_S64","X2017_CPH25_S65","X2017_CPH3_S66","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH50_S81","X2017_CPH54_S82","X2017_CPH61_S84","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH8_S91","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH88_S95","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH19_S107","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH91_S185","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_018SD_S12","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_022MB_S15","X17_18_026SM_S17","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_037SD_S27","X17_18_038WP_S28","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_046IC_S34","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_050JMC_S38","X17_18_053AT_S41","X17_18_054RT_S42","X17_18_055GP_S43","X17_18_056SB_S44","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_025MA_S16","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-122-5p",3.44008238612581,3.68637932876932,2.99044417226161,3.76339356135861,3.71000880273091,3.9224441149026,4.15372965011941,4.02448115178149,1.7590183450953,2.98819195382775,3.0208324635784,3.02283990310532,3.94113603486986,5.28730221196732,2.36109059622935,4.15646505200521,3.63621276799659,2.9629528141286,3.66837908534744,3.17623636916875,3.56811656246455,3.57835352185359,2.36246282688329,5.76261412631275,3.55323830041329,3.21472769973698,6.23851933178886,5.37925760230616,4.50020951691379,5.60853185104147,3.63267639824428,3.46540624291958,3.94680173984354,3.06466181134943,6.71972228624291,3.31679488022689,4.2704377966725,5.27425792238821,3.89229976290331,3.51223974906581,3.53370775559064,4.32710505099634,5.10750233119094,3.07855601039909,4.45524522409669,4.24491840143337,4.70121027178904,4.18109349123677,3.83187000102847,4.75161076874801,4.28256238555119,5.08540989795995,4.14352933811648,3.54846414010804,3.98527512895143,4.80214794650112,2.15679809029515,2.77164666558545,5.35177080824288,5.71312327658239,4.04978539080195,3.23209613244164,5.64873507816819,4.23511300032714,2.7433560103376,4.89304017604765,2.52624908692588,3.25722234564309,4.05278744996604,5.46843795289756,5.29118634335988,4.86455235427381,2.9157067095703,3.00772090240531,2.92295935771172,3.20920570058481,2.30030645568775,4.04301773862617,3.55901381625369,2.80533480899644,3.16042938658286,4.40375798871183,3.71150987222064,3.28957228611216,4.14717395826699,2.61996163445053,2.71880333952962,4.94832963863129,5.89016190607592,3.29296697115212,3.89322698755189,4.99917711643514,3.9570672413515,3.63976344934618,3.30970458342093,3.58733526565159,4.05992897054578,5.25863416618253,2.06030487181575,3.97692774559352,5.71122211028951
"hsa-miR-3617-5p",0.0684912072508621,0,0.122934663685809,0.0510644747506713,0,0,0.141344939940331,0.145226867675656,0,0.068288340301041,0,0.0585878872848916,0.074989324471571,0,0.0529076169622744,0.125310768074416,0.100030454085156,0.0744522931307714,0,0.065652588710862,0,0.090957839694434,0.173092448625548,0,0.0562298138648887,0.0732637994848128,0,0,0.0808609571722408,0,0.143896871221888,0,0.224308499809068,0,0,0.095556591105921,0,0,0,0,0.054662433436583,0.135992794668714,0,0,0,0.235709465276733,0,0,0,0,0,0,0,0,0.102934743125675,0,0,0.0525132194035415,0.058683663225527,0.0848412252969595,0.0298768401787665,0.036377295490151,0.0224039138294648,0.0268898801779561,0.0281818044891472,0.0271926151405105,0.0333136082483007,-0.0161267340508118,0.0318526010581936,0.0316105436077409,0.0548535851722992,0.0251310540963832,0.0817625638796033,0.0518168527838115,0.0145145394173265,0.0251766174399237,0.0291073102733633,-0.0224465123755026,0.0461057055683687,0.0446739325603465,0.142410812430722,0.112730036951624,0.0201418879831229,0.139976173951807,0.0545631359347489,0.0263658360267007,0.0317054000681888,0.0431802419746359,0.0346808312703036,0.0541577843779827,0.0325666505433298,0.0530163008607668,0.0159060595565806,-0.012785684476743,0.0369645432809238,0.0478409956948583,0.0220428995821268,0.085241301503385,0.178777343922402,0.121155171119636,0.024664262274317
"hsa-miR-182-5p",0.913799248001097,1.06338013726988,0.52505861849638,1.03939731928124,0.571635779913788,0.483495357861935,0.695726655296099,0.87205914800564,0.793903075964779,1.01405363860385,0.467925611559619,0.806863121649067,0.699300396399169,1.27049073533613,0.461351465946782,0.627980442694629,0.967238916751355,0.582844634850666,1.06341022217889,0.661272749828218,1.20349844346213,0.496374161483046,0.904375527788787,0.685418034377417,0.761291922186465,0.783090409813338,1.35898420780078,0.751516737730507,0.997861885181152,0.768668847242134,1.45009583672225,1.16622777856454,0.932406980718987,0.813979610951492,0.6946273506602,0.826728854920714,0.40150801130129,1.23575349378854,1.31707538311303,1.41849534914976,1.1555765555703,1.12121024337394,0.989848152050335,1.28684337484842,1.68610586582561,0.979300675209492,0.997357505373666,1.25035784408049,1.14529100061783,0.824840321806521,0.876033333802504,1.32138394557313,1.4236628021139,1.0219000367947,1.16108658122402,1.134722454991,2.46622504657027,1.15316780117198,1.42250942068778,1.27886914670781,0.996128594886144,0.89784981507753,1.36781181563119,1.11237536400018,1.01211999672515,1.11873389691443,0.870587135051152,1.07868264197701,1.37294975631885,1.25064201882216,0.872710852551027,0.989631167589783,0.507777910531029,0.828590310655508,0.261206510624089,0.927738296496448,1.11087782102763,0.684768636643417,1.31879497920869,0.924913973402011,1.28078920616436,0.401672065586303,0.648375736778704,0.759522012262106,1.24402449822006,1.24586314977762,1.04537925303078,0.761957029095952,0.599036855322418,0.773582782574185,0.781158040520912,0.605540676824873,0.979684124298799,1.17507782461794,1.7656866743014,1.49404931070606,1.05905611994106,0.934685217912347,0.97652573499575,1.27605685505197,0.903031638114887
"hsa-miR-4286",0,0,0.0417074999649333,0.082768807002471,0.10450954265057,0,0,0.105840172909285,0,0,0,0.0309954254440601,0,0,0.0447376435524003,0.0416000733706339,0,0,0.140365109129339,0,0,0.0286806153166317,0.057835219388572,0,0,0.0468922348226165,0,0,0.0473513959589325,0,0,0.255589098150366,0,0.178348835842337,0,0,0,0,0,0,0.0498147664283721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041490212502442,0,0.0382196898584594,-0.0496202329330916,0.0834300292733838,0.0434922013656637,-0.0586151525814769,-0.0136964675856664,-0.0422885894661789,0.143464771191459,-0.113097786851518,-0.0458747039498801,-0.0613702866153754,-0.0339361602720911,-0.120099417905889,-0.13315596423989,-0.032110285965759,0.234455838649756,-0.0627918709703169,-0.0133252264931453,0.0196196741015994,0.0287674239672904,0.0006534092262111,0.167670304833801,-0.0792184306141785,-0.0225506375798538,-0.0193846287138228,0.00302063968810647,-0.0415784736290981,0.195639244138678,0.00148900378987448,0.0228630230597477,0.00415236728085468,-0.00584073494269343,-0.000963992406658029,0.179117137194682,0.0393110674470288,-0.00850328085366106,-0.00650705043653792,0.244932501013508,0.175430500433881,-0.064142263982694,0.126355955676564,-0.0342876146116425
"hsa-miR-486-3p",1.74119188894968,2.07593226564701,1.39299559519131,1.72571742990323,1.33657680126955,1.05899977037879,1.21537631893483,1.54738040917047,1.17143368072644,1.56148925752702,1.55643429211401,1.43208706418662,1.66154084791821,2.02258487133976,1.193653206019,1.38950595736326,1.4271142094645,1.29865583853006,1.71193173008536,1.49052692498647,2.02854952172104,1.39407899900513,1.38637383143861,1.61996108856757,1.95483641074602,1.43618036022131,2.16533850363873,1.74015180667716,1.54496786417392,1.45534585329132,2.0068130942865,1.0827880189308,1.48160054851263,1.60871037067517,1.53493133397702,1.59618356923133,1.40771031040675,1.57556466228149,1.75865536075326,2.0522760267566,1.86484848365153,1.82039999291307,1.36269318396789,1.48126759621899,1.8733973736077,1.57715528306708,1.61398838341637,1.43022677494644,1.53996933985333,1.69343932135754,1.78912303788261,1.71643385200313,2.18513556019071,1.63223495773337,2.16018414139682,1.80853949975463,2.64070912621224,1.45333426861245,1.57600487533691,1.44389716818539,2.50762554865132,1.95212875448506,1.99818607182606,1.91878307766547,1.20495735902892,1.47034836769519,1.54015095659445,1.81222171781155,1.78401346601694,1.510538508719,1.45475668210303,1.17603204397902,1.20387607657581,1.61644732191376,1.21025595708151,1.27949803587127,1.43979224801912,1.49427132991851,1.92930342983902,1.43077340349568,1.38789193571965,1.26525318254564,2.50567075467658,1.32493669590568,1.76825110253717,1.72312982589869,1.45304170194084,1.5112271484449,1.53828918080721,1.522733494324,1.59762935567145,1.2908619480607,1.31889600677518,1.8080094113884,2.501632071239,2.14526397113742,1.3423926379431,1.5148118649121,1.84421389002115,1.59066890809619,1.13123070374615
"hsa-miR-4497",0.0542042770983817,0,0.0446210876972693,0,0.10450954265057,0.0534069172363879,0,0,0,0,0,0,0,0,0,0,0,0,0.0667872549410595,0,0,0.0261070127641535,0,0,0,0.113348917493635,0,0.0699472538569993,0.0351062540326475,0,0,0,0,0,0,0,0,0,0,0,0.0785544135775668,0,0.205367707733171,0,0,0.0557476313018311,0,0,0,0.100212790626761,0,0,0,0,0,0,0,0,0.058683663225527,0,-0.00633946103769484,-0.0106714177012951,-0.00730233394755476,-0.00542173921033801,-0.000536341750650702,-0.00597673757846142,0.000136316751129866,-0.117174322796591,0.0228481807106219,0.201615824240308,0.0144089589797938,0.135518114520163,-0.0142496726761451,-0.0744284810566292,0.163311769132931,-0.0325654099104959,-0.00958332428538491,-0.0737895687943602,-0.0791816323307392,-0.0122529905993018,0.0646162667595873,0.136910810570321,0.110648624245745,0.0911768034981762,-0.0240413442573854,-0.0511095604668981,-0.0548330019760543,-0.0352157657253415,0.331168665074643,-0.0490667977507691,0.233884719667197,-0.0251872039774632,0.114969940111229,-0.0278799480805055,-0.00295934666214722,-0.00308295621349803,-0.00707123571237579,-0.0998926974508177,-0.011668433821269,-0.050402761919401,-0.0133233778740116
"hsa-miR-181c-3p",0.0918583177962675,0,0.133637974715125,0.202918000616789,0.110329853983967,0.132534637399067,0.104305949423075,0.158018413541889,0.199150851748381,0,0,0.155205142242543,0.0893352497306606,0.120263265874097,0.168065296683121,0.125310768074416,0.155573085635593,0.0744522931307714,0.140365109129339,0.108411651376453,0.135459608321359,0.11952708944299,0.119423393532241,0,0.16893129696136,0.131051452480761,0,0.164108730361619,0.168689914675692,0.169501427629086,0.172615926586898,0.268768912707578,0.157002998101011,0.218374388753596,0,0.240057116468281,0.100276840639979,0,0,0,0.155765432193243,0.141065947574428,0.189775767683474,0.158065697197286,0,0.122480697199249,0.147251908897237,0.0991670224417229,0,0.0901246972926355,0,0.0936401385047121,0,0.135194222012384,0.102934743125675,0.0655651064220775,0.0521199287489825,0.336845401166463,0.178369445097447,0.235572122909273,-0.0120517009658153,0.245571367677617,-0.016815005775131,-0.00725197167878898,0.0354648221156189,0.0287464204086155,0.00247072113990418,0.0403118395083022,0.0429769420088525,0.210396168042036,0.0653797162784252,-0.0117254799787058,0.240949202709819,0.326013505140618,0.22778532548331,0.0143641020490928,0.0466773170535105,0.0798531571297668,0.115496456858304,0.0840775292485497,0.20141558780758,0.0567638583071328,0.122946692894606,0.143040821129288,0.0760430816632506,0.168757285843669,0.18814575752017,0.0597822654685151,0.0917882389238626,0.0657718413892802,0.0490279709961943,0.207233666346439,0.445087253653094,0.0850472411474397,0.0482444746769536,0.176120362863032,0.212253456906177,0.246847978283084,0.14881991702001,0.127740582655022,0.0162204890357608
"hsa-miR-181d-5p",0.171728428560182,0.161292539590745,0.232397458400036,0.230216010552691,0.138933861404112,0.357483692652855,0.316052206701277,0.266326243885629,0.319514014305691,0,0.24933320192293,0.312820313983894,0.197245803379273,0.248804581232614,0.288610793819648,0.343309012367305,0.190958443868915,0.167096333132295,0.203790096749097,0.240136486420589,0.250566626860959,0.313105582109082,0.35929201839244,0.177836922749601,0.321064197514206,0.188998613732086,0,0.305044120612132,0.25537239964705,0.328491661889148,0.211485439738626,0.319816873257369,0.279365083107341,0.28018142295275,0.148537993749363,0.333027771364744,0.182197382398537,0.307787390141769,0.421159383096548,0.174350720518999,0.294318828528524,0.329595324390102,0.42653830673852,0.299417359131721,0,0.446533052838719,0.284143400026788,0.453225506344503,0.270891125853737,0.299737473451572,0.264965665322915,0.238979373105906,0.295716659430796,0.196502735425836,0.330724790845752,0.247429708482984,0.118185757570052,0.489556971181813,0.333025489412438,0.303193800202391,0.30242021116717,0.280803249421471,0.204570971230809,0.300167581876208,0.533422676031873,0.0385942075368591,0.271482895300509,0.194571003080992,0.386308925279091,0.311610204137182,0.325098219462933,0.249023614839484,0.766404655832009,0.367884655960885,0.570295117152363,0.373529879312405,0.17375551563223,0.0583182350266857,0.159140806895872,0.162678796119929,0.198873657381424,0.266915819378245,0.147639113820263,0.389929281250515,0.16784788825395,0.364291452921164,0.26948946285354,0.16385420434031,0.2164504605946,0.162344692864873,0.316818835750954,0.353901175559022,0.260292848381067,0.310014319683135,0.116217397644705,0.0947053691234504,0.339725974739727,0.401917334773095,0.443958007998524,0.284632042968367,0.0474215499981696
"hsa-miR-519d-5p",0,0,0,0.0422404936031742,0.0688578118265391,0.112310961400902,0.113695103493176,0.170648400179686,0.187800825205848,0,0,0.0309954254440601,0.124324698679026,0.0838242960077896,0,0,0,0.123857333555341,0,0,0.0624792956731807,0.0812504534239031,0,0,0.0999946652889864,0,0,0,0,0,0,0,0,0,0.111537431989725,0.157901359364201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230189841157558,-0.0161104860419246,-0.00618253275755228,-0.026912853903515,-0.0111474369911671,0.0102508455598266,-0.0264998288013408,0.0493297805966671,-0.0259872960689513,0.0117365006510306,-0.197316784493438,0.0699208502345625,0.0786074622263353,-0.0751990649032069,0.0227970023171428,-0.0705662824268214,-0.092880830500371,-0.0645390364383423,-0.0910537908364352,-0.212324202917159,0.0535345603289066,0.0344490493013646,0.0268244833996728,0.205939962565256,0.335070569631719,-0.314723159223471,-0.0979775585819398,-0.0168509427945366,-0.25709502770478,0.286278959408145,0.16067182601582,0.105567793938214,-0.0320545137204874,0.137799575130195,-0.107829841979126,-0.232092736605566,0.00753678543632852,0.0646581587472325,-0.0871550797766962,-0.0996299937842285,-0.0295883632480767
"hsa-miR-17-5p",0.505778213343351,0.513388257582739,0.597916503021891,0.653085692561752,0.479727115627748,0.546315775773296,0.614162674147176,0.543466528560301,0.865960253743009,0.464131778296566,0.368095943359965,0.709817022299552,0.562676611086219,0.832089298761838,0.530981079221306,0.584969207018569,0.469794907888186,0.52806351303347,0.550795589020937,0.487146426568898,0.842293042804858,0.638710300020222,0.79601731094855,0.556281891769571,0.563714895521168,0.691239402062041,0.199952475842885,0.628604683864476,0.765936794978324,0.558802854708662,0.866859823728399,0.991747009298313,0.586046753708444,0.81127250938733,0.47426607787518,0.748950098958994,0.486928395978236,0.432183363221798,0.801831249883957,0.967335570968224,0.767478039804258,0.711574503186454,0.638114287038947,0.611418090600701,0.681101590114976,0.871952222042935,0.703031100121159,0.667153011155972,0.622862275653236,0.735894011995567,0.676990625050315,0.79700063612811,0.82262168704182,0.608424887372504,0.611032600954346,0.605685347154853,0.930903889321679,1.07743720761493,0.786112340894421,0.82975005463275,0.697498474115364,0.657538471094591,0.953464491764471,0.544089467839995,0.795964645505175,0.59864272537288,0.701303773788998,0.78012382247475,0.578920409903374,0.719883898659571,0.277337606200824,0.496380596465214,0.607438838420125,0.586698795861452,0.538246169080502,0.759269244228828,0.819015752852472,0.648413046505762,0.983295450102206,0.572562947978703,0.714520632896197,0.7448914030785,0.621874843846904,0.633461925212506,0.723422456690123,0.73909137370219,0.772907043570244,0.573029404624922,0.630254306223159,0.252457694563464,0.808748361934549,0.658133880233768,0.863599117168251,0.729193433093123,0.710828848285641,0.890100137541857,0.82489095066287,0.648835998183066,0.723959982184484,0.785794826371569,0.771248549328231
