"","lfq_haronW.14.7.20.14.1718.056SB.90min","lfq_haronW.14.7.20.17.1719.064WC.90min","lfq_haronW.16.7.20.1.1718.031XK.90min","lfq_haronW.16.7.20.2.1718.034MC.90min","lfq_haronW.16.7.20.5.1718.047AJ.90min","lfq_haronW.16.7.20.6.1718.048LW.90min","lfq_haronW.16.7.20.7.1718.049CS.90min","lfq_haronW.21.7.20.4.170OK.11.5.17.90min","lfq_haronW.22.7.20.16.162HN.13.11.18.90min","lfq_haronW.24.7.20.22.198WS.20.3.18.90min","lfq_haronW.24.7.20.25.161HM.9.12.14.90min","lfq_haronW.26.7.20.32.90min.115CS.5.6.12","lfq_haronW.9.7.20.11.1718.053AT.480.90min","lfq_W.1.2.19.1718.30.2pt5","lfq_W.1.2.19.1718.32.2pt5","lfq_W.10.6.21.3.CPH005.17.S.90min","lfq_W.10.6.21.5.CPH008.20.S.T.0.90min","lfq_W.16.6.21.19.038.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min_20210617162605","lfq_W.16.6.21.25.067.20.S.T.0.90min","lfq_W.16.6.21.27.067.17.S.90min","lfq_W.18.6.21.31.071.17.S.90min","lfq_W.18.6.21.35.086.17.S.90min","lfq_W.2.2.19.RPA.1.2pt5","lfq_W.2.2.19.RPA.11.2pt5","lfq_W.2.2.19.RPA.16.2pt5","lfq_W.2.2.19.RPA.17.2pt5","lfq_W.2.2.19.RPA.19.2pt5","lfq_W.2.2.19.RPA.2.2pt5","lfq_W.2.2.19.RPA.3.2pt5","lfq_W.2.2.19.RPA.5.2pt5","lfq_W.2.2.19.RPA.7.2pt5","lfq_W.2.2.19.RPA.9.2pt5","lfq_W.25.1.19.183EH.2pt5","lfq_W.26.1.19.1718.038.2pt5","lfq_W.26.1.19.1718.040.2pt5","lfq_W.26.1.19.1718.043.2pt5","lfq_W.26.1.19.1718.044.2pt5","lfq_W.27.1.19.1718.038.5ul","lfq_W.27.1.19.1718.040.5ul","lfq_W.27.1.19.183EH.5ul","lfq_W.27.1.19.RPA.21.5ul","lfq_W.31.1.19.1718.26.2pt5","lfq_W.exo.10.9.21.84.90min","lfq_W.exo.11.9.21.90.90min","lfq_W.exo.17.9.21.119.90min","lfq_W.exo.17.9.21.120.90min","lfq_W.exo.17.9.21.121.90min","lfq_W.exo.17.9.21.122.90min","lfq_W.exo.23.8.21.6.90min","lfq_W.exo.23.9.21.123.90min","lfq_W.exo.23.9.21.126.90min","lfq_W.exo.23.9.21.129.90min","lfq_W.exo.23.9.21.130.90min","lfq_W.exo.24.8.21.16.90min","lfq_W.exo.24.8.21.7.90min","lfq_W.exo.24.9.21.132.90min","lfq_W.exo.24.9.21.133.90min","lfq_W.exo.25.8.21.11.90min","lfq_W.exo.25.8.21.18.90min","lfq_W.exo.25.8.21.19.90min","lfq_W.exo.25.9.21.136.90min","lfq_W.exo.25.9.21.137.90min","lfq_W.exo.25.9.21.138.90min","lfq_W.exo.25.9.21.140.90min","lfq_W.exo.25.9.21.141.90min","lfq_W.exo.26.8.21.22.90min","lfq_W.exo.27.9.21.143.90min","lfq_W.exo.27.9.21.144.90min","lfq_W.exo.27.9.21.145.90min","lfq_W.exo.27.9.21.146.90min","lfq_W.exo.27.9.21.147.90min","lfq_W.exo.27.9.21.149.90min","lfq_W.exo.5.9.21.53.90min","lfq_W.exo.5.9.21.56.90min"
"ANXA1",26.6156397359671,26.2853534481662,26.0365002135644,23.9400250507233,26.5821323302755,26.6156397359671,26.2853534481662,23.1178988943744,26.2069158267649,25.5094106539891,27.7503769912022,23.6286634071147,27.5882423891124,23.2064375947076,20.1168136214565,25.0377216719959,25.7229611814113,22.9198047577148,26.9679281074081,25.3671881458762,24.9978014606274,19.6190035117733,24.6185734874617,24.7396537280014,24.280653031634,25.3665667858475,23.6627038434499,22.8768046346005,23.3601254374451,28.4581633256095,23.8354717726519,27.3431214577041,23.1042334548854,25.1728558513292,23.1104041787378,23.4728461996222,23.4992498117354,23.7238175060468,23.6508628288194,23.0927656061646,23.5297745209543,22.9861726171878,23.2236639029768,24.1248057593918,23.7586353590585,25.2353764918142,25.5103808171144,23.9996730834425,25.9669918919777,26.2286577471695,25.0901116266612,27.5709832834773,25.1207957430459,23.8172733779432,23.3499238283481,24.1199325895345,24.8821928300677,23.7022502993156,24.8393953238115,24.6048289744988,25.0662613423903,23.5112662714219,22.4418587493689,24.2676245382564,24.0352169236613,25.1544122270112,24.4415891984916,24.4335405724739,22.6961606777877,23.9901403568652,25.8303741570821,22.8092856910102,24.6788864814996,23.7467558030941,25.4259727167963,25.1144633046713
"APOH",29.5385730020806,28.2061885590339,29.1202708061229,25.8599812218264,30.203125425601,30.9381194645708,28.4224911794438,29.3086591440529,28.4830498714183,29.4261741501036,28.4513128616737,29.5385730020806,29.1601460973739,27.544815711509,27.5654956397396,28.7237247652615,28.3455996208811,28.5953880956716,28.5389904953541,27.9403316404678,28.8692226635424,29.4883803960484,28.8053702600384,27.5640262388891,28.1521009281133,26.6759508774672,25.5074673041774,26.9156518515323,26.3863194023593,29.048069634387,27.6476974931589,28.8553660429632,25.5329948690931,27.4570239559703,28.7877361029658,28.0500173577404,27.691337737868,27.8474103676392,26.6395912039418,28.5399582865764,27.8920462344047,28.4830498714183,26.860169155028,28.2347319559013,27.8248274008419,26.2474508500483,28.1875578743483,27.4813374059708,29.7712578514988,29.1557934391495,27.9178899459147,27.0624536566996,27.4095209942929,27.5826128552249,28.5953880956716,28.2178021052589,28.2178021052589,24.5302812001699,28.3640874547216,28.6592568475695,21.9299075380299,27.3057039888549,28.965721216775,30.1131766900245,25.7629414039406,27.8845491702939,27.1881391566084,28.5953880956716,24.0196079965994,27.8609329353584,29.7414367635988,28.5570658303699,27.4984510959142,28.3455996208811,28.8692226635424,29.3804748914114
"APOM",31.2318460503749,32.2455643940388,32.207857664366,27.4781890841618,31.9879392573533,31.3127129009405,30.2571758878878,32.3863176440662,31.8267113868085,28.9107310392856,31.5503092225404,30.8818032374324,32.0785628292701,31.6631609517646,31.2000412486704,29.4026489731364,32.2402195829786,29.9424583466357,29.5553546670594,30.2949678943991,31.462121335019,31.7978286008986,31.5931593307813,31.0417813855051,31.5086783033726,30.6353355395377,28.1135305732686,31.1516632331235,29.9048840196357,31.6224453430099,30.9226421140737,29.8524491464804,29.6870117188223,30.4737867376289,30.0107135729084,32.2942407754158,32.4869013321182,32.6413907325933,30.952428915615,32.6905546625247,32.6905546625247,30.2843626821474,31.1103596404928,31.2666472265236,30.6870820548007,29.5901707815874,31.2830427813949,29.4026489731364,32.0119250040772,32.6967827582871,31.9440873197226,28.6601145605477,31.7978286008986,32.5182290052899,32.0119250040772,31.4134056270591,31.2830427813949,28.5047804909892,33.3841107193898,31.159018232863,28.5421398386866,30.9321859851227,30.3462110702428,33.2546328440892,29.8808844743488,31.6639396463084,31.7978286008986,31.3503223919327,29.1599161227958,32.2402195829786,33.1466058593099,31.2830427813949,29.6694983324767,31.6639396463084,32.3255479376228,31.5383299834012
"COL6A1",26.1431853770072,26.8662897970277,27.1640178114172,24.3911569600325,26.2820163755527,25.4878075055859,27.5658249647111,27.1727766287089,26.2365895843874,25.8064867055251,25.378687232407,25.719735494169,26.8346740268652,26.5445643823836,25.4077542014821,26.0350068118109,25.2022723314578,25.6523829745218,27.7741066726047,26.5441922419571,24.9530272760871,24.3812098463668,25.275894864887,24.454472655148,24.7401393664015,25.2162223382902,23.2412160302413,24.8314371638582,25.3198151022397,26.6951666461912,24.1042763839515,25.3977876700137,25.0198209851249,25.146815633783,25.050356461165,26.3733794879186,25.6064190426183,25.5998745731985,26.3495755942064,26.8277856253044,24.8624273853744,25.2217805068766,24.6744559474526,25.3329718895305,27.9090368827634,26.6596264915862,24.8198299033257,24.6735237269039,25.3840948007599,25.275894864887,26.2485647392287,25.9057138634038,25.4101493569009,26.864389502598,24.4440592608946,26.2566324851859,25.9726626818087,26.6777599682564,26.2814070681795,26.5357337510473,26.192215033644,25.9402095153685,23.8106525829618,26.2485647392287,26.0271364888226,25.7351281307927,27.054708653657,26.2960632810732,24.0692811030905,26.406482733184,25.2104597142004,25.6267497904882,25.7037284841106,26.0918439016532,25.5437520428584,24.742611522671
"COL6A3",26.3506836079799,27.1010252427362,26.1289030403331,24.302630197784,23.9396529021722,25.4327365376803,26.7273672116102,27.1807824767811,27.3162195312177,26.1813483437461,26.4185078374251,26.0563063280184,26.7569916169405,26.8958697435802,25.7355817852527,22.3720000354668,24.7372427536975,26.0254415995544,25.5899822547894,27.01226747023,25.4464163073878,26.2698769991758,26.6449516733826,26.2429761034553,24.2796741821752,24.4808638766259,23.1478938358707,24.7693917317358,24.0411935827738,26.9958829496987,24.1070851513916,23.3082117949281,23.5080277453586,23.8407073248304,24.499349429397,26.6409756638848,24.920346562656,25.2900230839277,25.799231380748,26.1249072491139,24.4374243819366,24.8748174410891,23.6492048226876,24.7873267159809,26.2218804387112,26.8134780331039,25.586223231034,26.4829875751766,24.3122380804407,25.2583268278095,26.1337889451475,25.3486706997505,25.0984780453652,25.9525905120059,25.429244573269,26.3909698718753,20.4001035849101,25.5572715513474,26.3422049135696,25.2182016080981,28.4665313102864,23.5845393966716,26.8257808781786,26.3009741428475,25.4253164821009,25.8126575022736,27.2584721723144,25.3773732537327,24.8480809632329,25.0327806471288,26.179320831843,22.5232848147541,25.9478292316069,25.746789001002,24.7786930942614,21.8216699874918
"CPNE2",24.2576488927339,24.1808437401504,24.1140042251636,24.1359231112866,24.2960964348803,24.2247882130187,24.2541116622958,23.6491547878535,23.0397004131774,22.6639589639791,22.7223195731134,22.7223195731134,23.3133078547521,24.1981853790671,24.3555817848402,24.1872135932632,24.4585881032153,24.0592204985902,23.8114147202241,23.7507805259452,23.849006039024,23.6978356155869,23.7227543813508,24.0529907852487,24.3345632962077,24.2802091467196,24.5409485617303,24.5461882497823,24.3987847549677,24.0659514229123,24.4334621784507,24.1552199118555,24.4997070206559,24.4226664381225,24.4665934469406,24.4245895051847,24.3666508273511,24.3913319482793,24.3666508273511,24.459574432399,24.308507017225,24.4082569155893,24.4136403535047,24.3440874260049,23.2404264508396,24.8847456712599,24.3845829536149,24.7087556530589,23.9881214506068,24.1776211543586,24.2356581361711,24.3703642923268,24.0592204985902,23.7895404231196,26.132791643693,24.1472986513827,24.2978857871022,22.062548178786,24.4026521391831,24.0356851817496,24.1241252293622,23.9278691475217,24.1209350812678,24.1599699516874,24.4764891441952,24.3738349608012,24.194088815351,24.2686114668622,24.5053548929428,24.1740826681841,24.2392968664224,24.3738349608012,23.9049032496434,24.0127264118272,24.321856177453,24.2949127350294
"GPX1",24.3780816753891,22.024107490544,23.7727916404495,23.6462510462713,23.9948668579706,23.5837674929289,23.6792413190235,24.6382220196619,24.6329656246515,25.7633907608734,24.4604744945352,24.0955008685195,24.8341986866545,24.1074400801725,23.7020063008557,23.5634526049361,23.821490090407,24.4851528445589,23.9728956514555,24.2201366323769,24.3638969559526,24.1942077062662,24.7426640700869,23.8408743610087,23.5223895501247,23.6236395159554,23.6710087792317,23.5879682012315,23.5585380119387,24.4240574593233,23.570278785369,23.5456244439482,23.5921745161687,23.6809714680747,23.599186535937,23.6193317642782,23.6057295962639,23.7749302396413,23.6540371389176,23.6099067711698,23.5970656667175,23.6447555595624,23.6138014792455,23.7003182876333,23.8342543020819,23.5810035600121,23.8855206002525,23.3527228519089,24.2573160172664,24.562365542663,23.8047744860445,23.8047744860445,23.6411802033965,23.4085336141367,23.4323086406681,23.4085336141367,24.0608460425617,23.5189544309803,23.7363999625453,23.6915657618818,24.1686530309285,23.2328629577807,23.5836158646688,23.3281619917137,23.0183246613897,23.8855206002525,23.5189544309803,23.7168059381606,23.6349847790974,23.7440501155597,24.4921418249125,23.6964750967773,23.9219224249995,23.3369730088263,23.8047744860445,24.4171084868991
"MTPN",25.9993497743249,26.4341518013004,25.4269214704109,26.4775925837929,25.9685107238841,25.821432166108,25.6368940165668,25.5886902697817,26.3605087446659,26.7661092136112,25.7235724037791,26.186373798185,25.7082466672532,25.4995063062747,25.3654453858493,25.4132244283237,25.660559993283,25.5695149305801,25.2845191331593,25.3804537391292,25.1480959626163,25.7854062440918,25.7170558981295,25.4361229087503,25.1472075815112,25.2019131867771,25.1302323964887,25.0581903624474,25.186883208554,25.7612865437508,24.2200969907676,24.9238644810898,25.1386079967301,25.1008791504452,25.2205912839084,25.226957386042,25.1675968320649,25.2520578024319,25.1769983285529,25.2696439231339,25.237627630761,25.1748332570096,25.3146301381258,25.2473352493832,25.937554202863,25.1429248046047,25.7573321991547,25.7444952808004,25.9210209214502,25.6551475071222,25.6551475071222,26.1612340250554,25.3969181789736,25.6662345186879,25.2025480521497,25.2845191331593,25.1972156267631,25.3045187473466,23.7281605412339,25.3439701617521,25.1918858653908,25.4085626177168,25.4740377953601,25.2792873035042,25.2730994087201,25.320542608889,25.2792873035042,25.2589785211724,26.0504358171208,25.937554202863,25.9862564323901,25.0498635397562,25.4798559411755,24.9102027862765,25.2637120347277,25.4085626177168
"NUCB1",24.6407214031202,24.133237026495,22.5447417196361,22.80327280419,23.0439174036794,23.6326562440566,23.8796289879407,25.6398800457667,25.8443343954622,24.5066849467985,25.8130659023688,25.110726752818,25.1451485137023,24.2317916816301,23.6467573200546,24.8667040993183,24.4714028534571,24.2154596666489,24.4756466171097,24.241768974088,23.9891019445203,22.8223450200541,24.3608031937382,24.2040527626062,24.3983345773621,23.7027705477305,24.3117617266452,24.5672940177946,23.8906598132394,24.4912777527711,23.6100331287233,23.6442803709957,24.17443464134,24.1576339789351,24.2228138863337,24.2162850911246,24.1288543430203,23.5186759606622,24.0041100727412,24.3722080930241,24.120435949732,24.0963482392076,23.9810123113365,23.4818151617688,21.3850948948756,24.7389224543899,24.4667390737212,24.1337403287934,24.1201663045937,23.964847214947,25.0350816811314,24.4272318179596,24.7004511641934,24.4118110549318,23.8576990678347,24.8279431283094,24.7770415266242,22.1028831051924,22.753020774715,25.143540063921,24.4479418468564,24.8644401461917,24.1408062427012,24.8799817601957,24.2924196608517,24.7770415266242,24.9346623815855,24.9323059036058,24.2179577747496,24.4604730041295,22.3986303466579,24.4067038786829,22.3098846448652,24.9102847908821,23.313534249288,25.1246902540524
"PLG",28.3931129475227,27.8712908491563,27.9188286232793,25.6324422370552,27.2234962955999,26.8179553093809,24.0335076315687,29.0920554352377,27.95391395755,28.1270183666835,28.3372216546576,28.0761903558522,27.8628185753008,27.8908362585532,24.1207100957174,26.5599920807256,27.2033719134674,27.2861332309761,26.7312967058108,27.7156910587801,27.8492170501572,27.4702339291184,27.9435776291723,26.7131690518333,24.7851077016653,25.3265196745354,22.721802552326,24.6718563245612,24.1633592939335,27.2657108819197,23.8715832508842,26.6491459520802,24.7342135583994,25.4125716736221,25.9307003129085,24.0074203943552,24.9789695285381,24.4298250416192,25.2617818968427,24.847415567481,25.0235088426375,26.8535834283384,25.0996423526001,28.1811747158323,26.5599920807256,23.8296879286118,27.2033719134674,23.1311097149246,26.654623263252,28.0719153392576,25.5250649729266,18.6829720147026,25.8399246621898,25.1689107901947,26.2513935781688,27.0105399991428,28.2748924559263,24.3046077064288,27.2324552622453,26.9602135368843,22.3407906500436,26.7504833418119,25.9856173984492,26.7937518228036,23.5388038019136,25.7017915890803,26.7312967058108,25.6091348770158,26.1643759998899,25.4474018154644,27.8492170501572,26.7734050041013,25.7017915890803,26.1643759998899,28.1410755664305,27.5297388738454
