"","lfq_haronW.14.7.20.14.1718.056SB.90min","lfq_haronW.14.7.20.17.1719.064WC.90min","lfq_haronW.16.7.20.1.1718.031XK.90min","lfq_haronW.16.7.20.2.1718.034MC.90min","lfq_haronW.16.7.20.5.1718.047AJ.90min","lfq_haronW.16.7.20.6.1718.048LW.90min","lfq_haronW.16.7.20.7.1718.049CS.90min","lfq_haronW.21.7.20.4.170OK.11.5.17.90min","lfq_haronW.22.7.20.16.162HN.13.11.18.90min","lfq_haronW.24.7.20.22.198WS.20.3.18.90min","lfq_haronW.24.7.20.25.161HM.9.12.14.90min","lfq_haronW.26.7.20.32.90min.115CS.5.6.12","lfq_haronW.9.7.20.11.1718.053AT.480.90min","lfq_W.1.2.19.1718.30.2pt5","lfq_W.1.2.19.1718.32.2pt5","lfq_W.10.6.21.3.CPH005.17.S.90min","lfq_W.10.6.21.5.CPH008.20.S.T.0.90min","lfq_W.16.6.21.19.038.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min","lfq_W.16.6.21.23.041.17.S.90min_20210617162605","lfq_W.16.6.21.25.067.20.S.T.0.90min","lfq_W.16.6.21.27.067.17.S.90min","lfq_W.18.6.21.31.071.17.S.90min","lfq_W.18.6.21.35.086.17.S.90min","lfq_W.2.2.19.RPA.1.2pt5","lfq_W.2.2.19.RPA.11.2pt5","lfq_W.2.2.19.RPA.16.2pt5","lfq_W.2.2.19.RPA.17.2pt5","lfq_W.2.2.19.RPA.19.2pt5","lfq_W.2.2.19.RPA.2.2pt5","lfq_W.2.2.19.RPA.3.2pt5","lfq_W.2.2.19.RPA.5.2pt5","lfq_W.2.2.19.RPA.7.2pt5","lfq_W.2.2.19.RPA.9.2pt5","lfq_W.25.1.19.183EH.2pt5","lfq_W.26.1.19.1718.038.2pt5","lfq_W.26.1.19.1718.040.2pt5","lfq_W.26.1.19.1718.043.2pt5","lfq_W.26.1.19.1718.044.2pt5","lfq_W.27.1.19.1718.038.5ul","lfq_W.27.1.19.1718.040.5ul","lfq_W.27.1.19.183EH.5ul","lfq_W.27.1.19.RPA.21.5ul","lfq_W.31.1.19.1718.26.2pt5","lfq_W.exo.10.9.21.84.90min","lfq_W.exo.11.9.21.90.90min","lfq_W.exo.17.9.21.119.90min","lfq_W.exo.17.9.21.120.90min","lfq_W.exo.17.9.21.121.90min","lfq_W.exo.17.9.21.122.90min","lfq_W.exo.23.8.21.6.90min","lfq_W.exo.23.9.21.123.90min","lfq_W.exo.23.9.21.126.90min","lfq_W.exo.23.9.21.129.90min","lfq_W.exo.23.9.21.130.90min","lfq_W.exo.24.8.21.16.90min","lfq_W.exo.24.8.21.7.90min","lfq_W.exo.24.9.21.132.90min","lfq_W.exo.24.9.21.133.90min","lfq_W.exo.25.8.21.11.90min","lfq_W.exo.25.8.21.18.90min","lfq_W.exo.25.8.21.19.90min","lfq_W.exo.25.9.21.136.90min","lfq_W.exo.25.9.21.137.90min","lfq_W.exo.25.9.21.138.90min","lfq_W.exo.25.9.21.140.90min","lfq_W.exo.25.9.21.141.90min","lfq_W.exo.26.8.21.22.90min","lfq_W.exo.27.9.21.143.90min","lfq_W.exo.27.9.21.144.90min","lfq_W.exo.27.9.21.145.90min","lfq_W.exo.27.9.21.146.90min","lfq_W.exo.27.9.21.147.90min","lfq_W.exo.27.9.21.149.90min","lfq_W.exo.5.9.21.53.90min","lfq_W.exo.5.9.21.56.90min"
"ALDOC",25.7448029244817,24.8263298243887,26.0002439159342,24.9862792322562,26.0937288174565,25.1965058602172,25.3882610940046,25.6968220896794,25.3161877643887,26.1229964509843,25.0546445801981,25.1120603702752,25.7396987592251,25.5679560383943,24.4444635479295,24.5365861288517,24.9318466280386,25.2327458622171,24.6347082436911,24.970026225001,25.0280483682611,26.3708404364491,25.5390994418428,24.8045780185308,24.5336858272427,24.6119706517473,24.3053085551618,24.2563215563502,24.4639418827381,25.6604364711054,23.8635703703035,24.761037441225,24.2979712203121,24.4029481274917,24.2941985386563,24.3386746945378,24.3833124461543,24.4623877421986,24.4359230231426,24.2925698221518,24.4460960119337,24.4045038422334,24.4252881970752,24.3767057868084,24.4132365037049,23.9416294635522,25.3134574587518,24.1357422290558,25.8710207788351,25.9847142421239,24.7624686981262,24.9178448548667,24.1932692325097,24.4445407526751,24.4583701404409,24.4774418944503,24.5541800381155,24.1226311258959,24.8045780185308,24.4445407526751,24.5909516326286,24.280772384651,24.7373874558027,24.3582363397729,24.2495784530548,24.8340271629938,24.8443370480855,24.3809686910149,25.3773619520476,23.8991896553403,25.5891923384786,24.2224053065926,24.8132292971666,24.3382097994824,24.8000676405273,25.174669035213
"ALOX12",24.4536133880643,24.1343384906005,23.7293072691172,24.0335463949997,25.176545483512,23.9625758653479,23.8959093413482,24.6570136485025,24.4303317803091,25.769533215231,24.940752466443,24.640197605647,25.3195586926534,23.7826940535932,23.614314821697,24.2727746249537,24.2675502517725,24.261787079761,24.0372652456339,24.0462903960893,24.1901851307951,24.3421230640432,23.9257151026671,24.238435609664,23.5533352726661,23.8151980884558,23.7932233976399,23.7201506658012,23.6337727277661,24.0221032342505,23.5972016198473,23.6184722641216,23.6802379851607,23.5079270308355,23.6709612005264,23.6478323708848,23.5888775989794,23.5593739980418,23.654943929904,23.585168011627,23.5480244988949,23.6419465940254,23.575017573663,23.5533352726661,24.1738144235433,23.6840884553626,23.7718206325049,23.8636306449354,24.0043924640695,24.2138033836792,23.9846936681282,26.0563706350341,23.7097661402125,23.6605486539901,24.0146850999148,23.3647326846305,23.8527348011068,23.6154296024853,24.3936501092696,23.7832298749158,23.7336382190542,23.5243664620164,23.7097661402125,23.4843258889847,24.2931244396441,23.9052949255788,23.7959312668697,23.5733982264714,24.1048712056242,24.2827057835123,24.1785618743603,22.8835935289056,23.6332655880739,23.5174635541819,24.0276881661024,23.6096482416322
"APOH",29.5385730020806,28.2061885590339,29.1202708061229,25.8599812218264,30.203125425601,30.9381194645708,28.4224911794438,29.3086591440529,28.4830498714183,29.4261741501036,28.4513128616737,29.5385730020806,29.1601460973739,27.544815711509,27.5654956397396,28.7237247652615,28.3455996208811,28.5953880956716,28.5389904953541,27.9403316404678,28.8692226635424,29.4883803960484,28.8053702600384,27.5640262388891,28.1521009281133,26.6759508774672,25.5074673041774,26.9156518515323,26.3863194023593,29.048069634387,27.6476974931589,28.8553660429632,25.5329948690931,27.4570239559703,28.7877361029658,28.0500173577404,27.691337737868,27.8474103676392,26.6395912039418,28.5399582865764,27.8920462344047,28.4830498714183,26.860169155028,28.2347319559013,27.8248274008419,26.2474508500483,28.1875578743483,27.4813374059708,29.7712578514988,29.1557934391495,27.9178899459147,27.0624536566996,27.4095209942929,27.5826128552249,28.5953880956716,28.2178021052589,28.2178021052589,24.5302812001699,28.3640874547216,28.6592568475695,21.9299075380299,27.3057039888549,28.965721216775,30.1131766900245,25.7629414039406,27.8845491702939,27.1881391566084,28.5953880956716,24.0196079965994,27.8609329353584,29.7414367635988,28.5570658303699,27.4984510959142,28.3455996208811,28.8692226635424,29.3804748914114
"APOM",31.2318460503749,32.2455643940388,32.207857664366,27.4781890841618,31.9879392573533,31.3127129009405,30.2571758878878,32.3863176440662,31.8267113868085,28.9107310392856,31.5503092225404,30.8818032374324,32.0785628292701,31.6631609517646,31.2000412486704,29.4026489731364,32.2402195829786,29.9424583466357,29.5553546670594,30.2949678943991,31.462121335019,31.7978286008986,31.5931593307813,31.0417813855051,31.5086783033726,30.6353355395377,28.1135305732686,31.1516632331235,29.9048840196357,31.6224453430099,30.9226421140737,29.8524491464804,29.6870117188223,30.4737867376289,30.0107135729084,32.2942407754158,32.4869013321182,32.6413907325933,30.952428915615,32.6905546625247,32.6905546625247,30.2843626821474,31.1103596404928,31.2666472265236,30.6870820548007,29.5901707815874,31.2830427813949,29.4026489731364,32.0119250040772,32.6967827582871,31.9440873197226,28.6601145605477,31.7978286008986,32.5182290052899,32.0119250040772,31.4134056270591,31.2830427813949,28.5047804909892,33.3841107193898,31.159018232863,28.5421398386866,30.9321859851227,30.3462110702428,33.2546328440892,29.8808844743488,31.6639396463084,31.7978286008986,31.3503223919327,29.1599161227958,32.2402195829786,33.1466058593099,31.2830427813949,29.6694983324767,31.6639396463084,32.3255479376228,31.5383299834012
"CPNE2",24.2576488927339,24.1808437401504,24.1140042251636,24.1359231112866,24.2960964348803,24.2247882130187,24.2541116622958,23.6491547878535,23.0397004131774,22.6639589639791,22.7223195731134,22.7223195731134,23.3133078547521,24.1981853790671,24.3555817848402,24.1872135932632,24.4585881032153,24.0592204985902,23.8114147202241,23.7507805259452,23.849006039024,23.6978356155869,23.7227543813508,24.0529907852487,24.3345632962077,24.2802091467196,24.5409485617303,24.5461882497823,24.3987847549677,24.0659514229123,24.4334621784507,24.1552199118555,24.4997070206559,24.4226664381225,24.4665934469406,24.4245895051847,24.3666508273511,24.3913319482793,24.3666508273511,24.459574432399,24.308507017225,24.4082569155893,24.4136403535047,24.3440874260049,23.2404264508396,24.8847456712599,24.3845829536149,24.7087556530589,23.9881214506068,24.1776211543586,24.2356581361711,24.3703642923268,24.0592204985902,23.7895404231196,26.132791643693,24.1472986513827,24.2978857871022,22.062548178786,24.4026521391831,24.0356851817496,24.1241252293622,23.9278691475217,24.1209350812678,24.1599699516874,24.4764891441952,24.3738349608012,24.194088815351,24.2686114668622,24.5053548929428,24.1740826681841,24.2392968664224,24.3738349608012,23.9049032496434,24.0127264118272,24.321856177453,24.2949127350294
"GPX1",24.3780816753891,22.024107490544,23.7727916404495,23.6462510462713,23.9948668579706,23.5837674929289,23.6792413190235,24.6382220196619,24.6329656246515,25.7633907608734,24.4604744945352,24.0955008685195,24.8341986866545,24.1074400801725,23.7020063008557,23.5634526049361,23.821490090407,24.4851528445589,23.9728956514555,24.2201366323769,24.3638969559526,24.1942077062662,24.7426640700869,23.8408743610087,23.5223895501247,23.6236395159554,23.6710087792317,23.5879682012315,23.5585380119387,24.4240574593233,23.570278785369,23.5456244439482,23.5921745161687,23.6809714680747,23.599186535937,23.6193317642782,23.6057295962639,23.7749302396413,23.6540371389176,23.6099067711698,23.5970656667175,23.6447555595624,23.6138014792455,23.7003182876333,23.8342543020819,23.5810035600121,23.8855206002525,23.3527228519089,24.2573160172664,24.562365542663,23.8047744860445,23.8047744860445,23.6411802033965,23.4085336141367,23.4323086406681,23.4085336141367,24.0608460425617,23.5189544309803,23.7363999625453,23.6915657618818,24.1686530309285,23.2328629577807,23.5836158646688,23.3281619917137,23.0183246613897,23.8855206002525,23.5189544309803,23.7168059381606,23.6349847790974,23.7440501155597,24.4921418249125,23.6964750967773,23.9219224249995,23.3369730088263,23.8047744860445,24.4171084868991
"HARS",29.1607528117587,30.0422528283685,30.0082721674205,30.9306587262129,30.6078987599583,30.1776390160397,29.7915546693318,29.2308232844911,29.3795322993445,28.7036894308852,28.7205028243033,29.2070703698689,29.2308232844911,29.7628869132866,30.431074000703,30.9443437361253,31.8646700325268,29.4369209570594,29.8476966202442,29.8476966202442,29.7681339981089,29.038532878702,28.8508156713157,29.9104651751261,30.7105537651041,30.6796847335907,31.3167325299767,31.080370962923,30.4990298396144,30.1448712136115,31.490575239629,30.2484853084178,31.1612662637908,30.9306587262129,30.5713609716774,30.6078987599583,30.431074000703,30.2484853084178,30.5359829284626,30.6796847335907,30.4672314226177,30.5713609716774,30.6078987599583,30.2484853084178,29.9104651751261,30.1059802434474,30.2978440681115,30.7178432590848,29.7681339981089,29.6330434757074,30.5407195423798,30.2978440681115,30.6165448999507,30.3802402002114,30.1415381576132,30.2260310415914,30.6165448999507,31.0278905277656,29.6330434757074,30.6165448999507,30.5407195423798,30.0601202338887,29.702415033949,30.2260310415914,30.2978440681115,29.8476966202442,30.2260310415914,30.0601202338887,30.5407195423798,30.7178432590848,29.2571378992956,30.1415381576132,30.7897254169558,30.7178432590848,30.3802402002114,30.4639192740643
"HPSE",23.5751727193877,23.2913809282584,23.2968153703073,23.3908798747351,23.4312542437748,23.3157396467775,23.2745401985325,23.5362240250349,24.7924471213415,24.1591044107066,23.9544981895842,24.8762839601994,23.7131809729113,23.2360446109624,22.8100053485381,23.1510398096342,23.2072434733741,23.1702976550095,23.4704439166013,23.1702976550095,23.2418562453796,23.453011425482,23.6389331716244,23.1510398096342,23.2150615736176,23.0724304527741,22.8382934536569,22.8529883807785,22.8288679227996,23.4778149273471,22.8249272501844,22.9013090742659,22.7102530911295,22.774004973046,22.6819712255355,22.8100053485381,22.7886085401333,22.8576371175413,22.8969201723412,22.7687514866164,22.8620015927675,22.7370374426474,22.9159457698677,23.0976476349085,23.3759668411511,23.0253039215324,23.0287511069873,23.2576879348065,23.516175506857,23.33915293228,23.2744865080166,23.4188035042849,22.9141316974977,23.2234643501463,22.8952438754276,22.63366851914,23.2072434733741,23.1133911711504,22.952191582421,23.2744865080166,23.2234643501463,22.8749794976735,23.4850548399318,23.4355129252065,22.952191582421,23.2897256113268,23.33915293228,22.63366851914,23.6243694835719,23.1320036808842,23.3205644016594,22.6976753829737,23.1320036808842,23.2744865080166,23.0287511069873,23.1320036808842
"MPP1",25.4925120049946,24.18508023746,24.4025679139528,24.3118166416551,24.7609447240212,24.5468952521472,24.6738218654609,24.9603981670793,24.9691642392161,25.4821631770852,25.1700456678941,23.0860220403858,25.2987412196141,25.0664296377441,24.2927893960012,24.6887750698328,25.4964549909615,24.1673792596188,24.4752945834078,24.4582501439145,24.5192601929098,24.6546564889231,24.589986672472,24.1486828815275,22.9010079026203,23.778882068541,23.7184060168795,23.0800285642062,24.2031546989924,24.8739922652503,23.4787823053657,24.5142992305652,23.8969595720342,24.0845746672418,24.0332864739755,24.0845746672418,24.2049364945133,24.4218852795024,24.3892765860676,24.1429656420352,24.2493322704618,24.3199092320437,24.3245672891632,25.2057922225524,24.5790615400383,24.425414448982,24.6887750698328,23.7420867706551,24.4942624066698,24.2967604437573,24.641380199124,25.5448960915796,23.9815006197429,24.2758817234245,23.9004485456931,24.4582501439145,24.2253491912604,24.2060856653289,23.5332515847935,24.669101071738,24.2967604437573,24.2253491912604,23.8947228167221,23.7977485333382,24.4994142069578,24.2563717926288,24.1829241456788,24.4351369636591,24.3318610880037,24.5192601929098,23.9077229654955,24.1829241456788,24.108969639931,24.4460265081129,24.669101071738,24.1486828815275
"MTPN",25.9993497743249,26.4341518013004,25.4269214704109,26.4775925837929,25.9685107238841,25.821432166108,25.6368940165668,25.5886902697817,26.3605087446659,26.7661092136112,25.7235724037791,26.186373798185,25.7082466672532,25.4995063062747,25.3654453858493,25.4132244283237,25.660559993283,25.5695149305801,25.2845191331593,25.3804537391292,25.1480959626163,25.7854062440918,25.7170558981295,25.4361229087503,25.1472075815112,25.2019131867771,25.1302323964887,25.0581903624474,25.186883208554,25.7612865437508,24.2200969907676,24.9238644810898,25.1386079967301,25.1008791504452,25.2205912839084,25.226957386042,25.1675968320649,25.2520578024319,25.1769983285529,25.2696439231339,25.237627630761,25.1748332570096,25.3146301381258,25.2473352493832,25.937554202863,25.1429248046047,25.7573321991547,25.7444952808004,25.9210209214502,25.6551475071222,25.6551475071222,26.1612340250554,25.3969181789736,25.6662345186879,25.2025480521497,25.2845191331593,25.1972156267631,25.3045187473466,23.7281605412339,25.3439701617521,25.1918858653908,25.4085626177168,25.4740377953601,25.2792873035042,25.2730994087201,25.320542608889,25.2792873035042,25.2589785211724,26.0504358171208,25.937554202863,25.9862564323901,25.0498635397562,25.4798559411755,24.9102027862765,25.2637120347277,25.4085626177168
