"","lfq_haronW.14.7.20.12.1718.054RT.90min","lfq_haronW.14.7.20.13.1718.055GP.90min","lfq_haronW.14.7.20.15.1719.059OC.90min","lfq_haronW.14.7.20.16.1719.061LC.90min","lfq_haronW.14.7.20.17.1719.064WC.90min","lfq_haronW.16.7.20.2.1718.034MC.90min","lfq_haronW.16.7.20.3.1718.039DK.90min","lfq_haronW.16.7.20.4.1718.046IC.90min","lfq_haronW.16.7.20.5.1718.047AJ.90min","lfq_haronW.16.7.20.7.1718.049CS.90min","lfq_haronW.16.7.20.8.1718.050JM.90min","lfq_haronW.22.7.20.12.155CB.9.4.13.90min","lfq_haronW.22.7.20.13.155CB.8.4.14.90min","lfq_haronW.22.7.20.14.155CB.6.2.18.90min","lfq_haronW.22.7.20.8.159PG.29.7.14.90min","lfq_haronW.24.7.20.19.116OC.8.5.12.90minn","lfq_haronW.24.7.20.20.116OC.30.4.13.90min","lfq_haronW.24.7.20.21.116OC.16.8.16.90min","lfq_haronW.26.7.20.29.90min.283OM.14.2.17","lfq_haronW.26.7.20.30.90min.283OM.10.518","lfq_haronW.26.7.20.32.90min.115CS.5.6.12","lfq_W.1.2.19.1718.32.2pt5","lfq_W.12.6.21.11.016.17.S.90min","lfq_W.12.6.21.15.036.17.S.90min","lfq_W.12.6.21.7.008.17.S.90min","lfq_W.16.6.21.25.067.20.S.T.0.90min","lfq_W.16.6.21.27.067.17.S.90min","lfq_W.2.2.19.RPA.1.2pt5","lfq_W.2.2.19.RPA.11.2pt5","lfq_W.2.2.19.RPA.16.2pt5","lfq_W.2.2.19.RPA.17.2pt5","lfq_W.2.2.19.RPA.19.2pt5","lfq_W.2.2.19.RPA.2.2pt5","lfq_W.2.2.19.RPA.3.2pt5","lfq_W.2.2.19.RPA.5.2pt5","lfq_W.2.2.19.RPA.7.2pt5","lfq_W.2.2.19.RPA.9.2pt5","lfq_W.25.1.19.118OC.2pt5","lfq_W.25.1.19.183EH.2pt5","lfq_W.26.1.19.1718.018.2pt5","lfq_W.26.1.19.1718.037.2pt5","lfq_W.26.1.19.1718.040.2pt5","lfq_W.26.1.19.1718.041.2pt5","lfq_W.26.1.19.1718.044.2pt5","lfq_W.27.1.19.118OC.5ul","lfq_W.27.1.19.1718.018.5ul","lfq_W.27.1.19.1718.040.5ul","lfq_W.27.1.19.183EH.5ul","lfq_W.27.1.19.RPA.21.5ul","lfq_W.31.1.19.1718.26.2pt5","lfq_W.31.1.19.1718.27.2pt5","lfq_W.31.1.19.1718.28.2pt5","lfq_W.31.1.19.1718.29.2pt5","lfq_W.exo.10.9.21.81.90min","lfq_W.exo.10.9.21.83.90min","lfq_W.exo.11.9.21.90.90min","lfq_W.exo.16.9.21.105.90min","lfq_W.exo.16.9.21.106.90min","lfq_W.exo.16.9.21.107.90min","lfq_W.exo.16.9.21.109.90min","lfq_W.exo.16.9.21.110.90min","lfq_W.exo.17.9.21.118.90min","lfq_W.exo.17.9.21.120.90min","lfq_W.exo.23.9.21.124.90min","lfq_W.exo.23.9.21.125.90min","lfq_W.exo.23.9.21.127.90min","lfq_W.exo.23.9.21.128.90min","lfq_W.exo.23.9.21.130.90min","lfq_W.exo.24.9.21.131.90min","lfq_W.exo.24.9.21.132.90min","lfq_W.exo.24.9.21.134.90min","lfq_W.exo.24.9.21.135.90min","lfq_W.exo.25.8.21.18.90min","lfq_W.exo.25.8.21.19.90min","lfq_W.exo.25.9.21.138.90min","lfq_W.exo.25.9.21.139.90min","lfq_W.exo.26.8.21.15.90min","lfq_W.exo.26.8.21.22.90min","lfq_W.exo.27.9.21.142.90min","lfq_W.exo.27.9.21.143.90min","lfq_W.exo.27.9.21.145.90min","lfq_W.exo.27.9.21.146.90min","lfq_W.exo.27.9.21.147.90min","lfq_W.exo.27.9.21.148.90min","lfq_W.exo.27.9.21.149.90min","lfq_W.exo.28.8.21.39.90min","lfq_W.exo.29.8.21.41.90min","lfq_W.exo.5.9.21.55.90min","lfq_W.exo.6.9.21.59.90min","lfq_W.exo.6.9.21.62.90min","lfq_W.exo.7.9.21.63.90min","lfq_W.exo.7.9.21.64.90min","lfq_W.exo.9.9.21.76.90min","lfq_W.exo.9.9.21.80.90min"
"AHSG",30.1216518553336,29.3911629642739,29.8887927918143,28.0007528258332,27.5764621137187,27.1658228244786,29.6498123799609,26.5158916138658,27.3893061106731,26.4569272653682,27.8194770440897,29.6498123799609,29.7958168153612,29.919179062332,29.6774771255462,29.6774771255462,29.8614441068964,30.7493531182078,27.1186103564274,28.0291005229987,30.9474980313874,26.9914908669739,26.4897885237453,28.2611773025843,29.5063132977297,29.424103585446,29.113919116553,27.8068842285787,27.4054892923245,25.7524170466757,25.1227734449182,27.5070577509847,28.7907301889761,26.651491085934,28.4655020073754,26.0318174647899,27.028528193209,28.1269553766762,28.6524047284062,24.1677779842555,26.5707550335504,24.9770590592876,26.6940019148452,26.3676477822102,27.6829081503036,25.3335244800117,23.1933541744506,28.2176033522222,26.6608688140108,27.0154953320008,30.235473016693,27.5548694561195,27.0977409913906,28.8132339970139,29.5880117066469,26.7642629792573,30.1216518553336,30.1566148803396,29.344947915269,27.7506460099163,28.8477145977333,28.1842835800462,25.7768473679704,27.3813198662459,29.424103585446,28.7191008431291,28.2611773025843,28.9432828212926,27.994045341041,25.2182166626704,29.7584404460679,25.6551667021343,28.1280826455944,29.4683987036936,25.6482765946984,28.9432828212926,27.2278345427624,28.3945310709272,29.0505812913064,28.8132339970139,29.6684981001835,28.3691219474124,21.5379720923737,28.9432828212926,22.768406540593,28.8132339970139,29.2277931121039,29.113919116553,28.3477958548679,26.3570890435702,25.7847579280277,27.6184560228841,29.3811622053173,29.273238807456
"CPNE2",24.1491900325849,24.2101158873691,23.6742019270065,23.1522446954219,24.2663656255902,24.2205548522936,24.4318834573469,24.2077504806948,24.3863567686589,24.3421051686111,24.2326318492422,22.6859909721897,22.3398152964079,22.3992088989793,22.4113983884408,22.2628769233927,22.2961685078514,22.0711127873916,22.7034277415671,23.6041479593551,22.773211032458,24.4470622383237,22.9415060752107,23.1407184228725,23.5187445514403,23.635765956786,23.4349364940988,24.4262345154422,24.368902909728,24.6375343423486,24.6426614308113,24.4911339072892,24.1470395631077,24.5270516449585,24.2403113668798,24.5953250631334,24.5160789493781,24.4375302274252,24.5620760174201,24.4792492534976,24.3768694181958,24.4583068261346,24.409829609401,24.4583068261346,24.4006256236862,24.4775802607698,24.4006256236862,24.4999877977802,24.5063223940017,24.4355994324501,24.2849233100267,24.2524961457189,24.3053549152921,23.9574962623057,23.989816103769,24.9934051162369,24.3651542101734,24.100794212533,24.3205481809637,23.3506081075927,24.050484229293,24.0702772798219,24.8228749315874,23.928843953293,23.9694642140924,23.7886686663808,24.2401646746887,26.79642470322,23.9525096264547,21.2073920844985,24.023849193677,24.0520717721107,24.0131405637859,23.7415942106245,24.5039107522397,23.8619344722051,24.2086919762319,24.2171675257936,23.9331348616804,24.5426070807897,24.1744975606332,24.3623126562579,23.7120368661493,23.9525096264547,23.8619344722051,24.1474822442193,24.047224226095,24.2667686186765,24.0656213089699,24.2712361656857,24.2618798336248,24.2484646542894,24.2484646542894,24.2944818847823
"F13B",27.1166756715241,27.4669764787715,27.0750665412282,26.0213281257665,25.4722041306356,26.5465459891433,26.6603759603356,26.4030599420682,26.4500472972222,26.4173258661343,26.5022564212363,26.8930806735956,26.5772847688126,26.4990556477497,26.1542240308167,26.9075126082126,26.7134393213582,26.8812574137872,26.4173258661343,26.5157713333044,26.3109457706134,25.8876746247289,23.5390032626361,26.7800287481016,27.4127300570512,26.6639320357342,26.5596620355723,26.3863479547175,26.1892132159682,26.34143410412,26.1940820308771,25.5321935142043,26.8575967649108,26.7036657858977,26.7640285841167,26.1243161999492,26.0404927098849,26.7220298345952,26.6271377315806,24.830623086068,23.9223974494051,25.6831177088137,26.4173258661343,25.7216361840786,26.5465459891433,25.6938953815714,26.4138186966574,27.128226133967,26.1542240308167,26.3482801593945,26.4241850924687,26.4341773918269,26.8031143158892,26.4440688530944,28.9421387635509,26.9771339422716,29.7627158712354,29.2310935530068,28.9610683357519,28.9208839470944,25.7996677911749,27.5863342055301,25.6057256947868,27.4336840030632,26.8542028985323,27.3046639591409,26.4745807530354,26.8958019064057,27.2008881318463,25.1196286979636,27.9973300584167,25.7872646567515,26.3013995907821,27.10557851837,27.10557851837,27.2008881318463,26.3489535211436,27.0230331141435,25.8825788648782,24.0835971765901,26.2404324216311,27.3046639591409,25.9318665298252,27.1292377407071,26.3984176110819,27.8029015515696,27.3286174982338,27.3286174982338,26.7078240932783,25.9318665298252,26.3013995907821,27.565202324584,27.5116593070417,28.2311332770194
"GOLM1",24.2796231819737,24.2203361230339,24.0073890444026,23.8510466016156,24.2391991689579,24.0532776131667,24.2274511414887,23.9566701258402,24.0262290562319,24.2274511414887,24.1347572319858,23.7749499820512,23.7661280228075,23.6634663708143,23.640320428455,23.7118779851159,23.5114040681413,23.924402157797,23.9749750820704,24.062598591975,23.7914322206901,24.3729801966442,24.0326615708659,24.043578524613,24.043578524613,24.2817224272773,24.1331021982071,24.3411569165437,24.3411569165437,24.6179057800532,24.5352425075709,24.1946804300045,24.1034358861063,24.4890685349908,24.1423572574532,24.6179057800532,24.4473870927761,24.2225049607113,24.3796752142579,24.4277188363344,24.3459197312954,24.3385247962147,24.2160383173219,24.4407336131702,24.2139706137035,24.4624772163092,24.2567110291341,24.2796231819737,24.4358386091416,24.110857173322,24.1134792149375,24.1157779073855,24.0231356350337,24.7984746011108,23.9031030835265,25.9180758229251,22.7872540247628,24.1926323373882,23.558970859028,24.4448154906469,24.2066853023503,23.98520607923,24.3268808305404,24.1027181529272,22.650739169285,24.1123342028566,23.9729622518735,23.9474132698664,24.0394311528337,24.52250142152,24.0597051980151,23.7702218499856,25.0055822574773,24.1215524217946,24.2005989087609,23.7984507514275,24.5311589311673,24.6434722228258,23.8699399821517,24.0138133026516,23.6867692781063,22.6054629397037,24.3706492786723,23.9101454808044,24.624146422947,23.793385368849,24.3967870716819,24.8183998863662,24.6391397131332,23.8824746002268,25.0027403202107,24.652091647955,24.59982189157,23.9329768531198
"GPX1",24.1990126110825,23.9198154764636,25.4308464611758,25.1056978671948,21.8868479737259,23.6555785395842,24.859208276577,22.6660937336253,24.0369900376458,23.6904073992814,24.3702538975502,23.8302360270674,23.3538351503805,23.9162567845738,25.794262907802,25.799581659958,26.0497764413343,25.1475354095306,24.8359210305024,24.8303073451896,24.1496986686093,23.7155613270904,20.630554875399,24.5299615381573,24.2976153299585,24.4175128553503,24.2565139878834,23.5174948973198,23.6312343115449,23.6821573583243,23.591377758732,23.5585473599792,24.511163275283,23.5711048116318,23.5446867205673,23.596415004063,23.692940200995,23.6083274419094,23.6035656475812,23.7092712206616,23.7615418287572,23.6107018531597,23.6421982629357,23.6639001664935,23.5560719536811,23.7213437408641,23.6015646039299,23.6537291780792,23.6198190094546,23.7133158534024,23.7554503635448,23.7026872485393,23.70073228068,23.9847242871992,24.5299615381573,23.5829015102929,23.8860853263315,23.6240426207844,23.6576714362843,23.4770999724182,23.5784576400728,23.7300853409246,23.4720581948898,23.6785493069449,24.3143992505681,24.036657392998,23.8739880497861,23.5468197988105,24.1916478965829,23.631689958397,24.71082436702,23.7801990594964,24.2329242697664,23.3512500404555,23.156100996445,24.0708826262739,24.3088742634785,23.8173959933406,24.1391276457986,23.7427160271077,24.5408200232184,23.7988793464202,24.0078766719732,23.910683843814,23.4568117285402,24.0480343520587,24.180072297089,24.2039958926836,23.4783401035872,24.2803693887927,23.8913681851493,23.9737602763143,24.0708826262739,24.2976153299585
"ICAM3",25.5307751643493,25.2988440448594,25.3059800584499,25.2215083462385,25.4802888598984,25.7343187690247,25.4168199483563,25.5560084838853,25.2799927691985,25.6181512846645,25.3916192090427,25.3626596054345,25.4802888598984,25.5221505340206,24.449043756859,25.4614145317965,25.451546506672,24.5097212295552,25.1428115132539,25.1841099950883,25.2868702040673,25.8213022202974,26.3303298793762,25.3976670577563,25.9443376662194,25.4837189161654,25.6761729059081,25.9211536418726,25.7376262415774,26.2079658763984,26.1200099272156,25.8054182110632,26.318261061567,25.9573077322997,25.6275870144246,26.1154123353153,25.9614576487418,25.7221019020878,25.9370367195196,25.8328374506571,25.7250621176169,25.715093648125,25.6623842878729,25.8170038702877,25.7824781785076,25.908341576403,25.6951717944308,25.9247538282726,25.7511142549882,25.6534982155898,25.5193215154118,25.6409741452853,26.0762469244471,25.5962076132964,25.3842583085711,26.3614840605224,25.1446536397979,25.3599464392844,25.933051487077,26.0938941532653,28.1835866446205,25.2798102520235,26.6818863908793,25.3931871113973,25.1093613097291,25.4284084255449,25.6604640774196,25.8173309547944,25.2237937331955,26.7182576399512,25.1463043709119,26.6319252237852,25.7216011642265,25.5288826311125,26.8770396241148,25.4966599859723,25.4695349914131,25.8728354145619,25.4480233172287,25.3037206348894,25.1698866372664,26.105487483898,24.2303037603822,25.3931871113973,26.3235284866156,26.1119540789138,25.3758602359705,25.7264791292048,25.6959672416624,25.3087936747357,26.4488736925867,25.5526476062694,25.577288973321,25.443885748211
"IGKV2D-29",26.405802753451,27.1286640581039,26.5513503392119,26.4589533114466,27.8386861600507,27.2479231761231,28.3147147620561,27.2902716743726,27.0294120609941,27.7888848640545,27.9703477189986,26.9635179949035,26.8873219086915,26.8490939388425,25.3085734682331,25.7303153541009,26.3153173070202,25.9385122758576,27.4126042141937,26.8543749867604,25.0815865847283,30.0760712980568,25.08963187965,29.4035047964841,27.2860670954034,28.2170030966051,27.446480145822,27.3404924055852,27.7638534228283,28.2976450946453,28.3427329027945,28.4828744686704,27.4648871894253,28.045582226983,27.6678239482539,28.8745423802572,28.46298249116,26.7352887075956,29.4353605943555,28.8142707848475,28.2489161986129,28.46298249116,28.8142707848475,28.7733593156422,27.4126042141937,28.579109784647,28.2031685163727,29.1235094742116,28.5587058482265,28.190305338294,27.7638534228283,28.045582226983,27.1286640581039,27.2338560037531,27.9689335607536,29.4818944545533,28.8142707848475,28.2031685163727,28.1330766000511,29.564416709449,29.5867748881029,27.2678074622115,30.658084931256,27.4632195996772,27.6940101146319,26.8428176527984,26.9063310062843,26.7141303562488,28.2170030966051,29.0521293665236,26.0125658065919,28.1709482300699,31.7176883118878,29.2918782663765,28.1709482300699,27.9294900071491,27.8831776063559,29.1190543181184,26.920552863981,28.0642323576104,27.5657834042326,27.3701819159294,28.0818061320486,27.1252789929044,30.7531260910398,28.6673188633586,28.9157782803795,26.831000032899,26.6461008357677,28.5549436122401,28.102744529666,26.1915231929772,26.691995295254,27.8133795413097
"LILRA3",24.1309666433757,24.1291309101796,23.9733451317058,24.1211980295101,24.2373920338257,24.1728668921072,24.2248863938424,24.1497072853728,24.1291309101796,24.2308409117918,24.2477297282868,24.0473859845345,24.0389315021424,24.1058625705061,24.117734306024,24.1892989480075,24.0514696394753,23.9859993719521,24.061339880668,24.1519383934981,24.0448307246238,24.5668290853491,24.2082218424414,24.0646821935271,24.1230146275147,24.237210302933,24.1016121360176,24.6240581638357,24.4025278556683,24.6947437782166,24.7276752949651,24.509982555051,24.0774470536347,24.6405547137779,24.3772907117644,24.6350824122012,24.5280883516352,24.4815602075402,24.5685967686754,24.5685967686754,24.5403868876548,24.5194359043103,24.3772907117644,24.5840736757502,24.4396789439265,24.5384344378427,24.509982555051,24.5916516578052,24.5708494435762,24.3157185617672,24.3391601418889,24.3572139160929,24.2167028547603,24.3234572144497,24.2801168692537,24.4003712591071,24.3197002105772,24.4260535975106,24.4494062411067,24.429149486957,25.5506740750809,24.2621312855056,24.5619758503615,24.2568790367275,24.3087172520517,24.2279210437647,24.4147017608358,24.6814453974306,24.0646821935271,24.9674813162623,24.1815670600536,25.053444518861,24.4187413810061,24.3138012117386,24.7410669506901,24.5519471978786,24.2526356838103,24.2226730523781,24.2670333106111,24.3991581646382,24.3183252681036,24.5370356861961,24.3183252681036,24.1501821697747,24.6964228774765,24.5519471978786,24.1116770894846,24.1501821697747,24.5275839036723,24.2897111236111,24.7410669506901,24.2897111236111,24.2475688957914,24.0921094697316
"MFGE8",26.8834398068168,24.0396775994252,23.9125093510099,24.6297665630512,24.5415637838928,24.2989270589138,24.8159250324117,24.4324956555964,24.2673140936817,24.5904556659897,25.2409868623011,24.1856120804923,24.9981925621131,24.5535159697112,26.2162824781665,24.6982540040221,23.8632265832685,23.82378201172,24.1668928051362,23.9835102719537,24.7824610364472,23.4248096465058,24.8883364406113,24.6350913906995,24.1400039756579,25.2332982227293,26.3146933944507,23.452863743396,24.1581413120022,22.9024012280352,22.674037162092,23.7562745652444,25.4496212083179,24.2528141130866,22.602636247188,23.7482788570626,23.7635119507787,23.7921615119504,24.0248436250872,24.0872395750193,22.9668476427902,24.0248436250872,24.2906441484386,23.9013431861491,23.8076027898925,24.0773381033043,23.9428058216037,23.6994669115668,22.602636247188,24.4513810924965,23.6751839652391,23.9307084969402,24.0190830201011,24.4674464337611,24.8682213358814,26.5441325436158,26.9277015689786,26.5770892299682,26.5069035817959,26.9558465832089,26.0510872640353,24.379180075012,24.2980867529141,24.9846101727643,25.2446121557594,25.6994604121674,24.3213563057055,24.0180716470888,23.7067633073082,25.8088987105854,25.9180496315594,26.6471238336585,23.1158529585001,24.7624329042426,23.156865942319,24.3278950427805,24.4674464337611,24.659195993996,24.8259831540903,21.8269306071348,22.843349134189,22.5256490238897,24.379180075012,25.2779472409648,26.4478030014278,25.1717947500761,26.4688706362695,24.2442213477748,25.1717947500761,24.9227461782743,23.5673881223845,25.9490039861595,23.7009039878149,24.7727312212347
"PLG",29.0319535014352,28.1640186299616,27.9246138004009,27.6035616383358,27.5841706103992,25.3252253769389,28.048799144187,24.8957080873031,26.9282982252201,23.7422999806544,26.8362710220738,28.5474313054657,28.2214234274164,27.5758596597232,27.5504201323408,27.6797764343523,28.1772336277649,29.316404338754,27.1062424579664,28.633314379334,27.792372548989,23.8332882305202,25.3770552135278,27.6930037679346,26.4938740259307,28.5325975285846,28.0332931115642,24.4843373133938,25.0174088276252,22.4842027428621,24.3726155331647,23.8770389814833,26.9736280559662,23.5828505898005,26.3439642502976,24.4354102434461,25.1040555160524,26.3565501535142,25.6204055722425,23.5537428903386,25.0763273062649,24.6763847235283,25.1313873139821,24.9516779589383,26.7915880555777,22.8829755321248,24.7204375656081,26.5540057730914,24.7947682165864,27.9000269354414,26.3719534801546,24.7159030215399,25.4555703617531,26.7980941618928,28.4226445053566,23.5433791563073,28.7445827342405,28.4046562553252,28.3713596464107,27.1854190109296,26.7641130249606,27.6280856335406,22.0299707416222,28.1433362211163,26.8727187290947,27.7270231670866,25.3267087582215,26.3914824373546,26.2888183909332,23.6635838690924,28.4919806838572,26.7772491928849,20.939946001231,27.0766199608222,22.590622519783,26.0743499559171,26.5407060721948,25.4911121857823,28.0332931115642,26.2681537257161,28.5325975285846,27.1060568075122,25.6197887281101,27.0470187684622,26.2681537257161,27.0766199608222,27.0470187684622,26.9655465399467,26.7980941618928,25.7630638020834,22.8754199887436,26.0544278549508,27.8906097038542,26.7247046864288
