"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH16_S60","X2017_CPH17_S61","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH24_S64","X2017_CPH25_S65","X2017_CPH3_S66","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH50_S81","X2017_CPH54_S82","X2017_CPH61_S84","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH8_S91","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH88_S95","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH19_S107","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH91_S185","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_018SD_S12","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_022MB_S15","X17_18_026SM_S17","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_037SD_S27","X17_18_038WP_S28","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_046IC_S34","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_050JMC_S38","X17_18_053AT_S41","X17_18_054RT_S42","X17_18_055GP_S43","X17_18_056SB_S44","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_025MA_S16","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-122-5p",5962,2667,6211,13659,6150,10833,11971,7383,1047,3734,1929,7452,6482,29261,3358,20713,3512,4037,6082,5413,6412,13162,3715,27704,6452,5973,34636,38732,34887,27952,5471,1809,14335,3348,98192,4505,12709,11857,2109,2732,6510,12824,8646,3147,6886,13191,9626,6181,2612,20688,4944,19638,5588,3265,6331,24952,4143,3891,45165,85216,8122.08378228739,9470.62571071371,99413.5999971314,9465.3996011614,4602.57028961396,15445.1426326537,703.057023823169,6432.19681829307,3477.39294806234,41396.4154031045,27814.5792027386,24668.1864322005,8168.35488594936,11547.8105712019,4391.19521788753,3165.44739875671,1733.52697845038,16831.8296995636,16084.4267349155,2340.5033598257,2429.16248202715,21429.8848088555,9994.36598146879,7046.48876557368,10765.2297640697,4735.39699922414,5107.84637099568,18596.3620711613,28272.939236987,4178.63815253891,10679.3563524913,39649.6052702384,7261.74426044391,14339.2597492793,3790.68716883289,5940.32126327511,7941.20928309676,31215.8733002394,4386.72905363111,11339.1237850243,35163.7153539416
"hsa-miR-144-3p",292,65,282,707,87,61,490,392,415,82,54,473,126,356,69,816,265,210,311,163,494,147,988,348,362,311,18,410,435,35,890,185,887,409,185,295,212,113,775,1298,2063,1838,764,475,1553,1941,414,798,215,2747,340,3177,2325,519,938,2212,7935,2701,3738,3203,505.925917980996,525.518303341101,2126.84098641368,858.452230947185,614.171635420044,541.944242075056,572.017650977664,1802.33811429076,485.948083924895,837.788281518669,472.78422109618,1080.435084121,1185.22381147281,1014.38059582107,899.77136144935,782.35685877001,471.681004102663,1017.4514081836,1899.67056329883,432.612285963482,2079.74400783725,1092.08696098187,1391.84258397715,793.613962282664,591.875551170518,716.219812699987,777.625437180042,632.853044953568,439.794048752676,484.57395821969,610.998982860543,614.33069053288,667.118440834331,1799.39814807872,552.88892519693,608.022800502378,585.297471654205,695.645912670466,561.917787373433,3325.91331571005,446.100735614479
"hsa-miR-449a",0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,13,10,0,0,15,0,0,0,11,0,0,0,0,0,0,18,12,17,0,153,19,69,110,36,67,73,18,131,124,99,2.636879773994,3.98961086999426,58.6198880733705,2.46911860595517,8.05793839909507,2.04003668266967,0.410629139826344,23.4574664156166,2.7480551234894,9.49191590682029,19.0967428370705,16.472854238136,35.676715891487,13.4677668783419,20.181424082724,92.4468663244433,6.40410425662686,14.5198591081505,20.4266021644056,6.3499785622866,18.2998480916054,31.0802334361158,24.3625829529988,17.6138587193731,16.1643374963973,1.5964202313352,17.1808825111862,17.3763047903331,7.77018544220264,9.65668396450773,16.5072596882442,17.1715621900769,3.76053620733145,30.0841750780412,7.74337294278357,7.82850355892076,5.40488821841093,16.4993597929786,3.39171734176501,40.8436827968946,-0.648208273526648
"hsa-miR-451a",207,37,163,500,104,71,178,124,172,10,23,274,66,267,97,208,189,105,251,92,354,129,310,96,171,209,13,121,625,44,427,1200,231,225,141,130,44,59,97,283,392,220,82,85,202,361,80,158,73,405,70,508,325,85,228,415,2685,384,458,514,183.230567808193,247.451405371816,1484.3985220552,369.828709853657,92.1865591974858,192.327060762727,291.01701382297,1576.93102041907,149.009117503701,500.930764233942,105.996382108209,85.2849199487068,477.962644868771,590.481928691696,-201.066318034448,200.947541047731,74.8123483115465,1299.75340080775,3004.98210207818,84.8278755169415,1750.74629085284,257.582327723685,606.165673861896,166.988485952092,114.662809174393,216.497545509442,169.831340235261,117.815103513257,75.5498344671555,114.419031112851,167.210774698882,136.77342237658,351.86619200022,1098.41372167948,281.255117946448,219.330302427314,344.595461512148,236.04874416655,216.366793891772,3704.0960607111,114.207097951502
"hsa-miR-154-5p",13,0,113,244,35,49,64,56,112,13,17,123,23,29,61,0,71,40,25,51,37,80,206,13,35,111,0,31,35,105,84,16,81,53,0,109,46,32,0,0,57,11,11,49,0,108,15,0,0,26,0,0,15,10,10,0,18,170,32,23,23.6380145821403,59.1888623661274,44.9644885883987,27.9968992868971,23.0670813600195,22.393671576091,17.0505300624853,31.0843916207968,19.6563861340156,37.795491115637,19.3382556764917,130.650458775283,-6.25400012003789,190.326231672545,47.7036723026204,62.8892149463305,30.0504880733214,308.792953361509,101.853255277878,19.034657502356,101.20883785116,133.693885343044,293.582538112238,84.6770348571997,39.1108303991627,27.0109325771677,42.8412757617308,37.3884154888528,18.9941869631923,18.5229510260493,41.3449393907176,28.5272683983183,33.9040289834018,75.281874251353,19.0252392771716,18.9768724547975,32.5266670694052,71.7009964316317,46.8402356822581,10.4258721089008,17.7502389326076
"hsa-piR-000765",70,14,416,275,27,77,36,23,118,199,26,399,27,82,153,78,0,65,21,87,56,374,278,101,44,98,24,74,209,46,65,62,74,87,27,99,103,14,23,28,46,34,0,74,21,120,27,53,15,100,0,107,39,21,64,54,11,146,105,86,296.04639565784,111.697734960701,1344.20924116772,44.128446899704,27.4774920415372,-7.48532410361971,30.4310396215136,60.8375151254029,38.4010446179135,30.7308288265646,-27.2554117024063,104.511731665704,277.184039215465,45.5843473598957,279.908415484992,35.9513713968742,-9.14570162741873,39.5129319347313,2.49665865717279,-29.0213843337985,14.3707884400536,135.369431417304,322.687729953365,6.84103131302869,-42.9294890539729,5.79931478542145,-20.0773767801437,491.926987862717,-3.92541235889972,-7.98527358930536,6.13344774818935,63.0536361943225,209.550441201132,-13.9384051374012,-12.8560576979177,68.2158179554823,5.2588089213601,142.263299941164,82.288413438775,51.6535187217651,36.9353087154333
"hsa-miR-485-5p",48,21,230,465,56,208,132,174,318,97,82,224,91,70,199,36,120,87,29,225,77,259,809,40,99,243,12,113,57,153,187,0,224,87,0,313,198,56,0,20,219,67,21,144,16,215,23,12,14,53,35,18,40,44,35,19,32,275,65,65,80.9011796323001,101.894592123727,75.0727872513202,75.6773484744394,77.5760295167436,55.0687109422282,56.2957513433007,95.4265784365286,52.828659102325,64.2771753804824,53.5996553936127,276.661014506097,81.0336998794555,201.429834548313,147.091987372846,89.9092771706038,101.213606312448,321.376641135163,122.898962053239,57.3955473629365,230.722718836044,257.064380154327,332.9683952129,119.984386850506,87.8001773528815,59.7827463840501,92.2970891228871,101.54424599911,61.1241761055339,68.6437382895493,121.198846643319,97.3716335660471,72.9641610197221,127.994532355614,61.1812364370033,61.1055915922978,93.1103871481666,175.809660705669,116.329637681804,119.573825596789,53.2720379475852
"hsa-miR-1-3p",648,233,12205,1515,936,1877,992,1064,5469,672,550,4396,959,189,4701,2245,1503,423,184,1926,642,2780,1675,852,1574,219,523,1089,2095,253,423,225,618,8320,174,1258,581,171,98,10475,535,816,97,3712,93,361,291,70,194,236,202,634,153,164,61,271,622,1880,913,233,1125.67221812783,971.149692585555,1974.72335396832,1210.82895557225,966.62459936239,996.224347014169,1386.66005527485,1443.04863955415,789.515005993526,850.826942040705,1169.93312880128,2386.14725879656,3811.52803013349,2094.2419463798,2059.25514132371,755.28872967984,1241.84786750425,2363.53633396664,1339.41390288294,906.008902734525,1603.22339789586,1126.80033053841,1613.99737673943,1348.36937166146,1516.73885254808,706.572633863029,1248.3380574287,1039.38102470947,991.058679429704,988.712863168074,1443.6499346085,1192.04445293978,1031.94803529011,1461.77909688936,1022.83502681284,1110.176249714,897.250169094477,3329.17302511417,1946.9557736261,1077.65233780335,1229.01747777791
"hsa-miR-432-5p",1171,344,5576,6467,1616,2854,2722,2666,4506,5236,2243,4951,2087,1802,4308,375,1259,2340,827,5208,1570,5469,8633,852,1862,5570,860,2878,1066,5631,3383,150,3932,1707,196,2375,4074,1512,40,328,2647,979,321,2256,183,2737,473,203,328,825,456,453,822,726,453,372,397,1700,1344,620,1459.11121011239,2060.3223273833,1429.92707006796,1394.00963379869,1695.07992850779,1206.21883555735,1157.33270640459,1711.61989795886,1208.17435066172,1286.74388070956,1382.61999985081,5343.51289841518,1436.44625812927,3841.94191909338,1816.38934767767,1463.38363051745,1814.54317730545,5956.11521077957,2047.65052016976,1380.40584801674,3125.95789602831,3587.15684607749,6279.09246007319,2431.66713886124,1794.13284490745,1689.79445198827,1931.87510482041,2158.38288927822,1417.37240149034,1551.26266088163,1969.99423588214,1841.83022221548,1552.20656848452,2584.68120313906,1440.4651038205,1479.02083121092,1616.79388962258,2996.9400124323,2445.28083612449,2255.74326818879,1246.1239620634
"hsa-miR-134-5p",37,0,155,209,43,79,62,94,111,52,47,137,37,27,111,21,73,43,13,103,29,104,493,15,47,74,0,68,28,57,100,0,91,40,0,140,113,20,0,20,122,35,16,71,0,193,0,0,13,42,21,27,44,25,13,17,10,214,64,60,32.562067452789,42.9690554395826,55.5690171413398,28.6804441338701,34.8211316519951,31.5072915181692,28.618526487221,57.2939263389028,33.0933678289704,32.3898037396904,31.5079222619327,158.303075708603,64.5285599451577,97.5591666057959,94.9356562049876,52.3606196196004,33.9824634748508,153.087302189574,58.8326641797884,33.9455829357103,127.857144465604,156.938785452519,149.394716789495,66.905114152075,62.1232950309505,45.3091383118479,50.8050629593393,59.8512167205054,34.55332658538,36.3267272491203,49.7286053353356,50.8839231603463,43.5138511991198,63.2445193263229,34.54971160627,34.5755256947513,42.9441225225814,108.482211090076,73.3097960339184,69.0439315725426,30.298781708132
