"Molecule","logFC","logCPM","F","PValue","FDR"
"hsa_piR_007351",-3.38618822383793,4.27028405563849,11.5026728838938,0.000955853826231839,0.0484472192499323
"hsa-miR-6777-5p",-3.1376792840599,2.00703216181108,11.3263851943955,0.00104187568279424,0.0484472192499323
"hsa-miR-657",-2.40147423742368,3.14004027286657,5.92677482734069,0.0164633238813016,0.262566136943819
"hsa_piR_020828",-2.28865900137185,2.91952217244599,7.96212196900589,0.00559918172732347,0.164439126518237
"hsa-miR-449a",-1.91234735636316,3.54283578369012,4.98406434377117,0.0275351732498377,0.365824444604986
"hsa-miR-4484",-1.6988350570514,3.24914508588994,4.29375871702641,0.0405074992032661,0.490302508006442
"hsa-miR-17-3p",-0.573642254497024,7.19178198238365,6.28988647643047,0.0134896622239347,0.250907717365186
"hsa-miR-28-3p",-0.289890060914403,10.0408996156012,4.58369675197289,0.0343169944770703,0.425530731515672
"hsa-miR-125a-5p",0.303330898706352,7.70573969067732,4.23311210245227,0.0418271254954423,0.490302508006442
"hsa-miR-486-3p",0.392150589932758,9.06569708192932,5.53601199671444,0.0202696214953942,0.304095012823297
"hsa-miR-150-5p",0.532252414379951,9.65692777494482,5.71671444915934,0.0183717304524937,0.284761822013652
"hsa_piR_019675",0.746487562672745,7.38766713610253,6.19370931322529,0.014203051248321,0.255654922469779
"hsa-miR-122-5p",0.984465564798338,13.5887309882726,6.68600074036593,0.0109229465145891,0.225740894634842
"hsa_piR_019914",1.23317297627685,8.61176366358148,17.8041075572375,4.80585200471696e-05,0.00536333083726413
"hsa-miR-100-5p",1.34541991740007,7.86509891343455,21.9990502992878,7.33901015727069e-06,0.00136505588925235
"hsa_piR_000807",1.3880217454952,9.8177867560728,5.91864858471249,0.0164692021380531,0.262566136943819
"hsa-miR-4271",1.79546671087686,1.39003018371499,4.93060048603185,0.0282782590590524,0.366959733836075
"hsa-miR-3195",1.88951064469356,1.26077501997705,7.19737067029123,0.00838682417319455,0.225740894634842
"hsa-miR-6746-5p",1.89494463154125,3.1201215215034,4.64207132492223,0.0332122792742974,0.421192087160408
"hsa_piR_007736",1.95116099858744,3.33529036069121,4.21847009032541,0.0421765598285112,0.490302508006442
"hsa-miR-205-5p",1.99068336156351,2.4383001119589,5.06440414085967,0.0263401196410596,0.358482603895397
"hsa-miR-4758-5p",1.99106148370203,1.54844713188066,5.27558930644962,0.0233745746878403,0.334436222456792
"hsa_piR_012706",2.03191460038783,1.21206717061615,6.72399458465156,0.0107586906983016,0.225740894634842
"hsa_piR_004806",2.10151355522387,2.09623505507117,5.11506126984452,0.0255343555514006,0.356204259942039
"hsa_piR_015836",2.12952555196462,1.47820057779383,6.44122724716146,0.0124997260213242,0.240809529551546
"hsa-miR-1238-5p",2.2193548154946,1.5871838171653,6.70477890943402,0.0108146991052754,0.225740894634842
"hsa-miR-6068",2.22206828544431,1.41850469363579,6.90800845680469,0.00976304451109788,0.225740894634842
"hsa_piR_018375",2.24252533969054,2.4488006273396,5.50322625444135,0.0207089793678947,0.304095012823297
"hsa_piR_012746",2.26680877293317,4.35786918259735,5.93726488268449,0.0163045084557142,0.262566136943819
"hsa_piR_009903",2.28396061988265,1.62817594389553,7.11607185713975,0.00875179949458541,0.225740894634842
"hsa_piR_007676",2.37834995611349,2.85035019046262,6.43020661595537,0.0125151906039334,0.240809529551546
"hsa_piR_019963",2.38569643745976,2.70599356908787,6.84785855038731,0.0100256991488673,0.225740894634842
"hsa_piR_013309",2.39248290402299,2.25086924102176,6.02382350098746,0.0155610564499678,0.262566136943819
"hsa-miR-1470",2.51677173715616,1.93330076748957,6.94510425787179,0.00957421990976762,0.225740894634842
"hsa_piR_010002",2.58155244200109,1.52207732375956,8.74142468681041,0.00378140209529713,0.131876398073487
"hsa-miR-4259",2.59487624933261,1.69088894774427,8.15623494429035,0.00510052124576047,0.158116158618574
"hsa_piR_022553",2.69481259868385,4.12484938028048,8.99143341246092,0.0033033115005194,0.122883187819322
"hsa_piR_020635",2.72104493010178,2.63803265112271,8.35890936755731,0.00459677366919671,0.150882335730104
"hsa_piR_003972",2.83852587109928,2.04167739791246,9.44690282705353,0.00264647806508567,0.105481054308415
"hsa-miR-3675-3p",3.09125501489463,2.17594664036427,10.6732035944739,0.00143638810607589,0.0616541971684882
"hsa_piR_003242",3.20358943531195,1.66349651926108,13.1240466152342,0.000436695775451699,0.0282683608978236
"hsa_piR_003938",3.26318424255385,1.88357044691795,12.7825905911981,0.000506601449781785,0.0282683608978236
"hsa_piR_019615",3.27268787037159,1.90054992325002,12.9428700857895,0.000476268273159356,0.0282683608978236
"hsa_piR_012856",3.77001323806877,1.88959899877208,17.1467363829822,6.66164423733887e-05,0.00541983758204633
"hsa_piR_000036",3.87533336549622,2.48769791694269,17.0475437348543,6.79907940400077e-05,0.00541983758204633
"hsa_piR_001520",4.17250002286938,1.87381178188179,20.5759478741856,1.42551014667659e-05,0.00198858665461384
"hsa_piR_022012",4.7489978988905,1.29820777294977,34.886482195804,9.88229344014774e-08,2.80552979674464e-05
"hsa_piR_009851",4.80453612469998,1.51258506487142,34.8366434358788,1.00556623539234e-07,2.80552979674464e-05
