"Molecule","logFC","logCPM","F","PValue","FDR"
"hsa-miR-206",-2.53285488734303,3.09566307939239,5.27625729519669,0.0228234168501763,0.123855439541332
"hsa-miR-1-3p",-2.12264285515692,9.47719841342679,17.3885649859758,4.82173078324806e-05,0.0154809734496948
"hsa-miR-766-3p",-2.02236110717157,4.91091445511536,8.55119866092812,0.00391832031938733,0.0710652969425085
"hsa-miR-5100",-1.83426027843365,3.8769759406123,4.60376045130008,0.0333043939695992,0.124323492470279
"hsa-miR-451a",-1.6194390133018,8.11190512598483,10.8646272349284,0.00119062286934721,0.0410253299895517
"hsa-miR-4433b-3p",-1.57458325995312,7.57664578869607,5.47045344910757,0.0204899224584503,0.123607684396086
"hsa-miR-6734-5p",-1.43882773566187,4.51127251182626,4.16067869615175,0.0429025217231337,0.14343915395385
"hsa-miR-550a-5p",-1.31620632025528,4.48672392114176,4.01653251425814,0.0466256294993182,0.152218966894833
"hsa-miR-4433b-5p",-1.2511460634162,6.13342068808491,3.89642747748203,0.0499903559836265,0.159451997533981
"hsa-miR-423-5p",-1.20093223831517,14.1389834969757,17.0835980174723,5.57872917106119e-05,0.0154809734496948
"hsa-miR-1908-5p",-1.16323680682723,7.37403870780771,8.29483359635083,0.00448159530268072,0.0710652969425085
"hsa-miR-483-5p",-1.12346465427286,7.28776385738353,6.07335439542504,0.0147063910707165,0.106000610964256
"hsa-miR-4732-5p",-1.09721918856256,5.7568238631551,4.58889051177078,0.0335866748153617,0.124323492470279
"hsa-miR-574-5p",-0.910142475129808,9.88296124676247,11.3633878429312,0.000924998201708193,0.0410253299895517
"hsa-miR-629-5p",-0.852766988183328,7.15726235072914,8.68386115951665,0.00365595173887026,0.0710652969425085
"hsa-miR-320a",-0.787765495160766,14.4875442172893,10.4940640316627,0.00143758785964232,0.0410253299895517
"hsa-miR-877-5p",-0.78502579176857,8.31560600823652,5.72114521037775,0.0178403813923064,0.113935561379139
"hsa-miR-339-3p",-0.693541430611028,7.7936841011039,5.0268336776401,0.0262355899458315,0.124307358085252
"hsa-miR-320c",-0.619830937281744,8.44109641471106,6.60779800681909,0.0110003549667994,0.0983236938858268
"hsa-miR-2110",-0.604683280453234,8.28380122275239,4.54364847357766,0.0344611468915627,0.12499243775404
"hsa-miR-320b",-0.584068130761687,9.81808748779907,5.00674218662951,0.0265327849810572,0.124307358085252
"hsa-let-7b-5p",-0.475407585288622,16.580936344046,4.72276038893265,0.0311334939923339,0.124323492470279
"hsa-miR-342-3p",0.664016511074845,10.6402540387477,6.29078870099806,0.0130627650257275,0.0983236938858268
"hsa-miR-26a-5p",0.683807971048054,16.109952633782,6.51817007530168,0.011546706131026,0.0983236938858268
"hsa-miR-99b-5p",0.710597889077636,8.28345674332083,5.7233752232499,0.0178184863536105,0.113935561379139
"hsa-miR-126-3p",0.787524367194769,15.5004263579621,5.23748104620158,0.0233217688231155,0.123855439541332
"hsa-miR-139-5p",0.843767529517824,11.0326169442372,4.5323841478956,0.0346825863317515,0.12499243775404
"hsa-miR-10a-5p",0.857389798059444,10.8527209547956,5.66848191867791,0.0183656843968257,0.114735441235946
"hsa-miR-15b-5p",0.929020689101719,10.1898176901829,5.11663485758828,0.0249493025392466,0.123855439541332
"hsa-miR-95-3p",0.929885720373948,6.82566029363971,4.09516400077513,0.0445539292826343,0.147187087808703
"hsa-miR-142-3p",0.946906685852463,10.9817786107793,6.23191149533937,0.0134880475707691,0.0998115520236917
"hsa-miR-29a-3p",0.966966309996694,8.30151208309134,6.28417627246453,0.0131098258514436,0.0983236938858268
"hsa-miR-24-3p",1.05806667784602,10.7789525436556,8.53121766995165,0.00395948238722839,0.0710652969425085
"hsa-miR-30a-5p",1.06110101734712,9.80989699590989,7.25197448166876,0.00778315978869173,0.0967991597727677
"hsa-miR-103a-3p",1.10277063848441,11.5552162475025,7.04979477104287,0.00867204134240707,0.0983236938858268
"hsa_piR_014620",1.16825457032115,8.65347640050173,4.89665582781203,0.0282251459354629,0.124307358085252
"hsa-miR-361-5p",1.17777554230095,8.18893831257089,12.3724699209086,0.000557369713507261,0.0410253299895517
"hsa-miR-142-5p",1.1901868749057,9.55963985657483,10.685492190143,0.00130407416635023,0.0410253299895517
"hsa-miR-20a-5p",1.23433572080817,8.9450693602279,7.14308926009768,0.00824951404771493,0.0983236938858268
"hsa-miR-107",1.24456590857917,9.62024561596289,7.98318062114409,0.00528021239314509,0.07949936377486
"hsa-miR-376c-3p",1.3177783179681,7.3852785844809,3.92139837362612,0.0492700748951612,0.158799322191873
"hsa_piR_020381",1.33393908153447,7.45083373467742,4.58814235033999,0.0336009439108862,0.124323492470279
"hsa-miR-92b-3p",1.43055693784019,6.77326821960195,7.23785034408665,0.00784208292660477,0.0967991597727677
"hsa-miR-3615",1.44863557338989,5.52969834016601,4.67342905484792,0.0320147704763215,0.124323492470279
"hsa-miR-10b-5p",1.45204020520042,9.28063243393149,5.9063781295368,0.0161137895272709,0.109787980673128
"hsa-miR-15a-5p",1.46483530546778,7.26806283004264,5.11754050726278,0.0249366723797868,0.123855439541332
"hsa_piR_019914",1.47634602742076,8.55795172336156,4.21669839312639,0.0415419687594104,0.139732076736199
"hsa-miR-126-5p",1.48034749663725,12.3632774221486,10.4602667795781,0.00146257521815731,0.0410253299895517
"hsa-miR-30e-5p",1.49554249740017,11.1366254908386,11.9451885988295,0.000690258390737861,0.0410253299895517
"hsa-miR-143-3p",1.53882350149431,11.1373708232796,15.967941366199,9.54015174631581e-05,0.0176492807306843
"hsa-miR-454-3p",1.73628462000554,5.50352731542397,4.46778425381351,0.0359818742565486,0.126392026660661
"hsa-miR-21-5p",1.84504784544499,9.39680411645084,10.2525420605738,0.00162622929688313,0.0410253299895517
"hsa-miR-32-3p",1.92082525601575,5.11634138545683,5.54062529858866,0.019709276035541,0.120204925271706
"hsa-miR-122-5p",1.92532469547383,13.4266372519624,4.62789631484585,0.0328515280955587,0.124323492470279
"hsa-miR-411-5p",2.06530852878707,6.49977245564443,7.85809299347185,0.00564071422511303,0.07949936377486
"hsa-miR-340-5p",2.4101102307961,6.02196286386383,9.56028571425867,0.00232031274752842,0.0515109429951309
"hsa-miR-374a-5p",2.62455638595386,4.16188473717092,4.28939164465222,0.0398442966550762,0.134838930753459
"hsa-miR-942-5p",2.68114614621401,3.68999167202761,3.91339882057309,0.0494996085390883,0.158799322191873
"hsa-miR-590-3p",2.70666807861559,3.92900804105127,4.02688946174418,0.0463469934570917,0.152204623483348
"hsa-miR-641",2.89287413554244,3.62527253271069,4.3675321991096,0.0381010691014132,0.130531440440027
"hsa_piR_012706",2.91825109536062,1.21321209728616,4.19886580442725,0.047939735936301,0.155593879793258
"hsa_piR_013606",3.01967696688595,1.25623279076225,4.34997737617895,0.0385299159865911,0.131190818236552
"hsa-miR-652-5p",3.08680630020302,4.67421606928454,7.82848922703283,0.00572968387566559,0.07949936377486
"hsa-miR-1973",3.23357343404745,1.35384638709169,4.62290007865614,0.0329867782939974,0.124323492470279
"hsa-miR-3195",3.26552538203254,1.37144284167429,4.92162040250199,0.0278711205992589,0.124307358085252
"hsa-miR-4329",3.29934719103268,1.35861402484722,4.54588585678101,0.0344600454956148,0.12499243775404
"hsa_piR_020874",3.31190239102766,1.34437789100722,4.381791611536,0.0378358677611833,0.130427991350663
"hsa_piR_019282",3.4179741558546,1.37645624135797,4.40784429425191,0.0372773654209206,0.129305861303818
"hsa-miR-148b-3p",3.42044959707696,1.45634062490946,5.30185347578497,0.022536739004819,0.123855439541332
"hsa_piR_020388",3.43746519654715,1.45571952313039,5.05436865157395,0.0258722506274976,0.124307358085252
"hsa_piR_015462",3.45286891589023,1.41655434967001,4.54411794865432,0.0344946696194807,0.12499243775404
"hsa-miR-483-3p",3.45732920967798,1.43796075560356,4.81664960404584,0.0295663881711938,0.124323492470279
"hsa-miR-6068",3.45733767545855,1.41154042358582,4.44595139477863,0.0364760985655722,0.127322230842092
"hsa_piR_009851",3.46565329561811,1.4086655154711,4.52289448334876,0.0349132059930599,0.125011802104182
"hsa_piR_015836",3.47385365079848,1.418041969845,4.49667692488274,0.0354376450956005,0.125273204000371
"hsa_piR_015800",3.51551422085846,1.47042064264312,5.21794312337819,0.0236140603373514,0.123855439541332
"hsa_piR_020574",3.54350598689595,1.44697730131736,4.65480040430504,0.0323961274759244,0.124323492470279
"hsa-miR-200a-3p",3.56159771702809,1.48825694102761,4.81489089288493,0.0295956978924352,0.124323492470279
"hsa_piR_015026",3.56601836680652,1.50184680660983,5.18666934540416,0.024029262858138,0.123855439541332
"hsa_piR_010002",3.57187361104067,1.44178232908867,4.50045218354041,0.0353616172591607,0.125273204000371
"hsa_piR_001312",3.59023413284624,1.50828493791217,5.24370527442612,0.0232776792189733,0.123855439541332
"hsa_piR_009294",3.71686462159378,1.57019617990903,5.39774440738772,0.0213682977924884,0.123855439541332
"hsa-miR-34a-5p",3.83714393619826,4.32254723881228,6.43867120069016,0.012054854345421,0.0983236938858268
"hsa_piR_003242",3.86048065954841,1.58919975147891,4.69516443204376,0.0316647009225449,0.124323492470279
"hsa_piR_021107",3.8709043161519,1.58721408984512,4.6426144265142,0.032620429973171,0.124323492470279
"hsa_piR_001205",3.90155104895711,1.67585724720162,5.89780558954735,0.016220926874228,0.109787980673128
"hsa_piR_004695",3.91035291221401,1.5673195051779,4.62503088133583,0.0329469736641582,0.124323492470279
"hsa_piR_020249",3.91587373819398,5.15918404981633,5.92525337033832,0.0159479001529405,0.109787980673128
"hsa_piR_019825",3.91824120355,1.6637919090477,5.60638543988562,0.0190394652650268,0.117410035800999
"hsa-miR-485-3p",3.9276834073463,1.66483956148256,5.20168706991607,0.0238289354770589,0.123855439541332
"hsa-miR-6891-5p",3.9550905778663,1.67301679950428,5.28957000525862,0.0226911750572882,0.123855439541332
