"Molecule","logFC","logCPM","F","PValue","FDR"
"hsa_piR_007648",-5.7237290497107,0.932946734306476,40.7931529086966,3.26315949652546e-09,2.1275799917346e-06
"hsa_piR_022258",-3.8059493392953,4.20131169562277,9.7861491684345,0.00220251550179126,0.0512871466845679
"hsa_piR_011937",-3.74312035058968,1.09063489732166,7.39319490710182,0.00750868057376543,0.119406334977928
"hsa-miR-766-3p",-2.64097951602946,4.91399567266415,9.62028798537655,0.00239428828005453,0.0538302054688122
"hsa-miR-5100",-2.55908119785995,3.78008899464791,5.9301795946021,0.0163399338003154,0.166463075590713
"hsa_piR_018629",-2.1144718332918,5.09464679064832,4.92035673354381,0.0284051248674068,0.246935218847323
"hsa-miR-451a",-2.05635113503236,8.36292980892114,10.1707495800955,0.00181628906912591,0.0446549018799925
"hsa-miR-3679-5p",-1.71451807016163,4.86427239530879,4.15437128510549,0.0437033718945519,0.261253168955528
"hsa-miR-423-5p",-1.62352900152486,13.978868696935,24.1620770141709,2.80868313892156e-06,0.000915630703288429
"hsa-miR-30c-5p",-1.5084843148738,6.04823749870359,4.66371309038538,0.0327760853435155,0.261253168955528
"hsa-miR-4732-5p",-1.40107879477571,5.85710534007856,6.14962868904128,0.0145175087897039,0.157756928848115
"hsa-miR-574-5p",-1.19950451080834,9.80366871037497,14.7379045447583,0.000197818033205739,0.0214962262750236
"hsa-miR-23a-3p",-1.07194020824655,8.47938963544692,6.53720981511479,0.0117985116419904,0.150259149183663
"hsa-miR-223-3p",-1.0659779058223,10.141017528915,4.71677206396231,0.0318173700963434,0.259311566285199
"hsa-miR-484",-1.02778863274359,7.20058587127153,4.35665314477511,0.0389601226200678,0.261253168955528
"hsa-miR-629-5p",-1.01514686613032,7.21151170808585,6.33770371693037,0.0131246662220381,0.153331309085248
"hsa-miR-1908-5p",-0.983090372398187,7.23472800874511,3.93168173713319,0.0496462319376081,0.261253168955528
"hsa-miR-877-5p",-0.946545172931525,8.19370540159373,6.57741635899955,0.0115485933461088,0.150259149183663
"hsa-miR-320a",-0.797703490814617,14.5019700846919,6.47224164090302,0.0122143173416168,0.150259149183663
"hsa-let-7i-5p",-0.772572146683686,15.5331578499844,5.86523013215268,0.0169240119693647,0.169760858523474
"hsa-miR-2110",-0.731660093172048,8.21492116321472,4.4502135055631,0.0369543105027256,0.261253168955528
"hsa-miR-320b",-0.609024970861174,9.60971842039509,5.09003980465234,0.0258563984224826,0.235717910663525
"hsa-let-7b-5p",-0.576772171279945,16.5542272072898,4.09500162944813,0.045209568021501,0.261253168955528
"hsa_piR_010431",0.734151281771498,9.16190507791018,4.14710105361437,0.0438849058029567,0.261253168955528
"hsa-miR-26a-5p",0.749859063848886,16.0360179067091,5.07791972962629,0.0260301987235795,0.235717910663525
"hsa-miR-151a-3p",0.781895814986122,9.57011292229183,4.44951398886826,0.0369688936030948,0.261253168955528
"hsa-miR-15b-5p",0.798462887169706,10.4222592243034,4.01464694546985,0.0473370004596871,0.261253168955528
"hsa-miR-155-5p",0.870926819987392,11.3164587675306,6.34041092376984,0.013105667048326,0.153331309085248
"hsa_piR_020496",0.993632268991036,10.0278665876599,4.54699269610111,0.0349943715112114,0.261253168955528
"hsa-miR-193a-5p",0.996657199882862,7.05959345196311,6.33132292851181,0.0131695602895305,0.153331309085248
"hsa_piR_016926",1.0316683499809,6.60981477583849,4.09799498700349,0.0451323163276363,0.261253168955528
"hsa-miR-31-5p",1.08212481383143,6.68093477039526,4.19437224172833,0.042718782377609,0.261253168955528
"hsa-miR-342-3p",1.09967222759356,10.572521667807,11.3413457177614,0.00101646645984803,0.0382401791368149
"hsa-miR-146b-5p",1.10375431122172,6.79715067365245,4.73126068053337,0.031560765788434,0.259311566285199
"hsa-miR-99b-5p",1.1515234858182,8.409682435092,11.2643838629574,0.00105571046696728,0.0382401791368149
"hsa-miR-29a-3p",1.18149003619386,8.49038078917011,6.19480171071868,0.0141694667135831,0.157756928848115
"hsa-miR-142-3p",1.22221413419374,11.1981960573902,8.05276712839928,0.00532801337457898,0.0938882356817701
"hsa-miR-103a-3p",1.31519076201655,11.7748145984676,8.8400627513386,0.00355613982627391,0.072456348960331
"hsa-miR-103b",1.3279271361484,6.61336691302925,5.17514340728597,0.0246699184348851,0.229782668850644
"hsa-miR-10a-5p",1.35793078215157,11.0235872642325,8.20038706150614,0.00493698300978315,0.0903290053880465
"hsa-miR-126-3p",1.37505320851301,15.6336428703052,8.67966408805308,0.00385978582916594,0.0762600109277634
