"Molecule","logFC","logCPM","F","PValue","FDR"
"hsa-miR-206",-4.7580460134757,3.02758678370767,15.4824298470575,0.000218743351068949,0.0463735904266173
"hsa-miR-1-3p",-3.26030862913356,9.39246960709325,37.2499089732302,8.22691971989258e-08,3.48821396123445e-05
"hsa_piR_004806",-3.04139470103828,1.87397747552503,5.06237686980763,0.0281266088265262,0.55713034467311
"hsa-miR-4433b-3p",-2.20247865261348,7.34629584309411,5.60582537540456,0.0211385246165019,0.55713034467311
"hsa_piR_004721",-2.12216544903357,5.12486119629895,4.28420237803148,0.0427769499017697,0.55713034467311
"hsa-miR-483-5p",-1.4494254637639,7.31112125520227,4.37032001289302,0.0408104841037638,0.55713034467311
"hsa-miR-221-3p",-1.2610297596228,7.49999695081618,4.49041971922835,0.0382290915688981,0.55713034467311
"hsa-miR-1307-3p",-1.07357627024981,9.28230026147345,7.52236635427223,0.00801957469456715,0.55713034467311
"hsa_piR_016735",-1.00115704611944,9.10899471444315,5.09935547750002,0.0275804058955834,0.55713034467311
"hsa-miR-320a",-0.809920249903317,14.3839849124198,6.30846606652508,0.0147225958824163,0.55713034467311
"hsa-miR-26a-5p",0.879467466489603,16.2435852961834,4.27615482234318,0.0429658717561221,0.55713034467311
"hsa-miR-30e-3p",0.900698658151677,9.88242854196856,4.19397647411959,0.0449475051170806,0.55713034467311
"hsa-miR-143-3p",1.54923206184862,10.9616668437166,6.1024390342832,0.016356370852759,0.55713034467311
"hsa-miR-584-5p",5.01849953697955,2.82330031183259,4.70810056932008,0.0341259593596392,0.55713034467311
"hsa-miR-1285-3p",5.14314787322286,2.9050900464881,4.65460757945553,0.0351206594095824,0.55713034467311
"hsa-miR-942-5p",5.15715727308147,2.9127141880407,4.16282465709828,0.0458773575710054,0.55713034467311
"hsa_piR_011188",5.24166082869193,2.96463831498775,4.30594672981243,0.0424202979906139,0.55713034467311
"hsa_piR_023338",5.26868264295106,2.98173890472627,4.80248647247667,0.0324439284617664,0.55713034467311
"hsa-miR-381-3p",5.31067073064014,3.01728640990869,4.46136489900139,0.0389822870552631,0.55713034467311
"hsa-miR-590-3p",5.47148387971871,3.14179961810453,4.19942723983613,0.0449651444619867,0.55713034467311
"hsa_piR_021462",5.53826939267166,3.17955795899347,5.13902478320024,0.0271340281685663,0.55713034467311
"hsa-miR-125b-5p",5.62313432907939,3.21200563460898,4.41731208072457,0.039925164185659,0.55713034467311
"hsa-miR-520f-5p",5.79209381858493,3.3288105150597,4.21576670440512,0.0445642858442516,0.55713034467311
"hsa_piR_018570",5.95965619632152,3.49693534868677,4.60069382028969,0.0361548076078118,0.55713034467311
"hsa-miR-376b-3p",6.07595050519601,3.59018498225194,4.56208246405578,0.0369155517105697,0.55713034467311
"hsa-miR-641",6.09862182200118,3.60852609010843,6.23012239189789,0.0154212126696033,0.55713034467311
"hsa-let-7d-3p",6.25395342364732,3.69132610920861,5.38483838454493,0.0238467246727414,0.55713034467311
"hsa-miR-652-5p",6.28863764097467,3.76491922835844,5.45237407072134,0.0230200039209634,0.55713034467311
"hsa-miR-889-3p",6.49427248985692,3.89996223204903,5.92535994425903,0.0180206643605405,0.55713034467311
"hsa_piR_011291",6.91400715735864,4.26769690731578,4.61318326128395,0.0359123588076841,0.55713034467311
"hsa-miR-4484",7.1704584295376,4.49790457869635,5.43957386108224,0.0231743138860319,0.55713034467311
"hsa_piR_007648",7.23817552045458,4.50066248680146,4.05576094364554,0.0486626564622149,0.55713034467311
"hsa_piR_011459",8.16568011836132,5.40412826665994,7.76175905746168,0.00719675383795629,0.55713034467311
"hsa_piR_022258",10.7821270753831,7.96938559123467,5.17270538995493,0.0266563116687604,0.55713034467311
